00-00	KA JINGPYNBNA-IAR SATLAK IA KI HOK LONGBRIEW MANBRIEW
00-01	Kumba ka jingithuh ia ka kyrdan long tynrai bad ia ki marryngkat bad bashongkhien jong baroh ki dkhot longiing u  dei ka tlong jong ka jinglaitluid, ka jingbishar hok, bad ka jingsuk shisnieh pyrthei,
00-02	Kumba ka jingibein bad jingbymsuidkhai ia ki hok longbriew manbriew la pynkha ia ki kam riewkhlaw kiba la pynkhih win ia ka jingiatiplem u bynriew, bad ka jingkylla ka pyrthei ha kaba u khun bynriew un leh kmen laitluid ha ka kren ka khana bad jingngeit bad jinglaitluid na ka tieng ka syier bad ka kyrduh la pynbna kum ka jingangnud ba ha khlieh tam jong u luk u lak,
00-03	Kumba ka long kaba donkam ba ia u/ka briew ym dei ban pynbor ban shim ki lynti, kum ka khen khatduh, da ka jingialeh pyrshah ia ka jingbanbein bad jingsynshar runar, ba ia ki hok longbriew manbriew dei ban iada da ka ain ka kanun,
00-04	Kumba ka long kaba donkam ban kyntiew ia ka jingroi ka jingiadei lok para ri,
00-05	Kumba ki briew jong ka Synjuk Ki Ri ha ka Kyrmit ki la pynskhem ia la ka jingngeit ha ki tynrai ki hok longbriew manbriew, ha ka kyrdan bad dor longbriew bad ha ki hok marryngkat la kynthei ne shynrang bad la kut jingmut ban pyntei pynsan ia ka imlang sahlang bad ia ka kyrdan jingim ba khambha ha ka jinglaitluid ba khamiar,
00-06	Kumba ki Ri-Long-Dkhot ki la smai ban kynjoh, da ka jingbynrap lang bad ka Synjuk Ki Ri, sha ka jingkyntiew ia ka jingiaburom salonsar bad ka jingpeitngor ban pyntrei kam ia ki hok longbriew manbriew bad ki jinglaitluid ba tynrai,
00-07	Kumba ka jingsngewthuh-iar ia kine ki hok bad ki jinglaitluid ka dei ka jingdonkam ba khraw eh na ka bynta ban pyn pura ia kane ka jingsmai.
00-08	Namarkata, Mynta,
00-09	Ka Dorbar Bah,
00-10	Ka la pynbna bad pynjari ia kane ka Jingpynbna-iar Satlak Ia Ki Hok Longbriew Manbriew kum ka jingthew ba biang pylla lang ia baroh ki bynriew bad baroh ki ri, ba kumta man la u/ka briew bad man ki kynhun jong ka imlang sahlang, da kaba iai tyngkai khop ia kane ka Jingpynbna-iar, kin ialeh da kaba hikai bad pynnang pynstad ban kyntiew irat ia ka jingburom ia kine ki hok bad ki jinglaitluid bad da ki lad pynsan, la shi Hima ne para Hima, ban pynioh ia ka jingtyngkai bad jingithuh salonsar ba seisoh, hapdeng ki briew jong ki Ri-Long-Dkhot hi bad hapdeng ki briew jong ki Ilaka synshar jong ki hi.
01-00	Jinis 1
01-01	Ia ki bynriew baroh la kha laitluid bad ki iaryngkat ha ka burom bad ki hok. Ha ki la bsiap da ka bor pyrkhat bad ka jingiatiplem bad ha ka mynsiem jingsngew shipara ki dei ban iatrei bynrap lang.
02-00	Jinis 2
02-01	Uwei pa kawei ki don ia baroh ki hok kynti bad jinglaitluid ba la mang ha kane ka Jingpynbna-iar, khlem jingpyniapher eiei, kum ka jaitbynriew, ka rong ka sniehdoh, kynthei ne shynrang, ka ktien ka thylliej, ka niam ka rukom, ka sain pyrthei ne ka mut ka khan, ka thymmei ri ne ka imlang sahlang, ka jingdon jingem, ka jingkha ne kano kano ka jinglong.
