00-00	KhUNII ERKhIIN TUGEEMEL TUNKhAGLAL
00-01	Khun torolkhtony ger buliyn bukh gishuund ugaas zayaasan ner tor bolon tedny tegsh, salshgui erkhiyg khuleen zovshoorokh n erkh choloo, shudarga es, bukh niytiyn enkh taivny undes moniyg ish undes bolgon,
00-02	khuny erkhiyg ul toomsorlokh, basamzhlakh n zon olny zhigshliyg toruulsen balmad ulideld khurgezh baisan bogood khumuus ug khel, itgel unemshiltei baikh, erkh eolootei, aikh ayuulgui, gachigdal zovlongui delkhy ertontsiyg by bolgokh n khun ardyn erkhem deed ermelzlel mon khemeen uzezh,
00-03	khumuus ezerkheg zasaglal, darlalyn esreg ooriyn erkhgui etssiyn arga bolgon zevseglen bosokhod khurgekhguin tuld khuny erkhiyg khuuliar khamgaalakh n zailshgui chukhal gedgiyg ankhaaran,
00-04	uls tumny khoorond nokhorsog khariltsaa khogzhuulekhed tus dokhom uzuulekh shaardlagataig khargalzan,
00-05	Negdsen Undestny Baiguullagad negdsen uls tumen khuny undsen erkh, bie khuny ner tor, une khundiyg sakhin khamgaalakh, eregtei, emegteichuudiyn tegsh erkhed itgel togs baigaagaa Duremdee notolzh, ulam orgon erkh eoloot nokhtsold niygmiyn devshil, amdralyn nokhtsliyg saizhruulakhad dokhom uzuulekheer shiydverlesniyg khargalzan,
00-06	Gishuun ulsuud Negdsen Undestny Baiguullagatai khamtran khuny erkh, undsen erkh choloog niyteer khundlen sakhiulakhad tus dokhom uzuulekh uureg avsnyg undeslen,
00-07	enekhuu uurgiyg buren bieluulekhed khuny erkh, erkh choloony mon chanaryg negen mor oilgokh yavdal nen ikh ach kholbogdoltoig khargalzan,
00-08	Eronkhy Assamblei,
00-09	Khuny erkhiyn enekhuu tugeemel Tunkhaglalyg delkhiyn bukh uls tumen, bukh uls oron zoriltoo bolgon devshuulzh, khun bur, niygmiyn negzh baiguullaga bolgon enekhuu zoriltyg bieluulekhiyn tuld el Tunkhaglalyn uzel sanaag tugeen delgeruulekh zamaar edgeer erkh, erkh choloog khundetgen mordokh yavdald dokhom uzuulekh, undesny bolon olon ulsyn khemzheeny devshiltet arga zamaar khuny erkh, erkh choloog Negdsen Undestny Baiguullagyn gishuun uls orny ard tumen, tedgeer ulsyn erkh medeld baigaa nutag devsger deer orshin suudag ard olny al alinaar n zokhikh esoor zovshooruulen kheregzhuulekhiyg zarlan tunkhaglazh baina
01-00	Negdugeer zuil
