00-00	Adam Ukuktarynyn Zhalpy Deklaratsiyasy
00-01	Adamzat ui-bulosunun bardyk mucholorunotaandyk bolgon zhogorku bedeldi zhana alardyn birdei zhana azhyragys ukuktaryn taanuu erkindiktin, adilettu uluktun zhana zhalpy tynchtyktyn negizi bolup sanala turgandygyn eske aluu menen; zhana
00-02	adam ukuktaryn etibarga alboo zhana zhekkoruu adamzatynyn abiyirin kozgogon zhyrtkychtyk aktylarga alyp kelgendigin zhana adamdar soz erkindigi menen ynanymga ee bolgon, echnerseden korkpogon zhana ech nersege muktazh bolbogon duinonutuzuu adamdardyn en zhogorku umtuluusu kataryzharyyalangandygyn eske aluu menen; zhana
00-03	adam akyrky arga katary zombulukka zhana ezuugu karshy kuturuluugo argasyz blboshun kamsyz kyluu maksatynda adam ukuktary myizamdyn kuchu menen korgoluuga tiyish ekendigin eske aluu menen; zhana
00-04	elderdin ortosundagy dostuk mamilelerdi onukturuugo komoktoshuu zaryl ekendigin eske aluu menen; zhana
00-05	Birikken Uluttardyn elderi Ustavda adamdardyn negizgi ukuktaryna, adam insanynyn bedeline zhana barkyna, erkekter menen ayaldardyn ten ukuktuuluguna ishengendikterin yrastashkandyktaryn zhana toluk erkindikke chyguu menen katar sotsialdykprogresske zhana turmush shartty zhakshyrtuuga komokto shuunu chechishkendigin eske aluu menen; zhana
00-06	Birikken Uluttar Uyumu menen kyzmattashuuda mucho-mamleketter adam ukuktary menen negizgi erkindikterdi zhalpy urmattoogo zhana salym koshuuga mildettengendigin eske aluu menen; zhana
00-07	ushul ukuktardyn zhana erkindikterdin munozun zhalpy tushunuu ushul mildettenmelerdi toluk atkaruu uchun zor maanige ee ekendigin eske aluu menen,
00-08	Generaldyk Assambleya
00-09	adam ukuktarynyn ushul Zhalpy Deklaratsiyasyn ar bir adam zhana koomdun ar bir organy ushul Deklaratsiyany daiyma eske alyp, agartuu zhana bilim beruu zholu menen ushul ukuktardy zhana erkindikterdi urmattoogo zhana uluttuk zhana elaralyk progressivduu ish-charalar arkyluu Uyumga mucho bolgon mamleketterdin elderinin arasynda, oshondoi ele alardyn yurisdiktsiyasynda turgan aimaktyn elderinin arasynda alardyn zhalpy zhana toluk taanylyshyn zhana ishke ashyrylyshyn kamsyz kyluuga komoktoshuu aluutuluu uchun bardyk elder menen mamleketter atkaruuga dalalattanuuga tiyish bolgon mildetkatary zharyyalait.
01-00	1-statya
