00-00	ktikaawaad᩠w᩠yaᩢmnuscaa᩠t
00-01	huuemiikaa᩠rya᩠amrᩢ᩠bnᩢ᩠bthuues᩠nguuek᩠nᩢlᩢk᩠nᩢ lᩢmiisit᩠thiph᩠yangp᩠yangk᩠nᩢ doo᩠yahuueh᩠muupiin᩠aᩢngnaihoare᩠nuuedᩴ᩠yak᩠nᩢ pe᩠nhlaᩢkkeᩢᩢaahe᩠ngᩢᩢaahae᩠ngp᩠ngsrphaa᩠b k᩠waa᩠myautithm᩠m᩼ lᩢk᩠waa᩠mk᩠dᩢyae᩠nkh᩠angloo᩠k doo᩠yabᩢdaiᩢduukae᩠wrtoak᩠nᩢlᩢk᩠nᩢ a᩠nᩢcᩢhe᩠dhuueb᩠ngᩢke᩠duuekaa᩠rhe᩠da᩠nᩢpaathe᩠nuuetoak᩠nᩢ lᩢl᩠wnglᩢᩴaamneaathm᩠m᩼kh᩠angmnuscaa᩠ttiirᩢaa᩠yarae᩠ng c᩠ngidaiᩢbrakaa᩠sk᩠waa᩠mt᩠ngᩢᩢcaisuungsud kh᩠angmnuscaa᩠taiwᩢwaa t᩠aᩢngkaa᩠rhuuemnus᩼yauunailoo᩠k dᩢ᩠w᩠yamiip᩠ngsrphaa᩠bnaikaa᩠rauuᩢ k᩠waa᩠mce᩠auuethuue lᩢr᩠adp᩠nocaa᩠kk᩠waa᩠mk᩠wo lᩢdaiᩢrᩢ᩠bbracai᩠yap᩠nuueraa᩠na᩠nᩢcᩴaape᩠nkaemnuscaa᩠t s᩠nguuepe᩠ns᩠ngitiik᩠wrdaiᩢrᩢ᩠b lᩢkuᩢmkh᩠waa᩠ngr᩠kᩢsaataa᩠mkhoak᩠roh᩠maa᩠ya pe᩠auuebᩢkxaihuuet᩠koyauunaitaiᩢb᩠ngᩢkᩢ᩠bkh᩠angkx᩠norᩢaa᩠yame᩠kuuele᩠nguue lᩢkaa᩠rte᩠kte᩠ngcaa᩠kkheᩢaa c᩠ngidaiᩢmiikx᩠nome᩠nguuenaishbcaacaa᩠t daiᩢt᩠kol᩠ngoh᩠mᩢᩢrkae᩠nwaiᩢnaik᩠roh᩠maa᩠ya waadᩢ᩠w᩠yasit᩠thia᩠nᩢpe᩠nhe᩠ngᩢᩢaakeᩢᩢaakh᩠angmnuscaa᩠t naikaa᩠rnᩢ᩠bthuuek᩠nᩢ h᩠nᩢkaakh᩠nᩢk᩠waa᩠mpe᩠nmnus᩼he᩠muuerk᩠nᩢ lᩢmiisit᩠thiph᩠yangp᩠yangk᩠nᩢt᩠ngᩢcaa᩠yalᩢya᩠ngi lᩢya᩠ngᩢdaiᩢt᩠kok᩠nᩢwaa cᩢdaiᩢkᩴaathae᩠mk᩠waa᩠mkh᩠nuuehai᩠yataa᩠ngs᩠ngᩢk᩠mo lᩢp᩠nuueraa᩠nhae᩠ngk᩠waa᩠mpe᩠nyauutiidii kh᩠nuuedᩢ᩠w᩠yamiip᩠ngsrphaa᩠b k᩠wᩢaa᩠nga᩠akpaiya᩠ngikh᩠nuue doo᩠yamiiphuuᩢkheᩢᩢaar᩠wmhlaaa᩠yaᪧme᩠nguue daiᩢp᩠nᩢkᩴaah᩠mᩢᩢrkae᩠nwaa cᩢcoyk᩠nᩢhe᩠dhuueth᩠nguuetiipoadaiᩢkᩢᩴaathae᩠mnᩢ᩠bthuuelᩢ brib᩠tᩢtoamnuscaa᩠tt᩠ngᩢm᩠wrdaiᩢ doo᩠yar᩠wmmuuekᩢ᩠bshbcaacaa᩠t pe᩠auuehuuekheᩢᩢaacair᩠wmk᩠nᩢnaisit᩠thilᩢp᩠ngsrphaa᩠b a᩠nᩢniipe᩠ns᩠ngisᩴaakxᩢ᩠nya pe᩠auuecᩢhe᩠dhuuektikaaa᩠nᩢniipe᩠ntiib᩠worm᩠wr
00-02	ch᩠nᩢn᩠nᩢᩢ kaalb᩠dᩢnii paa᩠ngpra᩠aᩢmkumk᩠nᩢc᩠ngibrakaa᩠swaa ktikaawaadᩢ᩠w᩠yamnuscaa᩠tnii pe᩠nmaatraraa᩠nhae᩠ngkaa᩠ryauur᩠wmk᩠nᩢ kh᩠angkx᩠nome᩠nguuelᩢkh᩠angkx᩠nonailoo᩠k pe᩠auuetiih᩠maa᩠yapaa᩠yad᩠ngᩢkaa᩠wl᩠wᩢ buk᩠kliklᩢh᩠muucumtaa᩠ngs᩠ngᩢk᩠motukᪧa᩠nᩢ huuedaiᩢk᩠dueth᩠nguueya᩠ngᩢkhoaniiyaaahuuekhaa᩠d cᩢdaiᩢkh᩠dᩢcaib᩠aks᩠arlᩢs᩠kuesaa naikaa᩠rcᩢp᩠nᩢrae᩠ng kaa᩠rnᩢ᩠bthuuesit᩠thilᩢp᩠ngsrphaa᩠bce᩠auuenii dᩢ᩠w᩠yakaa᩠rcreuue᩠nyakᩢaa᩠wh᩠nᩢaat᩠ngᩢnaime᩠nguuelᩢn᩠akme᩠nguue naikaa᩠rya᩠amrᩢ᩠blᩢbrib᩠titaa᩠m doo᩠yaph᩠yangp᩠yangk᩠nᩢ doo᩠yahuueᩢhe᩠dtaeᩢᪧwaaᪧ t᩠nguuenais᩠wrkh᩠angkx᩠noh᩠muucumdᩴ᩠yak᩠nᩢ lᩢh᩠muucumkh᩠angkx᩠nonaid᩠nidae᩠na᩠nᩢyauutaiᩢaᩴaanaa᩠ckh᩠angr᩠rᩢn᩠nᩢᩢᪧ
01-00	khoa 1
01-01	mnus᩼t᩠ngᩢhlaaa᩠yake᩠duuemaamiip᩠ngsrlᩢph᩠yangp᩠yangk᩠nᩢ naikit᩠tis᩠kᩢ lᩢsit᩠thi taa᩠ngkoakᩢmiimneaathm᩠m᩼lᩢ k᩠wrbrib᩠tᩢtoak᩠nᩢdᩢ᩠w᩠yak᩠waa᩠mph᩠yangp᩠yangk᩠nᩢ
02-00	khoa 2
02-01	tukkx᩠nomiisit᩠thilᩢp᩠ngsrphaa᩠b taa᩠mtiidaiᩢkaa᩠wwaiᩢnaikhoaktikaaa᩠nᩢnii doo᩠yabᩢdaiᩢtae᩠ktaa᩠ngk᩠nᩢ bᩢwaaa᩠nᩢdai he᩠muuerwaa ce᩠auuecaa᩠t ph᩠wi p᩠yad phaasaa saasnaa k᩠waa᩠mk᩠dueh᩠nᩢtaa᩠ngkaa᩠rme᩠nguue hrauuetaa᩠nga᩠nuueᪧ caa᩠tce᩠auue s᩠ngᩢk᩠mo so᩠mb᩠tᩢ caa᩠tke᩠duue hrauuesthaana᩠nuueᪧ thae᩠ngᩢbrakaa᩠rh᩠nueng bᩢmiik᩠waa᩠mtae᩠ktaa᩠ngk᩠nᩢ bᩢwaataa᩠ngkaa᩠rme᩠nguue kaa᩠rsaa᩠rkaa᩠rlum kaa᩠ngtaa᩠ngbaa᩠nᩢtaa᩠ngme᩠nguue hrauuekaa᩠rnaid᩠nidae᩠ntiikx᩠noaaasai᩠yayauu bᩢwaad᩠nidae᩠nniicᩢpe᩠neekraa᩠c yauunaik᩠waa᩠mp᩠kokra᩠angkh᩠angt᩠no hrauueyauutaiᩢaᩴaanaa᩠ct᩠nodaiᪧt᩠ngᩢsᩢ᩠yang
03-00	khoa 3
03-01	kx᩠notukkx᩠nomiisit᩠thinaikaa᩠rpe᩠nyauukh᩠angciiw᩠ti miiseriiphaa᩠b lᩢk᩠waa᩠mh᩠mᩢᩢrkae᩠nkh᩠angt᩠no
04-00	khoa 4
04-01	kx᩠nophuuᩢdaiᪧ cᩢthuukhe᩠dhe᩠muuerpe᩠nkhᩢaa khaa᩠yape᩠nd᩠ngᩢkhᩢaacaiᩢ kaaᩢkhaa᩠yakx᩠nope᩠nkhᩢaa hᩢaa᩠mtukᪧyaaa᩠ng
