00-00	KITANGELU KYA NGONGO YA ITOKELU YA MUTHU
00-01	Mu kutala kuma o ujitu wa kijingu wa tokala ku phunga yose ya mwiji wa’athu ni yoso ya itokelu ya sokelela ki itena ku ilanduka idibanga dimatekenu dya ufolo, dya difundisu ni dya kutululuka mu ngongo.
00-02	Mu kutala kuma o kukamba kwijya ni kudituna o itokelu ya muthu ya ambata mu ibangelu ya ku dijiba kuma ifutukisa o kubhanza kwa athu ni kuma o ngongo iza mwene o athu endakala ni kubanduluka mu kuzwela ni mu kwandala, akula ku woma ni ku wadyama, yai a ikola kala o kwandala kwavulu dingi kwa muthu.
00-03	Mu kutala kuma kyene kyawaba o kukulisa o kukula kwa kudibana kwa ukamba mukaxi kya jixi.
00-04	Mu kutala kuma mu mukanda wa athu wa jixi jadisokeka atangela lwamukwa o kixikinu kye mu itokelu ya dyanga ya muthu, mu kijingu ni kidunda kya muthu, mu kusokela kwa itokelu ya mala ni ahatu ni kuma atangela ni kukaka o kutenesa o kukuka kwa mundu ni abeka ixexilu ya mbote ya mwenyu mu ufolo wa kulu.
00-05	Mu kutala kuma o jixi jadisokeka asoto kikwatesu mu ku dibana ni phunga ya jixi jadisokeka, o kuxila kwa ngongo ni kititenesu kya itokelu ya muthu ni ya ufolo kwa dyanga.
00-06	Mu kutala kuma o kilunji kimoxi kya itokelu yi ni kubuluka yene ya kitenenu kya kulu lwavulu phala kubanga kyambote o kikalakelu kiki.
00-07	O kyonge kyoso kyatamena o kitangelu kiki kya ngongo kya itokelu ya muthu kuma o ilunji imoxi yasoko kubhixila ku mundu woso ni jixi joso phala ni kwandala kwa athu enyoso ni idyandu yoso ya kisangela kuma ala ni kitangelu kiki ku mixima abhanga jinguzu mukaxi dya kilongelu ni dya kibazelu, dya kukulisa o kuxila dya itokelu yi ni ufolo ni dya kikwatekesu bhukaxi dya itetulisu ya kulu ya ixi ni ya jixi jyengi, o kujya ni kukwatekesa mu ngongo yoso mu mundu wa jixi ja dibhundu ni mu ididi ya jixi jatokala mu kituminu kya.
01-00	KAKIBATU KA DYANGA
01-01	O athu woso avwala abhuluka ni kusokela mu kijingu ni mu itekelu. Ene ala ni ulungilu ni kilunji ni atokala kulaya kumoxi nya akwa mu mixima ya undandu.
02-00	KAKIBATU KA KAYADI
