00-00	Hakkiwa Adamganabe Dunya Ngaro Wowurtegenama
00-01	Adegaima tada adamganabebe nemngalwonze kambaata ade-a nemnduaso kalkalnze-a hakkiwanze Alanjo-ade shima ferno nemkambe-a jirebe-a nelefabe-aro dunya ngason asutena,
00-02	Adegaima hakkiwa adamganabero cistege ba-a fallakte-abe sawowuro kendowa halye kurzenyi waaze hangal adamganabero karega rozegena, kuru dunya duwo suron adamganasoye tamtam hakkinza manabe-a nzasarabe-a kuru nambe duwo dalil baaro cite-a jero-abede shima awo talaawaye temazana woro warmowote,
00-03	Adegaima awo meradetenade susu adamganaga dunon tekke nemzalem-a njokuno-a keriwutebedero howum maibeye hakkiwanzaga seliwodema,
00-04	Adegaima awo meradetenade tawaa-a nemkam-a indikate lardewaben haptaadema,
00-05	Adegaima ummawa Lardewa Tawakkata Dunyabeye suro Tawakamdeben kamburshenza kela hakkiwa adamganaben nanazaana, kela daraja-a nemngalwo-a adamganabe-a kela kamu-a kwa-a hakkinza kalkal-aben kasade gozana tamtam-a kendega ngela-a hapsaa nambe gayaga fandoro,
00-06	Adegaima Lardewa Memba Kaapkadebe woso wadega gozana, tawaa Lardewa Tawakkata Dunybemben, daaraja ndubeso haptaa-a hakkiwa adamganabe-a nambe gaya lajipte-a galtero,
00-07	Adegaima wade adega yitagatege nankaro hakkiwa-a nambe anyi-a asutade awoye gaya linta,
00-08	Ade Nankaro
00-09	Samno Kura Dunyabedeye
00-10	Hakkiwa Adamganabe
00-11	Dunya Ngaro Wowurtegena Adega
00-12	warmazege
00-13	shima mizan ummawa-a lardewa-a duksoye yitagattegebe wo, daji daryenzede ndu-a nduana-aso fellawan kunten, Wowur adega karegen roza, ndusoro yikkelio-a ilmutege-an hakkiwa-a nambe anyi-abe nemgayanza haptaaro, suro lardebe-a indikate lardewabe-ason ndusoye kalkalro asuze lajipse, suro ummawa Lardewa Memba Karapkadebe-a suro ummawa gade sediyanzalan dawuna-ason.
01-00	Babu 1
01-01	Adamgana woso kambe katambo ye daraja-a hakkiwa-ason kalkalye. Hankal-a nazaru-asoro kezepke ye suro hal nemharamiben kamazasoga letaiyin ye.
02-00	Babu 2
02-01	Hakkiwa-a nambe a suro Wowur adeben deganade ndu-a nduana-aso kartaa, gayirte futubibema baaro, gayirta alama jilibeso, kadigebeso, alagebeso, telambeso, adinbeso, siyasabeso au rayiwu, larde gade au kaduwu gade, kenganti, tambo au awowa laa gade anyiga samunzena.
02-02	Anyibe ngawoman nduma kela siyasaben kal, kentewoben kal au daraja dunyalabe sawawuro kal kerye au larde kamde deganabe sawawuro gayirtinba. Larde shi gultenama ade kermai kelanzeben karga, amanaro musko larde gadeben karga, kelanzelangenyi karga au sediya kaidawa kentewobe laan karga yaye kal.
03-00	Babu 3
03-01	Ndu yaye hakkinze kela ronze-a nemkambenze-a nelefa kelanze-aben mbeji.
04-00	Babu 4
04-01	Nduma kenji au kaliyaro tegandinba, nemkenjiro gerte-a kenji lado-aso awoste ye dapte ye.
05-00	Babu 5
05-01	Nduma njokunoso, nemkeladoso, shimaso, azawaso, genateginba.
06-00	Babu 6
06-01	Ndu yaye hakkinze ndaran yaye shiga kamro asutabe mbeji fuwu howumbelan.
07-00	Babu 7
07-01	Nduso fuwu howumben kalkal ye kuru gayirta baaro howumye sandiga seliwin ye. Nduso hakkinze nzeliwobe mbeji gayirtalan fallakte Wowur adebe sawawuro-a kela lan laa gade gayirtade nankaro waazena-alan.
08-00	Babu 8
08-01	Ndu yaye hakkinze selwu sandena mataabe mbeji shara rakkata lardebelan kela hakkinze gaya linta dusturye au howumye shiro cina namtenaben.
09-00	Babu 9
09-01	Nduma dalil baaro kentaso, jeroso, larden dutaso ba.
10-00	Babu 10
10-01	Ndu yaye hakkinze futu meradezenaro shiga shara napte kelanzebe walama baa ye jirea yebe kerentabe mbeji kela hakkinze-a kaidawanze-a kuru awowa gade shara zeganyi-a tawattaaben.
11-00	Babu 11
11-00	Ndu yaye ngawo ayawu sedenaben angerde hakkinze kawu shiro fuwu sharaben ngawo seliwo meradetena shiro sadenaben ayawunzega tawatsaginro.
11-01	Nduma kela awo abima genyiben ayawuro tetainba futubin waano yaye ayawude ayawuro walzenyiga, sediya howum lardeben au indikate lardewaben, sa ayawu ade tedenaladen. Biya genateginro walwono yaye ayawu saden tedenadega kozena genateginba.
12-00	Babu 12
12-01	Ndu kela baaro wujirwa kelanzebema, yalwanzebema, au lamar lenem-arenzebemaro ci tekinba, biya kela nemkamnze-a darajanze-abe nankaro fitenatinba. Ndu yaye hakkinze howumye shiga nzelifobe mbeji kela dalil baaro wujirwanzero ci nzekko-a fitenate-aben.
13-00	Babu 13
13-00	Ndu yaye hakkinze famno-a fato gar-abe mbeji suro derinemkelle larde ndasoben yaye.
13-01	Ndu yaye hakkinze lardebi yaye luwum koltebe mbeji, larde kaanzen kunten, kuru lardenzero waltaabe ye mbeji.
14-00	Babu 14
14-00	Ndu yaye hakkinze lardewa gaden nafaka nzeliwo kelanzebe nankaro mata-a fando-abe mbeji.
14-01	Hakki ade ayawuwa gade siyasaa letanyi au bigewa gade nya-a kasade-a Lardewa Tawakkata Dunyabea kela kelzanyiro faidatinba.
15-00	Babu 15
15-00	Ndu yaye hakkinze nemkam lardebenze mbeji.
15-01	Nduma dalil baaro nemkam lardebenze adega daptinba ye hakkinze duwo nemkam lardebenze faltebe yega daptinba.
16-00	Babu 16
16-00	Kamuwa-a kongawa-a wuraata angalla woso, kalangi abibema baaro jilibema, lardebema, au adin gadebema , hakkinza nyiya kendobe-a yal fandobe-aso mbeji. Sa nyiga kendobelan sandi indiso hakkinza kalkal kuru adegaima sa gadetebe ishiya ye.
16-01	Nyiyade sai kasada sandi indi kamude-a kwade-abe mbejilan duwo tedin.
16-02	Kendega kamun kwanbede shima badiyaram meradegata gaya ummabe wo kuru sandiga kendegaram-a kerye-ason selifode hakkinza.
17-00	Babu 17
17-00	Ndu yaye runzelaro razege gantode hakkinze kuru adegaima shi-a am-a keltem gantode ye.
17-01	Nduma dalil baaro razegenzega firtinba.
18-00	Babu 18
18-01	Ndu yaye hakkinze nazaru kendobe-a tawakarbe-a adinbe-a mbeji, suro hakki adeben nambe adinnze au nzasaranze faltebe-a nambe shi tilonze au suro jamuwubelan fetero au ashirlan adinze au nzasaranze yikkelio-a kendo-a abutte-a lajipte-alan tartaabe mbeji.
19-00	Babu 19
19-01	Ndu yaye hakkinze rayiwu-a bayan kendo-abe mbeji, suro hakki adeben nambe rayiwunze kalma baaro bayanjin kuru shilan nzera majin ye semoyin ye kuru hawarazegin futu hawarbe jilibin yaye kelangai baaro.
20-00	Babu 20
20-00	Ndu yaye hakkinze suro nelefaben samno sapta-a maamala kendo-abe mbeji.
20-01	Nduma dunon karapka kasatsenyiro nzekko ba.
21-00	Babu 21
21-00	Ndu yaye hakkinze suro gumnati lardenzebero ci nzekobe mbeji, shi kelanze au wokkilnze futu kalkallan kartenamben.
21-01	Ndu yaye hakkinze suro lardenzeben jamaro tunotobe mbeji.
21-02	Kasada jamabede shima ferte kentewo gumnatibero walze, kasada ade suro karno gondua ye jirebe ye larde kepson ndu-a nduana-asoye sedin ye kuru kuriya suro ashirlan au ashirga samunzenalan tedinbelan bayante.
22-00	Babu 22
22-01	Ndu yaye kela shi memba ummabeden, hakkinze nzeliwo-a asute-abe mbeji, kasade lardebemben au tawaa indikate lardewabemben futu fasal-a nyama-a lardedebe legatarro, razege-a nemkamnze-a tegalise baaro yita fuwutege.
23-00	Babu 23
23-00	Ndu yaye hakkinze cida kendobe mbeji, cida seragena karze kendo-a futu kaida sandenalan kendo-a kurumason kaidu cida babelan shiga nzetakawo-a.
23-01	Ndu yaye, gayirte futubibema baaro, hakkinze cida sedena legatarro shiga alutebe mbeji.
23-02	Ndu yaye cidama sedinga hakkinze awo aluteginmade shi-a yalwanze-a futu darajanza nemadamganabe legatarro sandiga cittennama alutegebe mbeji kuru nzera yaye nasha laa jamaro nafaka kenjobelan mbejiga diwijinba.
23-03	Ndu yaye hakkinze karapka cidawube koktabe au kelanze nzekkobe mbeji tamtam kelanzebe nzeliwo nankaro.
24-00	Babu 24
24-01	Ndu yaye hakkinze tusu-a kundushi kendo-abe mbeji, loktu cidabe angalbe kurzena-a batalla biyaa-a kunten.
25-00	Babu 25
25-00	Ndu yaye hakkinze futu kalkalro meradetenaro kendegabe nelefa-a kendega keji shi kelanze-a yalwanze-abe mbeji, hatta kembu-a kenza-a kazemu-a fato-a, kurun-a awowa gade tamtambe meradetenan kunten-a, kuru hakkinze shiga nzetkawobe mbeji wanee cidaba laa, kundondi laa, nemmaskin laa, nemkamba laa, ngeli kurwu laa au kendegaram kun-balinbe laaye shiro kenteri cuwutoga.
25-01	Ya kendewu-a tada tiwal-aso ngelaro cistege meradezana. Duli dukso, nyiyaa au nyiya baalan katambo yaye seliwo fandode hakkinza.
26-00	Babu 26
26-00	Ndu yaye hakkinze shiro ilmu kenjobe mbeji. Ilmu gultena ade de sulro tin, gananze yaye ilmu badiyarambe-a fuwunzebe meradetena-a. Ilmu badiyarambe gultena ade kenjonzede mburo walzena. Ilmu nzundube-a shanabe-ade ndarason mbeji ye tewandin yero tede kuru adegaima ilmu sandin fuwunbede ye ndusoye sewande kerajinro walze nategeye suwudiya.
