00-00	NZA-NGYAMUKUSU WU MISWA MI MUTU
00-01	Mu kibila ti luzabu lu nswa lu woso mutu, mkwa dikanda di bumutu, luidi mbandu kimpwanza, mbandu budedi ayi mbandu ndembama va ntoto;
00-02	Mu kibila ti bunzimbu ayi lulenzo lu miswa mi bumutu bin<control>natanga ku phangulu mavanga man<control>bayuwanga ku tsi-ntima bumutu, ayi mu kutala ti ngizulu yi nza yi bumutu bu kakuka mu matuba ayi mu ngwilukulu-zinzambi, ayi bu kakuk<control>eso mu themosono batu ayi mu buya-buphasi, yawu iyamukusu ti ngudi-lutia lu woso mutu;
00-03	Mu kibila ti lukaku lu miswa mi bumutu mu ngolo yi butinu bu mikaka nkinza bene luidi, phasi mutu kabika kutisu kulanda nzila nganzi yi lubayusu lu mtinu ayi lubayusu lu lubyefomo;
00-04	Mu kibila ti msamu-ngudi bene ndatusu ntwala yi bukundi ayi ngwizunu yi zitsi zioso;
00-05	Mu kibila ti mu Pfumu-Mkanda, zitsi zioso zi kinvuka ki Zitsi Zibundana zin<control>yamikis<control> eso diana ayi kivuvu kiawu mu ngudi-minswa mi bumutu, mu bunswa ayi mu buzitu bu bumutu, mu budedi bu kinswa kitedi kuidi babakala ayi kuidi bakhieto; Ayi mu kutala ti baboso bakikinini kuvanga madi nkinza ayi kunata-ntwala mu luzingu lwawu kimpwanza ki m<control>nene;
00-06	Mu kibila ti Batinu boso bangu kinvuka ki Zitsi Zibundana babundidi-thulu mu ngwakunu ayi M<control>Yadi kinvuka ki Zitsi zi Bundana mu kusadila lukaku ayi thumunu yi miswa ayi yi maluve ma mutu ayi mvandi bumpwanza bungudi bu mutu;
00-07	Mu kibila ti ndedokosolo kuidi baboso yi mbadulu yi miswa ayi yi bumpwanza bene bu mutu nkinza yidi, mosi mbwakusulu yi dikanu bene yi baka buku bela;
00-08	MTINU-LUKUTUNGUNU Wun<control>yamikisa NGYAMUKUSU YI MISWA MI MUTU<control> emimi, dede lukanu lun<control>sadulu kuidi zinvila ayi zitsi zioso, mosi batu boso ayi binvuka biluyalu bi zitsi zioso, bu ba-mi-tebukila monho, basia-ngolo mu-ku-mi-yiyisa mu zinzo-zinkanda, mu-ku-mi-tumina ayi mu-kwe-mi-yonzulanga mu mavanga ma basi tsi-awu ayi mu mavanga ma basi bandi-batu, bakhembo basi kinvuka ki Zitsi Zibundana.
01-00	LUTUMU-MSWA LUTHETI
01-01	Bizingi bioso bisiwu ti batu bambutukanga mu kidedi ki buzitu ayi kibumswa. Bizingi-bene, batu, badi diela ayi tsi-ntima, bafwene kuzingila mbatzi-na-mbatzi-yandi mu mtima bukhomba.
02-00	LUTUMU-MSWA LUM<control>MWADI
02-01	Batu boso babeki dilwaku di kutatila miswa ayi maluve ma-mayamukusu mu MTINU-NGYAMUKUSU<control> ewiwi, mu kukhambu vengula woso mutu, keti mu matedi phila ndimba mkand<control> andi yi nhitu, evo mu matedi bukhieto evo bubala bwandi, evo mu matedi mbembo andi, evo phila nzambi andi, evo mu matedi phila politik<control>andi, evo phila kingudi kiandi, evo mu kibila kinkaka.
02-02	Ayi vala-sa-siwu luswasunu ko mu kibila ki tswasunu thadulu politika yi batu mu zitsi, evo mu kibila ki tswasunu mswa-nzitumunu yi batu-batu mu zitsi, voti mu kibila ki luswasunu lu mbutukulu evo lu khadulu mutu mu phila-phila tsi, yi kimpwanza, evo yin<control>talu kuidi tsi mka, voti tsi ikoso mu tsi mka.
03-00	LUTUMU-MSWA LUN<control>TATU
03-01	Woso mutu widi mswa kuzinga, ku-yi-yadila na veka mu kimpwanza ayi kuzinga mu lufiatu.
04-00	LUTUMU-MSWA LUN´YA
04-01	Kwisi ko mutu wala siwu mu buvika; Buvika ayi phila mambu moso matedi buvika bikanduku.
05-00	LUTUMU-MSWA LUN<control>TANU
05-01	Kwisi ko mutu wala tulu mu thovokolo evo mu phasi zimakhemi, zi-kun<control>kitisa bumutu bwandi.
06-00	LUTUMU-MSWA LUN<control>SAMBANU
06-01	Batu boso badi na mswa u-lenda ku-ba-zitusu mu mambu moso matedi bunhitu-mswa bwawu.
07-00	LUTUMU-MSWA LUTSAMBWADI
07-01	Batu boso badedakana mu mikaka ayi miswa mi luyalu, mu kukhambu swasunu, badi dede mu butanunu va thalu mswa-mtinu. Baboso badi dede mu luve lu kutanunu vadi loso luswasunu lumbayisa NZA-NGYAMUKUSU<control> eyiyi ayi vadi mavanga moso ma bundima kuidi NGYAMUKUSU<control> eyiyi.
08-00	LUTUMU-MSWA LUNANA
08-01	Woso kwa mutu widi na luve lu ku-bwe-tomba kusamba mambu mandi mu zinzo zim<control>kanu zi-vyakana, dede buntumina buka-nkanu yi tsi andi.
09-00	LUTUMU-MSWA LUVWA
09-01	Kuisi ko mutu fwene kubwilu, kukangu evo ku-kukusu mu khambu ku kibila ki tungu.
10-00	LUTUMU-MSWA LUKUMI
