00-00	se gye in gweon seon eon
00-01	modeun inryu guseongweonyi ceonbuyi joneomseonggwa dongdeunghago yangdohal su eobsneun gweonrireul injeonghaneun geosi segyeyi jayu, jeongyi mic pyeonghwayi gicoimyeo,
00-02	ingweone daehan musiwa gyeongmyeoli inryuyi yangsimeul gyeogbunsikineun manhaengeul coraehayeosseumyeo, ingani eonrongwa sinangyi jayu, geurigo gongpowa gyeolpibeurobuteoyi jayureul nuril su issneun segyeyi doraega modeun saramdeulyi jigohan yeolmangeuroseo ceonmyeongdoeeo wasseumyeo,
00-03	ingani pogjeonggwa eogabe daehanghaneun majimag sudaneuroseo banraneul ileukidorog gangyobadji anheuryeomyeon, beobe yihan tongcie yihayeo ingweoni bohodoeeoya haneun geosi pilsujeogimyeo,
00-04	guggagane uhogwangyeyi baljeoneul jeungjinhaneun geosi pilsujeogimyeo,
00-05	gugjeyeonhabyi modeun saramdeuleun geu heonjangeseo gibonjeog ingweon, inganyi joneomgwa gaci, geurigo namnyeoyi dongdeunghan gweonrie daehan sinnyeomeul jaehwaginhayeosseumyeo, boda pogneolbeun jayusogeseo sahoejeog jinbowa boda naeun saenghwalsujuneul jeungjinhagiro dajimhayeossgo,
00-06	hoeweongugdeuleun gugjeyeonhabgwa hyeobryeoghayeo ingweongwa gibonjeog jayuyi bopyeonjeog jonjunggwa junsureul jeungjinhal geoseul seuseuro seoyaghayeosseumyeo,
00-07	ireohan gweonriwa jayue daehan gongtongyi ihaega i seoyagyi wanjeonhan ihaengeul wihayeo gajang jungyohameuro,
00-08	ie,
00-09	gugjeyeonhabconghoeneun,
00-10	modeun gaeingwa sahoe gag gigwani i seoneoneul hangsang yunyeomhamyeonseo hagseub mic gyoyugeul tonghayeo ireohan gweonriwa jayue daehan jonjungeul jeungjinhagi wihayeo noryeoghamyeo, gugnaejeog geurigo gugjejeogin jeomjinjeog jocireul tonghayeo hoeweongug gugmindeul jasingwa geu gwanhal yeongtoyi gugmindeul saieseo ireohan gweonriwa jayuga bopyeonjeogigo hyogwajeogeuro insigdoego junsudoedorog noryeoghadorog hagi wihayeo, modeun saramgwa guggaga seongcwihayeoya hal gongtongyi gijuneuroseo i segyeingweonseoneoneul seonpohanda.
01-00	je 1 jo
01-01	modeun inganeun taeeonal ddaebuteo jayuroumyeo geu joneomgwa gweonrie isseo dongdeunghada. inganeun ceonbujeogeuro iseonggwa yangsimeul buyeobadasseumyeo seoro hyeongjeaeyi jeongsineuro haengdonghayeoya handa.
02-00	je 2 jo
02-01	modeun sarameun injong, pibusaeg, seong, eoneo, jonggyo, jeongcijeog ddoneun gitayi gyeonhae, minjogjeog ddoneun sahoejeog culsin, jaesan, culsaeng ddoneun gitayi sinbungwa gateun eoddeohan jongryuyi cabyeoli eobsi, i seoneone gyujeongdoen modeun gweonriwa jayureul hyangyuhal jagyeogi issda.
02-02	deo naaga gaeini soghan gugga ddoneun yeongtoga dogribgug, sintagtongcijiyeog, bijacijiyeogigeona ddoneun jugweone daehan yeotayi jeyageul badneunyae gwangyeeobsi, geu gugga ddoneun yeongtoyi jeongcijeog, beobjeog ddoneun gugjejeog jiwie geungeohayeo cabyeoli isseoseoneun anidoenda.
03-00	je 3 jo
03-01	modeun sarameun saengmyeonggwa sinceyi jayuwa anjeone daehan gweonrireul gajinda.
04-00	je 4 jo
