00-00	Ristikanzan oigevuksien yhtehine deklaratsii
00-01	Huomivoh ottajen, ku kaikile ristikanzoin pereheh kuulujile ominazen arvontunnon da niiloein taza-arvozien da jagamattomien oigevuksien tunnustamine on vaellyoen, oigevuksen da yhtehizen rauhan perusteh; da
00-02	huomivoh ottajen, ku ristikanzan oigevuksien halveksindu da vaeheksindy suatettih varvartoimenpidoloih, kuduat nostatettih suuttumistu rahvaskunnan icentunnos, da ku moizen muailman luadimine, kuduas rahvahil roihes sanan- da lujan uskon vaellys da kuduas rahvas roitah vaellaet varavos da hiaes, on sanottu julgi kui ristikanzoin korgei tahto; da
00-03	huomivoh ottajen, ku ristikanzan oigevuksii vaeltaemaettaeh pidaey puolistua zakonan vallal, ku ristikanzal ei pidaes nosta jaelgimaei tiranijua da vuardamistu vastah; da
00-04	huomivoh ottajen, ku pidaey kannattua ystaevaellizii suhtehii eri kanzoin vaelil; da
00-05	huomivoh ottajen, ku Yhtistynnyzien Kanzukundien rahvas lujoitettih Ustuavas oma usko ristikanzan perustehellizih oigevuksih, ristikanzan persounallizuon arvoh da miehien da naizien yhtenarvozuoh da piaetettih auttua sotsiualistu progressua da elaijan ololoin parandamistu suurembas vaellyoes; da
00-06	huomivoh ottajen, ku valdivot-jaesenet uskaldettih Yhtistynnyzien Kanzukundien Organizatsien yhtehizes ruavos auttua kaikkien mitkunnivoiccemistu da ristikanzan oigevuksien da perusvaellyzien silmael piendiae; da
00-07	huomivoh ottajen, ku naemien oigevuksien da vaellyzien yhtehizel ellendaemizel on ylen suuri merkicys taemaen vellallizuon taeyttaemizekse,
00-08	Ylehine Assamblei,
00-09	sanou julgi taemaen Ristikanzan oigevuksien yhtehizen deklaratsien tavoittehennu, kuduan taeyttaemisty vaeltaemaettaeh pidaey tavoitella kaikil kanzoil sikse, ku jogahine ristikanzu da yhteiskunnan joga elin, taedae Deklaratsiedu alalleh silmael pidaejen, pyrgiettaes opastamizen da tiijon levittaemizen kauti auttamah nenien oigevuksien da vaellyzien kunnivoittamistu, kanzallizien da kanzoinvaelizien progressivizien pidoloin kauti autettas nenien oigevuksien da vaellyzien yhtehisty da effektiivistu tunnustamistu da todevuttamistu kui Organizatsien valdivo-jaesenien, mugai niiloein kanzoin alovehel, kuduat ollah sen jurisdiktsien vallan al.
01-00	1. stat’t’u
01-01	Kai rahvas roittahes vaellinny da taza-arvozinnu omas arvos da oigevuksis. Jogahizele heis on annettu mieli da omatundo da heil vaeltaemaettaeh pidaey olla keskenaeh, kui vellil.
02-00	2. stat’t’u
02-01	Jogahizel ristikanzal pidaey olla kai taes Deklaratsies julgi sanotut oigevukset da kai vaellyoet, eroloi huolimata, oldahes net rodu, nahkan vaeri, sugupuoli, uskondo, poliittizet libo toizenmoizet uskot, rahvahalline libo sotsiualine roinduperae, omazus-, soslouvii- libo toizet tilat.
02-02	Paici sidae, ei voi olla nimittumua eruo sen muan libo alovehen poliittizen, kanzoinvaelizen libo oigevuksen stuatusan perustehel, kuduale kuuluu ristikanzu, sidae huolimata olgah se aloveh rippumatoi, huolenpivon alaine, vallanalaine libo kuitahto toizin omis oigevuksis puolendettu.
03-00	3. stat’t’u
03-01	Jogahizel ristikanzal on oigevus elaigah, vaellyoeh da persounallizeh koskemattomuoh.
04-00	4. stat’t’u
04-01	Nikedae ei sua pidiae orjannu libo vallanalazennu; orjien piendy da myoendy ollah kielletty kaikis muodolois.
05-00	5. stat’t’u
05-01	Nikedae ei sua muokata libo kaeyttiae julmii, ebaegumannoloi libo haenen arvuo alistujii nakazaanieloi.
06-00	6. stat’t’u
06-01	Jogahizel ristikanzal, olgah haei hos kus, ollah oigevukset da juriidizet vellallizuot, haei voibi kaeyttiae nenii oigevuksii da taeyttiae juriidizii vellallizuksii.
07-00	7. stat’t’u
07-01	Kai rahvas ollah taza-arvozet zakonan ies da jogahizel on oigevus, eroloi huolimata, taza-arvozeh oigevuksen puolistamizeh. Kaikil rahvahil on samanlaine oigevus samanarvozeh puolistamizeh mittumastahto taedae Deklaratsiedu rikkojas diskriminatsies da kuduastahto taemaenmoizeh diskriminatsieh kuhkutandas.
08-00	8. stat’t’u
08-01	Jogahizel ristikanzal on oigevus kanzallizien toimivaldusuudoloin effektiivizeh oigevuksien jaerilleh suandah, ku konstitutsieh libo zakonah kirjutetut perusoigevukset olla rikottu.
09-00	9. stat’t’u
09-01	Nikedae ei sua arestuija, ottua kiini libo ajua iaeres omavaldazesti.
10-00	10. stat’t’u
10-01	Jogahizel ristikanzal haenen oigevuksien da vellallizuksien miaerittelemizekse da haenele azetetun pahanruadosyyttehen perustallizuon selvilesuandakse on oigevus taevvellizen tazaverdazuon perustehel sih, ku haenen dieluo kaccos julgi da kaikkii zakonanmugazuon vuadimuksii taeyttaejes rippumatoi da tazapuoline suudo.
11-00	11. stat’t’u
11-00	Jogahizel ristikanzal, kuduadu viaeritetaeh pahanruavos, on oigevus olla viaeraettoemaenny sissaeh, kuni haenen viaeryoen ei tovesteta zakonallizesti moizen julgizen suudodielon kaccelemizen perustehel, kuduan aigah haenele rodieu turvattu mahto puolistukseh.
11-01	Nikedae ei sua suudie pahanruavos mittumantahto ruavon luadimizen perustehel libo ruadamata olemizes, kuduat niiloein luadijes ei oldu pahanruadoloinnu kanzallizien libo kanzoinvaelizien zakonoin mugah. Nakazaaniel sezo ei sua olla suurembi, migu se, kudai olis kaeytetty silloi, konzu pahanruado oli luajittu.
12-00	12. stat’t’u
12-01	Niken ei voi jouduo alazekse, ku haenen persounallizeh da perehelaigah segavuttas, omavaldazesti opittas kuovata haenen elaendysija, kyzymaetae lugiettas haenen korrespondentsiedu libo yritettaes alendua haenen kunnivuo da rikkuo mainehtu. Jogahizel ristikanzal oli oigevus suaha puolistustu zakonan mugah moizes segavumizes libo sen yrityksis.
13-00	13. stat’t’u
13-00	Jogahizel ristikanzal on vaellyoigevus siirdyoe da vallita icelleh elaendykohtu tietyn valdivon rajois.
13-01	Jogahizel ristikanzal on oigevus laehtie kuduastahto muas, luguh ottajen oma mua, da kiaendyoe jaerilleh.
14-00	14. stat’t’u
14-00	Jogahizel ristikanzal on oigevus eccie turvupaikkua toizis mualois da kaeyttiae sidae turvupaikkua.
14-01	Taedae oigevustu ei sua kaeyttiae tagahajamizes, ku toven sen perustehennu on ebaepoliittine pahanruado, libo tego, kudai ei sovi Yhtistynnyzien Kanzukundien Organizatsien tavoittehih da printsippoih.
15-00	15. stat’t’u
15-00	Jogahizel ristikanzal on oigevus kanzallizuoh.
15-01	Nikes ei sua vaegivaldazesti ottua kanzallizuttu, nikel ei ole oigevustu vaegivaldazesti muuttua kanzallizus.
16-00	16. stat’t’u
16-00	Taeyzi-igaezikse tulluzil miehil da naizil on oigevus ilmai mittumiitahto rajoituksii rovun, kanzallizuon libo uskondon perustehel mennae kirjoih da perustua oma pereh. Heil ollah yhtenmoizet oigevukset kirjoihmennes, kirjoihmendyy yhtes elaejes da erottuu.
16-01	Kirjoihmenendy voibi tapahtuo vai silloi, konzu mollembat kirjoih menijaet taevvelleh da omal mieleh tahtotah sidae.
16-02	Pereh on yhteiskunnan luonnolline piaesolu da sil on oigevus puolistamizeh yhteiskunnan da valdivon puoles.
17-00	17. stat’t’u
17-00	Jogahizel ristikanzal on oigevus omistua omazuttu kui yksinaeh, mugai yhtes toizienke.
17-01	Nikel ei sua vaegivaldazesti kiskuo haenen omazuttu.
18-00	18. stat’t’u
18-01	Jogahizel ristikanzal on mielien, icentunnon da uskon vaellyoen oigevus; sih oigevukseh kuuluu vaellys muuttua oma usko da mielet da vaelly kannattua omua uskuo libo mielii kui yksinaeh, mugai yhtes toizienke, julgizesti libo yksittaein opastujes, jumalanpalvelukses da uskondollizii da ritualutoimituksii pidaejes.
19-00	19. stat’t’u
19-01	Jogahizel ristikanzal on mielien vaellyoen da niiloein sanondan oigevus; sih oigevukseh kuuluu vaellys estiettoemaesti kannattua omii mielii da vaellys eccie, suaja da levittiae informatsiedu da idejoi kaikin tavoin da valdivollizii rajoloi huolimata.
20-00	20. stat’t’u
20-00	Jogahizel ristikanzal on rauhallizien keraehmoeloein da assotsiatsieloin oigevus.
20-01	Nikedae ei sua vaegehes potakoija liittymaeh mittumahtahto assotsiatsieh.
21-00	21. stat’t’u
21-00	Jogahizel ristikanzal on oigevus ottua ozua oman muan haldivoicendah kohtinazesti libo vaellaesti vallittuloin edustajien kauti.
21-01	Jogahizel ristikanzal on valdivollizeh palveluh tazaverdazen piaezyn oigevus omas muas.
21-02	Rahvahan vallal pidaey olla hallicuksen vallan perustehennu; tael vallal pidaey tulla ilmi aiguvaelizis da ebaefal’sifitsiiruittulois vallicuksis, kudamii pidaey pidiae yhtehizen da taza-arvozen vallicusoigevuksen mugah peitollizen iaenestaendaen kauti libo toizien samanarvozien keinoloin kauti, kuduat uskaldetah iaenestaendaen vaellytty.
22-00	22. stat’t’u
22-01	Jogahizel ristikanzal, kui yhteiskunnan ozanottajal, on oigevus sotsiualizeh turvuamizeh da haenen arvon kannattamizekse da persounan vaellaen kehityksen hyvaekse tarvittavien oigevuksien todevuttamizeh ekonoumizel, sotsiualizel da kultuurizel alal kanzallizien vaegiloein da kanzoinvaelizen yhtehizen ruavon kauti da jogahizen valdivon struktuuran da resursoin mugah.
23-00	23. stat’t’u
23-00	Jogahizel ristikanzal on ruado-oigevus, oigevus vaellael vallita ruado, oigevus oigieloih da sobizih ruado-ololoih da ruavottomuos vardoiccemizeh.
23-01	Jogahizel ristikanzal ilmai mittumuatahto diskriminatsiedu on oigevus taza-arvozeh palkah samanverdazes ruavos.
23-02	Jogahizel ruadajal ristikanzal on oigevus oigieh da vaeltaevaeh palkah, kudai turvuas ristikanzale paettaevaen olemasolemizen haenele da haenen perehele, da kudai tarbehen mugah taevvendettaes sotsiualizen turvuamizen toizil varoil.
23-03	Jogahizel ristikanzal on oigevus perustua ammatillizet liitot da liittyoe ammatillizih liittoloih omien eduloin puolistamizekse.
24-00	24. stat’t’u
24-01	Jogahizel ristikanzal on huogavundan da joudavan aijan oigevus, sen luvus motiviiruittun ruadopaeivaen puolendamizen da aiguvaelizen palkatun loman oigevus.
25-00	25. stat’t’u
25-00	Jogahizel ristikanzal on oigevus moizeh elaijan tazoh, luguh ottajen syoemizet, sovat, elaendykohtu, meedikkupalvelu da tarvittavu sotsiualine palvelu, kudai on tarvittavu tervehyoen da haenen da haenen perehen toimehtuloh niskoi, da oigevus turvuamizeh ruavottomuon, voimattomuon, niistiekse puutundan, leskevyndaen, vahnuon da toizen tapahtuman varakse, kuduan periae ristikanzu haenes rippumattomien syyloein periae jiaey ilmai tomehtuloloi.
25-01	Muamazus da lapsus annetah oigevuksen eriluaduzeh huoldoh da abuh. Kaikil lapsil, kuduat on suadu kirjoisolos libo ilmai sidae, pidaey olla yhtenmoine sotsiualine puolistus.
26-00	26. stat’t’u
26-00	Jogahizel ristikanzal on oigevus opastundah. Opastundu pidaey olla ilmaine vaehimytteh sit, mi koskou algu- da keskiopastundua. Alguopastundu pidaey olla vaeltaemaetoei. Tehnizel da ammatillizel opastundal pidaey olla kaikile suadavis, da korgiel opastundal pidaey olla yhtenjyttyoeh suadavis kaikkih niskoi jogahizen neroloin perustehel.
26-01	Opastundua pidaey ohjata ristikanzan persounan taevvellizeh kehittaemizeh da ristikanzan oigevuksien da perusvaellyksien kunnivoittamizen suurendamizeh. Opastundal pidaey auttua keskinaesty ellendaemisty, tirpamistu da kaikien kanzoin, roduloin da uskondollizien joukkoloin vaelisty ystaevytty, da sil pidaey auttua Yhtistynnyzien Kanzukundien Organizatsien ruaduo rauhan saeilyttaemizekse.
26-02	Vahnembil on eduoigevus opastundan muvvon vallicendas omih vagahazih lapsih niskoi.
27-00	27. stat’t’u
27-00	Jogahizel ristikanzal on oigevus vaellael ottua ozua yhteskunnan kultuurizeh elaigah, suaha hyviae kieldy taijos, yhtyoe tiedoalan progressah da kaeyttiae hyvaekse sen hyvii.
27-01	Jogahizel ristikanzal on oigevus haenen moizien moraalizien da ainehellizien eduloin puolistamizeh, kuduat ollah haenen luajittuloin tiedo-, literatuuran libo taidoalan tevoksien tuloksennu.
28-00	28. stat’t’u
28-01	Jogahizel ristikanzal on oigevus sotsiualizeh da kanzoinvaelizeh kundoh, kuduan mugah taeh Deklaratsieh kirjutetut oigevukset da vaellyoet voidas todevuo taevvelleh.
29-00	29. stat’t’u
29-00	Jogahizel ristikanzal on vellallizuksii yhteiskunnan ies, vai sit voi tapahtuo vaelly da taevvelline haenen persounan kehitys.
29-01	Omii oigevuksii da vaellyzii todevuttajes jogahistu ristikanzua kohti voibi kaeyttiae vai moizii rajoituksii, kuduat ollah miaeraetty zakonal juuri sih niskoi, ku olis turvattu tarvittavu toizien oigevuksien da vaellyzien tunnustamine da kunnivoittamine da oldas taeytetty zakonanmugazet moralin, yhteiskunnallizen kunnon da yhtehizen toimehtulemizen vuadimukset demokruattizes yhteiskunnas.
29-02	Nenien oigevuksien da vaellyzien todevuttamine nikonzu ei voi olla risturiijas Yhtistynnyzien Kanzukundien Organizatsien piaetavoittehien da printsipoinke.
30-00	30. stat’t’u
30-01	Ni mi taeh Deklaratsieh kirjutettu ei voi olla sellitetty, kui kudualetahto valdivole, rahvasjoukole libo erillizile rahvahile annettu oigevus toimie mittumaltahto alal libo luadie midaetahto taeh Deklaratsieh kirjutettuloin oigevuksien da vaellyzien haevittaemizekse.
