00-00	Ku Kolong ko ka kuloho ko ka woo yo wo Kafaydo
00-01	Ba masimoko, yiki mene/ing thiiya ba manding ka bonsong ba ka biya-meting, wuna madenketima kuyankang, thiiya ing mathebeng ka faydo fooma, Ba maniyo maka biya-meti mathonkoy ka bi tooni nameng, ba sisa thore ing manakasi ka tha thukuma tha ka biya-meting be luke ka faydo ba bing sisa mathebeng in magbonkoli malohoy, ka thana paliyande, wung sise heleng thapeng tha boye ka biya-meting hutete
00-02	Ba wung kondee niyo wu lohoy mene wometi kondee pithita ba wunde hukotho ma niyo makanamang ka muruthe wo fung wunde.
00-03	Baana sethiniyo wunde, thiiya ba ka wometi konde niyo ka thong bang fooma.
00-04	Wung koloho ba kating tande mathimiyande ka biya-meti fooma ka faydo. Hugbongho ka faydo fooma, ho doma na Unayted Neson, kosiniyoko ka kulaniya ko kolo.
00-05	Ba kotho thiiya mene, sembe ing makahi ma ka wometi, e wung tengiyande ka thiiya ba bayapeng ing yeremeng be kosiniyoko ba lukande hugbong hungthe ba sisa kuyankang, wu niyo malukunade maka ngakeken foma adunkunokoy ka tha banthe, wung niyo lukande ing ngakeken fooma ngugbong ho thante hang, ho doma na Unayted Nesons, ba kctho thiiya ba ka wometi.
00-06	Wung tongong na kperekethe, ka doma, na masimoko ma thiiya mene kuyankang mena ma gbeng ka ma dungunoko mamang.
00-07	Mawuma
00-08	Mapenkande mangfooma tepe na
00-09	Kukulong koka kuloho koka woo yo wo ka faydo, ona biya bohitande maka biya-meti ka faydo fooma, ka wu manke woo yo wo ba boha ku kolong kongko ka huthukuma nama hang wunde ba boha sobe bathaniya mene ba sisa yiki ing thiiya ka biya be lukande fooma ka faydo, ba kitiye woo yo wo kama sethiniyo ma wunde sethinya ka faydo mang.
01-00	1. Malukunande Malenke mang
01-01	Biya-meti fooma be kiyo ka kuyankang ing kasembe mene in ka yiki. Binde king ba niyo in masimoko, maka yiina wo ka hu wendi yande.
02-00	2. Malukunande Maale Mang
02-01	Woo yo wo king kuloho mene kuyankang ka kulon ko. Wunde ka ba fakinande woo yo wo kama neki ma wunde neke ing toonamang, niyong wo panke, wo bolo, wo fufe, mindo sinthe fooma, ming king ku loho ko kentu.
03-00	3. Malukunande Mataati mang
03-01	Woo yo wo king ing feera ba niyo ing sii, ekuta kuyankang, e wunde pamo.
04-00	4. Malukunande Mamanang mang
04-01	Wometi ka ba boho ka hu waline, e niyo gbon, e niyo thoro. Huwaline king ba tana niyo ka biya-meti hutete.
05-00	5. Malukunande Masoohi mang
05-01	Woo yo wo kaa ba niyo nakasi, ing thoro mang mama wo ka feli.
06-00	6. Malukunande Masong-manthe mang
06-01	Woo yo wo king maloho ba kothiyo kame wo kame nong tepee thong ba.
07-00	7. Malukunande Masong Maale mang
07-01	Biya-meti fooma king singthe ka thon bang, kufakande ka hutete kanameng ba pamo ing thong bang, ba thana fakinande, wu sisi mateti ka ku kolongko ing ba pamoko wooning sisiye thoro.
08-00	8. Malukunande Masonka-taati mang
08-01	Woo yo wo kin feera hang ba koo wukahe e bangina ba thonkoy ba wo ba niyo bang, wuna thong bang kahati.
09-00	9. Malukunande Masoong-manang Mang
09-01	Woo yo wo ka dorong ba neko bakpon e boho, e thiyo ka hukpolon, mene ba kantho ka kekeng ko kiyo wunde ko.
10-00	10. Malukunande koohi mang
10-01	Woo yo wo king in feera ba kosingino ka wuthunbe ing bakosongni be ka kuyankang mene be thunbe ba dethiwa kuloho ko kanamang mene wunde bohitoko ing thong bang.
11-00	11. Malukunande Koohi-ing manthe mang
11-01	Woo yo wo, wo kata ka kubasi, wunde ka ba thongkino thaa niyo kosingino nong na tepe thong ba na, e wunde dunkuno feera ba kosingina.
11-02	Woo yo wo kaa ba dunkuno kuthongko ka thon ba thaa niye kiyo ka keken nama ko, o thuhang mandi kama loko ma boho wunde, tongiyo kasi ba dangande kasi bande ka thong ba kama loko ma bohito waawo beng ma.
12-00	12. Malukunande Koohi-ing Kaale mang
