00-00	DICIARASION UNIVERSALE DI DRITI DE PERSONN-E
00-01	Consciderou che o riconoscimento da propia dignitae e di driti paegi e inalienabili de tutti i menbri da famiggia umann-a o l’e o fondamento da libertae, da giustisia e da paxe into mondo,
00-02	Consciderou che a negasion e o desprexo di driti de personn-e an acaxonou di atti de barbaritae che an ofeizo a coscensa de l’umanitae; e che l’e staeto proclamou comme ciu erta aspirasion de l’ommo l’arivo de ’n mondo into quae tutti, liberae da-a poia e da-a mizeia, goedian da libertae de parolla e de creddo,
00-03	Consciderou che l’e esensiale che i driti de personn-e segian protezui da de lezze giuridiche perche l’ommo o no s’atreuve costreito, in urtima istansa, a-a rebelion contra a tirania e l’oprescion,
00-04	Consciderou che l’e esensiale promeuve o sviluppo de de relasioin da amixi fra e nasioin,
00-05	Consciderou che i popoli de Nasioin Unie an afermou into seu Statuto a seu fede inti driti fondamentali de personn-e, inta dignitae e into valo da personn-a umann-a e inti driti paegi d’ommi e donne, e an determinou a promosion do progresso sociale e de ’n megio livello de vitta inte ’n ciu erto graddo de libertae,
00-06	Consciderou che i Stati Menbri se son conpromissi a asegua, in cooperasion co-e Nasioin Unie, a promosion do rispetto universale e l’oservansa di driti de l’ommo e de libertae fondamentali,
00-07	Consciderou che ’na concesion comun de questi driti e libertae a l’e da ciu grande inportansa pe l’intrega realizasion de questi conpromissi, l’asenblea generale, aloa,
00-08	a proclamma a prezente Diciarasion Universale di Driti de Personn-e, comme ideale comun pe-o quae tutte e gente e e nasioin gh’an da sforsase, de moddo che ogni individoo e ogni istitusion, into tegnila de longo a memoeia, promeuvan, atraverso l’insegnamento e l’educasion, o rispetto pe questi driti e libertae, e con de mezue progrescive nasionali e internasionali n’aseguen o riconoscimento e l’aplicasion universali e efetivi, segge fra i popoli di Stati Menbri che fra quelli di teritoei sotta a seu giurisdision.
01-00	Articolo 1
01-01	Tutte e personn-e nascian libere e paege in dignitae e driti. Son dotae de raxon e coscensa e gh’an da agi l’unn-a verso l’atra inte ’n spirito de fradelansa.
02-00	Articolo 2
02-01	Ogni personn-a a gh’a tutti i driti e e libertae proclamae inte questa Diciarasion, sensa nisciunn-a distinsion de razza, co, sesso, lengoa, religion, opinion politica o d’atro tipo, origine nasionale o sociale, poxision economica, nascimento, o quae se segge atra condision.
