00-00	LISAKOLI YA MOLONGO YA MAKOKI YA MOTO
00-01	Na botalaka ’te kondima limemya ya bato nyonso ya molongo mpe makoki ma bango oyo ezali ndenge moko mpe bakoki kopimela moto te ezali ntina ya bonsomi, bosembo mpe kimya kati ya molongo. Na botalaka ’te komona mpamba mpe koboya kotosa esengeli ya moto ebatelama na bokonzi ya bosembo mpo ’te, na sima yango, moto akoma na botomboki esongo na minyokoli te,
00-02	Na botalaka ’te esengeli kolendisa boyokani na kati ya bikolo,
00-03	Na botalaka ’te na kati ya Mokanda ya Mibeko ya Lisanga ya Bikolo ya Molongo, bato ya molongo bayebisi lisusu lolenge bandimi maloki ya ntina ya moto, limemya mpe lokumu ya moto, bokokani ya makoki ya basi mpe babali mpe na botalaka ’te bango bayebisi ’te bazwi mokano ya kobongisa ezaleli ya moto mpe kosala ’te moto azwa bomoi malamu mpenza na kati ya bonsomi ya monene mpenza,
00-04	Na botalaka ’te kozala bato nyonso na makanisi ndenge moko mpo na makoki mpe bonsomi yango, ezali na ntina monene mpo ’te oyo bakani elonga,
00-05	Likita monene ezali koyebisa Lisakoli ya molongo oyo ya makoki ya moto lokola eloko oyo bato mpe bikolo nyonso balingi bazwa, mpo ’te bato mpe mangomba nyonso, na bobatelaka ntango nyonso Lisakoli yango na motema, basala makasi na boteyi mpe bokolisi bwanya, mpo ’te makoki mpe bonsomi yango etosama mpe basala ’te bandima mpe basaleli yango na bosolo mpenza na molongo mobimba, ezala na kati ya bato ya Bikolo ya Lisanga bango moko to na kati ya ekolo mpe molongo mobimba.
01-00	ETENI YAMBO (1)
01-01	Bato nyonso na mbotama bazali nsomi mpe bakokani na limemya mpe makoki. Bazali na mayele mpe basengeli kovanda na bondeko o kati na bango.
02-00	ETENI YA 2
02-01	Moto nyonso azali na makoki mpe bonsomi nyonso oyo elimbolami na kati ya Lisakoli oyo, bokeseni ata moke te, na mambi matali lomposo ya nzoto, bomwasi to bobali, lokota, lingomba ya nzambe, makanisi ya politiki to ya ndenge mosusu, ekolo to lingomba ya bato, bokulaka, mbotama to makambo mosusu.
02-02	Epai mosusu, na botalaka eloko ya moto, epikisami kosala bokeseni na mambi matali mibeko ya politiki, mibeko ya bosambisi to ya boyokani na mikili mosusu, ezala ekolo to mabele ya nsomi to oyo eyangelemani na bauta, to oyo ezwi bonsomi ya sikisiki te.
03-00	ETENI YA 3
03-01	Moto nyonso azali na likoki ya kozala na bomoi, na kozala nsomi mpe kozala motema nsei na bomoto na ye.
04-00	ETENI YA 4
04-01	Moto ata moke te asengeli kozala moumbu; boumbu mpe boteki baumbu epikisami na ndenge nyonso.
05-00	ETENI YA 5
05-01	Moto ata moke te asengeli konyokama mpe kosalelama makambo ya bonyama mpe oyo ezanga bomoto na lokumu.
06-00	ETENI YA 6
06-01	Moto nyonso azali na likoki ’te bayeba makoki na ye bipai nyonso.
07-00	ETENI YA 7
07-01	Bato nyonso bakokani liboso ya mobeko mpe bazali na likoki ya kobatelama na mobeko se ndenge moko. Banso bazali na likoki ya kobatelama se ndenge moko esongo na bikela nyonso ya bokesenisi elongobani te na Lisakoli oyo mpe esongo na bikela nyonso oyo ekobota bokesenisi yango.
08-00	ETENI YA 8
08-01	Moto nyonso azali na likoki ya koluka lisalisi ya nsolo mpenza na liboso ya mangomba ya bosambisi ya ekolo oyo ezali na bwanya esongo na bikela oyo ekotangola maloki ya ntina endimami na mibeko mpo na ye.
09-00	ETENI YA 9
09-01	Moto moko te akoki kokangama to kobengisama ntina te.
10-00	ETENI YA 10
10-01	Moto nyonso azali na likoki ’te likambo na ye lokola ya bato nyonso, esambisama na bosembo mpe na miso ya bato nyonso na esambiselo ya nsomi mpe ya epai moko te, oyo ekozwa mikano engebene na makoki mpe masenginya ye to engebene na bosolo ya likambo ye afundami.
11-00	ETENI YA 11
11-00	Moto nyonso oyo afundami na likambo azali naino maboko mpembe tee ntango bakotatola engebene na mobeko, mabe ye asali, na libanza oyo ekosalama na miso ya bato nyonso, epai wapi manso esengeli kosalama mpo te mofundami azwa na ye.
11-01	Moto ata moko te asengeli kozwa etumbu mpo na makambo to botiki oyo, ntango esalamaki, ezalaki naino mbeba te, engebene na mibeko ya ekolo to ya molongo. Soo lolenge yango, bakoki te kopesa moto etumbu koleka oyo ezalaka kopesama na ntango likambo esalamaki.
12-00	ETENI YA 12
12-01	Moto ata moko te akoki kokota mpamba na makambo etali ezaleli, libota, ndako mpe mikanda ya nganda to mpe kobebisa lokumu na ye. Moto nyonso azali na likoki ya kobatelama na mobeko esongo na bikota-kota yango.
13-00	ETENI YA 13
13-00	Moto nyonso azali na makoki ya kotambola ndenge alingi mpe kopona esika ya kovanda kati ya ekolo.
13-01	Moto nyonso azali na makoki ya kotika ekolo nyonso ata ya ye moko mpo na kokenda na ekolo mosusu; ye akoki mpe kozonga na ekolo na ye.
14-00	ETENI YA 14
14-00	Na liboso ya monyokoli, moto nyonso azali na likoki ya koluka mpe kozwa esika ya kobomba nzoto na bikolo mosusu.
14-01	Likoki yango likopesama te na moto afundami na likambo ya makasi to na bikela oyo elongobani te na mibeko ya Lisanga ya Bikolo ya Molongo.
15-00	ETENI YA 15
15-00	Moto nyonso azali na likoki ya koyebana mosi-ekolo.
15-01	Bakoki te kopimela moto likoki ya kozala mosi-ekolo to ya kokoma moto ya ekolo mosusu.
16-00	ETENI YA 16
16-00	Soki mobu ya kobalana ekoki, mobali mpe mwasi bakoki kokwelana mpe kotonga libota mpe masimbisi ezala te na makambo etali lomposo, ekolo to lingomba ya nzambe. Bango bazali na makoki se ndenge moko na makambo etali makwela, ezala ntango ya makwela to ntango ya bokabwani.
16-01	Libala ekoki kosalama se soki mwasi na mobali bango mei bandimi na motema moko.
16-02	Libala ezali longomba ya ntina mpo na bato mpe ezali na likoki ya kobatelama na bato mpe Leta.
17-00	ETENI YA 17
17-00	Moto nyonso azala ye moko to na kati ya lisanga, azali na likoki ya mokolo-ekolo.
17-01	Bakoki ata moke te kopimela to kobotola moto eloko na ye soki ntina ezali te.
18-00	ETENI YA 18
18-01	Moto nyonso azali na likoki, ya kozala na makanisi na ye, mayele na ye ya motema mpe lingomba na ye ya nzambe; likoki yango ekopesa ye ndingisa ya kopona lingomba ya nzambe to kobongola makanisi na ye, ye moko to elongo na baninga, ezala na miso ya bato ya mei; na boteyi, na bikela, na bokumisi nzambe mpe milulu.
19-00	ETENI YA 19
19-01	Moto nyonso azali na likoki ya bokanisi mpe bolobi; yango ekopesa ye ndingisa ya kozala na bomoi na motema te likolo ya makanisi na ye ndingisa ya koluka, kozwa mpe kopanza mayebisi na makanisi esika na esika, na ndenge alingi koyebisa yango.
20-00	ETENI YA 20
20-00	Moto nyonso azali na likoki ya kozala na likita mpe lingomba oyo ezali na kimya.
20-01	Ekoki te kosengama na makasi te moto akota na lingomba.
21-00	ETENI YA 21
21-00	Moto nyonso azali na likoki ya kotiya maboko na bokambi misala ya ekolo na ye ezala ye moko to na batoma ye moko aponi.
21-01	Moto nyonso azali na likoki, lokola baninga nyonso ya kosala misala ya Leta.
21-02	Bolingi yango esengeli komonana na maponi ya sembo oyo esengeli kosalama mbala na mbala, na liponeli ya bato nyonso mpe na boponi ya Lingomba to na ndenge mosusu ekokani na yango mpe ekosala ’te bato bapona na bonsomi nyonso.
22-00	ETENI YA 22
22-01	Moto nyonso, lokola azali moko ya lingomba, azali na likoki ya kozwa lisalisi ya esalelo-lisungi, oyo ezali na ndingisa ya kopesa moto makoki ya ye ya mosolo, ya bomoi mpe ezaleli, mpo na lokumu mpe bokoli malamu ya bomoto na ye, na lisalisi ya bokasi ya ekolo mpe ya boyokani ya mikili na mikili, engebene na mwango mpe bokulaka ya ekolo na ekolo.
23-00	ETENI YA 23
23-00	Moto nyonso azali na likoki ya kozwa mosala, ya kopona mosala ye alingi, na ndenge ya sembo elongobani na mosala, mpe basengeli kobatela ya esongo na bosomele.
23-01	Bato nyonso bazali na likoki, bokeseni ata te, ya kozwa lifuta ekokani mpo na mosala ekokani.
23-02	Moto nyonso akosala, azali na likoki ya kozwa lifuta ya sembo mpe elongobani, oyo ekosala te ye na libota na ye bazwa bomoi elongobani na lokumu ya moto, mpe ekoki kobongisama lisusu na ndenge nyonso ya bobateli bomoi.
23-03	Moto nyonso azali na likoki ya kokela basendika elongo na baninga mpe kokota na basendika mpo na kokengela maloki na ye.
24-00	ETENI YA 24
24-01	Moto nyonso azali na likoki ya bopemisi mpe bopemisi nzoto, mingi ya bozwi eleko ya sembo ya boumeli na mosala mpe na bozwi lifuta na bakonzi ya mbala na mbala.
25-00	ETENI YA 25
25-00	Moto nyonso azali na likoki ya kobikela na ndenge elongobani mpo ’te azwa bokolongonu, bozala malamu ya ye mpe ya libota na ye epusi na makambo etali koliya, kolata, kovanda, kosalisa nzoto mpe kosungama na ndenge esengeli ; ye azali na likoki ya kosalisama na ntango ya bosomele, bokono, bosele, bozenge, bobange to na ntango mosusu ye akozanga mosolo ya kobikela na sima ya makambo esalami na bolinga na ye te.
25-01	Bomama mpe bomwana ezali na likoki ya kosungama na ndenge elongobani. Mwana nyonso abotama kati ya makwela to na libanda asengeli kobatelama to ndenge moko.
26-00	ETENI YA 26
26-00	Moto nyonso azali na likoki ya bokolisi bwanya mpe mayele. Mateya esengeli kopesama mpamba, mosolo te, ata na bakelasi ya mabandela. Mateya ya mabandela esengeni kopesama na moto nyonso. Mateya ya tekniki mpe ya mosala esengeli kopesama bipai nyonso; eposa ya kozwa mateya ya kelasi ya minene esengeli kopesama na bato nyonso, se ndenge moko, engebene na mayele na bango.
26-01	Bokolisi bwanya mpe mayele esengeli kosala te moto akola na ndenge nyonso mpe atosa malamu mpenza makoki mpe bonsomi ya ntina na moto. Yango esengeli komema boyokani, boboto, bolingo kati ya bikolo mpe mangomba ya bato oyo lomposo mpe boyambi ekeseni; yango mpe esengeli kobongisa misala ya Lisanga ya Bikolo ya Molongo mpo na bobateli kimya.
26-02	Baboti bazali na likoki ya yambo, ya boponi ndenge ya mateya esengeli kopesama na bana na bango.
27-00	ETENI YA 27
27-00	Moto nyonso azali na likoki ya kotiya maboko ndenge alingi na misala ya bokolisi bwanya ya lingomba, kopesela na nkoti, mpe kotiya maboko na botomboli nzebi mpe bolamu ya yango.
27-01	Moto nyonso azali na likoki ’te matomba ya misala ya ye ya nzebi, ya bokomi mpe ya nkoti ebatelama.
28-00	ETENI YA 28
28-01	Moto nyonso azali na likoki ’te kati ya bato mpe bikolo, nyonso ebonga mpo te makoki mpe bonsomi oyo ekomami kati ya Lisakoli oyo elonga.
29-00	ETENI YA 29
29-00	Moto azali na mikumba epai ya lingomba oyo ekopesa ye eposa ya bokolisi bomoto na ye na ndenge elongobani.
29-01	Moto nyonso, na botalaka makoki mpe bonsomi na ye, asengeli kosala se mikumba oyo eyebani na mobeko se mpo ’te bayeba mpe bakumisa maloki mpe bonsomi ya baninga, mpe mpo na kotosa mibeko ya sembo ya ezalela kimya ya bato mpe bozali malamu kati ya lingomba ya boyangeli lisanga.
29-02	Makoki mpe bonsomi yango makoki, ata moke te, kozala esongo na masengi ya Lisanga ya Bikolo ya Molongo.
30-00	ETENI YA 30
30-01	Mobeko ata moko te ya Lisanga oyo ekoki kozala mpo na Leta, na lisanga ya bato, to na moto, likoki ya kosala likambo oyo ekonyata makoki mpe bonsomi awa.
