00-00	VISUOTINE ZMOGAUS TEISIU DEKLARACIJA
00-01	Atsizvelgdama i tai, kad visiems zmoniu gimines nariams budingo orumo ir lygiu bei neatimamu teisiu pripainimas yra laisves, teisingumo ir taikos pasaulyje pagrindas;
00-02	atsizvelgdama i tai, kad zmogaus teisiu visiskas nepaisymas ir niekinimas pastumejo vykdyti barbariskus aktus, piktinancius zmonijos sazine, o sukurimas pasaulio, kuriame zmones tures zodzio ir isitikinimu laisve ir bus islaisvinti is baimes ir skurdo panciu, paskelbtas kaip kilniausias zmogaus siekimas;
00-03	atsizvelgdama i tai, jog butinai reikia, kad zmogaus teises saugotu istaymo galia, del to, kad jis nebutu priverstas imtis, kaip krastutines priemones, sukilimo pries tironija ir priespauda;
00-04	atsizvelgdama i tai, jog butinai reikia remti draugisku santykiu tarp tautu vystyma;
00-05	atsizvelgdama i tai, kad Suvienytuju Naciju Organizacijos istatuose tautos vel itvirtino savo tikejima pagrindinemis zmogaus teisemis, zmogaus, kaip asmenybes, orumu ir vertingumu, lygiomis vyru ir moteru teisemis ir pareiske, jog esancios pasiryzusios skatinti visuomenes pazanga ir sukurti geresnes gyvenimo salygas, didesne laisve;
00-06	atsizvelgdama i tai, kad valstybes nares, bendradarbiaudamos su Suvienytuju Naciju Organizacija, isipareigojo garantuoti visuotini ir tikra zmogaus teisiu ir pagrindiniu laisviu laikymasi;
00-07	atsizvelgdama i tai, jog bendras visiems zmonems siu teisiu ir laisviu supratimas turi didziausia reikm, kad butu visiskai ivydytas sis isipareigojimas,
00-08	Generaline Asambleja
00-09	skelbia ia Visuotine zmogaus teisiu deklaracija, kaip visuotini ideala, kurio turi siekti visos tautos ir visos valstybes del to, kad kiekvienas zmogus ir kiekvienas visuomenes organas, nuolat turedami galvoj sia Deklaracija, pasitelke svietima ir moksla, stengtusi prisideti prie to, kad sios teises ir laisves butu gerbiamos ir kad butu garantuota, imantis nacionaliniu ir tarptautiniu pazangiu priemoniu, kad jos bus visuotinai ir tikrai pripazitamos ir taikomos tiek valstybiu nariu gyventojams, tiek gyventojams teritoriju, esanciu ju jurisdikcijoje.
01-00	1 straipsnis
01-01	Visi zmones gimsta laisvi ir lygus savo orumu ir teisemis. Jiems suteiktas protas ir sazine ir jie turi elgtis vienas kito atzvilgiu kaip broliai.
02-00	2 straipsnis
02-01	Kiekvienas zmogus gali naudotis visomis teisemis ir laisvemis, paskelbtomis sioje Deklaracijoje, be jokiu skirtumu, tokiu kaip rase, odos spalva, lytis, kalba, religija, politiniai ar kitokie isitikinimai, nacionaline ar socialine kilme, turtine, jo gimimo ar kokia nors kitokia padetis.
02-02	Be to, neturi buti daroma jokiu skirtumu remiantis salies ar teritorijos, kuriai priklauso zmogus, politiniu, teisiniu ar tarptautiniu statusu, del to, kad si salis ar teritorija yra nepriklausoma, globojama, nesavavaldi ar kaip nors kitaip apribotas jos suverenitetas.
03-00	3 straipsnis
03-01	Kiekvienas zmogus turi teise i gyvybe, laisve ir asmens nelieciamybe.
04-00	4 straipsnis
04-01	Niekas negali buti laikomas vergijoje ar nelaisvas: visu formu vergija ir prekyba vergais draudziama.
05-00	5 straipsnis
05-01	Niekas negali buti kankinamas arba ziauriai, nezmoniskai zeminant jo oruma su juo elgiamasi ir jis baudziamas.
06-00	6 straipsnis
06-01	Kiekvienas zmogus, kad ir kur jis butu turi teise buti pripazintas teisiniu santykiu subjektu.
07-00	7 straipsnis
07-01	Visi lygus pries istatyma ir turi teise, be jokio skirtumo, i lygia istatymo aspauga. Visi turi teise i lygia apsauga nuo visokios diskriminacijos, pazeidzianeios sia Deklaracija ir nuo visokio kurstymo tokiai diskriminacijai.
08-00	8 straipsnis
08-01	Kiekvienas zmogus turi teise pasinaudoti kompetentingais nacionalinais teismais savo teisems atgauti, kai jo pagrindines teises, pripazistamos jam konstitucijos ar istatymo, buvo pazeistos.
09-00	9 straipsnis
09-01	Niekas negali buti savavaliskai arestuotas, suimtas ar istretmas.
10-00	10 straipsnis
10-01	Kiekvienas zmogus, remdamasis visika lygybe, turi teise i tai, kad jo byla viesai ir teisingai isnagrinetu nepriklausomas ir besaliskas teismas, kuris nustatytu jo teises ir pareigas ar jam pareiksto baudziamojo kaltinimo pagristuma.
11-00	11 straipsnis
11-01	Kiekvienas zmogus, kaltinamas nusikaltimo padarymu, laikomas nekaltu tol, kol jo kaltumas bus nustatytas istatymo tvarka vieso teisminio nagrinejimo metu, kur jam bus sudaromos visos butinos gynybos garantijos.
11-02	Niekas negali buti nuteistas uz veiksmus ar neveikima, kurie ju ivykdymo metu nebuvo laikomi nusikaltimais pagal valstybes vidaus istatymus arba tarptautine teise. Taip pat negali buti skiriama sunkesne bausme uz ta, kuri buvo taikoma nusikaltimo padarymo momentu.
12-00	12 straipsnis
12-01	Niekas neturi patirti savavalisko kismosi i jo asmenini ir seimini gyvenima jo buto nelieciamybe susirasinejimo slaptuina kesinimosi i jo garbe ir oruma. Kiekvienas zmogus turi teise i istatymo apsauga nuo tokio kisimosi arba tokiu pasikesinimu.
13-00	13 straipsnis
13-01	Kiekvienas zmogus turi teise laisvai kilnotis ir laisvai pasirinkti gyvenamaja vieta kiekvienoje valstybeje.
13-02	Kiekvienas zmogus turi teise isvaziuoti is kiekvienos salies, iskaitant savaja, ir grizti i savo sati.
14-00	14 straipsnis
14-01	Persekiojamas kiekvienas zmogus turi teise ieskoti prieglobscio kitose salyse ir juo naudotis.
14-02	ia teise negali buti pasinaudota, kai persekiojimas tikrai pagristas padarymu kriminalinio nusikaltimo ar veiksmu, priestaraujanciu Suvienytuju Naciju Organizacijos tikslams ir principams.
15-00	15 straipsnas
15-01	Kiekvienas zmogus turi teise i pilietybe.
15-02	Niekam negali buti savavaliskai atimta jo pilietybe ar teise ja pakeisti.
16-00	16 straipsnis
16-01	Vyrai ir moterys, pasieke brandos amziu, turi teise be jokiu apriboiimu del rases, tautybes ar religijos sudaryti santuoka it sukurti seima. Jie turi lygias teises tiek santuokos sudarymo bei jos trukmes, tiek santuokos nutraukimo metu.
16-02	Santuoka gali buti sudaryta tik tasa, kai susituokiantieji duoda laisva ir visiska sutikima.
16-03	eima yra naturali ir pagrindine visuomenes lastele ir ji turi teise i visuomenes ir valstybes apsauga.
17-00	17 straipsnis
17-01	Kiekvienas zmogus turi teise tureti nuosavybe tiek vienas, tiek kartu su kitais.
17-02	I nieko negali buti svavaliskai atimta jo nuosavybe.
18-00	18 straipsnis
18-01	Kiekvienas zmogus turi teise i minties, sazines ir religijos laisve. Si teise apima laisve pakeisti religija artikejima, taip pat laisve skelbti savo religija ar tikejima tiek vienam, tiek kartu su kitais, viesai ar privaciai, mokant, praktikuojant tikejima, laikant pamaldas bei atliekant apeigas.
19-00	19 straipsnis
19-01	Keikvienas zmogus turi teise i isitikinimu ir ju reiskimo laisve, kuri apima teise nekliudomai laikytis savo isitikinimu ir teise ieskoti, gauti ir skleisti informacija ir idejas nepriklausomai nuo valstybiu sienu, ir nesvarbu, kokiomis priemonemis jos butu isreikstos.
20-00	20 straipnis
20-01	Kiekvienas zmogus turi teise i taikiu susirinkimu ir asociaciju laisve.
20-02	Niekas negali buti verciamas priklausyti kokiai nors asociacijai.
21-00	21 straipsnis
21-01	Kiekvienas zmogus turi teise dalyvauti valdant savo sali tiek tiesiogiai, tiek per laisvai isrinktus atstovus.
21-02	Kiekvienas zmogus turi teise lygybes salygomis stoti i savo salies valstybine tarnyba.
21-03	Liaudies valia yra valstybines valdzios pagrindas; si valis turi buti isreiskiama teisinguose rinkimouse, kurie turi vykti periodiskai, kai yra visuotine ir lygi rinkimu teise ir slaptas balsavimas arba kitos lygiavertes proceduros, garantuojancios balsavimo laisve.
22-00	22 straipsnis
22-01	Kiekvienas zmogus, kaip visuomenes narys, turi teise i socialini aprupinima, kuris skirtas butinoms jo orumui ir laisvam asmenybes vystymuisi ekonominems, socialinems ir kulturinems teisems igyvendinti nacionalinemis pastangomis ir per tarptautini bendradarbiavima ir pagal kiekvienos salies vidins struktura bei isteklius.
23-00	23 straipsnis
23-01	Kiekvienas zmogus turi teise i darba, i laisva darbo pasirinkima, i teisingas ir tinkamas darbo salygas ir i apsauga nuo nedarbo.
23-02	Visi zmones, be jokios diskriminacijos, turi teise i lygu apmokejima uz lygiaverti darba.
23-03	Kiekvienas darbo zmogus turi teise i teisinga ir patenkinama atlyginima, garantuojanti zmogaus orumo verta egzistavima jam paciam ir jo seimai, ir papildoma, kai reikia, visomis kitomis socialines apsaugos lesomis.
23-04	Kiekvienas zmogus turi teise kartu su kitais steigti profesines sajungas ar stoti i jas savo interesams ginti.
24-00	24 straipsnis
24-01	Kiekvienas zmogus turi teise i poilsi ir laisvalaiki ir ypac teise i pagrista darbo laiko apribojima ir periodines apmokamas atostogas.
25-00	25 straipsnis
25-01	Kiekvienas zmogus turi teise i pakankama gyvenimo lygi, kuris garantuotu jo ir jo seimos sveikata ir gerove, ir ypac i maista, drabuzius, busta, medicinine prieziura ir butina socialini aptarnavima: jis turi teise i aprupinima nedarbo, ligos, invalidumo, naslystes, senatves ar kitokio pragyvenimo saltiniu netekimo atveju del nepriklausanciu nuo jo aplinkybiu.
25-02	Motinyste ir kudikyste turi buti itin globojamos ir remiamos. Visi vakai, tiek gime santuokoje, tiek nesantuokiniai, naudojasi vienoda socialine apsauga.
26-00	26 straipsnis
26-01	Kiekvienas zmogus turi teise i moksla. Mokslas turi buti nemokamas - bent jau pradinis ir bendrasis lavinimas. Pradinis lavinimas yra privalomas. Profesinis techninis mokymas turi buti visuotinai prieinamas; aukstasis mokslas turi buti vienodai prieinamas visiems pagal kiekvieno zmogus sugebejimus.
26-02	Mokslas turi buti skirtas tam, kad visi skai suklestetu zmogaus asmenybe ir kad butu vis labiau gerbiamos zmogaus teises ir pagrindines laisves. Jis turi padeti ugdyti savitarpio supratima, pakantuma ir draugyste tarp visu tautu, rasiniu, ir religiniu grupiu, taip pat turi skatini Suvienytuju Naciju Organizacijos vykdoma taikos issaugojimo beikla.
26-03	Tevai turi primenybes teise parenkant savo vaiku mokyma.
27-00	27 straipsnis
27-01	Kiekvienas zmogus turi teise laisvai dalyvauti visuomenes kulturiniame gyvenime, geretis menu, dalyvauti mokslineje pazangoje ir naudotis jos gerybemis.
27-02	Kiekvienas zmogus turi teise i apsauga jo dvasiniu ir materialiniu interesu, atsirandanciu rysium su mokslo, literaturos ar meno kuriniu, kuriu jis yra autorius, sukurimu.
28-00	28 straipsnis
28-01	Kiekvienas zmogus turi teise i tai, kad visuomeneje ir tapr tautu isiviespatautu tokia tvarka, kurioje galetu buti visiskai igyvendintos teises ir laisves, isdestytos sioje Deklaracijoje.
29-00	29 straipsnis
29-01	Kiekvienas zmogus turi pareigas visuomenei, kurioje tik ir gali laisvai ir visiskai vystytis jo asmenybe.
29-02	Igyvendindamas savo teises ir nauadodamasis savo laisvemis, kiekvienas zmogus negali patirti kitokiu apribojimu kaip istatymo numatyti vien tik tam, kad garantuotu kitu zmoniu teisiu ir laisviu derama pripazinima ir gerbima siekiant patenkinti teisingus morales, viesosios tvarkos ir visuotines geroves reikalavimus demokratineje visuomeneje.
29-03	Sios teises ir laisves jokiu budu negali buti jgyvendinamos, jeigu tai priestarauja Suvientuju Naciju Organizacijos tikslams ir principams.
30-00	30 straipsnis
30-01	Jokia sios Deklaracijos nuostata negali buti aiskinama kaip suteikianti kuriai nors valstybei, grupei ar asmeniui teise vykdyti kokia nors veikla ar atlikti veiksmus, skirtus joje isdestytoms teisems ir laisvems panaikinti.
