00-00	Detlaraziun Universala di Derc dles Porsones
00-01	Deache le reconesciment dla dignite de duec i membri dla comunite dla jent y di medemi derc inalienabli, e la fondamenta dla liberte, dla iustizia y dla pesc tl monn;
00-02	deache la mancianza de reconesciment y le desprijament di derc dles porsones a porte pro a ac de barbaria, che ofenn la coscienza dles porsones y deache al e gnue anunzie che n monn, olache les porsones a la liberte de parora y de religiun y la liberte da tema y meseria e la majera aspiraziun dla porsona;
00-03	deache al va debojegn da defene i derc dles porsones cun normes iuridiches a na moda che la porsona ne vegnes nia sforzada da adore la rebeliun scioeche ultimo meso cuntra la tirania y l’opresciun;
00-04	deache al va debojegn da sostigni le svilup di raporc d’amizizia danter les Naziuns;
00-05	deache i popui dles Naziuns Unides a reconferme tl Statut suea creta ti derc fondamentai dla porsona, tla dignite y tl valur dla porsona, tl’avalianza di derc danter el y era y a tut la dezijiun da promoeie le progres sozial y de mius condiziuns de vita te na majera liberte,
00-06	deache i Stac membri s’a tut dant da mire, en colaboraziun cun les Naziuns Unides, al respet y al’osservanza universala di derc dla porsona y dles libertes fondamentales;
00-07	deache na comprenjiun coletiva de chisc derc y de chestes libertes e de grandiscima importanza por realise deplegn chestes oblianzes,
00-08	protlameia la Reuniun Generala
00-09	chesta detlaraziun universala di derc dles porsones scioeche ideal coletif da arjunje da duec i popui y doetes les Naziuns, a na moda che vigni porsona y vigni organn dla soziete se sforzes, tignin tres ament chesta Detlaraziun, da sostigni cun l’insegnament y l’educaziun, le respet de chisc derc y de chestes libertes, y da garanti tres mosoeres nazionales y internazionales progressives, le reconesciment universal y efetif y le respet danter i popui di Stac membri y chi di teritori sotmetues a suea iurisdiziun.
01-00	Articul 1
01-01	Doetes les porsones nasc ledies y cun la medema dignite y i medemi derc. Ares a na rajun y na coscienza y mess s’incunte oena cun l’atra te n spirit de fraternite.
02-00	Articul 2
02-01	A vigni porsona ti spetel duec i derc y doetes les libertes protlama te chesta detlaraziun, zenza degoena desfarenzia porvia dla raza, dl coru dla pel, dl ses, dl lingaz, dla religiun, dl’opiniun politica o de n’atra sort, dla provegnenza nazionala o soziala, dla richeza, dla nasciueda o de d’atres condiziuns.
