00-00	DECLARACION UNIVERSALA DELS DRETS HUMANS
00-01	Considerant que de reconeisser la dignitat inerenta a totes los membres de la familha umana e lors dreches egals e inalienables constituis lo fondament de la libertat, de la justicia e de la patz dins lo mond,
00-02	Considerant que de desconeisser e mespresar los dreches de l'ome a menat a de barbaritats otrajantas per la consciencia de l'umanitat e que l'aveniment d'un mond ont los essers umans seran liures de parlar e de creire, deliurats de la terror e de la miseria, es estat proclamat coma l'aspiracion mai nauta de l'ome,
00-03	Considerant qu'es essencial que los dreches de l'ome sian aparats per un regime de drech per tal que l'ome sia pas obligat al supreme recors de se revoltar contra la tirania e l'opression,
00-04	Considerant qu'es essencial d'encoratjar lo desvolopament de relacions amicalas entre las nacions,
00-05	Considerant que, dins la Carta, los pobles de las Nacions Unidas an tornat proclamar lor fe dins los dreches fondamentals de l'ome, dins la dignitat e la valor de la persona umana, dins l'egalitat dels dreches dels omes e de las femnas, e que se son declarats resolguts a favorir lo progres social e a instaurar de melhoras condicions de vida dins una libertat mai bela,
00-06	Considerant que los Estats Membres se son engatjats a assegurar, en cooperacion amb l'Organisacion de las Nacions Unidas, lo respecte universal e efectiu dels dreches de l'ome e de las libertats fondamentalas,
00-07	Considerant qu'una concepcion comuna d'aqueles dreches e libertats es de la mager importancia per que se realise plenament aquel engatjament,
00-08	l'Assemblada Generala proclama
00-09	la presenta Declaracion Universala dels Dreches de l'ome
00-10	coma l'ideal comun que totes los pobles e las Nacions devon cercar a atenher, per tal que totes los individus e totas las institucions, en gardant de contunh aicesta Declaracion presenta a l'esperit s'eforcen, per l'ensenhament e l'educacion, de desvolopar lo respecte d'aqueles dreches e libertats e d'assegurar, per de mesuras progressivas d'ordre nacional e internacional, la reconeissensa e l'aplicacion universalas e efectivas, tant demest los pobles dels Estats Membres coma demest los dels territoris plasats jos lor jurisdiccion.
01-00	Article 1
01-01	Totes los essers umans naisson liures e egals en dignitat e en dreches. Son dotats de rason e de consciencia e se devon comportar los unes amb los autres dins un esperit de fraternitat.
02-00	Article 2
02-01	Tota persona se pot prevaler de totes los dreches e de totas las libertats proclamada dins la presenta Declaracion, sense cap de distincion de rasa, de color, de sexe, de lenga, de religion, d'opinion politica o d'autra mena, d'origina nacionala o sociala, de fortuna, de naissensa o de quina autra situacion que sia.
02-02	Se fara pas tanpauc cap de distincion fondada sus l'estatut politic, administratiu e internacional de pais o territori que la persona ne depend juridicament, qu'aquel pais o territori sia independent, jos tutela, non-autonome o somes a quina limitacion de sobeiranetat que sia.
03-00	Article 3
03-01	Tot individu a drech a la vida, a la libertat e a la seguretat de sa persona.
04-00	Article 4
04-01	Degun sera pas tengut en esclavatge ni en servitud; l'esclavatge e lo trafic d'esclaus son proibits dins totas lors formas.
05-00	Article 5
05-01	Degun sera pas somes a la tortura, ni a de penas o tractaments crudels, inumans o degradants.
06-00	Article 6
06-01	Tota persona, a quin endrech que sia, a drech a la reconeissensa de sa personnalitat juridica.
07-00	Article 7
07-01	Totes son egals davant la lei e an lo drech de n'obtener la meteissa proteccion, sense distincions. Totes an lo drech a una meteissa proteccion contra quina discriminacion que sia que viole la presenta Declaracion e contra tota provocacion a una tala discriminacion.
08-00	Article 8
08-01	Tota persona a drech a un recors efectiu al prep de las jurisdiccions nacionalas competentas contra los actes que violen los dreches fondamentals que li son reconeguts per la constitucion o la lei.
09-00	Article 9
09-01	Degun pot pas esser arrestat, embarrat o exiliat arbitrariament.
10-00	Article 10
10-01	Tota persona a lo drech, en plena egalitat, que sa causa sia recebuda ambe equitat e publicament per un tribunal independent e imparcial, que decidira, sia de sos dreches e obligacions, sia de la legitimat de tota acusacion portada contra ela en materia penala.
11-00	Article 11
11-01	Se presumis qu'es innocenta tota persona acusada d'un acte delictuos, tant que sa culpablitat es pas estada establida legalament al cors d'un proces public ont totas las garentias necessarias per la sia defensa li seran estadas asseguradas.
11-02	Degun sera pas condemnat per d'accions o d'omissions que, quand fogueron comesas, constituissian pas un acte delictuos segon lo drech nacional o internacional. S'impausara pas tanpauc cap de pena mai forta que la qu'era aplicabla al moment que se cometet l'acte delictuos.
12-00	Article 12
12-01	Degun sera pas l' objecte d'intrusions arbitrarias dins sa vida privada, sa familha, son domicili o sa correspondencia, ni d'atacs contra son onor e sa reputacion. Tota persona a drech a la proteccion de la lei contra d'intrusions e d'atacs d'aquela mena.
13-00	Article 13
13-01	Tota persona a lo drech de circular liurament e de causir sa residencia a l'interior d'un Estat.
13-02	Tota persona a lo drech d'abandonar tot pais, quitament lo sieu, e de tornar dins son pais.
