00-00	UNIVERSAL - DEKLARATIOUN VUN DE MENSCHERECHTER
00-01	Well d'Unerkennong vun der Digniteit, dei all Member vun der Menschefamill gebuer as, a vu senge glaeichen an onersetzleche Rechter de Fellement vun der Fraeiheet, der Gerechtegkeet an dem Fridden an der Welt as,
00-02	Well et do, wou d'Menscherechter net unerkannt an net respekteiert gin, zu barbareschen Akte koum, dei d'Gewesse vun der ganzer Menschheet revolteieren a well d'Schafe vun enger Welt, an deer d'Menschen d'Fraeiheet vum Wuert a vum Glaf hun, an deer se fraei si vu Fuurcht an Nout, als dem Mensch saein hechst Striewe proklameiert gouf,
00-03	Well et haaptsaechlech drem geet fir duerch e Rechtssystem Hand iwwer d'Menscherechter ze halen an datt de Mensch doduerch net forceiert get fir saei leschten Auswee an der Revolt geint d'Tyrannei an d'Ennerdrecktgin ze sichen,
00-04	Well et haaptsaechlech drem geet fir d'Entwecklong vun de frendschaaftleche Relatiounen tescht den Natiounen z'encourageieren,
00-05	Well an der Charta d'Velleker vun de Vereenten Natiounen op en Neits hire Glaf an d'Grondrechter vum Mensch, an d'Digniteit an an de Waeert vun der menschlecher Persoun, an d'Glaeichheet vun de Rechter vu Mann a Fra proklameiert a sech dofir entscheed hu fir dem zoziale Fortschrett de Virzock ze gin a besser Lieweskonditiounen a mei enger grousser Fraeiheet ze schafen,
00-06	Well d'Memberstate sech verflicht hu fir an Zesummenaarbecht mat der Organisatioun vun de Vereenten Natiounen dofir ze suergen, datt d'Menscherechter an d'Grondfraeiheten allgemeng respekteiert a realiseiert gin,
00-07	Well eng an dei selwecht Opfaassong iwwer des Rechter a Fraeiheten aus der Mooss wichteg as fir dest Engagement voll a ganz kennen duerchzefeieren,
00-08	PROKLAMEIERT D'GENEROLVERSAMMLONG:
00-09	Des UNIVERSAL-DEKLARATIOUN VUN DE MENSCHERECHTER, dei als en allgemengt Ideal vun all Vollek an all Natioun soll ugestrieft gin aus deem Grond, datt all eenzele Mensch an all Organ vun der Gesellschaft, emmer am Geescht vun deser Deklaratioun, sech ustrenge fir duerch den Unterrecht an d'Erzeiong de Respekt vun dese Rechter a Fraeiheten z'entwecklen an no an no duerch Mesueren um nationalen an internationale Plang hir Unerkennong ze secheren, datt d'Populatiounen aus de Memberstate selwer an dei aus Gebitter, dei enner hirer Geriichtsbarkeet stin, en allgemengen a gudde Gebrauch dervu kennen maachen.
01-00	Artikel 1
01-01	All Mensch kennt fraei a mat deer selwechter Digniteit an dene selwechte Rechter op d'Welt. Jiddereen huet saei Verstand a saei Gewesse krut an soll an engem Geescht vu Bridderlechkeet denen anere geintiwwer handelen.
02-00	Artikel 2
02-01	Jidderee kann all dei Rechter an all dei Fraeiheten, dei an deser Deklaratioun proklameiert sin, fir sech verlaangen an dat ouni Ennerscheed sief et vu Rass, Hautfaarf, Geschlecht, Sprooch, Relioun, politesche odder anerer Iwwerzegong, nationalem odder zozialem Urspronk, Vermeigen, Gebuurt odder soss enger Situatioun.
02-02	Et duerf do dernieft och keen Ennerscheed gemat gin, dee mam politeschen, rechtlechen odder internationale statut vun deem Land odder deem Gebitt begrennt get, aus deem eng Persoun hierstaamt, egal ob dest Land odder dest Gebitt onofhaengeg, enner engem Mandat, net autonom odder seng Souveraeniteit an irgendenger Form begrenzt as.
03-00	Artikel 3
03-01	All Mesch huet Recht op d'Liewen, op d'Fraeiheet an op d'Secherheet vu senger Persoun.
04-00	Artikel 4
04-01	Kee Mensch daarf a Sklaverei odder a Kniechtschaaft gehal gin; d'Sklaverei an de Sklavenhandel sin an all hire Forme verbueden.
05-00	Artikel 5
05-01	Keen duerf gefoltert an och kee grausam, onmenschlech, onwiirdeg bestrooft a behandelt gin.
06-00	Artikel 6
06-01	Jiddereen huet iwwerall d'Recht op Unerkennong vu senger juristescher Perseinlechkeet.
07-00	Artikel 7
07-01	D'Mensche sin alleguer glaeich virum Gesetz a si hun ouni Ennerscheed Recht op dee selwechte Schutz vum Gesetz. Alleguer hu se Recht op dee selwechte Schutz geint all Diskriminatioun, dei des Deklaratioun geing verletzen a geint all Provokatioun zu esou enger Diskriminatioun.
08-00	Artikel 8
08-01	All Mensch huet d'Recht fir bei denen zoustaennegen nationale Geriichter en effektive Recours geint dei Akten ze man, dei d'fundamental Rechter, dei him duerch d'Konstitutioun odder duerch d'Gesetz zoustin, verletzen.
09-00	Artikel 9
09-01	Kee Mensch duerf arbitraer verhaft, agesat odder ausgewise gin.
10-00	Artikel 10
10-01	All Mensch huet d'Recht, a voller Glaeichheet, datt seng Saach, saein Uleies gerecht an oeffentlech virun engem onofhaengegen an onparteiesche Geriicht zur Sprooch kennt, dat iwwer seng Rechter a Flichten an iwwer d'Berechtegong vun all Uklo, dei a Strofsaache geint e gefouert get, entscheet.
11-00	Artikel 11
11-01	All Mensch, dee weinst engem strofbaren Akt ugeklot get as esou laang als onschelleg unzegesinn, bis seng Schold gesetzlech an am Verlaf vun engem oeffentleche Prozess nogewisen as, an deem e mat Secherheet op all neideg Garantie fir seng Verdedegong konnt rechnen.
11-02	Keen duerf veruurtelt gi fir Saachen, dei e gemat odder ennerlooss huet, dei an deem Ament, wou dat geschitt as, no nationalem an internationalem Recht keng strofbar Akte woren. Och duerf kee mei eng heich Strof kreie wi dei, dei an deem Ament applizeiert gouf, an deem de strofbaren Akt geschitt as.
12-00	Artikel 12
12-01	An enger Persoun hiirt Privatliewen, hir Famill, hir Wunneng odder hir Korrespondenz duerf sech net arbitraer agemescht, an hir Eier an hire gudde Ruff och net ugetaascht gin. All Mensch huet d'Recht op de Schutz vum Gesetz geint esou en Ameschen an Untaaschten.
13-00	Artikel 13
13-01	All Mensch huet d'Recht fir fraei bannent de Grenze vun all Stat ze zirkuleieren a seng Residenz ze wielen.
13-02	All Mensch huet d'Recht fir all Land ze verloossen, och saein egent, an nees a saei Land heemzekommen.
14-00	Artikel 14
14-01	All Mensch huet d'Recht fir, wann e verfollegt get, Asyl an anere Laenner ze sichen a Gebrauch dovunner ze maachen.
14-02	Op dest Recht ka sech net beruff gin am Fall vun Ukloen, dei reell op engem Verbrieche vum allgemenge Recht an op Handlonge fundeieren, dei geint d'Ziler an d'Grondsaetz vun de Vereenten Natioune verstoussen.
15-00	Artikel 15
15-01	All Mensch huet d'Recht op eng Nationaliteit.
15-02	Seng Nationaliteit duerf kengem Mensch arbitraer entzu gin, och net dat Recht fir seng Nationaliteit ze changeieren.
16-00	Artikel 16
16-01	Wa Mann a Fra am Alter si fir sech ze bestueden, hu se d'Recht fir dat ze maachen an eng Famill ze grennen ouni iirgendeng Restriktioun wat d'Rass, d'Nationaliteit odder d'Relioun ugeet. Si hu beim Bestiednes, am Bestiednes a bei senger Opleisong dei selwecht Rechter.
16-02	D'Bestiednes duerf nemme mat der fraeier a voller Awellegong vum Brautpuer geschloss gin.
16-03	D'Famill as dat natiirlecht a fundamentaalt Element vun der Gesellschaft a si huet d'Recht op de Schutz vu Gesellschaft a Stat.
17-00	Artikel 17
17-01	All Mensch huet d'Recht, eleng an och mat aneren zesummen, op Egentom.
17-02	Saein Egentom duerf kengem Mensch arbitraer entzu gin.
18-00	Artikel 18
18-01	All Mensch huet d'Recht op Gedanke-, Gewessens- a Reliounsfraeiheet; an desem Recht mat dran as d'Fraeiheet fir seng Relioun odder seng Iwwerzegong ze aenneren, grad esou wei d'Fraeiheet fir seng Relioun a seng lwwerzegong eleng odder mat aneren ze manifesteieren, sief et an der Oeffentlechkeet odder privat, duerch den Unterrecht, d'Praktizeieren, de Kultus an d'Feiere vu Riten.
19-00	Artikel 19
19-01	All Mensch huet d'Recht op eng fraei Menong a fir se fraei auszedrecken, an deem och d'Recht mat dran as op eng Menong fraei vu Fuurcht an dat Recht fir Informatiounen an Iddien ze sichen, ze kreien an ze verbrede mat all dene Mettele fir sech auszedrecken, dei et get an ouni sech mussen u Grenze vu Laenner ze halen.
20-00	Artikel 20
20-01	All Mensch huet d'Recht op Versammlungs- a Verenegongsfraeiheet am friddleche Senn.
20-02	Keen duerf an eng Verenegong gezwong gin.
21-00	Artikel 21
21-01	All Mensch huet d'Recht fir un den oeffentlechen Ugeleenhete vu sengem Land matzewiirken, sief et direkt odder duerch fraei gewielt Vertrieder.
21-02	All Mensch huet d'Recht fir enner glaeiche Konditiounen an d'oeffentlech Fonktioune vu sengem Land eranzekommen.
21-03	De Vollekswellen as d'Grondlag vun der Oeffentlecher Gewalt hirer Autoriteit; dee Welle muss sech an eierleche Walen, dei periodesch ofzehale sin no engem glaeichen an allgemenge Walrecht, a geheime Walen odder an enger glaeichwaeerteger Prozedur, dei fraei Wale garanteiert, auszedrecken.
22-00	Artikel 22
22-01	All Mensch huet als Member vun der Gesellschaft d'Recht op zozial Secherheet; en as berechtegt fir an de Genoss vun de wirtschaftlechen, zozialen a kulturelle Rechter ze kommen, dei fir seng Digniteit an d'fraei Entwecklong vu senger Perseinlechkeet neideg sin, dat alles duerch en nationalen Effort an eng international Zesummenaarbecht an an engem Mooss, wei d'Organisatioun an d'Ressource vun all Land et ausweisen.
23-00	Artikel 23
23-01	All Mensch huet d'Recht op Aarbecht, op d'fraei Wiel vu senger Aarbecht, op Aarbechtskonditiounen, dei gerecht sin an zefridde stellen an op de Schutz geint de Chomage.
23-02	Jiddereen huet ouni Diskriminatioun d'Recht op de selwechte Loun fir dei selwecht Aarbecht.
23-03	Jiddereen, dee schafft, huet d'Recht op e gerechten an ordentleche Loun, deen him selwer a senger Famill eng Existenz op der Basis vun der menschlecher Digniteit sechert an deen, wann neideg, duerch all aner zozial Mesuere gestaeipt get.
23-04	All Mensch huet d'Recht fir mat anere Leit Beruffsorganisatiounen ze grennen a fir seng Intressen ze verdedegen dranzegoen.
24-00	Artikel 24
24-01	All Mensch huet d'Recht op Rou a Fraeizaeit a besonnesch op eng raesonnabel begrenzten Dauer vun der Aarbechtszaeit an op periodeschen a bezuelte Conge.
25-00	Artikel 25
25-01	All Mensch huet d'Recht op e Liewesniveau, deen duergeet fir him selwer a senger Famill d'Gesondheet an d'Gutt-Ergoen, besonnesch d'Narong, d'Kleder, d'Wunneng, d'medezinesch Fleg an dei neideg zozial Dengschter ze garanteieren; en huet d'Recht op Secherheet am Fall vu Chomage, Krankheet, Invaliditeit, als Witfra odder Witmann, am Alter an an anere Faell, wou en d'Mettele fir saei Liewesennerhalt net mei huet duerch Emstaenn, dei onofhaengeg si vu sengem Wellen.
25-02	Mamm a Kand hun d'Recht op speziell Hellef a Baeistand. D'Kanner alleguer, ob se am odder net am Bestiednes gebuer gin, kommen an de Genoss vun deem selwechten zoziale Schutz.
26-00	Artikel 26
26-01	All Mensch huet d'Recht op Bildung. Den Unterrecht muss op d'mannst fir d'Elementar- an d'Grondschoule gratis sin. Den Elementarunterrecht as obligatoresch. Den techneschen an de Beruffsunterecht musse verallgemengert sin. Den heiere Studium muss jidderengem mat dene selwechte Rechter an op der Basis vu senge Leeschtungen opstoen.
26-02	D'Bildung soll dei voll Entwecklong vun der menschlecher Perseinlechkeet a mei e grousse Respekt vun de Menscherechter an de Grondfraeiheten uviseieren. Si soll de Versteesdemech, d'Toleranz an d'Frendschaaft tescht allen Natiounen an alle Gruppe vu Rassen a Relioune grad esou favoriseiere wei d'Entwecklong vun de Vereenten Natiounen hiren Aktiviteite fir d'Erhale vum Fridden.
26-03	D'Elteren hu virewech d'Recht fir de Genre vun de Kanner hirer Bildung ze wielen.
27-00	Artikel 27
27-01	All Mensch huet d'Recht fir fraei un der Kommunoteit hirem kulturelle Liewen deelzehuelen, an de Genoss vun der Konscht ze kommen a vum wesseschaaftleche Fortschrett a vun allem, wat sech doraus u Guddem erget, ze profiteieren.
27-02	Jiddereen huet d'Recht op de Schutz vun de moraleschen a materiellen Intressen, dei aus jidfer wesseschaaftlecher, literarescher odder artistescher Produktioun entstin, vun deer hien den Auteur as.
28-00	Artikel 28
28-01	All Mensch huet d'Recht op eng zozial an international Uerdnong, an deer sech dei Rechter a Fraeiheten, dei an deser Deklaratioun opgezielt gin, voll kennen auswiirken.
29-00	Artikel 29
29-01	All Mensch huet Flichte vis-a-vis vun der Kommunoteit, an deer eleng dei fraei a voll Entwecklong vu senger Perseinlechkeet meiglech as.
29-02	Am Gebrauch vu senge Rechter an am Genoss vu senge Fraeiheten as jiddereen nemmen dene Limiten ennerworf, dei d'Gesetz eenzeg an eleng dofir virgesaeit, datt d'Unerkennong an de Respekt vun aneren hire Rechter a Fraeihete gesechert sin a fir engem gerechten Usproch op Moral, op oeffentlech Uerdnong an op en allgemengt Wuel an enger demokratescher Gesellschaft z'entspriechen.
29-03	Des Rechter a Fraeiheten duerfen a kengem Fall am Widdersproch mat de Vereenten Natiounen hiren Ziler a Prinzippie stoen.
30-00	Artikel 30
30-01	Keng Bestemmong vun deser Deklaratioun duerf esou ausgeluegt gin, datt e Recht fir e Stat, eng Grupp odder en eenzele Mensch dra waer fir sech un Aktiviteiten ze gin odder Akten duerchzefeieren, dei drop erauslafe fir d'Rechter an d'Fraeiheten, dei dra genannt sin, emzestoussen.
