00-00	MAPANGADIKA MANGATA KUDI BUKWA-BISAMBA BYA BULOBA BUJIMA PA MAKOKESHI A MUNTU YONSU
00-01	Pa kumona ne, kwitaba se bantu bonsu ba pa buloba badi ne buneme ne makokeshi amwe ne a kashidi ke nshindamenu wa budikadidi, bwakane ne bupole pa buloba bujima;
00-02	Pa kumona ne, dibenga kumanya ne dipepeja dya makokeshi a muntu bidi bifikisha ku ngenzelu mishadile idi mwa kunyengabaja myoyi ya munda ya bantu; pa kumona ne kufikisha bantu ku nsombelu udibo mwa kwikala bakula ne biitaba cidibo baswe, kabayi ne bowa anyi lutatu ke kiipacila kanene ka muntu yonso;
00-03	Pa kumona ne bidi bikengela kwenza mikenji idi mwa kukuba makokeshi a muntu yonsu ne kubenga kufikisha bantu ku ditombokela dya bukalenge bwa cinyangu ne bushipyanganyi,
00-04	Pa kumona ne matunga a Nsangila wa Buka-bisamba (ONU) adi mashindike ditaba dyawu mu makokeshi mashindame ne mushinga wa muntu yonso mu bobumwe bwa makokeshi a balume ne bakaji, mu dyangata mapangadika a kutungunuja nombelu mulenga wa bantu mu budikadidi;
00-05	Pa kumona ne ditunga ne ditunga dyonsu, pamwe ne Nsangilu wa Bukwa-bisamba mbangate maangadika a kunemeka ne kwitaba makokeshi ne budikadidi bwa muntu yonsu;
00-06	Pa kumona ne bwa kukumbaja mapangadika aa, bidi bimpe bantu bonsu bikale ne ngumvwilu umwe wa budikadidi ne makokeshi aa;
00-07	Cifufu cinene nya Nsangilu wa bukwa-bisamba cidi cikobola Mapangadike pa makokeshi a Muntu yonsu aa bu kipacila ka bisamba ne bukwa matunga bwa se bantu bonsu pamwe ne bulongolodi bonso bwa bantu kabayi bapwa Mapangadika aa moyo, benze mwabu monsu bwa kutungunuja dinemeka mine Mapangadika aa ne budikadidi ku dilongesha bantu, kufikisha bantu ba buloba bujima ku ditaba ne diatumikila dilelela, ku dyangata mapangadka adi akengedibwa ku citupa ku citupa munda mwa matunga ne ku bukwa-bisamba byonsu ebi kudi bobo bena matunga aa pamwe ne bena misoko idi ku bukenji bwawu.
01-00	Kanungu ka 1.
01-01	Bantu bonsu badi baledibwa badikadile ne badi ne makokeshi amwe. Badi ne lungenyi lwa bumuntu ne kondo ka moyo, badi ne bwa kwenzelangana malu mu buwetu.
02-00	Kanungu ka 2.
02-01	Budikadidi ne makokeshi mafunda mu Mapangadika aa bidi bitangila muntu yonsu, kakuyi disunguluja bisamba, mubidi wa makoba a bantu, bulume anyi bukaji, mwakulu, ntendelelu, ngumvwilu wa malu a cididi anyi dyela dya meji kana onsu, ditunga dya muntu; bubanji anyi bupele, mwaba wa cilelelu ne a mishindu kana yonsu.
02-02	Kabidi kabyena bikengela kansungansunga ku malu a cididi, a bunzuji a bukwa matunga anyi a mu ditunga didi muntu ufumina, nansha dyodyo didikadile anyi dikale ku bukenji anyi ku bupika bwa dikwabu.
03-00	Kanungu ka 3.
03-01	Muntu yonso udi ne bukookeshi bwa kwikala ne moyo, kudiikadila ne kusoma talala mu bumuntu bwende.
04-00	Kanungu ka 4.
04-01	Muntu nansha umwe kena mwa kukwaciibwa ku bupika bwalu mushinga wa bapika mmukandikiibwe mu mishindu yawu yonsu.
05-00	Kanungu ka 5.
05-01	Muntu nansha umwe kena mwa kukengeshiibwa anyi kupeshibwa bibawu bya kanyawu bidi kabiyi byakanyina bantu anyi bidi mwa kubapwekesha mulongo.
06-00	Kanungu ka 6.
06-01	Muntu yonsu udi ne bukenji bwa kumanyibwa my myaba yonsu mu bumuntu bwende.
07-00	Kanungu ka 7.
07-01	Bantu Bonsu badi momumwe kumpala kwa meyi ne kakuyi dishilangana ne bukenji bwa kukubibwa kudi diyi dya momumwe. Bonso badi ne bukenji bwa kukubibwa mushindu wa momumwe bumpala kwa kansungansunga kikala mwa kutupa ku Mpangadika aa ne kumpala kwa nkebelu yonsu wa kansungansunga ka mushindu ewu.
08-00	Kanungu ka 8.
08-01	Muntu onso udi ne bukokeshi bwa kunyemena ku tubadi tumanyike twa ditunga dyende padiye mumone maalu adi atupa ku makokeshi a nshindamenu adi mamwambika kudi meyi ne mikandu anyi kudi Diyi dikulu dya ditunga dyende.
09-00	Kanungu ka 9.
09-01	Muntu nansha umwe kena mwa kukwacibwa, kulamibwa anyi kwipacibwa cyanana ku diswa dya muntu.
10-00	Kanungu ka 10.
10-01	Muntu yonsu udi ne bukokeshi bwa kumona cilumbu cyende cikoshibwa byakane, mu bulelela kakuyi kansungansunga, kudi tubadi twa mu ditunga dyende ku mesu a bantu. Tubadi etu ne tujadike makokeshi ende ne bidiye ne bwa kwenza anyi bwimpe bwa kafundila.
11-00	Kanungu ka 11.
11-01	Muntu yonsu udi mufundibwe kena mwena cibawu too ne diba dya mulumbulwishabu ne didibo bamuleja se udi mwenze bibi kumpala kwa cilumbulwilu ne kabidi pikalabu bamane kumulumbulwila kudi baavoka bende.
11-02	Muntu nansha umwe keena mwa kukosedibwa buloku bwa bilema anyi ntupakanyi idi, cikondo civwayi myenza kayiyi myanji kwikala mimanyibwe ne yidi bilema ku mikandu ya ditunga anyi bukwamatunga. Bidi momumwe ne kakwakwikala cibawu nansha cimwe cikosela muntu cipite cukole eci civwa cifundiibwe cikondu civwa cilema cyenza.
12-00	Kanungu ka 12.
12-01	Muntu nansha umwe kena mwa kubwelakana mu nsombelu wa mukwabu, mu diku dyende, mu nzubu wende, mu difunda anyi difundilangana dyende dya mikanda peshi kunyanga lumu lwende. Muntu yonsu udi ne bukenji bwa kukubibwa kudi meyi ne mikandu pa malu a mushindu ewu.
13-00	Kanungu ka 13.
13-01	Muntu yonsu udi ne bukenji bwa kwendakana mudiye muswe ne bwa kusungula mwaba udiye mwa kusomba munda mwa ditunga dyende.
13-02	Muntu yonsu udi ne bukenji bwa kumuka mu ditunga dyonsu, nansha dyende ne kupinganamu kabidi
14-00	Kanungu ka 14.
14-01	Kumpala kwa lufu, muntu yonsu udi ne bukokeshi bwa kukeba mwaba wa kusokoma pikalaye mukengeshibwe mu ditunga dyende.
