00-00	KUZANGA CHA KAYE HALUSESA LWA MUTU
00-01	Chakutamo hakwitavila wulemu wa Lusesa lwa Mutu wosena mu chiyoyelo chenyi, Nakupwa nakuliyoyela chakuhona kupwa nawoma, kaha atela kupwa nachiyoyelo chakuwunda mu Kaye.
00-02	Chapwa chakutamo kuhasa kukanyisa jijila jize jakuyanjisilamo Mutu, kaha makuwana nawa jijila jeka Mutu nahase kuyoyelamo muno mu Kaye mwahasa kupwa na Lusesa lwakuhasa kulihanjikila, kupwa nachinyingi chakutanga mazu akalunga mwazanga chakuhona kupwa nawoma.
00-03	Chapwa chakutamo Mutu kuhona kumushinjila kulinga vyuma vyavipi navihasa kumuwanyisa kukaluhwa mu chiyoyelo chenyi kupwa nge jila yakukumishilako, Lushimbi lwakufwana ngana lwatela kupwako.
00-04	Chapwa chakutamo kuneha chivwashano nawusepa mukachi kamafuchi.
00-05	Chapwa nawa chakutamo Vatu vamu Liwuka lya United Nations kweseka nakuzanga chavo kumona nge kuli kweseka hamwe muchiyoyelo chavo chamalunga na mapwevo mangana vahase kupwa vakweseka hamwe muchiyoyelo chavo.
00-06	Chakutamo nawa mafuchi amuchikungulwilo kana chazango ya Lushimbi yakulivwashana vanalishiki mukachi kavo kuhasa kulivwashana na Mafuchi amu United Nations kuhasa kutwala kulutwe chivwashano kana kaha nakukavangiza nawa jingolo ja Lusesa lwa Mutu jakupwa wakulizachila nakulitambukila mukuyoya chenyi.
00-07	Chapwa nawa chakutamo nakumona nge kuli chivwashano cha jishimbi ja Lusesa kana ja Mutu kwesekesa nalushiko lwa chivwashano echi.
00-08	Chivwashano kana echi cha Lusesa lwajingolo ja Mutu chatela kuchitachikiza nakuchikavangiza kuvatu vosena vamu vamuchivulu muchiyoyelo chavo, nakulama nawa lushiko lwa chivwashano kana mukachi ka Vatu vosena hamwe na Mafuchi atwama mu Chikungulwilo kana chazango eyi ya Chivwashano.
01-00	Chihanda 1
01-01	Vatu vosena vasemuka yapwa hohamwe nakweseka mukuyoya chavo. Vatwama nachiyoyelo chalusesa chajingolo chakuzanga kulivwashana muchiyoyelo chavo.
02-00	Chihanda 2
02-01	Mutu wosena atwama nalusesa lwajingolo josena eji vetavila mukaye jakuhona kulihandununa chakufwana nge kulitala havikova, miyachi, kulihandununa chavatu vamukaye mukusemuka chavo hamwe namukutwama chavo hano hakaye.
02-02	Kakwechi kupwa kukalihandununa mwomwo wajishimbi, jizango chipwe kulihandununa chamafuchi mujishimbi namuchiyulo chipwe lifuchi kuze afuma mutu, chipwe lifuchi lyakulimanyina, lyalifwelela muchiyulo chalyo, kalyaliyula liveneko, chipwe lyapwa kanda lilimanyine muchiyulo.
03-00	Chihanda 3
03-01	Mutu wosena analusesa lwachiyoyelo chenyi, kupwa wakusokoka kaha mutu vanahase kukinga.
04-00	Chihanda 4
04-01	Kakwechi kukapwa mutu mwakapwa muwundungoko, kuzata milimo yakushinjila yawana, nawundungo wakukwata vatu navakawukanyisa mujijila josena.
05-00	Chihanda 5
05-01	Kakwechi kukapwa mutu navakayanjisa mujijila josena jajipiko chipwe kumuhombwanyisa numba kumuzangamisako.
06-00	Chihanda 6
