00-00	?
00-01	Mihring nun zahawmna inhriatsak leh mi zawng zawngten kan pianpui dikna leh chanvote inangtlanga inngaihpawimawhsak tawnna hi zalenna, dikna leh khawvel pum pui remna leh muanna innghahna lungphum a nih avang te,
00-02	Mihringte dikna chanvo (Human Rights)-in ngaihnep leh ngaihthah a hlawh apianga khawvelah tawrhna nasa tak lo thleng thin a, chumi avanga mitinten kan thlakhlelh leh kan vei zawng sawi chhuah theihna tur leh hlauhna leh tlakchhamna lak atanga kan fihlim theihna tur boruak te a tihchhiat thin avang te,
00-03	Tharum hmanga inawpbeh avanga loh theih lohva mipuiten an dikna leh chanvote tharum thawha an sual chhuah a ngaihlohna tura ram rorel khawlin mihring dikna leh chanvo humhalhna dan a lekkawh reng a ngaih a vang te,
00-04	Ram hrang hrang leh hnam hrang hrangte inkara inunauna tha tak vawn nun reng hi thil pawimawh tak a nih avang te,
00-05	UN Danpui (Charter) hnuaiah member ram zawng zawngten mihring dikna leh chanvo te humhalh tlat tul an tihzia an puanchhuah avang te leh mihring nun hlutna leh zahawmna te, mipa leh hmeichhe intluktlanna chungchang te, hmasawnna leh zalenna zau zawk neih zelna kawngah te zau zawka tanho zel an duh thu an puan chhuah avang te,
00-06	Mihring dikna leh zalenna vawng him zel tura member ram ten UN thlazar hnuaia thawkho zel tura thu an tiam avang te leh,
00-07	Chu thutiam hlenchhuak tur chuan heng mihring dikna leh chanvo te hriatfiah hi thil tul tak a nih avang tein,
00-08	Tunah hian, General Assembly chuan he Thupuanchhuah (Declaration) hi a puangzar ta a ni. He MIHRING DIKNA CHANVO THUPUANCHHUAH (UNIVERSAL DELCARATION OF HUMAN RIGHTS) hi khawvela mi hnam tin leh chi tinte tan hmasawnna chhinchhiah tlak a ni a, hei hian mitinte chu he Thupuanchhuah vawng reng chunga mimal dikna leh chanvote chawisan leh zirtirna kawngah mawh min phurhtir vek a, member ramte chuan an ram chhung leh ram dangte nena an inkarah leh an awp ram hrang hrangah pawh mi zawng zawng huap he mihring dikna leh chanvo chawisan leh inzah sak a, a taka hlenchhuahna kawngah mawh an phur vek a ni.
01-00	Article 1
01-01	Mi zawng zawng hi zalena piang kan ni a, zahawmna leh dikna chanvoah intluk tlang vek kan ni. Chhia leh tha hriatna fim neia siam kan nih avangin kan mihring puite chungah inunauna thinlung kan pu tlat tur a ni.
02-00	Article 2
02-01	He Thupuanchhuah (Declaration)-in a tarlan mihring dikna leh zalenna hrang hrangte hi hnam hran avang te, vun rawng danglam avang te, mipa leh hmeichhia nih avang te, sakhua leh politics thila ngaihdan hran avang te, chi leh kuang thu emaw, neihsum hil emaw leh pian leh murna emaw leh dinhmun inthlauh thu emaw avang tea inthliar hranna awm miah lova mi tinten kan chanvo a ni a.
02-02	Chubakah, mi tumah an thu kalpui dan avang emaw, an ram kalphung leh ram rorel dan danglam avang emaw leh ram zalen an ni emaw, mi awpbeh ram an nih avang emawin thliarhran leh thlauhthlak a thiang lo bawk.
03-00	Article 3
03-01	Mitinte hian nung turin dikna kan nei vek a, zalenna leh mimal nun thlamuanna te hi kan chanvo a ni.
04-00	Article 4
04-01	Mi tumah chhiahhlawh leh sal anga chhawr luih phal a ni lova, sal neih leh mihringa sumdawnna lam chi reng reng khap tlat a ni.
05-00	Article 5
05-01	Mi tumah sawisak leh nghaisak phal a ni lova, mihring zahawmna ti bawrhbang zawng leh rawng lutuka inhremna lam chi reng reng phei chu tu chungah mah lekkawh tur a ni lo.
06-00	Article 6
06-01	Mitinte hian khawi hmunah pawh dan hmaah chuan mi pangngai anga enkawlna dawn hi kan chanvo a ni.
07-00	Article 7
07-01	Dan hmaah chuan tute pawh kan intluk tlang vek a, thleibik awm miah lova dan humhimna hi kan zavaia chanvo a ni. He thuthlung palzut zawnga thliarhranna awm thei lak atanga danin intluktlanga a venhimna hi kan chanvo theuh a ni.
08-00	Article 8
08-01	Ram danpuiin a pek mimal dikna leh chanvo palzutna avanga tawrhna chungchangah mi tupawh an ram rorelnaah an zualko thei a ni.
09-00	Article 9
09-01	Mi tumah apawng ataka man emaw, hren luih emaw leh hnawhchhuah emaw tur a ni lo.
10-00	Article 10
10-01	Mi tupawh thilsual tia puh a nihin a chungchang rel fel turin rorelna dik leh lai a chunga hlenchhuah a nih theih nan dik taka rorel saktu tur rorelna dawn chu a chanvo a ni.
11-00	Article 11
