00-00	maanavaadhikaar ke lel samyukta raassttra uccaayukta sab ke lel maanavaadhikaar maanavaadhikaar ghossannaa ke pacaasavaam varssagaamttha
00-01	sabhe ke okar ucit sammaan tathaa maanav parivaar ke sab sadasya ke baraabarii ke hak hii vishva samudaaya ke svatamtrataa, nyaaya aur shaamti ke buniyaad haii.
00-02	maanavaadhikaar ke ullamghan haradam se amaanaviiya kaam ke bajah se hii hov haii. jekaraa se maanavataa ke amtakarann du:khii hov haii. ek aam aadamii ke sabase baddaa icchaa ihe hov haii ki e duniyaa mem okaraa bhaassann aur vicaar ke aajaadii miile saath hii bhaya aur icchaa se bhii mukti miile.
00-03	yadi koiyo taanaashaahii yaa daman ke khilaaph bagaavat kare lele majabuur haii ta okaraa kaanuun se okar maanavaadhikaar ke surakssaa ke imtajaam hoe ke caahiim. iho aavashyak haii ki raassttra sab ke biic dostii baddhaael jaae.
00-04	samyukta raassttra ke log sab apan caarttar mem maulik maanavaadhikaar, maanav ke sammaan aur upayogitaa tathaa aadamii aur aurat ke baraabar adhikaar ke prati apan vishvaas jatelakaii hana. saath hii u aar svatamtrataa ke maahaul mem saamaajik pragati tathaa jiivan ke star ke baddhaave lel bhii drddha nishcaya kaelakaii hana.
00-05	saath mem sadasya raassttra sab samyukta raassttra ke madad se maanavaadhikaar aur maulik svatamtrataa ke prati log sab mem ijjat baddhaave lel bhii samkalpa lelakae hana.
00-06	ehi se i samkalpa ke praapti ke lel i sab adhikaar aur svatamtrataa ke samajh rahanaa sabase jaruurii haii.
00-07	ab, ehii se,
00-08	mahaasabhaa,
00-09	ii elaan kar haii, ki maanavaadhikaar ke i ghossannaa ke sab log aur sab raassttra paalan kare. sab vyakti aur samaaj ke sab amga i ghossannaa ke apan imaam mem rakhe. samyukta raassttra ke sadasya raassttra ke log sab ke biic yaa unakar adhikaar kssetraa mem rahe vaalaa log ke biic pragatishalii kadam se yaa shikssaa ke maadhyam se i sab adhikaar aur svatamtrataa ke prati sammaan jagaalaii ke caahii.
01-00	anucched 1
01-01	sab log aajaade janma leb haii tathaa sab ke baraabare sammaan aur adhikaar hai. hunakho ke paas samajh-buujh aur amta:karann ke aavaaj hob haii. aur hunakaa dosaro ke saath bhaaiicaaraa ke vyavahaar kare padda haii.
02-00	anucched 2
02-01	binaa kono jaati, ramga, limga, bhaassaa dharma, raajaniitik, aur dosaro maanyataa, raassttriiyataa yaa saamaajik muul, dhan sampatti, janma yaa dosar sthiti ke bhedabhaav ke sabhe koii u ghossannaa mem likhal adhikaar aur aajaadii ke hakadaar hoithina.
03-00	anucched 3
03-01	sab ke jimdagii, svatamtrataa aur aatma surakssaa ke adhikaar haii.
04-00	anucched 4
04-01	kekaro bhii gulaam banaa ke naa rakhal jaa sak haii. kono ruup mem gulaamii aur gulaam ke vyaapaar par sakhta paabamdii haii.
05-00	anucched 5
05-01	kekaro saath kruur, amaanaviiya yaa ghrnnit vyavahaar naa kael jaa sak haii. kekaro sataael yaa sajanaa del jaa sak haii.
06-00	anucched 6
06-01	sab ke kaanuun ke saamane sab jagah ek aadamii ke ruup mem pahacaanal jaae ke adhikaar haii.
07-00	anucched 7
07-01	kaanuun ke saamane sab koii baraabar haii. tathaa binaa kono bhedabhaav ke kaanuun se samaan samrakssann praapta kare ke adhikaar haii. tathaa i ghossannaa ke ullamghan hoelaa par yaa bhedabhaav ke sthiti mem sab ke samaan samrakssann praapta kare ke adhikaar haii.
08-00	anucched 8
08-01	samvidhaan yaa kaanuun dvaaraa del gel sab maulik adhikaar ke ullamghan holaa par sab ke koii acchaa raassttriiya samgatthan se kssatipuurti praapta kare ke adhikaar haii.
09-00	anucched 9
09-01	keo ke bhii binaa kaarann ke kaid, ajnyaatavaas yaa desh nikaalaa na del jaa sak haii.
10-00	anucched 10
10-01	kekaro khilaaph aaparaadhik maamalaa hoe athavaa keo ke sab adhikaar aur kartavya ke nirdhaarann ke silasilaa mem kauno svatamtraa aur nisspakssa ttraaibyuunal ke samakssa nisspakssa sunavaaii ke samaan adhikaar milal haii.
11-00	anucched 11
11-00	keo ke bhii kaanuun jab tak dossii naa kah det haii tab tak okaraa begunaahe samajhal jaae ke caahii. caahe okaraa khilaaph aaparaadhik maamalaa hii kaahe naa cal rahal hoe. i sunavaaii ke dauraan apan bacaav ke lel okaraa puuraa-puuraa hak bhii milataii.
11-01	kauno raassttriiya yaa antarraassttriiya kaanuun ke tahat konom kaam ke damddaniiya aparaadh naa maanal jaa rahalaii han ta kauno aadamii ke u kaam ke lel dossii naa karaar del jaa sak haii.
12-00	anucched 12
12-01	keo ke niiji jiivan, parivaar, ghar tathaa patraaaacaar aadi mem kauno ke bhii hastakssep kare ke adhikaar naa haii. na hii koii ke okar sammaan aur pratisstthaa par hamalaa kare ke adhikaar haii.sab ke aisan hastakssep aur hamalaa ke khilaaph kaanuun se samrakssann praapta kare ke adhikaar haii.
13-00	anucched 13
13-00	sab ke apan raajya ke siimaa ke amdar makaan banaave ke tathaa ek jagah se dosar jagah jaae ke adhikaar hae.
13-01	sab ke koii bhii desh ihaam tak ki apan bhii chodde aur vaapas lautti ke aabe ke adhikaar haii.
14-00	anucched 14
14-00	prataaddanaa se bace khaatir dosar desh mem samrakssann praapta karem ke adhikaar haii.
14-01	lekin i adhikaar ke upayog oisan prataaddanaa mem naa kael jaa sak haii je gair raajaniitik aparaadh tathaa samyukta raassttra ke uddeshya aur siddhaamta ke khilaaph kael gel kaam ke lel milal rahal hoe.
15-00	anucched 15
15-00	jaati, raassttriiyataa aur dharma ke bamdhan se mukta kauno bhii baalig aadamii aur aurat ke shaadii aur parivaar basaave ke adhikaar haii. dunuu ke shaadii ke samaya, grhastha jiivan ke dauraan aur shaadii ttuutte ke baado baraabarii ke adhikaar haii. shaadii dunuu ke marjii aur sahamati se hii sambhav haii.
15-01	parivaar samaaj ke ek praakrtik aur maulik ikaaii hae. saath hii okaraa samaaj aur raajya se puuraa samrakssnna praapta kare ke atidhakaar haii.
16-00	anucched 16
16-00	[missing?]
16-01	[missing?]
16-02	[missing?]
17-00	anucched 17
17-00	koiyo akele athavaa kekaro saath mil ke sampatti arjit kar sak haii.
17-01	kekero ke bhii okar sampatti se bedakhal naa kael jaa sak haii.
18-00	anucched 18
18-01	sab ke soce aur koiyo dharma apanaave ke adhikaar haii. tathaa o apan dharma aur maanyataa mem bhii parivarttan kar sak haii. ekar saath-saath u akele yaa samuuh mem kono bhii saarvajanik yaa niiji jagah par apan dharma yaa vishvaas ke paalan, pravacan athavaa puujaa-paatth ke maadhyam se kar sak haii.
19-00	anucched 19
19-01	sab ke vicaar aur abhivyakti ke adhikaar haii aur okar i vicaar mem kaisano bhii hastakssep naa ho sak haii. saath hii o samcaar ke kono saadhan dvaaraa kahiim se bhii koii bhii suucanaa aur vicaar praapta kar sak haii.
20-00	anucched 20
20-00	sab ke shaamtipuurnna tariikaa se ekatraait hoe tathaa kono samgatthan mem shamil hoe ke adhikaar hai.
20-01	tathaa kekaro kono samgatthan mem jabardastii shaamil naa karal jaa sak haii.
21-00	anucched 21
21-00	sab ke apan desh ke sarakaar mem shaamil hoe ke adhikaar haii yaa ta siidhe-siidhe yaa apanasvatamtrataa se cunal pratinidhii ke maadhyam se.
21-01	apan desh ke janasevaa ke upayog kare ke adhikaar haii.
21-02	ke icchaa hii sarakaar ke taakat ke aadhaar hob huii.aur i samaya-samaya par hobe vaalaa svatamtra aur nisspakssa cunaav se hob haii. jekar aayojan gupta matadaan yaa pher svatamtra matadaan prakriyaa se hob haii.
22-00	anucched 22
22-01	samaaj ke ek sadasya hobe ke naate sab ke saamaajik surakssaa ke adhikaar haii. saath hii desh ke aarthik, saamaajik aur saamskrtik adhikaar ke upayog ke adhikaar haii je okar vyaktitva ke vikaas mem sahaayak hob haii. i sab adhikaar ke upayog, prayaas tathaa antarraassttriiya sahayog se sambhav ho sake haii. je o raassttra ke samsaadhan aur samgatthan par nirbhar kar haii.
23-00	anucched 23
23-00	sab ke kaam kare ke tathaa rojagaar cune ke adhikaar haii . tathaa berojagaarii se okar surakssaa ke gaaramttii bhii. ii nyaayasamgat tathaa suvidhaajanak paristhiti mem bhii kaam kare ke adhikaar haii.
23-01	binaa kauno bhedabhaav ke samaan kaarya ke khaatir samaan vetan ke adhikaar haii.
23-02	har koii je kaam kar haii oke apan tathaa parivaar ke lel ek nyaayasamgat tathaa ucit vetan paave ke adhikaar haii taaki u sammaanajanak jimdagii bitaa sake. ekar alaave saamaajik samrakssarann ke u saadhan ke upayog kare ke bhii adhikaar haii je okar vetan mem baddhotarii kar sak haii.
23-03	ekar alaave apan hit ke surakssaa ke lel ttredd yuuniyan banaabe athavaa ttredd yuniyan mem shaamil hobe ke adhikaar haii.
24-00	anucched 24
24-01	sab ke aaraam tathaa chuttttii manaabe ke adhikaar haii. tathaa kaam ke samaya ke bhii ucit siimaa haii tathaa samaya-samaya par vetan sahit chuttttiyo ke upabheg ke adhikaar bhii.
25-00	anucched 25
25-00	sab ke apan tathaa apan parivaar ke svaasthya aur kushalataa ke khaatir ek ucit star par jiivan yaapan ke adhikaar haii. baddhiyaa jiivan-star mem okaraa lel bhojan, kapaddaa, ghar tathaa ucit cikitsaa aur jaruurii saamaajik sevaa bhii shaamil haii. ekar alaave berojagaariil, bimaarii, apamgataa, bedhavya, buddhaapaa tathaa aisan haalat jekaraa par okar, niyamtraann naa haii, o se surakssaa paave ke adhikaar haii.
25-01	maatrtva tathaa bacapan ke vishess dhyaan aur madad paave ke adhikaar haii. sab baccaa ke, caahe okar janma kaanuunii shaadii ke tahat hoel hoe athavaa binaa shaadii ke, saamaajik samrakssann praapta kare ke adhikaar haii.
26-00	anucched 26
26-00	sab ke shikssaa praapta kare ke adhikaar haii. kam se kam praathamik tathaa buniyaadii shikssaa ta muphta hoe ke caahiye. takaniikii aur vyavasaayik paddhaaii sab ke mile ke caahii tathaa yogyataa ke aadhaar par ucca shikssaa par sab ke adhikaar hoe ke caahii.
26-01	shikssaa maanav vyaktitva ke vikaas mem sahaayak hoe tathaa maanavaadhikaar aur buniyaadii svatamtrataa ke prati aadamii sab mem ijjat ke bhaavanaa ke majabuut kare. sab desh jaati aur dhaarmik samuuh ke biic aapasii samajh, sahanashiilataa tathaa bhaaiicaaraa evam shaamti kii sthaapanaa ke khaatir samyukta raassttra ke gatividhiyo ke baddhaabe mem sahaayak ho.
26-02	abhibhaavak sab ke apan baccaa ke lel sahii shikssaa cune ke bhii adhikaar haii.
27-00	anucched 27
27-00	sab ke apan samudaaya ke saamskrtik kaaryakram mem hissaa lebe ke, kalaa ke aananda utthaabe ke, vaijnyaanik pragati mem bhaagiidaar bane ke tathaa laabh utthaabe ke adhikaar haii.
27-01	sab ke apan vaijnyaanik, saahityik aur kalaatmak krti jekar o lekhan hae ke naitik aur maulik phaayadaa ke samrakssann ke adhikaar haii.
28-00	anucched 28
28-01	sab ke i ghossann mem nirdhaarit sab adhikaar aur aajaadii ke saamaajik aur antarraassttriiya star par paave ke adhikaar haii.
29-00	anucched 29
29-00	sab ke apan samudaaya ke prati karttavya haii. jekaraa puuraa karake hii okar vyaktitva ke svatamtraa aur sampuurnna vikaas sambhav haii.
29-01	apan adhikaar aur aajaadii ke upayog kaanuun dvaaraa tak kael gel siimaa ke antargat hii honaa caahii taaki ham dosaro ke adhikaar aur aajaadii ke bhii ucit sammaan kari sakiyai.
29-02	ekaraa se ek lokataamtraaik, samaaj mem naitik, kaanuun aur vyavasthaa tathaa jan-kalyaann ke tathaa jaruurat ke ham puuraa kar sak hiiye.
30-00	anucched 30
