00-00	saarvabhaum maanavaadhikaar ghossannaa
00-01	jem ki maanav parivaarak sakal sadasyak janmajaat garimaa aaor samaan evam avicchedya adhikaarakem sviikrti deb svatantrataa, nyaaya aa' vishvashaantik muulaadhaar thik,
00-02	jem ki maanavaadhikaarak avahelanaa aa' avamaananaak parinnaam hoich ehan nrshamsa aacarann jaahisam maanavak antahkarann marmaahat hoit achi aaor avaruddha hoit achi ek ehan vishvak avatarann jaahime abhivyakti aa' vishvaasak svatantrataa tathaa bhaya aa' akimcanataasam mukti janasaamaanyak sarvocca aakaamkssaa ghossit ho;
00-03	jem ki vidhisammat shaasan dvaaraa maanavaadhikaarak rakssaa ehi hetu paramaavashyak achi je keo vyakti atyaacaar aa' damanasam bamcabaak kono aan upaaya nahi paabi, shaasanak viruddha baagii nahi bhae jaae;
00-04	jem ki raassttrasabhak biic maitriipuurnna sambandha baddhaaeb paramaavashyak achi;
00-05	jem ki raassttrasamghak lok apan caarttar madhya maulik maanavaadhikaarame, maanavak garimaa aa' muulyame tathaa strii aa' purussak biic samaan adhikaarame apan nisstthaa punah paripusstta kaelak achi aaor vyaapak svatantrataak samga saamaajik pragati aa' jiivan starak samunnayan hetu krta samkalpit achi;
00-06	jem ki sadasya raassttrasabh raassttrasamghak sahayogasam maanavaadhikaar aa' maulik svatantrataak saarvabhaum aadar tathaa anupaalan karabaak hetu pratibaddha achi;
00-07	jem ki ehi pratibaddhataak puurti hetu ukta adhikaar aa svatantrataak saamaanya bodh param mahattvapuurnna achi,
00-08	tem aab,
00-09	saadhaarann sabhaa
00-10	nimnalikhit saarvabhaum maanavaadhikaar ghossannaakem sabh janataa aa' sabh raassttrak hetu upalabdhik saamaanya maanadannddak ruupame, ehi uddeshyasam udghossit karait achi je pratyek vyakti aa' pratyek saamaajik ekak ehi ghossannaakem nirantar dhyaaname rakhait shikssaa aa' upadesh dvaaraa ehi adhikaar aa' svatantrataak prati sammaan bhaavanaa jagaabae tathaa uttarottar ehan upaaya–raassttriiya aa antararaassttriiya–karae jaahisam sadasya raassttrasabhak lok biic tathaa apan adhiinastha adhikssetrahuk lok biic ehi adhikaar aa' svatantrataakem saarvabhaum aa' prabhaavakaarii sviikrti praapta bhae sakaika.
01-00	anucched 1
