00-00	Nifosaal yiko-nba nba g nganduna muand
00-01	L gii tie k t bann g nifosaal yen u yikod n tie nil, t gii bann g lann ntie nil yal n kua, yen u moni yen u motaaog laafie fiegl.
00-02	L gii tie k t bann g nifosaal yikod kan coln, yen l tudm n te g niib suan tuonbiid g benng lieb pala, g bie tuo g dulinya kul doi taan g suol k b kpaan yen b pal kul, g nifosaal kul mog yiko yen wan maad u yam n, g i mog dindann, cicagm n ninng.
00-03	L gii tie k l mon g doug yikoddanm n gi guu nifosaal yiko, k tan da tie mabl nil po, k wan fiil g kon u kua po, g dugn b dalg u yikod. L gii tie k l mon, k tin tod g dingbanbudi-budi n suol donnu, g tien motaaog.
00-04	L gii tie k kadaaog ne ninng, dingbanbudi-budi niib kul taan g ngon nifosaal yikod n pugd yudand nba, g ngon g jua yen puo kul mog yikoyenn i, g bie tuo k b bu taan mob g tod g sua kul n yal u kua, g la yanngaal yen fuon.
00-05	L gii tie g doi kul nba be motacagl ne ninng juab yenjagl g ban son yenfidNU) doi kul tintaan cagl g baal yen
00-06	Coln yen moni nifosaali yikod ne yen b yal n kua po.
00-07	L gi tie g l doi fid g suol l yikod n b yen l yal n kua n b yen mo yem g buu taan g som yen motaaog ln fid g l yenjagl n baal gbienu.
00-08	Dulnya munn tintaan cionng muand molapo dulnya kul nifosaal yikod, lann tie motaaog maalm nba bu tod doi kul yen b niib, yen tuonn son caga l g i sua g b juab ya momaam ne g tien b pala ninng, g kon jad, g togn tunda yen cegli po g l momaam n gaal yiel niib yam ninng, g son tuonn, g yen moni sua kul n yal u kua lan tie u doug n lann i kaa dingbanfann ninng kul, lan n tie doi n ba taan lieb tintaan cionng ne ninng yen digban bid bid n ba be digbangbennga yikod ninng.
01-00	Ikod 1
01-01	Nifoi kul maal yendu buam po i, k b yudand yen b yiko-nba bie ja. B mog maalm g ban yal g ngan, g bie baa bu yen lieb naataann n ninng i.
02-00	Ikod 2
02-01	Sua kul mog u yiko-nba, g bie yal u kua nyan kadaaog ne n muand nand nyan muandi uba g lugd sua, nyan gbannand ninnaog, puo lann i koa jua l g lugd mabuolu, jaand buolu, poltiik cagl, l g lugd siel, l g mog k a mie n me yaa doug, l g mog k a mog ngalnan, l g mog k a mal ne yen yal’l be kul.
02-02	G pugn siel yaa lugdm kan sii be k l tie k g taa poltik cagl lann i k a k l taa doug l g sua be nibona, g sua be bitoa doug l lugdm kan giibe k l maa doug nl n yen doug ne lann i kaa g doug maa nuu doug ne po i. L bie kan gii nyuan sienyoug biinn po.
03-00	Ikod 3
03-01	Nil kul mog yiko manfuol po, yal n kua yen wan gii be yen papaal g siel yaa Janmi kan baal’o.
04-00	Ikod 4
04-01	Sua kan suol u lua yonmd, k dugn yonmd gii be palb.
05-00	Ikod 5
05-01	B kan suol nil g kuan’o cicagm n ninng, lann i ka g tien’o yal g bual k ban tien nifosaal. L g cab g ban tien nifosaal siel nyan u tie bonkobug nyan, b kan tien nil l nba jiind o famm.
06-00	Ikod 6
06-01	L bual g ban coln nifosaal kul naan buol kul k u b g dugn u moni sonu po.
07-00	Ikod 7
07-01	Niib kul ja i yikod nuunng ninng, yikod guu nil kul guan yal n ba kul bu tien g g tuag ya momaam ne sonu po.
08-00	Ikod 8
08-01	Nil kul mog yiko yen wan saan buud danm buol l gi sua k b g coln u yiko, nyan ban dien yal doug yikod kadaog n.
09-00	Ikod 9
09-01	Sua g mog yiko yen wan suol u lua k u g biil ba siel, g luon o dansalg lan i ka g bel o g nyan o doug ninng.
10-00	Ikod 10
10-01	Nil kul mog yiko k ban cenng’o g bie jiel u buud sala fam ninng. Buud danm n ba tuag mamoni sanjog buol i k l buud bu jiel. Banm kua n mog yiko yen ban maad wan biil yen wan g biil yal nba po k b jalgd’o g jiin u moni, u yiko yen doug yiko momaam po.
11-00	Ikod 11
11-01	Nil nba g suud-nba suol’o majalijali siel po, yikod ne maad ku daa g mog siel yaa maam saa saa yen youg nba g suud-nba bu jiel u buud asala siign, banm kua n bu maad u biid yen u moni. Buud daal yikod cab’o k wan juab afoka nba bu bu u po.
11-02	B kan bu sua buud g dug’n u biil siel sienyoug l gii sua g yikod bo g maad siel l po u doug ninng yen digbanfann ninng. B kan jiel sua buud lan gii cie yal k b bo bu jiel youg nba k u bo biil biilu.
12-00	Ikod 12
