00-00	L-ISTQARRIJA UNIVERSALI DWAR IL-JEDDIJIET TAL-BNIEDEM
00-01	Billi l-gharfien tad-dinjita proprja tal-membri kollha tal-familja umana u tad-drittijiet taghhom ugwali li ma jistghux jittehdulhom hu s-sies tal-helsien, tal-haqq u tal-paci fid-dinja,
00-02	Billi t-tkasbir u z-zeblih tal-jeddijiet tal-bniedem gabu maghhom ghemejjel kiefra li weggghu l-kuxjenza tal-umanita, u l-migja ta’ dinja fejn il-bnedmin ikunu hielsa li jitkellmu u jemmnu, mehlusa mill-biza’ u mill-mizerja, kienet proklamata bhala l-oghla xewqa tal-bniedem,
00-03	Billi hu essenzjali li l-jeddijiet tal-bniedem ikunu mharsa bil-hakma tal-ligi biex il-bniedem ma jkunx imgieghel, fl-ahhar mill-ahhar, li jqum kontra t-tirannija u l-mohqrija,
00-04	Billi hu essenzjali li jkun imheggeg l-izvilupp ta’ relazzjonijiet ta’ hbieb bejn il-gnus,
00-05	Billi fl-Istatut il-popli tal-Gnus Maghquda xandru mill-gdid il-fidi taghhom fil-jeddijiet fondamentali tal-bniedem, fid-dinjita u s-siwi tal-persuna umana, fil-jeddijiet ugwali tar-rgiel u tan-nisa, u qatghuha li jgibu ’l quddiem il-progress socjali u joholqu kondizzjonijiet ahjar tal-hajja f’liberta akbar,
00-06	Billi l-Istati Membri wieghdu biex, flimken mal-Organizzazzjoni tal-Gnus Maghquda, jizguraw ir-rispett universali u effettiv tal-jeddijiet tal-bniedem u tal-libertajiet fondamentali,
00-07	Billi fehma komuni ta’ dawn il-jeddijiet u l-libertajiet hi tal-akbar importanza ghat-twettiq shih ta’ din il-weghda,
00-08	Ghaldaqstant, l-ASSEMBLEA GENERALI xxandar DIN L-ISTQARRIJA UNIVERALI DWAR IL-JEDDIJIET TAL-BNIEDEM bhala ghan komuni biex jintlahaq mill-popli u mill-gnus kollha, halli kull bniedem u kull organu tas-socjeta, billi jzommu dejjem quddiemhom din l-istqarrija, ihabirku biex bit-taghlim u bl-edukazzjoni jgibu ’l quddiem ir-rispett ghal dawn il-jeddijiet u l-libertajiet u biex jizgurawlhom, b’mizuri progressivi nazzjonali u internazzjonali, l-gharfien u l-harsien universali u effettiv, kemm fost il-popli tal-Istati Membri nfushom, kif ukoll fost dawk tal-artijiet taht il-gurizdizzjoni taghhom.
01-00	L-Artiklu 1.
01-01	Il-bnedmin kollha jitwieldu hielsa u ugwali fid-dinjita u d-drittijiet. Huma moghnija bir-raguni u bil-kuxjenza u ghandhom igibu ruhhom ma’ xulxin bi spirtu ta’ ahwa.
02-00	L-Artiklu 2.
