00-00	Delwara Pelelo Dalo Engen nge Leda (Iguk)
00-01	Iliga ngen ngedamia idi derenadaido ngengenetu eleda pred ledelenge dalo na engen ingi ngederewatia deber detesenia engen ingi ngercadato ta leda lalo alerte, ngaro aduna yidebereinialo na ngen ngedurwatu na deutaralo elebate.
00-02	Na iliga ngen ingi ngercadato ta leda lalo alerte ngeber ngebereceniano na ngedemecenu engen, ngenngu ngidu nengelenge ngelwa ngengemerria ngefo doredora na nenggiti ara gemeto geleda nengaye. Na fengen ingi leda lalo temtem legakonda ta alo ayefete yengera ta alufidi debereinialo engen ngengerwata na engen ngedendia ngen nge Remwa ngennganta ngedan na ngebai aletemere. NGen ingi ngalenginu ta ngenngu ngaro ngen ingi leda lalo pred lebirndeinia ta alefidi.
00-03	Na iliga ngen ngefo nguneinia kan ngennganta leda alerte ledernadeidenia ta alefidi ngen ngelenggitia ta aletode lekia ngelenge ngaberanga ingi ngeledernadaidia na ngelemwedialo, na fengu ta ngen ingi ngarcadato ta leda pred lalo alefidi alganun yerenu yermotwa.
00-04	Na iliga ngen ngeretia ngefo nguneinia kan ta leda alenggiti ngelengenia ngengera angefete na angemenadate nenua eleda lalo pred.
00-05	Na ngen iliga leda lalo temtem le Leda ildi Lerreidu ngen (United Nations) larwato detem engen ngederreidia engen eden demajen ngennganta donata eden dafo engen ingi ngero aduna engen ingi ngercadato ta leda lalo alefiditi, na engen ngedamia idi ngen ngengera ta eda geneng angefidi. NGen ingi ngarcadato ta leda pred lerrwa na lerelda aleneini ngerewato ta alekeri ngen aleburkwedeci ngen nenua ingi leda lerto ldero irnung ta ngen angefete ngengera ngedemetia irnung ingi ngefo ngennga ngedebereinialo ngeberano.
00-06	Na ngen iliga Irnung Gorra pred igi gerebedo engen gerreidu ngen ta alidi ngen ngame ldero Ledala ildi Lerreidu ngen ngennganta aleburkwedeci ngen nenua ngedebereca ngeniano ngedenaca leda lalo retereto, ngen ngedermotwa ngen ingi ngercadato ta leda alefidi na ngen pred ngero aduna engen ngedebereinialo.
00-07	Na iliga ngen ngedertia delengeta dengera ngennga ingi ngercadato ta leda alerte na debereinialo, ngerto ngen ngorra kan engen ngedidia ngen dero terom engen ngedebereinialo idi.
00-08	Netia dinidi Derraidia idi Dorra (General Assembly),
00-09	Darwata pelelo ta, ngen ingi ngelwerenu pelelo alo engen ingi ngercadato ta leda lalo temtem alefidi ngennganta ngenngu ngaro ngen ngengera ngerewecidia leda pred, na ingi liji temtem na leda lalo retereto, leda leneneng na ngero ngeleda arremotwe ngen ingi ngelwerenu na alereni engerwa engen, na ngen angereni ingemerria na idarrengeidia na idegria nalmadrasa ngennganta leda alarrengeini ngen ta dubwa na dermotwa ngen pred ingi ngercadato ta leda alefidi,na ngen ngedebereinialo, ngennga ingi ngederatewecidia ngen angeradate nenua engen ngeleda irnung igi na irnung galo pred, ngennganta ngen angerte ngeneng ngebaraca orba walla ngekera dengera eden dalo na ngemerria ngelenginu ngelerengu na dermotwa eleda iligano lirnung retereto igi gerebedo engen durri na eleda ildi lefo engabera engelenge engen.
01-00	Aduna 1
