00-00	JAe KOJTSVIJJUeN JATS KOJTSMEKIN JUU’ VE’E JAYU OY TYUKJOeOeJTYKAP.
01-00	Article 1
01-01	Tum akijpxa xa ve’e jayu kye’ex, ve’em ax joe’n tyukidaakjueva tijaty mekin; ve’empa axjoe’n jae jyoeoejtykin di yaknaxy, jats oy myujatyoeoe’tejk di meet nayjavajuet.
02-00	Article 2
02-01	Tum apaatjuep ye ve’e jayu ixye’e ye pava’nuen, va’an di pena di tiya, jya te’extejka, jya yaa’tyejka, jya tikuetsam jae jyaantsy ja’vuen, pen vintso jae vyinma’yuen uk pu jyoeoejtykuen di yakyo’oy, di yaknaxy.
02-02	Ka’a ve’e tii y’ituet viijnk ixuen jya tikuetsam jae yakkutoejkuen joema joeoejtyka joema tsyueuena, penue viinjk jae yakkutoejkjuep uk pu viinm jae nyaajkutoejkkuexjue.
03-00	Article 3
03-01	Yakjayaejpp pe’e jae mekin, jats jayu jyoeoejtykat, oy tsoej, ka’a jayu yakjoemtoenuet yaktitoenuet.
04-00	Article 4
04-01	Nipena ve’e kyayak’akaeae’yat jats myutoenuet tsaatsytoe’nuen meet, ka’a ve’e pyuema jatse’e jayu kyaeae’tyoenuet jats tsyaatsy toenuet.
05-00	Article 5
05-01	Nipena ve’e kyayakvopuet, kyayaktsiikuet, uk yakjoemtoenuet yaktitoenuet.
06-00	Article 6
06-01	Ananyijoema ve’e jayu tyukida’akyje, jats yakvintse’egat kyutoejkin, myekin jats vyinma’yin joema tsyueuena.
07-00	Article 7
07-01	Jae pava’nuen toeke’eyji jae ve’e jayu di akaeaegat, toe’ke’eyji jae ve’e jayu di nikojtsva’atsuet. Puen puen tse’e toeoemp, nueuejmip ka oyap, yue pava’nen tse’e xputejkimdap.
08-00	Article 8
08-01	Ananyijoema tse’e tyukida’aky jae putejkin, jae yakkutoejkuen juu’ ve’e putekap jats ka’a pen di vinaxy, jats jae mekin xoe’n jae pava’nuen di yakkutuk.
09-00	Article 9
09-01	Ka’a ve’e pyuema jats jayu yaktsoemuet uk pu yakmatsuet ovintsova, ni ka’ava jats jayu yakvojppitsuemuet nyaax, kyajpuen jeet.
10-00	Article 10
10-01	Tum tukidaakpjuep tse’e jayu ananyijoema jats yak’amotuenaxuet may jayu vyinkujk, jats jae tokinpayo’yva pen oy toeoemp, van’ittse’e yak’ixuet yakpayo’oyuet pen jyayejpp pe’e ja tokin juu’ ve’e yaktuknixe’e’ip.
11-00	Article 11
11-00	Ka’a tse’e di akaeaega jats jayu tokinjeetp tyun tankojuet pen ka’ana ve’e oy yak’ix, yakpayo’oy jae tyokin, ve’em ax joe’n jae pava’nuen pyuema.
11-01	Nipena tse’e kyayaktokinpemuet ku ve’e ti di tun, di kets, pen ka’a ve’e jae kutoejkin jats jae pava’nuen ve’em vya’any. Ka’a tse’e di akaeaega jats niyoejk tyun yaktukkuvaejtpat jae tyokin, vanxuepe’e di kuvaetuet ax joe’n jae pava’nuen yo’oy.
12-00	Article 12
