00-00	Declaratione Universale de les Dretos Humanos
00-01	Considerando que la libertate, la ciustitia e la pace in el mondo tienent per basse la reconoscentia de la dignitate intrinseca e de les dretos eguales et inalienabeles de totos les membros de la familia humana,
00-02	Considerando que la desconoscentia et el menospretio de les dretos humanos hant origenato actos de crudeltates bastoflantes per la conscientia de l’humanitate; e que s’ha proclammato, commo l’aspiratione plu alzata del homme, l’advenimento d’un mondo in que les esseres humanos, libberatos del pabbore e de la miseria, fruiant de la libbertate de paravola e de la libbertate de credentias,
00-03	Considerando essentiale que les dretos humanos siant protegiutos per un regime de Dreto, ciusca l’homme non se veda compeluto al supremo recorso de la refetantia contra la tirania e l’opressione,
00-04	Considerando otrossi essentiale promovere la sveloppantia de relationes amicabeles intre las nationes,
00-05	Considerando que les popolos de las Nationes Adgiuntatas hant reaffirmato in la Lettera la sua fede in les dretos fondamentales del homme, in la dignitate et el valore de la persona humana et in l’egualtate de dretos d’hommes e mulleres; e s’hant declarato resoltos a promovere el progresso sociale et ad alzare el nivele de vita dintro d’un concepto plu amplo de la libbertate,
00-06	Considerando que les Statos Membros s’hant compromisso ad assecurare, in cooperatione con l’Organissatione de las Nationes Adgiuntatas, el respetto universale et effectivo a les dretos e libertates fondamentales del homme, e
00-07	Considerando que una conceptione commune d’aquestos dretos e libertates ie de la maiore importantia per el pleno accumplimento de dito compromisso,
00-08	L’Assamblea Generale
00-09	Proclamma la presente Declaratione Universale de les Dretos Humanos commo ideale commune per aquele que totos les popolos e nationes devent sfortiarse, ciusca tanto les individuos commo las institutiones, inspirandose constantemente in ela, promovant, mediante l’insegnantia e l’educatione, el respetto ad aquestos dretos e libbertates, et assecurent, per messuras progressivas de caractere nationale et internationale, la sua reconoscentia et aplicacatione universales et effectivos, autanto intre les popolos de les Statos Membros commo intre aqueles de les territorios colocatos sopra la sua ciurisdictione.
01-00	Articolo 1
01-01	Totos les esseres humanos nascent libberos et eguales in dignitate e dretos e, dotatos commo stant de racione e conscientia, devent comportarse in germanitate les unos con les altros.
02-00	Articolo 2
02-01	Tota persona tiene les dretos e libbertates proclammatos in aquesta Declaratione, sine distintione alcuna de rasa, colore, sexo, lingua, religione, opinione politica au de qualsevuolle altra indole, origene nationale au sociale, possitione economica, nascentia au qualsevuolle altra conditione.
02-02	D’oltra, non se fara distintione alcuna fondata in la conditione politica, ciuridica aut internationale del paisse au territorio de cuia ciurisdictione dependa una persona, autanto se se traita d’un paisse independente, commo d’un territorio sopra administratione fidutiaria, non autonomo aut assommisso a qualsevuolle altra limitatione de sobberantia.
03-00	Articolo 3
03-01	Toto individuo tiene dreto a la vita, a la libbertate et a la securitate de la sua persona.
04-00	Articolo 4
04-01	Nencuno stara assommisso a sclavitute nen a servidumme; la sclavitute et el traffico de sclavos stant devissas in totas las suas formas.
05-00	Articolo 5
05-01	Nencuno sera assommisso a torturas nen a penalitates au traitamentos crudeles, inhumanos au degradantes.
06-00	Articolo 6
06-01	Toto essere humano tiene dreto, in totas partes, a la reconoscentia de la sua personalitate ciuridica.
07-00	Articolo 7
07-01	Totos sont eguales abbante la lege e tienent, sine distintione, dreto ad iguale protectione de la lege. Totos tienent dreto ad eguale protectione contra tota discrimminatione que infringia aquesta Declaratione e contra tota provocatione a tale discrimminatione.
08-00	Articolo 8
08-01	Tota persona tiene dreto ad un recorso effectivo, abbante les tribunales nationales competentes, que l’alberga contra actos que violent les sieus dretos fondamentales reconosciutos per la constitutione au per la lege.
09-00	Articolo 9
09-01	Nencuno potera essere arvitrariamente detenuto, presso nen stembato.
10-00	Articolo 10
10-01	Tota persona tiene dreto, in conditiones de plena egualtate, ad essere auduta publicamente e con ciustitia per un tribunale independente et imparciale, per la determinatione de les sieus dretos et obligationes au per l’examene de qualsevuolle accussatione contra ela in materia penale.
11-00	Articolo 11
11-01	Tota persona accussata de linentia tiene dreto a que se presomma la sua innocentia mentrestanto non se prove la sua culpabilitate, conformo a la lege et in ciudicio publico in aquele que lui hagia assecurato totas las garantias necessarias per la sua defensa.
11-02	Nencuno sera condenato per actos aut ommissiones que in el momento de commetirse non foront delictivos secondo el Dreto nationale aut internationale. Nenque s’impossara penalitate plu grave que l’aplicabele in el momento de la commissione de la linentia.
12-00	Articolo 12
12-01	Nencuno sera obgecto d’ingerentias arvitrarias in la sua vita privata, la sua familia, el sieu domicilio au la sua correspondentia, nen d’attaccos a la sua honra aut a la sua reputatione. Tota persona tiene dreto a la protectione de la lege contra tales ingerentias aut attaccos.
13-00	Articolo 13
13-01	Tota persona tiene dreto a circolare libberamente et ad elegire la sua residentia in el territorio d’un Stato.
13-02	Tota persona tiene dreto a partire de qualsevuolle paisse, inclosso del propio, et a retornare al sieu paisse.
14-00	Articolo 14
14-01	In caso de persecutione, tota persona tiene dreto a recercare assilo, et a fruire d’ele, in qualsevuolle paisse.
14-02	Aqueste dreto non potera essere invocato contra una actione ciudiciale veramente origenata per linentias communes au per actos oppostos a les propossitos e principios de las Nationes Adgiuntatas.
15-00	Articolo 15
15-01	Tota persona tiene dreto ad una nationalitate.
15-02	A nencuno se privara arvitrariamente de la sua nationalitate ne del dreto a cambiare de nationalitate.
16-00	Articolo 16
16-01	Les hommes e las mulleres, a partire de l’etate nubile, tienent dreto, sine restrictione alcuna per motivos de rasa, nationalitate au religione, a spossarse e fondare una familia; e fruirarant d’eguales dretos in cuanto al matrimonio, durante el matrimonio et in caso de disolutione del matrimonio.
16-02	Tantamente mediante libbero e pleno acconsentimento de les futuros spossos potera contraderse el matrimonio.
16-03	La familia ie l’elemento naturale e fondamentale de la societate e tiene dreto a la protectione de la societate e del Stato.
17-00	Articolo 17
17-01	Tota persona tiene dreto a la propietate, individuale e colectivamente.
17-02	Nencuno sera privato arvitrariamente de la sua propietate.
18-00	Articolo 18
18-01	Tota persona tiene dreto a la libbertate de pensamento, de conscientia e de religione; aqueste dreto include la libertate de cambiare de religione au de credentia, ansi commo la libertate de manifestare la sua religione au la sua credentia, individuale e colectivamente, autanto in publico commo in privato, per l’insegnantia, la practica, el culto e l’observantia.
19-00	Articolo 19
19-01	Toto individuo tiene dreto a la libbertate d’opinione e de spressione; aqueste dreto include aquele de non essere amoiato per more de las suas opiniones, aquele d’investigare e recevere informationes et opiniones, et aquele de diffondirlas, sine linzos de frontieras, per qualsevuolle more de spressione.
20-00	Articolo 20
20-01	Tota persona tiene dreto a la libbertate d’adgiuntamento e d’associationes pacificas.
20-02	Nencuno potera essere obligato a pertenire ad una associatione.
21-00	Articolo 21
21-01	Tota persona tiene dreto a participare in el governo del sieu paisse, directamente au per more de representantes libberamente scollutos.
21-02	Tota persona tiene el dreto d’accesso, in conditiones d’egualtate, a las fontiones publicas del sieu paisse.
21-03	La voluntate del popolo ie la basse de l’autoritate de la potentia publica; aquesta voluntate se spressara mediante electiones autenticas que abberant de celebrarse periodicamente, per sofragio universale et eguale e per voto secreto aut altro procedimento equivalente que garantisse la libbertate del voto.
22-00	Articolo 22
22-01	Tota persona, commo membro de la societate, tiene dreto a la securitate sociale, et ad obtenire, mediante lo sfortio nationale e la cooperatione internationale, abbuta cunta de l’organissatione e les recorsos de cada Stato, la satisfactione de les dretos economicos, sociales e culturales, indispensables a la sua dignitate et a la libbera sveloppantia de la sua personalitate.
23-00	Articolo 23
23-01	Tota persona tiene dreto al travallo, a la libbera electione del sieu travallo, a conditiones equitativas e satisfactorias de travallo et a la protectione contra el ciomboro.
23-02	Tota personale tiene dreto, sine discrimminatione alcuna, ad eguale salario per travallo eguale.
23-03	Tota persona que travalla tiene dreto ad una remuneratione equitativa e satisfactoria, que lui assecure, ansi commo a la sua familia, una existentia conformo a la dignitate humana e que sera completata, in caso necessario, per qualsevuolle altros mores de protectione sociale.
23-04	Tota persona tiene dreto a fondare sindicatos et a sindicarse per la defensa de les sieus interesses.
24-00	Articolo 24
24-01	Tota persona tiene dreto al sbanollamento, al fruimento del tempo libero, ad una limitatione racionabele de la duratione del travallo et a vacantias periodicas pagatas.
25-00	Articolo 25
25-01	Tota persona tiene dreto ad un nivele de vita adequato que lui assecure, ansi commo a la sua familia, la salute et el benestare, et in speciale l’alimentatione, el vestimento, el domo, l’assistentia medica e les servitios sociales necessarios; tiene altrotale dreto a las securantias in caso del ciomboro, malatia, invalidessa, viuvessa, vellessa et altros casos de perdentias de les sieus mores de sobsistentia per circonstantias independentes de la sua voluntate.
25-02	La maternitate e l’infantia tienent dreto a custidantias et assistentias speciales. Totos les fillos, natos de matrimonio au fuora de matrimonio, tienent dreto ad eguale protectione sociale.
26-00	Articolo 26
