00-00	TNU'U SAJA NI NAYIVI JA NATU NA SA'A NDEVA'TNA'A
00-01	Tnu'u ka'an libertad, justicia, ji'in Paz chi kaka'an ja natu na kukuna kusa'a ndeva'atna'a chi su'uva kundatnu'u mani, kukoto tna'a-i, kuchinde tna'a nayi ve'e-i, nui te mi nayivi, natu iyo ja kusa'a ndeva'a tna'a-i.
00-02	Nayi natu kajini ja iyo tutu chinde nayi ja ma kusa'a ndeva'a tna'ao, ku ja sa'ai ja kua'a nayi nu kasa'a ndeva'a tna'a.
00-03	Yuka ku ja kanuku xeen ja kuka'avi-o tutu ya'a tnav'a ku kukoto-mani tna'a-o, natu na kukasi ja kusa'atna-o iin ja va'a, te ku kuini-ndsiaja-o nanga i'yadsionsi kuinio.
00-04	Te suni nu kuechi, nu na'nu taka tusuma-i ni jika ka'nu nayivi ngandututu-i te ngandaka'i ya jininu'u ja natu na sa'ndeva'tna, ni na'a, ni te tna'va iin, iin, nu kuko va'a, natu nayi kunda'vi koo.
00-05	Te suni takol tu'u nu ni jika ka'nu nayivi ngasijinui tnu'u ja kukuatnui tutu ka'a tnu'u ja natu na sa'a-ndeva'tna.
00-06	Te suni nu taka tu'u nu kukani-ini inu tna ka'a tutu ja ma sa'a ndeva'tna-o chi ku kukoto va'atna takatu'u nayi kayiyo mi nayivi.
00-07	NU NGADUTUTU NAYI
00-08	TE SE'E NGAKA'I
00-09	TNU'U KA'A JA NATU
00-10	NA SA'A NDEVA'A TNA'A
00-11	Jininu'u ja taka tu'u ma nayi kujiyo ini nu kuechi ji'in nu na'nu, ni jika ka'nu nayivi, kuini ja kundukunde-i tnava'a takutu'u nayi ji'in ve'e tninu kusaja-i tnu'u tna ka'a titu ja ma ku sa'a ndeva'tna-o. Te sumi jininu'u ja kusaja-i tnu'uma nu suchi kasikua'a tnava'a ku kuchinde-i ma-i, tata-i, nana-i, nu kajiyo-i tnundo'o ji nayi sa'andeva'na'a.
01-00	Articulo 1
01-01	Taka ma nayi nguiakoi nayivi natu na ja'a tnu'u ja kusa'a ndeva'na-i, su'uva kajito va'ana-i, yuka ku ja jininu'u ja kukototna-i.
02-00	Articulo 2
02-01	Suni ka'a ja ma sa'a ndeva'tna-o, kasa-i ja inuni kaku taka-tu'uo, natu kaji nayi, natu nu sa'a kue tnu, kuij, na'a, te kakui, te suni natunu sa'a kue nanga yu'u ka'a-i, nanga i'yandiosi jinindiaja-i, suni natu nu sa'a nu kuika-i xi kunda'vi, suni natu nu sa'a ndega nu kaku-i.
02-02	Te suni tutu ka'a ja ma sa'a-ndeva'tna-o ku kuatninu taka ma nu nayivi.
03-00	Articulo 3
03-01	Tutu ya'a chi natu jai tnu'u ja kuxinatna nayi, su'uva iyo ja chindena'i te iyoi ja nenui taka tu'u nayi nija'anu ji'i suchi lule.
04-00	Articulo 4
