00-00	aprannyprannychiungraa luuakhwangare krennyaacaatam
00-01	luukhapsim-i myiuriugunnsikkhaanhangtakwa luutiungannyiiamyhakhancaakhwangrhisanny akhwangaremyaakiu asiamhatprukhrangsanny luukhapsim-ilwatlapmhu, taraamyhatamhu, ngrimkhyammhutiu-i akhrekhanautmracphracseaakreaanglannykeaang,
00-02	luuakhwangremyaakiu aremathaa mathiilecaaprukhrangsanny luukhapsim-i akyangsikkhaakiu khyiupheaak phyakchiitatsanny rakcakkramkrutseaa apruamhumyaakiu phracpeaacekhaiseaakreaanglannykeaang, lwatlapcwaa phwanghapreaachiuniungmhu lwatlapcwaa sakwang yunkrannyniungmhu, kreaakrwankhrang, khyiungaikhrangtiumha kanglwatcwaa asakmweniungmhutiukiu khancaarayuuniungcemanny leaakatackhu peaapeaaklaaranarekiu luukhapsimtiuka mimitiu-i athaksanchunseaa liulaakhyakchandakriiaphracphrang krwekreaakrennyaaprii phracseaakreaang lannykeaang,
00-03	luukhapsimtiusanny, taraalaklwat nhipcakkaluuprumhu, aupciumhunhang phicii nnyhanypanmhu tiukiu neaakchun malwhaisaa marheaangsaa laknak cwaikiungkaa teaalhankhrang, punkankhrangmapruceran, luuakhwangre myaakiuupadephrang thinsimkaakway peramannyphracseaakreaang lannykeaang,
00-04	niungngan akhyangkhyang khyackhangrangnhiicwaa chakchanrekiu piumiutiutakceran krancheaangramannyphracseaakreaang lannykeaang, kambhaakulasamaggaaphwaiwangtiusanny muulaluuakhwangaremyaakiu lannykeaang, luu-i gunnsikkhaakiu lannykeaang, yeaakyaa minmatiu-i tuunnyiisanny akhwangaremyaakiu lannykeaang, lecaayunkrannypaasanny hukulasamaggatwang thapman-jwe atannypru priisannyprang, luumhukriipwaa tiutakrenhangtakwa piumiu lwatlap keaangmwanseaa luubhawa achangatantiukiu mrhangtangran sannitttthaankhyaprii phracseaakreaang lannykeaang,
00-05	kambhaakulasamaggaaphwaiwang niungngantiusanny kulasamaggaaphwainhangpuupeaang-jwe luuakhwangaremyaakiulannykeaang, akhrekhanlwatlapkhwang akhwangaremyaakiulannykeaang, kambhaatawhamluntwang riuselecaa kyangsunceaangcannykrakhrangkiu aaapemannyhu katiprupriiphracseaakreaang lannykeaang,
00-06	thiukreaang
00-07	athwethwennyiilaakhan ka
00-08	aprannyprannychiungraaluuakhwangrekrennyaacaatamkiu luutiung aphwai acannytiungsanny acany nhalunswanglyak kambhaa tawhamluntwang achiupaa akhwangaremyaanhang lwatlap khwangmyaakiu riuselecaakraceran chunma swansangkhrangphrang aaathut kraramannyhulannykeaang, kulasamaggaaphwaiwangniungnganmyaanhang thiuniungngantiu-iaaannaapiungatwangrhi naypaychiungraa tiungsuuprannysaa myaaaaa achiupaa akhwangarenhang lwatlapkhwangmyaakiu kyaykyaypranpran thireaakcwaa simhatkyangsun ceaangcannykraceran prannytwangprannypachiungraa tiutakseaa cheaangrwakkhyakmyaaphrang aaathutkraramannyhulannykeaang rannyrwaypriilyhang luuakhwangare myaachiungraa aprannyprannychiungraa krennyaacaatamkiu niungngankhapsim, luukhapsimtiu taprennyiicwaa cheaangrwak niungkracimseaanghaa yakhuthutpran krennyaaliuksanny.
01-00	apiud 1
01-01	luutiungsanny tuunnyii lwatlapseaa gunnsikkhaaphrang lannykeaang, tuunnyiilwatlapseaa akhwangaremyaaphrang lannykeaang, mwephwaalaasuumyaa phracsanny. thiusuutiu-nai piungkhraa wephantatseaa nyaannnhang kyangwat sitatseaa cittiurhikra-jwe thiusuutiusanny akhyangkhyang mettaathaa-jwe chakchankyangsunsang-i.
02-00	apiud 2
02-01	luutiungsanny luuakhwang are krennyaacaatamtwang pheaaprathaasanny akhwangare aaalun, lwatlapkhwang aaaluntiukiu piungchiung khancaakhwangrhisanny. luumyiunwayaaaphrang phracce, asaaareaangaaaphrang phracce, kyaa, ma, sabhaawaaaaphrang phracce, bhaasaacakaaaaaphrang phracce, kiukwaysanny bhaasaaaaaphrang phracce, niungnganreyuuchakhyak, siutannymahut akhraayuuchakhyakaaaphrang phracce, niungngannhang chiungseaa, siutannymahut luumhuachangatannhang chiungseaa jacmrac aaaphrangphracce, paccanny uccaa gunnaaaphrang phracce, myiuriujaatiaaaphrang phracce, akhraa achangatan aaaphrang phracce khwaikhraakhrangmarhicera.
02-02	thiuprang luutacuu tacyeaak nethiungraa niungngan-i siutannymahut naymredesa-i niungnganrechiungraa phracce ciirang piungkhwangchiungraa phracce tiungpranny akhyangkhyang chiungraaphracce, achangatan tackhukhukiu akhrepru-jwe seaalannykeaang, desanaymretackhusanny akhyupakhraa aaannaapiung lwatlapsanny naymre, siutannymahut kulasamagga thinsim ceaangrheaak thaarasanny naymre, siutannymahut kiuypiung aupkhyupkhwang aaannaatiu tacittadesaleaaksaa rarhisanny naymre casaphrang yangsiu seaa naymremyaa phracsanny, phracsanny huuseaa akreaangkiu atheaakathaa pru-jwe seaalannykeaang khwaikhraakhrang lunwa marhicera.
03-00	apiud 3
03-01	luutiung-nai asakrhangran lwatlapkhwangnhang lunkhruncitkhyakhwang rhisanny.
04-00	apiud 4
04-01	mannysuukiumyha kyekywanaphrac, siutannymahut aceapaaaphrac, niungthakciinang cekhiungkhrang maprura, luukiu kyekywan saphway adhamma cekhiungkhrang, areaangaway prukhrangnhang thiusabheaa sakreaakseaa lupnganhuusamyhakiu pitpang taamrac ramanny.
05-00	apiud 5
05-01	mannysuukiumyha nnyhanypannhipcakkhrang, siutannymahut rakcakkramkrutcwaa luumachancwaa gunnngayceseaachakchanmhu maprura, siutannymahut apracdann pekhrangmaprura.
06-00	apiud 6
06-01	luutiungtwang upadearaa-nai luupuggiultacuu aphracphrang araakhapsimtwang asiamhat prukhrangkiu khanyuupiungkhwangrhisanny.
07-00	apiud 7
07-01	luuaaaluntiusanny upadearaa-nai tuunnyiikrasannyaprang, upade-i akaaakwaykiu khraanaakhrang makhanracebhai tuunnyiicwaa khancaapiungkhwangrhisanny. iikrennyaa caatampaa sabheaataraamyaakiu phiichan-jwe khwaikhraakhrangmha lannykeaang, thiusiukhwaikhraakhrangkiu lhuncheaakhrangmha lannykeaang, kanglwat ceran akaaakwaykiu tuunnyiicwaa khancaapiungkhwang rhisanny.
08-00	apiud 8
08-01	phwaicannypun akhrekhanupadeka seaalannykeaang akhraa upadeka seaalannykeaang luutiungatwak pethaasanny akhrekhan akhwangare myaasanny khyiupheaak phyakchiikhrangkhankhairalyhang thiusiu khyiupheaakphyakchiiseaa prulupmhukreaang phracpeaalaaseaa nacnaakhyak atwak thiusuusanny niungnganchiungraa aaannaapiungtaraaruntwang thireaakcwaa saksaa khwangraniungceramanny.
09-00	apiud 9
09-01	mannysuumyha upadeara mahutseaa phamchiikhrangkiu phracce, khyupnheaangkhrangkiu phracce, prannynhangkhrangkiu phracce makhancera.
10-00	apiud 10
10-01	akhwangaremyaanhang taawan wattaraamyaakiu achunaphratkhanraatwang lannykeaang, pracmhukreaang taraacwaichiu ciirangchunphratkhanraatwang lannykeaang, luutiungsanny lwatlap-jwe bhakmaliukseaa taraarunteaa-i luuamyaa rhemheaaktwang myhatacwaa kraanaacacchekhrangkiu tuunnyiicwaa khancaapiungkhwangrhisanny.
11-00	apiud 11
11-00	luuamyaa rhemheaak-nai upadeatiung cacche-jwe pracmhukyuulwansannyhu thangrhaa ciirangkhrangkhanrasanny akhyinathi pracmhunhang taraacwaichiukhrang khanrasuutiungsanny apracmaisuuhuu-jwe yuuchakhrangkhanthiuksanny akhwangarerhisanny. thiuamhukiu kraanaacaccheraaway cwapcwaikhanrasanny pracmhuatwak khukhankhyepaniungran liuapseaa akhwangaremyaakiu thiusuuaaa peprii phracceramanny.
11-01	luutacuutacyeaakaaa niungnganupadearaphracce, aprannyprannychiungraa upadeara phracce, pracmhumamreaakseaa luprap siumahut pyakkwakmhuara chwaichiupracpekhrang maprura. thiuaprang pracmhukyuulwancanyakhaaka thiuksangceniungseaa apracdannthakpiumiukriileseaa apracdannkiu thiuksangkhrangmarhicera.
12-00	apiud 12
12-01	mannysuumyha mimisabheaaatiung aekhyamlwatlapcwaa nethiungkhrangkiu seaalannykeaang, mimi-i misaacukiu seaalannykeaang, mimi-i neaim asiukawankiu seaalannykeaang, caapecaayuukiu seaalannykeaang, upadeara mahutseaa wangreaak cwakphakkhrang makhancera. thiuprang mimi-igunnsikkhaa kiulanny athakpaaatiung putkhatkhrang makhancera. luutiungtwang thiusiu wangreaakcwakphakkhrangmha seaalannykeaang putkhatkhrangmha seaalannykeaang upadeara kaakway piungkhwangrhisanny.
13-00	apiud 13
13-00	luutiungtwang mimi-iniungngan naynimit atwang-nai lwatlapcwaa swaalaa rwhepreaang niungkhwang, nethiungkhwangrhisanny.
13-01	luutiungtwang miminethiungraa tiungprannymha lannykeaang, akhraatiungprannymhalannykeaang thwakkhwaa swaapiungkhwangrhisannyaprang, mimi-i tiungprannysiu pranlaa piungkhwanglannyrhisanny.
14-00	apiud 14
14-00	luutiungsanny nnyhanypan nhipcak khannerakhrangmha lwatkangran akhraatiungpranny myaa-nai aekhyamcwaa khiulhunneniungkhwangrhisanny.
14-01	niungnganrenhang mapatsaksanny pracmhumyaamha seaalannykeaang, kulasamagga-i rannyrwakkhyaknhang sabheaataraa mhumyaakiu phiichanseaa amhumyaamha seaalannykeaang, amhan peaapeaak laaseaa pracmhukreaang taraacwaichiukhrang khanrasanny amhuakhangmyaatwang athakpaa akhwangarekiu asunmapruniungcera.
15-00	apiud 15
15-00	luutiungsanny, niungngan tacniungngan-i niungngansaaaphrac khanyuukhwangrhisanny.
