00-00	jierenquanxuanyan
00-01	jianyuduirenleishehuidechengyuanlongguyoudezunyanjiqipingdengdehewuyidequanlidechengren, naishishijieziyou, zhengyihehepingdedizhi, 
00-02	jianyuduirenquandewuhuihechuangzhiyifazhanweiyechibaoxing, jihaobaoxingdianwulerenleidedaoxing, er1gerenrenxiangyouyanlunhexinyangziyoubingwukongjuhekuifadeshijiedelailin, yihuxuanbuweiputongrenmindezuigaodexiongxin, 
00-03	jianyuweihurenleiwuhuizhidaoqisanduishazhenghechuangzhijinxingfanpan, youbiyaohurenquanshoufazhidebaobi, 
00-04	jianyuyoubiyaocujingeguojianhaodoutouguanxidefazhan, 
00-05	jianyugelianheguoguojiaderenminyizailianheguoxianzhangzhongduitoujiangyinduijibenrenquan, rengezunyanhejiazhiyijizhangfuchamoupingdengquanlidexinnian, bingjuexincuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan, 
00-06	jianyugehuiyuanguoyeyizhoushitonglianheguohezuoyicujinduirenquanhejibenziyoudepubianzunzhonghezunxing, 
00-07	jianyuduijihaoquanliheziyoudepubianzhikongduiyujigezhoushidechongfenshixianjuyoushetaidadezhongyaoxing, 
00-08	yincijizhe, 
00-09	dahui, 
00-10	fabujigeshijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojiaxialishixiandegongtongbiaozhun, yiqimei1gerenheshehuijigoudingdingdaizhejigexuanyan, xialiyibangjiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingyibangguojiadeheguojidejianjincuoshi, hujihaoquanliheziyouzaigehuiyuanguobenshenrenminjizaiyinguanxiaxiadederenminzhongdedaopubianheyouxiaodechengrenhezunxing;
01-00	di1tiao
01-01	renrenshengerziyou, zaizunyanhequanlishang1lupingdeng. yinfuyoupiweihedaoxing, bingzheyixiongdiguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyoujigexuanyansuozaide1qiequanliheziyou, wufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhiyiqitajianjie, guojiyishehuichushen, caichan, chushengyiqitashenfendengrenhequbie. 
02-02	bingqiewuhuiyongyin1rensuoshudeguojiayidedezhengzhide, xingzhengdeyiguojidedeweizhibutongeryousuoqubie, wulunjigedeshidulide, tuoguande, feizizhideyichuyuqitarenhezhuquanshouxianzhidedaizhizhixia. 
03-00	di3tiao
03-01	renrenguoguoyouquanxiangyoushengming, ziyouherenshenanquan. .
04-00	di4tiao
04-01	renherenwuhuiyonghuweinuliyinuyi;1qiexingshidenulizhiduhenulimaimai, guoguozheyuyijinzhi. 
05-00	di5tiao
05-01	renherenwuhuiyongjiayikuxing, yishiyicanrende, wurendaodeyiwuruxingdedaiyuyixingfa. 
06-00	di6tiao
06-01	renrenzai4jielongyouquanhuchengrenzaifaluqianderenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingyouquanxiangshoufaludepingdengbaobi, wushourenheqishi. renrenyouquanxiangshoupingdengbaobi, yiwushouweinijigexuanyanderenheqishixingweiyijishandongjikuanqishiderenhexingweidebaihai. 
08-00	di8tiao
