00-00	maanav adhikaarako vishvavyaapii ghossannaa
00-01	maanav parivaarakaa sabai sadasyaharuuko antarnihit maan tathaa sammaan ra avachinna adhikaaraharuuko maanyataa nai svatantrataa, nyaaya, ra shaantiko aadhaar bhaekole,
00-02	maanav adhikaaraharuu prati avahelanaa tathaa anaadarako parinnaamabaattai nai kaam bhadd maanav jaatiko anta skarannamaa citt puryaaieko hunaale ra maanavaharuule dharma ra vaak svantrataa tathaa bhae ra abhaavabaatt mukti paaunu parcha bhanne sarva saadhaarann janataako ghossit aakaamkssaa bhaekole,
00-03	atyaacaar ra damanako viruddha aruu upaaya napaaer vidroh garnuu nai antim upaaya ho bhanne nautthaanun ho bhane maanav adhikaaraharuu kaanunii shaasanadvaaraa samrakssit rahanu ati aavashyak bhaekole,
00-04	raassttraharuukaa biic maitrii sambandha vrddhi garna aavashyak bhaekole
00-05	samyukta raassttra samghakaa janataa haruule maanavakaa maulik adhikaaraharuu ra manussyako maan tathaa kadar ra nar -naariiharuuko sammaan adhikaaraharuu prati punah vishvaasako pusttyaaim adhikaar patramaa gari baddhi svatantrataako aadhaaramaa saamaajik pragati evam jiivanako
00-06	sadasya raassttraharuu ra tii raassttraharuukaa adhikaaramaa rahekaa praadeshik janataaharuumaa samet tii adhikaaraharuu ra svatantra haruu ko vishvavyaapii ra prabhaavashaalii maanyataa praapta garnako laagi pratyek vyakti ra samaajako amgale nirantar manamaa raakhi raassttriya ra antararaassttriya pragatishiil kadamaharuu dvaaraa yii adhikaar ra savatantrataaharuu prati diikssaa tathaa shikssaadvaaraa shraddhaa baddhaaun prayatna garuun bhani saadhaarann sabhaale maanav adhikaarako yas vishvavyaapii ghossannaalaaii sabai janataa ra raassttrako nimti sajiyaa maapadanndda bhani ghossannaa gardach
01-00	dhaaraa 1
01-01	sabai vyakti haruu janmajaat svatantra hun tii sabaiko samaan adhikaar ra mahatva cha. nijaharuumaa vicaar shakti ra saddhicaar bhaekole nijaharuule aapasamaa bhaatrtvako bhaavanaa baatt vyavahaar garnu parcha.
02-00	dhaaraa 2
02-01	jaati, varnna, lingga, bhaassaa, dharma raajanaitik vaa haruu vicaar raassttriya vaa saamaajik utpati sampatti vaa aruu kunai maryaadaako aadhaaramaa bhedabhaav nagari pratyek vyaktilaaii yas ghossannaamaa ullekhit adhikaar ra svatantrataa ko adhikaar hunecha. yasako atirikta caahe kunai desh savatantra hos vaa samrakssit, svashaasanarahit vaa parimit prabhushattaa bhaeko hos tyahaamkaa vyaktiharuumaa raajanaitik kssetriiya vaa antaraassttriya bhedabhaav garine chaina.
03-00	dhaaraa 3
03-01	pratyek vyaktilaaii vyaktik svatantrataa ra aatmarakssaako adhikaar hunecha.
04-00	dhaaraa 4
04-01	baamdhaa vaa daas banaai kasailaaii pani raakhine chaina. daasatva ra daas daasiiko vyaapaar pratyek ruupamaa nissedh garieko cha.
05-00	dhaaraa 5
05-01	kunai vyaktilaaii pani shaariirik yaatanaa diine chain athavaa nirdayii amaanussik vaa apamaanajanak vyavahaar vaa sajaaya garine chaina.
06-00	dhaaraa-6
06-01	pratyek vyaktilaaii kaanuunako ddassttimaa jahaamsukai vyaktiko rupamaa maanyataa paaune adhikaar cha .
07-00	dhaaraa-7
07-01	sabai vyaktiharu kaanuunako ddassttimaa samaan chan ra binaa bhedamaav kaanuunako samaan samrakssannako hakadaar hunechan . sabailaaii yas ghossannaako ullangghan garii garieko bhedamaan vaa tyasto bhedabhaav garna garieko uksaahatt viruddha samaan samrakssannako adhikaar cha .
08-00	dhaaraa 8
08-01	samvidhaan vaa kaanun dvaaraa diieko maulik adhikaaraharuu bhangga garne kaaryaharuuko viruddha yogya raassttriya adaalatako prabhaavotpaadak upacaarako sabailaaii adhikaar hunecha.
09-00	dhaaraa 9
09-01	kasailaaii pani manamaanii ddhaamgale desh nisskaasit vaa giraphtaar vaa najar banda garine chaina.
10-00	dhaaraa 10
10-01	kunai vyakti upar lagaaieko phaujadaarii aaropako viruddha nijako adhikaar daayitva niropan gardai svatantra ra nyaaya yukta adaalatabaatt sunuvaaiko hak pratyek vyakti laai samaan ruupale hunecha.
11-00	dhaaraa 11
11-01	dannddaniiya aparaadhako aarop laageko pratyek suvidhaaharuu dieko bacaauko sabai aavashyak suvidhaaharuu dieko khullaa adaalatale kaanun anusaar nijalaaii aparaadhii natthaharaaunjel nij niraparaadh maanine cha.
11-02	kunai vyaktile gare vaa nagareko kunai kaam ukta samayamaa raassttriya vaa antararaassttriya kaanun antargat aparaadh maanimdain bhane tyasto kaamako prati kunai pani vyaktilaaii dossii tthaharaaine chain kunai pani vyaktilaaii aparaadh gardaa ukta samayamaa din sakine sajaaya bhandaa baddhi sajaaya diine chaina.
12-00	dhaaraa 12
12-01	kunaipani vyaktiko gopyataa parivaar, ghar vaa patra vyavahaarako prati manamaanii hastakssep garine chain ra kasaiko sammaan tathaa khyaati maathi cott puryaaine chain ra tyasto hastakssep vaa cottako viruddha pratyek vyaktilaaii kaanunii samrakssannako adhikaar hunecha.
13-00	dhaaraa 13
13-01	pratyek vyaktilaaii pratyek deshako simaanaa bhitra svatantrataa puurvak vicarann ra basobaas garne adhikaar hunecha.
13-02	samyukta raassttra sangghako uddeshya ra siddhaantako vipariit kaaryaharuu vaa araajanaitik aparaadhaharuuko abhiyogako sambandhamaa yo adhikaar prayog garna sakine chaina.
14-00	dhaaraa-14
14-01	pratyek vyaktilaaii yaatanaa ra utpiiddanabaatt mukta hun aru deshamaa sharann maagne ra tyasako upabhog garne adhikaar cha .
14-02	araajarnetik aparaadhaharuko vaastavik abhiyogako muddaamaa vaa samyukta raassttra samghako uddeshyaharu ra siddhaantaharu viparitakaa kaaryaharumaa yo adhikaar laaguu nahun sakcha .
15-00	dhaaraa 15
15-01	pratyek vyaktilaaii raassttrako naagarikataako adhikaar cha.
15-02	kunaipani vyaktilaaii manamaanii ddhanggale nijako naagarikataa baatt bancit garine chain ra naagarikataa parivartan garne adhikaaralaaii inkaar garine chaina.
16-00	dhaaraa 16
16-01	jaati raassttriyataa vaa dharmako bhedabhaav binaa vayaska, strii, purussaharuulaaii aapasamaa vivaah garne ra parivaar sthaapanaa garne adhikaar cha. vivaahako vissayamaa vaivaahik jiivanamaa tathaa vivaah vicchedamaa tiniharuuko samaan adhikaar hunecha.
16-02	vivaahako icchaa raakhne strii, purussako puurnna ra svatantra sahamatibaatt maatra vivaah hunecha.
16-03	parivaar samaajako svaabhaavik ra maulik saamuuhik ekaaii ho ra yasalaaii samaaj ra raajyabaatt samrakssann paaune adhikaar cha .
17-00	dhaaraa 17
17-01	pratyek vyaktilaaii ekalai vaa aruusamga miler sampatti raakhne adhikaar cha.
17-02	kunai vyaktiko sampaati manamaanii ddhanggale apaharann garine chaina.
18-00	dhaaraa 18
18-01	pratyek vyaktilaaii vicaar, mat, dhaarmik svatantrataako adhikaar cha. dharma vaa mat badalne svatantrataa ra saarvajanik tathaa vyaktigat ruupamaa ekalai vaa samuuhamaa aaphno dharma vaa matalaaii shikssaa aacarann
19-00	dhaaraa-19
