00-00	ALIMA NUNG ALIR MEIMCHIR AJAK ATEMA KASA TEMETEN SANGDONG
00-01	Kechiaseralima rangben nung nung nisung ka tim temeten aser kasa alitsuesa metentepa yutsuebaji meimchir kibong ochi, nueji aser yimjung tamendakdak kimung lir,
00-02	Kechiaser mezueng meshitepba, aitsuetepba, mashimalu mapa inyakba, meimchir tim tejembitsue mejembidaktsueba, aser pei tebilemba rakpoka meshidaktsueba item ya ajanga meimchir nueji tia raksatsuer,
00-03	Kechiaserkodang anema apusoba aser oshi mashi rongsen benshirtemi nueburtem temeten aser nueji tia raksatsuedir, meimchir temeten ozueng ajanga itemji kuemzueka ayutsuela,
00-04	Kechiaser kintem tsuengda yimjung yangluba ajanga alima terenlok adokdaktsuer, ibaji mapang ajak nung nungittsuela,
00-05	Kechiaser United Nations Temzueng nung meimchir temeten aser nuejiba wazueka ayutsueba itemji lemteta alinung, tebur aser tetsuer tsuengda tepila kecha malitsuela, saka ibai loktiliba tasen kuema yanglushiba ajanga dang nuejibaji tongtettsue.
00-06	Kechiaser United Nations nung adener ajaki ibaji atalokdakja inyaktsue nangzuektepogo, aser meimchir ka temeten aser nueibaji kuemzueka ayutsue mulunga renemogo.
00-07	Kechiaser iba tenangzuekba takok ngudakja inyaktsuebaji teinyaktsue tongtibangtiba ta ajaki anagtetogo,
00-08	Anungji, tang, Lokti Inti Sendeni Alima rangben nung Meimchir Temeten ya takok ngua lokti aser kin ajak nung inyaktsue Sangdonger, iba Sangdong ya maneni temulung nung yur li maser lim atena or, terenlok mapa shisatsue sayuba ajanga angazuekdakja, pei litsue atena oa inyaktsue sangdonger.
01-00	Ocet 1
01-01	Meimchir ajak temeten aser tashi kasa nueji nung asor. Parnok dak bilemtettsue shisatsue aser tangatetba kasa agueja aliba jagi kuelem adianu rongnung tanela ka nung lungjema alitsuela.
02-00	Ocet 2
