00-00	Igooyoo bo gbeeinno maravn
00-01	Here yvvn pee bo yinngmo kaa igooyoo, a ho gu ti a gbeeinno, le kparija, le totogonigo on yi drunan ri.
00-02	Here yvvn pee ji lee igooyoo wee pee hvvn kpan  gbeeinno, le ji lee mvnm yvvn wee kai here gbeeinno  winnin,ho maan yiro segedege pooko. Here tiri de igooyoo wee pee hvvn kpan le yin bo gbee.
00-03	Here yvvn pee ji lee ho ya aban minnin gbeeinno mara winnin di gariyeego, le igoooyo kaa yvgvkaga ho kwanngo.
00-04	Here yvvn pee ji lee ho ya dununan sogo pee bo kan woori.
00-05	Here yvvn pee ji lee ho ya dununan sogo pee bo nvvn-v bin igooyoo bo gbeeinno mara winnin do, le here ho ya  jabaa, le here heemo le yebo bo maravn he taa, a ho gu ti a yvvn pee maan yin bo gbee,
00-06	Here yvvn pee ji lee saako sogo pooko, bo sa bo nvvn-vn taa, lee boo di igooyoo bo gbeeinno mara winnin di.
00-07	Here yvvn pee ji lee ho ya bo he nvvnngo taa here mara winnin di le maan di ho nvvnngo ri. Ho de ho ya yvvn pee hvn di here mara winnin di.
01-00	Nvvnngo 1
01-01	Igooyoo pee hvn taa. Bo pee jabaga boro. Ho ya gvvn’n boo he pee, ho he gusege’n.
02-00	Nvvnngo 2
02-01	Mara winnin gvvn boo dv mvvnvn, vn sa le yan yvvn le yvvn pee.
02-02	Haa sa nikpo ibiiro le bronii, laa hebo le heemo, laa svgatesogo le hiansogo, bo pee bo maravn le.
03-00	Nvvnngo 3
03-01	Yvvn pee ho ya hvn niin goun, le bo togo maan togo’n, le hvn maan yin bo gbee, le he here hvn kori.
04-00	Nvvnngo 4
04-01	Haa ya yvvn wee ba igooyoo le hvn he heevn winnin bo fanga para tii.
05-00	Nvvnngo 5
05-01	Haa ya bo sa tokpirigo yvvn wee rii. Haa yaa bo soo bo yinngmo saakoniin.
06-00	Nvvnngo 6
06-01	Yvvn le yvvn pee ho ya bo jabaa, mara le nvvnngori.
07-00	Nvvnngo 7
07-01	Yvvn le yvvn pee hvn taa mara le yiindi.Ho tiri de ho ya here mara re jinan yvvn pee bo zika.
08-00	Nvvnngo 8
08-01	Yvvn’n dan bo gbeeinngo mara winnin ba bo di ti ho nvvnngo rii, hvn maan yaa trebenan le aban dv mara re le yaan.
09-00	Nvvnngo 9
09-01	Haa ya bo gbe yvvn wee le saa tetege’n jigai, laa le de hvn yvgv bo saako ri laa niin saako nanko ri.
10-00	Nvvnngo 10
10-01	Hvvn’n yin gvvn, a ho yaa kootv pee, ho ya bo bvnngvnnin-e, le de hvn da bo nvvnngo. Haa ya bo gbege le sa tetege’n jigai.
11-00	Nvvnngo 11
11-00	Yvvn’n he kpvvnko a bo gbege pee, mvvnm baa bvnngvnniin, le yaan boongo a hvn da bo nvvnngoi, haa ya bo baga hvnri gvvn - i.
