00-00	VERDENSERKLAeRINGEN OM MENNESKERETTIGHETENE
00-01	Da anerkjennelsen av menneskeverd og like og umistelige rettigheter for alle medlemmer av menneskeslekten er grunnlaget for frihet, rettferdighet og fred i verden,
00-02	da tilsidesettelse av og forakt for menneskerettighetene har foert til barbariske handlinger som har rystet menneskehetens samvittighet, og da framveksten av en verden hvor menneskene har tale- og trosfrihet og frihet fra frykt og noed, er blitt kunngjort som folkenes hoeyeste maal,
00-03	da det er noedvendig at menneskerettighetene blir beskyttet av loven for at menneskene ikke skal tvinges til som siste utvei aa gjoere opproer mot tyranni og undertrykkelse,
00-04	da det er viktig aa fremme utviklingen av vennskapelige forhold mellom nasjonene,
00-05	da De Forente Nasjoners folk i Pakten paa ny har bekreftet sin tro paa grunnleggende menneskerettigheter, paa menneskeverd og paa like rett for menn og kvinner og har besluttet aa arbeide for sosialt framskritt og bedre levevilkaar under stoerre Frihet,
00-06	da medlemsstatene har forpliktet seg til i samarbeid med De Forente Nasjoner aa sikre at menneskerettighetene og de grunnleggende friheter blir alminnelig respektert og overholdt,
00-07	da en allmenn forstaaelse av disse rettigheter og friheter er av den stoerste betydning for aa virkeliggjoere denne forpliktelse,
00-08	kunngjoer
00-09	GENERALFORSAMLINGEN
00-10	naa denne VERDENSERKLAeRING OM MENNESKERETTIGHETENE som et felles maal for alle folk og alle nasjoner, for at hvert individ og hver samfunnsmyndighet, med denne erklaering stadig i tankene, skal soeke gjennom undervisning og oppdragelse aa fremme respekt for disse rettigheter og friheter, og ved nasjonale og internasjonale tiltak aa sikre at de blir allment og effektivt anerkjent og overholdt baade blant folkene i medlemsstatene selv og blant folkene i de omraader som staar under deres overhoeyhet.
01-00	Artikkel 1.
01-01	Alle mennesker er foedt frie og med samme menneskeverd og menneskerettigheter. De er utstyrt med fornuft og samvittighet og boer handle mot hverandre i brorskapets aand.
02-00	Artikkel 2.
02-01	Enhver har krav paa alle de rettigheter og friheter som er nevnt i denne erklaering, uten forskjell av noen art, f. eks. paa grunn av rase, farge, kjoenn, spraak, religion, politisk eller annen oppfatning, nasjonal eller sosial opprinnelse eiendom, foedsel eller annet forhold.
02-02	Det skal heller ikke gjoeres noen forskjell paa grunn av den politiske, rettslige eller internasjonale stilling som innehas av det land eller det omraade en person hoerer til, enten landet er uavhengig, staar under tilsyn, er ikke-selvstyrende, eller paa annen maate har begrenset suverenitet.
03-00	Artikkel 3.
03-01	Enhver har rett til liv, frihet og personlig sikkerhet.
04-00	Artikkel 4.
04-01	Ingen maa holdes i slaveri eller trelldom. Slaveri og slavehandel i alle former er forbudt.
05-00	Artikkel 5.
05-01	Ingen maa utsettes for tortur eller grusom, umenneskelig eller nedverdigende behandling eller straff.
06-00	Artikkel 6.
06-01	Ethvert menneske har krav paa overalt aa bli anerkjent som rettssubjekt.
07-00	Artikkel 7.
07-01	Alle er like for loven og har uten diskriminering rett til samme beskyttelse av loven. Alle har krav paa samme beskyttelse mot diskriminering i strid med denne erklaering og mot enhver oppfordring til slik diskriminering.
08-00	Artikkel 8.
08-01	Enhver har rett til effektiv hjelp av de kompetente nasjonale domstoler mot handlinger som krenker de grunnleggende rettigheter han er gitt i forfatning eller lov.
09-00	Artikkel 9.
09-01	Ingen maa utsettes for vilkaarlig arrest, fengsling eller landsforvisning.
10-00	Artikkel 10.
10-01	Enhver har krav paa under full likestilling aa faa sin sak rettferdig og offentlig behandlet av en uavhengig og upartisk domstol naar hans rettigheter og plikter skal fastsettes,og naar en straffeanklage mot ham skal avgjoeres.
11-00	Artikkel 11.
11-00	Enhver som er anklaget for en straffbar handling har rett til aa bli ansett som uskyldig til det er bevist ved offentlig domstolsbehandling, hvor han har hatt alle de garantier som er noedvendig for hans forsvar, at han er skyldig etter loven.
11-01	Ingen maa doemmes for en handling eller unnlatelse som i henhold til nasjonal lov eller folkeretten ikke var straffbar paa den tid da den ble begaatt. Heller ikke skal det kunne idoemmes strengere straff enn den som det var hjemmel for paa den tid da den straffbare handling ble begaatt.
12-00	Artikkel 12.
12-01	Ingen maa utsettes for vilkaarlig innblanding i privatliv, familie, hjem og korrespondanse, eller for angrep paa aere og anseelse. Enhver har rett til lovens beskyttelse mot slik innblanding eller slike angrep.
13-00	Artikkel 13.
13-00	Enhver har rett til aa bevege seg fritt og til fritt aa velge oppholdssted innenfor en stats grenser.
13-01	Enhver har rett til aa forlate et hvilket som helst land innbefattet sitt eget og til aa vende tilbake til sitt land.
14-00	Artikkel 14.
14-00	Enhver har rett til i andre land aa soeke og ta imot asyl mot forfoelgelse.
14-01	Denne rett kan ikke paaberopes ved rettsforfoelgelse som har reelt grunnlag i upolitiske forbrytelser eller handlinger som strider mot De Forente Nasjoners formaal og prinsipper.
15-00	Artikkel 15.
15-00	Enhver har rett til et statsborgerskap.
15-01	Ingen skal vilkaarlig beroeves sitt statsborgerskap eller nektes retten til aa forandre det.
16-00	Artikkel 16.
16-00	Voksne menn og kvinner har rett til aa gifte seg og stifte familie uten noen begrensning som skyldes rase, nasjonalitet eller religion. De har krav paa like rettigheter ved inngaaelse av ekteskapet, under ekteskapet og ved dets opploesning.
16-01	Ekteskap maa bare inngaas etter fritt og fullt samtykke av de vordende ektefeller.
16-02	Familien er den naturlige og grunnleggende enhet i samfunnet og har krav paa samfunnets og statens beskyttelse.
17-00	Artikkel 17.
17-00	Enhver har rett til aa eie eiendom alene eller sammen med andre.
17-01	Ingen maa vilkaarlig fratas sin eiendom.
18-00	Artikkel 18.
18-01	Enhver har rett til tanke-, samvittighets- og religionsfrihet. Denne rett omfatter frihet til aa skifte religion eller tro, og frihet til enten alene eller sammen med andre, og offentlig eller privat, aa gi uttrykk for sin religion eller tro gjennom undervisning, utoevelse, tilbedelse og ritualer.
19-00	Artikkel 19.
19-01	Enhver har rett til menings- og ytringsfrihet. Denne rett omfatter frihet til aa hevde meninger uten innblanding og til aa soeke, motta og meddele opplysninger og ideer gjennom ethvert meddelelsesmiddel og uten hensyn til landegrenser.
20-00	Artikkel 20.
20-00	Enhver har rett til fritt aa delta i fredelige moeter og organisasjoner.
20-01	Ingen maa tvinges til aa tilhoere en organisasjon.
21-00	Artikkel 21.
21-00	Enhver har rett til aa ta del i sitt lands styre, direkte eller gjennom fritt valgte representanter.
21-01	Enhver har rett til lik adgang til offentlig tjeneste i sitt land.
21-02	Folkets vilje skal vaere grunnlaget for offentlig myndighet. Denne vilje skal komme til uttrykk gjennom periodiske og reelle valg med allmenn og lik stemmerett og med hemmelig avstemning eller likeverdig fri stemmemaate.
22-00	Artikkel 22.
22-01	Enhver har som medlem av samfunnet rett til sosial trygghet og har krav paa at de oekonomiske, sosiale og kulturelle goder som er uunnvaerlige for hans verdighet og den frie utvikling av hans personlighet, blir skaffet til veie gjennom nasjonale tiltak og internasjonalt samarbeid i samsvar med hver enkelt stats organisasjon og ressurser.
23-00	Artikkel 23.
23-00	Enhver har rett til arbeid, til fritt valg av yrke, til rettferdige og gode arbeidsforhold og til beskyttelse mot arbeidsloeshet.
23-01	Enhver har uten diskriminering rett til lik betaling for likt arbeid.
23-02	Enhver som arbeider har rett til en rettferdig og god betaling som sikrer hans familie og ham selv en menneskeverdig tilvaerelse, og som om noedvendig blir utfylt ved annen sosial beskyttelse.
23-03	Enhver har rett til aa danne og gaa inn i fagforeninger for aa beskytte sine interesser.
24-00	Artikkel 24.
24-01	Enhver har rett til hvile og fritid, herunder rimelig begrensning av arbeidstiden og regelmessige ferier med loenn.
25-00	Artikkel 25.
25-00	Enhver har rett til en levestandard som er tilstrekkelig for hans og hans families helse og velvaere, og som omfatter mat, klaer, bolig og helseomsorg og noedvendige sosiale ytelser, og rett til trygghet i tilfelle av arbeidsloeshet, sykdom, arbeidsufoerhet, enkestand, alderdom eller annen mangel paa eksistensmuligheter som skyldes forhold han ikke er herre over.
25-01	Moedre og barn har rett til spesiell omsorg og hjelp. Alle barn skal ha samme sosiale beskyttelse enten de er foedt i eller utenfor ekteskap.
26-00	Artikkel 26.
26-00	Enhver har rett til undervisning. Undervisningen skal vaere gratis, i det minste paa de elementaere og grunnleggende trinn. Elementaerundervisning skal vaere obligatorisk. Alle skal ha adgang til yrkesopplaering, og det skal vaere lik adgang for alle til hoeyere undervisning paa grunnlag av kvalifikasjoner.
26-01	Undervisningen skal ta sikte paa aa utvikle den menneskelige personlighet og styrke respekten for menneskerettighetene og de grunnleggende friheter. Den skal fremme forstaaelse, toleranse og vennskap mellom alle nasjoner og rasegrupper eller religioese grupper og skal stoette De Forente Nasjoners arbeid for aa opprettholde fred.
26-02	Foreldre har fortrinnsrett til aa bestemme hva slags undervisning deres barn skal faa.
27-00	Artikkel 27.
27-00	Enhver har rett til fritt aa delta i samfunnets kulturelle liv, til aa nyte kunst og til aa faa del i den vitenskapelige framgang og dens goder.
27-01	Enhver har rett til beskyttelse av de aandelige og materielle interesser som er et resultat av ethvert vitenskapelig, litteraert eller kunstnerisk verk som han har skapt.
28-00	Artikkel 28.
28-01	Enhver har krav paa en sosial og internasjonal orden som fullt ut kan virkeliggjoere de rettigheter og friheter som er nevnt i denne erklaering.
29-00	Artikkel 29.
29-00	Enhver har plikter overfor samfunnet som alene gjoer den frie og fulle utvikling av hans personlighet mulig.
