00-00	IRAEGUl BOTATAIGACHA ICOMANTAIGUIRO OCA NIBARINTSICA
00-01	Aiti ora caninaro ora icogaigui angantaigue antagaisati matsiguenga. Teni ongomeite queroca inintacagaigai pairo-raca anganquero ora caninaro.
00-02	AQUENGAIGACA ora antagaisati matsiguenga aisati icantaigaca. Aroquenta ibogaigue iriro matsiguengasonori. Iroro teni ongomeite cara paniro imeratimari ira basini. Teni ongomeite cara paniro ingantaguebiritiri catsimaro ira basini. Aisati caninataque antagaisati matsiguenga intimasantaigue caninasati.
00-03	AQUENGAIGACA cara tojai icantaguebiritengani ora te onganinate ira matsiguenga tenta irogoigue irirojegui matsiguengasonori. Icantaigueri ora ogoigui eiro te ongomeite. Aquengaigaca cara iroguiaque omagaro matsiguenga intimaigue caninasati. Teni ongomeite intsorogaigue, teatisati ongomeite iritasegue, carari caninataque antagaisati irinibataigue ora ijique caninaro, aisati caninataque inguemisantaigue ora ijique caninaro.
00-04	AQUENGAIGACA caninataque angabintsaigueri omagaro matsiguenga arota ingantaigue ora ijique caninaro. Aique quero icogaigui iriocairi itingomipague.
00-05	AQUENGAIGACA caninataque intimaigue caninasati antagaisati matsiguenga. Quero iguisegotobaga, querootisati yogobaga, querootisati yomintsorogobaga ira paniacha omagaropagueque.
00-06	AQUENGAIGACA eiro iragatane omagarojegui pais ora jitacha Naciones Unidas cara antagaisati matsiguenga ingantaigue ora ijitaigui caninaro aisa teni ongomeite cara te pairi iranintacaguiri ingantiro. Aquengaigaca cara aisati icantaigaca omagaro, serari aisati tsinane. Aquengaigaca caninataque omitocotaguetiri antagaisati matsiguenga intimaigue caninasati.
00-07	AQUENGAIGACA cara caninataque omitocotaigueri omagaro matsiguenga iraniacaninatobaguima aisati iranintacagobaguema ingantaigue ora caninaropague.
00-08	AQUENGAIGACA caninataque irogoigue antagaisati matsiguenga ora aquengaigaca.
00-09	IRAEGUl BOTATAIGACHA ICOMANTAIGUIRO OCA NIBARINTSICA:
00-10	Aiti ora caninaropague. Caninataque ingantaiguero antagaisati matsiguenga. Teni ongomeite cara queroca inintacagaigai pairiraca anganquero ora caninaro. Aisati caninataque ingomantaguequeri imatsiguenga itingomipague irogometaigueri cara isicoiraque arota iraniacaninatobaguema omagaro matsiguengajegui atiraca itimaiguira.
01-00	1.
01-01	Antagaisati matsiguenga ibogaigue matsiguengasonorl. Aisati icantaigaca. Teni iromerataiguengani. Antagaisati iquengaigui aisati igoiguiro ora caninaro aisati igoiguiro ora te onganinate. Iroro caninataque omagaro matsiguenga iraniacaninataigueri ira basiniati matsiguenga aisati ingantaigueri ora caninaro.
02-00	2.
02-01	Antagaisati ora ocomanti oca sanguenarica irasi omagaro matsiguenga. Teni ongomeite cara queroca pairiraca inintacagaigai anganquero. Jemita obiro serari, jemita obiro tsinane, jemita obiro biracocha, matsiguengasonori, tsitari. Jemita pinibare, j emita pitosorintsite, jemita ora piquengui, jemita tojai piguireguite. Aisati jemita negaraca pitimi, jemita pairoraca ijitara pitingomi. Teni ongomeite cara queroca inintacaguimi pinganquero ora osanguenataga yaca.
03-00	3.
03-01	Teni ongomeite cara iroguimi pairiraca. Teatisati ongomeite cara imeratimi basini, teatisati ongomeite cara pairiraca ingantaguebiriquemi ora catsimaro.
04-00	4.
04-01	Teni ongomeite cara pairiraca iromananteri ira basini. Quero ini ibimantaga.
05-00	5.
05-01	Obironta matsiguenga, teni ongomeite cara iratsipiriaquemi pairiraca.
06-00	6.
06-01	Caninataque itingomipague iraniacaninataigueri antagaisati matsiguenga. Ainta itingomi ira jitacha joes. Iraniaquerita iriro omagaro matsiguenga caninari.
07-00	7.
07-01	Aiti sanguenaripague caninaro ora iquengaigaca itingomi. Ora sanguenaripaguera ocabintsaigueri antagaisati matsiguenga aisati icantaigaca omagaro matsiguenga catingasatique sanguenari.
08-00	8.
08-01	Ira joes ingabintsaiguemi cara sanguenarique iromitocoquemi cara ainta pairiraca quero inintacaguimi pinganque ora ijique caninaro omagaro matsiguenga.
09-00	9.
09-01	Teni ongomeite cara iragasitimi pairiraca, teatisati cara iromingasiquemi, teatisati cara iriocasiquerni piguebatsiteque.
10-00	10.
10-01	Aroca pinganque ora te onganinate, aisati aintaca ira comantegotemine cara picanque ora te onganinate, quero igoontimi querootisati icomantegotimi picasitigote ira joes queroca iniacaninatimi. Querootisati icomantegotimi pairiraca ora pinganque queroquerai picomantegota obiati,
11-00	11.
11-01	Aintaca ira comantegotemi picanque ora te onganinate, iraniacaninatimita joes irooti irogoontasantimi cara picantagueti ora te onganinate. Aisati imemita ora pininti arota pingomantegotema caninasati.
11-02	Teni ongomeite cara ingasitigatimi cara sanguenarique teca inguengaiguema pitingomi teraiquerai pingantaguete ora te onganinate.
12-00	12.
12-01	Teni ongomeite cara ingantocotaguetasitimi obiro, aisati cara jrinibategotaguetasitimari pomatsiguenga. Ora sanguenari ongabintsemi.
13-00	13.
13-01	Teni ongomeite cara pairiraca quero inintacaguimi pijatagueque cara pingogue negaraca pintimaque cara quibatsique teni asintasitengani.
13-02	Aisati caninataque pisotocane paisipagueque, aisati pasi pobaisiteque, aisati caninataque popigaima pobaisiteque.
14-00	14.
14-01	Cara ingantaguequimi catsimaro, caninataque pijaque cara basiniatique pais arota ingabintsaimi canta.
14-02	Cara picantagueque ora te onganinate quero pisiga cara basiniatique pais. Caninataque irogoontimi cara pasi pobaisiteque aisati ingomantegotimi ora picanque. Ingasitigatimi cara picantagueque ora te onganinate.
15-00	15.
15-01	Caninataque antagaisati matsiguenga inganque: "Oca paisica iroonti nasi nobaisite". Quero pairi yagopitimi cara picanque: Oca nasiati nobaisite".
15-02	Querootisati pairiraca yagopitimi cara pingogue pijocanero pobaisite aisati pijaque cara iroraique pobaisite.
16-00	16.
16-01	Ainta ira ogomeantatsi teni ongomeite pague pijina cara onibateca basiniati nibarintsi cagaro pasi. Teni ongomeite oca ogomeantagantsica. Caninataque pague pijina arota irinane pijanequite irootisati pomatsiguenga. Aroca inganque quero pagui pijina basiniatinta onibare, quero piquemisantiri tenta irogote ora icanti. Aitosati asi tsinane ira ague ojime. Caninataque aguero ojime jemita irinibare.
16-02	Paniro paguiro pijina, paniro pagueri pijime cara pinguenguema pitirooti obiro.
16-03	Caninataque ongabintsemi gobirino obiro aisa pijina aisa pijaniquite.
17-00	17.
17-01	Caninataque antagaisati matsiguenga ingasintemaro ora iraisati: iguebatsite, ibango, irantomento, aisati basinipague.
17-02	Teni ongomeite cara pairiraca iragopitimi ora pasiati.
18-00	18.
18-01	Teni ongomeite cara pairiraca iragaquemi ora pinguenguema aisati ora pinguemisanque. Caninataque pinguemisanqueri pasi pitosorintsite. Aisati caninataque cara picogui pingampiatiro ora pinguenguema aisati ora pinguemisanque. Caninataque pomanocotiri pitosorintsite aisati pogometocotiri catingasatique matsiguenga.
19-00	19.
19-01	Caninataque antagaisati matsiguenga inguenguema ora ijique caninaro aisati caninataque ingomantaguetiro atiraca ininti. Teni ongomeite cara pairiraca inganquemi ora te onganinate aroquenta piquianca ora basiniati ora te inguenguema iriro.
20-00	20.
20-01	Caninataque popatoitima obirojequi arota pintaigue ora caninaro.
20-02	Aisati queroca pininti popatota, caninataque.
21-00	21.
21-01	Caninataque cara antagaisati matsiguenga ingomantero igobirinote ora icogui iriro. Queroca icantiro iriati caninataque iragaque basini ira nibabintineri catingasatique itingomipague.
21-02	Aitica ora onganquineri matsiguenga pigobirinote. caninataque onganquimi omagaro obirojequi.
21-03	Ora inintaigue matsiguengajegui agaqueri ora ingantaigue itingomipague. Aisati caninataque irirai itingomi iripegairi ira irinaga cara iragataiguen imatsiguenga.
22-00	22.
22-01	Caninataque antagaisati matsiguenga intarobacaate aisati irante arota inganinaseretane irironta matsiguengasonori. Aisati caninataque igobirinote omitocotiri intimaque caninasati aisati inganinatane.
23-00	23.
23-01	Caninataque intarobacaate matsiguengajegui inganque ora oganinaterini atiraca iraninte. Queroca pini itarobacaare omitocotirita igobirinote iraniaquero irorai itarobacaare.
23-02	Caninataque antagaisati matsiguenga iraguiri iriatisati quirequi aisati icantari ibega pairiraca basini cara inganque irootisati itarobacaare.
23-03	Caninataque cara intarobacaate matsiguenga iraguiri iguireguite ira cotonguiboro arota quero itasegui iriro querootisati imatsiguenga. Queroca cotonguiboro ainta iromitocoquerl.
23-04	Caninataque antagaisati matsiguenga intsibatimari basini irapatoitaiguema cara ingabintsaiguema ora iraisatijegui.
24-00	24.
24-01	Caninataque intarobacaate omagaro matsiguenga. Aisati caninataque cataguiteri comagoriantague cara quero itarobacaati. Aisati caninataque ora jitacha vacacion cara perosati iripenabintiri antagaisati matsiguenga iguireguite.
25-00	25.
25-01	Caninataque pintarobacaate antagaisati obirojegui pagueri quirequi ira cotonquiboro arota popaigue quero pitasegui, cotonguiboro asi pomanchaqui obiro aisati asi pijina aisati irasi pijaniquite, aisati cotonguiboro asi jompi. Aisati caninataque ainta iromitocoquemi aroca pijanaite, aroca otsonquima pitarobacaare, aroca ingamaque ira casintimi, aroca pintiasiparitane.
25-02	Caninataque ainta ira ingabintsero aisati iromitocotiro antagaisati tsinane aisati ojaniquite cara ontsomaqueri. Aisati caninataque ingabintsaigueri omagaro janequi jemita irogotengani iriri.
26-00	26.
26-01	Caninataque irisitoriataigue antagaisati matsiguenga cara isicoiraque cara ipenabentineri igobirinote ora openatima primaria. Iragaqueri ianiquite casintari cara irisitoriate. Caninataque irogoigane irogomere inganinatane, aisati iraniacaninataigueri ira basini irogomere, aisati irogotane intimaque caninasati, aisati iromitocoqueri antagaisati matsiguenga iraniacaninatobaguema cara ocanti oca sanguenarica.
26-02	Caninataque irisitoriataigue antagaisati arota irogotanero ora caninaro cara inganinaseretane, aisati iraniacaninatiri ira basiniati aisa iromitocoqueri imatsiguenga cara iraniacaninataigueri iraegui basiniati.
26-03	Iraegui casintari janequi inganque pairo irogometaigueri ianiquite.
27-00	27.
27-01	Caninataque antagaisati matsiguenga intsibataiguemari imatsiguenga cara omagaro inganque ora yameitaigaca irirojegui.
27-02	Ainta matsiguenga ingositeri basini ora inganque, ora irobetsique irorai, aisati ora irisanguenatagueque. Oca te ongomeite.
28-00	28.
28-01	Caninataque antagaisati matsiguenga intimaigue cara inguemisanquero oca sanguenarica.
29-00	29.
29-01	Caninataque antagaisati matsiguenga iraniacaninataigueri itingomi ira imatsiguenga, aisati inguemisanqueri itingomipague arota intimaigue caninasati antagaisati.
29-02	Inguemisantirota antagaisati matsiguenga ora iquengaigaca aisati ora isanguenaque itingomipague. Cara inganque negaca iromitocotaigueri omagaro itimanamitane cara ibaisiteque cara intimaigue caninasati omagaro.
29-03	Angagaisati matsiguenga inguemisanquerota oca sanguenarica ora iquengaigaca aisati ora isanguenataigue iragatane tojai pais oraegui jitacha Naciones Unidas.
30-00	30.
30-01	Oca sanguenarica quero ipiri pairiraca matsiguenga querootisati pairoraca gobirino cara ingantaguebiritiri catsimaro ira matsiguenga.
