00-00	Deklaachon du dreye de l’omo
00-01	Yu ke la rekonyichinhi de la dinyito de tu luz omo — tu minbro de la mema familyi aoue lu memo dreye ke nyon pou leu fouiye — reprezinte lo pilyer de la libarto, de la justis e de la pe du mondo,
00-02	Yu ke, kin lu dreye de l’omo son po rekonyu, son meprije, on arve a d’akto barbao, revoltan pe la konhyinhi de l’omo e yu k’ on a di d’an forta oue ke to so ke l’umanito atin par dessu tote, y’e on mondo yeu ke luz omo saon libro de predje e de kre-, debarache de leu peur e de la mizea,
00-03	Yu ke, pe ke l’omo susse po obledja, en’ darye rekorh, de se revolto kontra lu ki voudriyan l’ekrazo e lo reboche, y’e fran en’portan ke su dreye pouchissan ehe prezarvo pe lo pouver de la justis,
00-04	Yu ke y’e fran en’portan d’en’koadje lo developamin de relachon d’amitcha en’tre le nachon,
00-05	Yu ke, din la Chorta, lu poueplo de le Nachon Reuneyte on torno diye, ote e for, leu foue din lu dreye de l’omo, din la dinyito e lo pri de la parsena, din l’egalito duz omo e de le fene e yu k’ i se son di presto a fe- kreyre lo progre de la sossyeto e a beto su pya de kondichon de vya pi bouee e an pi gran libarto,
00-06	Yu ke luz Etate Minbro se son en’gadje a acheuo, man dan la man aoue l’Organizachon de le Nachon Reuneyte, lo respe pe tu lu pa.i du mondo du dreye de l’omo e de le libarte ki fon parti de sa nateua,
00-07	Yu ke on komon ide de slo dreye e libarte e de la pi ota en’portanhi pe rinplere konpletamin se en’gadzemin,
00-08	l’Assinblo geneola
00-09	di, ote e for ke la prezinta Deklaachon du dreye de l’omo pe tu lu pa.i du mondo reprinzinte on komon ide. I fo ke tu lu poueplo e tote le nachon arvissan a beto su pya se ide pe ke tu luz omo, tu lu rouadzo de la sossyeto ky on sla Deklaachon todzo a l’espri, fachissan l’efor, pe l’en’senyamin e l’edukachon de fe- kreyre lo respe de slo dreye e libarte e d’acheuo, pe de moujee d’odre nachenal e en’ternachenal ki vaon todzo pi aan, la rekonyichinhi e l’aplikachon pe tu e partote, oche byin pe le populachon duz Etate Minbro ke pe lu pa.i ki son plache dezo leu kmindamin.
01-00	Artiklo on
01-01	Tu luz omo vinyon u mondo, libro, tu toton pe leu dinyito e leu dreye. Y’on tu d’emo e de konhyinhi e i devon fe- mouho de fraternito aouey luz otri.
02-00	Artiklo du
02-01	Tsakon pou beto en’ aan tu lu dreye e tote le libarte en’skrite din sla Deklaachon, sin fe- dzen’ de difeinhi de rasse, de koleur de pel, de sexe, de linva, de relijyon,d’opinyon polteko ou de tot otro opinyon ki pouri vi- de la nassionalito, de l’orijina sossyola, de la fortena, de la nechinhi ou de nen’pourte ken’t’ otra situachon.
02-02	En’ plus, on faa po de difeinhi d’apre lo statu polteko, se de la justis, la plahi en’ternachenola du pa.i ou de l’indreye de yeu ke an parsena ven’, ke se pa.i susse en’depindin, soumeye a tutela, po libro ou obledja de se pleye a an limitachon de su pouver.
03-00	Artiklo treye
03-01	Tsakon a dreye a la vya, a la libarto e a la protekchon de sa parsena.
04-00	Artiklo katro
04-01	Nyon saa tu- en’ esklavadzo ni forcha de sarvi on metre. L’esklavadzo e lo komerso duz esklovo de n’en’ pourta ken’ta fahon son en’tardi.
05-00	Artiklo hen’
05-01	Nyon saa soumeye a la torteua, a de pounichon ou de tretamin kruel, en’dinyo ou ki rebochon l’omo.
06-00	Artiklo chi
06-01	Tsakon a dreye, yeu k’a susse, a la rekonyihinhi de su dreye devan la justis.
07-00	Artiklo sete
07-01	Tsakon e su lo memo pya devan la loe e a dreye a la mema protekchon de la loe, sin difeinhi. Tsakon a dreye a la mema protekchon kontra tota parsialito ki va.i a l’en’kontra de sla prezinta Deklaachon e kontra tuz en’koadzemin a sla parsialito.
08-00	Artiklo vout
08-01	Tote le parsene on lo pouver de se revedre devan le juridikchon nachenole kin leu dreye ki son rekonyu pe la konstituchon ou pe la loe son pyateuo.
09-00	Artiklo nou
09-01	Nyon pou ehe areho, en’prejeuo ou tsacha de son pa.i, sin vretobla rejon.
10-00	Artiklo dji
10-01	Tsike parsena a lo memo dreye ke lez otre, d’ehe akouto publikamin pe on tribunal en’depindin e en’parsial ki dessidaa, ou ben’ de su dreye e de sez obligachon ou ben’ de la bouea rejon de l’akuzachon mando kontra lyi pe an pounichon.
11-00	Artiklo onhe
11-00	Tota parsena akouzo pe an moveji akchon reste inochinta tin ke sa fota devan la loe a po eho prouvo pindin on prosse publik yeu ke tote le gaanti pe sa definsa lyi on eho akordo.
11-01	2- Nyon saa kondano pe d’akchon ou de mankamin ky on eho komeye a on moumin yeu ky eve po en’tardi pe le loe nachenole ou en’ternachenole. De la mema fahon, on poura po balye an pounichon pi forta ke la ky eve preyussa u moumin de la fota.
12-00	Artiklo dohe
12-01	Y’e defindu d’alo beto lo no din la vya parsenela de le dzin, din leu familyi, leu baraka, le letre ki mandon ou recheyvon. Y’e defindu de beto bo leu oneur e leu reputachon. Tsike parsena a lo dreye a la protekchon de la loe devan de paelyez atake.
13-00	Artiklo trehe
13-00	Tsike parsena a lo dreye de sirkulo libramin e de poucher resto yeu ke le vou en’ dedin d’on etate.
13-01	Tsike parsena a lo dreye de s’en’ modo d’on pa.i, memo du sen’ e lo dreye dez i torno.
14-00	Artiklo katouhe
14-00	En’ kasse de parsekuchon, tota parsena a lo dreye d’alo tsartche refujo e de poucher ehe akoulyeyta, din d’otri pa.i.
14-01	On pou po akordo se dreye a kortchon ky e porchuvu pe on krimo otro ke polteko ou pe d’akto kontreo a le direkchon e uz ide de le Nachon Reuneyte.
15-00	Artiklo tchinhe
15-00	Tsakon a dreye a an nachenalito.
15-01	On pou po fouiye a kortchon sa nachenalito po depli ke son dreye a n’in tsandje.
16-00	Artiklo sehe
16-00	Kin i son en’ adzo, l’omo e la fena de n’en’pourta ken’ta rasse, nachenalito ou relijyon, on lo dreye de se maryo e de fondo an familyi. Tu du on lu memo dreye devan lo mariedzo, pindin k’i son maryo e en’ kasse de divorso.
16-01	Lo mariedzo pou ehe foua slamin aoue l’akor libro e en’tcher du futur maryo.
16-02	La familyi e nateuelamin lo pilyer de la sossyeto, l’a dreye a la protekchon de la sossieto e de l’Etate.
17-00	Artiklo disete
17-00	Tota parsena, oche byin soleta ke en’ kolektivito, a dreye a la proprieto.
17-01	On pou po sin rejon prindre la proprieto de kortchon.
18-00	Artiklo dijvoute
18-01	Tota parsena a dreye a la libarto de pinche, de konhyinhi e de relijyon ; i vou diye ke on a lo dreye de tsandje de relijyon ou d’ide, de diye sa relijyon ou suz ide publikamin ou en’tre se, pe l’en’senyamin, la prateka, din tote le seremoni a l’egliji ou tche se.
19-00	Artiklo dijnou
19-01	Tsakon a lo dreye a la libarto d’aver son opinion e de lo diye. I supouze k’on a lo dreye de po ehe en’kyeto pe suz ide, k’on a lo dreye de tsartche, de recheyvre e de mando, sin s’okupo de le frontche-, lez en’formachon e luz ide pe tu lu moayin.
20-00	Artiklo vin
20-00	Tota parsena a lo dreye de s’assossiye aoue d’otre pe de bouee tsouze.
20-01	Nyon pou ehe obledja de se beto din an assossiachon.
21-00	Artiklo vintchon
21-00	Tsike parsena a lo dreye de diye son mote din la direkchon de la vya de son pa.i, k’i susse direktamin ou pe la oue de lu ky on eho libramin dezinye.
21-01	Tota parsena a lo dreye de s’okupo de le fonkchon pebleke de son pa.i, din de kondichon d’egalito.
21-02	L’otorito du pouver publik e chadoua su la volonto du poueplo. Sla volonto deye se diye pe d’elekchon onehe ki devon se ti- peryodikamin u vote segrete ou d’an fahon ki gaanteyche la libarto du vote. To lo mondo pou voto.
22-00	Artiklo vint e du
22-01	Tota parsena, en’ tin ke minbro de la sossyeto, a dreye a la sekurito sossyola ; le pou pretindre a an vya konvinyobla, a poucher ti- sa plahi din la sossyeto, a poucher se kultivo, en’ parsena dinyi, a l’espri uver e kapoblo de s’en’retsi. To sin aoue la kontribuchon de l’efor nachenal e de la koopeachon en’ternachenola, en’ tinyin kontcho de l’organizachon e de le resorse de tsike pa. i.
23-00	Artiklo vint e treye
23-00	Tota parsena a dreye a l’ouvra, le deye poucher choezi libramin son ouvra, din de kondichon juste e konvinyoble. Le deye ehe paro kontra lo tsomadzo.
23-01	Pe la mema ouvra, to lo mondo a dreye a la mema payi, sin difeinhi.
23-02	Se ki travalye a lo dreye d’ehe paye d’an fahon justa e konvinyobla pe poucher vivre, lui e sa familyi, an vya konforma a la dinyito de l’omo. En kasse de bezoin, a deye poucher konto su luz otri moayin de protekchon sossyola.
23-03	Tota parsena a lo dreye de se groupo aoue d’otri pe beto su pya on sindikate pe defindre suz en’tee.
24-00	Artiklo vint e katro
24-01	Tota parsena a dreye u repou e a le distrakchon. Lo tin de l’ouvra deye ehe limito rejeuoblamin e deye loche plahi a de kondje paye regulye.
25-00	Artiklo vin hen’
25-00	Tota parsena a dreye a an vya konvinyobla pe acheuo sa sante, pe ehe a l’ejo, lyi e sa familyi, d’abor pe la noreteua, l’arbilyemin, lo lodzemin, lo medzohen’ e le drogue pe se sonye e pe lu sarvecho de la kolektivito kin le n’a fota. L’a dreye a la sekurito en’ kasse de tsomadzo, de maladi, d’en’validito, de vevo, de vyeyes ou alor, din tu lu kasse de perta de su moayin de vivre a la suita d’avaro en’depindin de sa volonto.
25-01	La maternito e lo dzeveo adzo on dreye a ehe spessiolamin eydo.Tu luz efan, k’i sussan vu u mondo din ou en’ defour du mariedzo devon profito de la mema protekchon sossyola.
26-00	Artiklo vint e chi
26-00	Tota parsena a dreye a l’edukachon. L’edukachon deye ryin koho du moin pe l’ekoula tak u sartifikate. Y’e obledja de balye l’en’strukchon a tu luz efan. L’en’senyamin teknik e profecheuel deye ehe jeneralizo ;lu granz etudzo devon ehe uver, d’egola fahon, a tu lu ki l’on mreto.
26-01	L’edukachon deye tsartche lo developamin konplet de la parsenalito de l’omo e de le libarte ki son le fondachon de la sossyeto. Le deye eydo la konpreinchon, la toleanhi e l’amitcha entre le nachon, le rasse, le relijyon e toton pe lo developamin du travo de le Nachon Reuneyte, pe manti la pe.
26-02	Lu pa.in son lu premye a aver lo dreye de choezi la sorta d’edukachon k’i voulyon pe leuz efan.
27-00	Artiklo vint e set
27-00	Tota parsena a lo dreye de s’okupo de la vya de l’espri din sa komunoto, de prindre son pleji aoue le bele tsouze e de partissipo u progre de la syanhi e a so ke l’apourte de bon.
27-01	Luz ekrivin, luz artist, luz omo de syanhi ki produiyon an ouvra on lo dreye d’aver la protekchon pe leuz en’tee materyel e pe so ki leu reven’ morolamin.
28-00	Artiklo vint e vout
28-01	Tsike parsena a dreye a s ky usse, su lo plan sossyal e en’ternachenal, l’odre pe ke lu dreye e le libarte en’skri din sla prezinta Deklaachon pouchissan trovo leu plin efe.
29-00	Artiklo vint e nou
29-00	L’omo a de dever devan la komunoto yeu ke lo developamin libro e en’tcher de sa parsenalito e pocheblo.
29-01	Kin a fe valyer su dreye e kin a profite de se libarte, tsakon deye slamin se pleye a le limitachon preyusse pe la loe, justo pe acheuo la rekonyichinhi e lo respe du dreye e de le libarte duz otri e pe repondre a so ke demande la morola, l’odre publik e an bouea vya pe tu, din an sossyeto govarno pe lo poueplo.
29-02	Slo dreye e sle libarte pouron jame s’egzarso d’an fahon kontrea uz ide e a le ryegle de le Nachon Reuneyte.
30-00	Artiklo trinta
30-01	Po an sola dispozichon de la prezinta Deklaachon pou sarvi a otorizo on Etate, on groupamin ou an parsena, a destruiye lu dreye e le libarte kiz i son en’skri.
