00-00	DECLARACHON UNIVERSALLA DAI DRAI DAI DZEIN.
00-01	Yu que la recougnesseinsa de la dignita qu’e dussa a tote le dzein de noutra terra, de mimo que lao drai, d’apri la lai, paraire por treti, que pouant pas itre douta, l’e la colonda de la liberta, de la djustice et de la pe dein lo mondo.
00-02	Yu que s’on cougnai pas le drai dai dzein et qu’on le meprese cein meinne a la vaudesi que tsancroune la concheince de l’humanita et que la vegnate d’on mondo yo le dzein sant libre de devesa et de craire fro de la pouaire blyuva et de la mistoufye a eta proclliama quemet cein qu’e lo mi po le dzein,
00-03	Yu que faut devant tot que le drai dai dzein seyant tsouyi pe le lai po que le dzein, po fini, seyant pas dobedzi de lao branqua contro la maitreyeinse et l’opprechon.
00-04	Yu que faut d’a premi eincoradzi a eimpara l’ameti eintre le nachon,
00-05	Yu que dein la Tsarta le peuplyo dai Nachon Accolaie ant reme proclliama lao fai po le drai premi dai dzein, dein l’honneu et la valeu de la dzein humaine, po que le drai dai z’hommo et dai fenne seyant parai, et que se sant fermo decida a aidyi a meliora la vya dai dzein, et a etabli dai condechon de vya pe boune avoue ’nna liberta pe granta,
00-06	Yu que le z’ Eta meimbro se sant eingadzi a assura, avoue la cooperachon dai Nachon Accolaie, lo respe universe et su dai drai dai dzein et dai liberta premire,
00-07	Yu qu’onna concepchon coumouna de clliao drai et liberta l’e cein que compte d’a premi po reimpllia a tsavon sti l’eingadzemeint.
00-08	LA TENABLLIA GENERALA
00-09	Proclliame sta Declarachon universalla dai drai dai dzein quemet l’ideal coumon a aveinta pe ti le peuplyo et tote le nachon po que ti le coo et tote le z’administrachon de la societa aussant tot dao long sta Declarachon a l’esprit, s’escormantsant, ein recordeint et pe l’einducachon, a eimpara lo respe de clliao drai et liberta et d’ein d’assura tso pou, avoue dai mesoure d’oodro nachona et internachona la recougnesseinsa et la pratiqua universalla pertot et, sein la manqua, atant permi le populachon dai z’ Eta Meimbro leu-mimo que permi le z’eindrai yo on vi deso lao djuridicchon.
01-00	Articllio 1
01-01	Ti le z’itre humain vignant ao mondo libro et parai dein la dignita et le drai. L’ant resu reson et concheince et daivant vivre le z’on avoue le z’autro quemet se sant frare et chera.
02-00	Articllio 2
02-01	Clliao drai et clliao liberta qu’ant eta proclliama dein sta Declarachon sant a de bon po tsacon, sein vouaiti a la rasa, la colao, ao sexe, ao devesa, a la religion, a sa peinsaie politica ao bin quie que cein pouesse itre d’autro, que cein vigne de la nachon ao bin dao socia, de la fortena, de la vegnate ao mondo ao bin du onn’autra situachon.
02-02	De plye, foudra pas s’otiupa dao statu politico, djuridico ao internachona dao payi ao de la cotse du yo onna dzein e salyate, pas pire de se tseti que sti payi sai libro, deso onna tutella, que pao pas decida li-mimo de tot ma que l’e asservi a quauque limitachon dein son povai.
03-00	Articllio 3
03-01	Tsaque coo l’a drai a la vya, la liberta et la securita.
04-00	Articllio 4
04-01	Nion sara prai et tegnu quemet on esclliavo, assebin pas ein servituda ; l’esclliavadzo et la traita dai z’esclliavo sant defeindu dein ti le casse.
05-00	Articllio 5
05-01	Nion porra itre breganda, assebin pas puni ao bin tormeinta ein diablyo, que cein porrai itre contro natoura ao degradeint.
06-00	Articllio 6
06-01	Tsacon a lo drai d’itre recognu pertot quemet onna persena djuridica.
07-00	Articllio 7
07-01	Treti sant parai devant la lai et l’ant lo drai sein distincchon a itre treti protedzi pe la lai de la mima manaire. Treti dussant recaidre la mima protecchon contro tot cein que porrai contreyi sta Declarachon et contro tot cein que porrai amena a ’nna discriminachon.
08-00	Articllio 8
08-01	Tsaque persena l’a lo drai de porta se tsausse, l’e bin vere, devant le djuridicchon nachonale qu’ant eta nommaie essepre po cein, contro tot cein qu’e pas permet pe le drai premi que lai sant recognu pe la constituchon ao pe la lai.
09-00	Articllio 9
09-01	Nion pao itre arreta, eingabioula, ne tsampa fro dao payi sein ’nna bouna reson.
10-00	Articllio 10
10-01	Tsaque persena a lo drai de la mima fachon po tretote le dzein, de se fere a oure djustameint devant lo mondo pe on tribuna fro de tot et djusto. L’e li que vao decida su se drai et se z’obligachon et dere se faut alla ein-an avoue la pllieinta que l’e deredja contro la persena.
11-00	Articllio 11
11-00	Tota persena accusaie d’onna tsaravouteri e d’a premi yussa quemeint einnoceinta tant qu’a qu’on pouesse prova que l’e copablya d’apri la lai tandu on proces publico yo l’a resu l’aide necessera po se recria, se defeindre.
11-01	Nion porra itre condana po dai z’acchon ao dai z’ aoblya que n’irant pas dai cavilye d’apri lo drai nachona ao internachona dein lo tein que l’ant eta fe. Mimameint foudra pas balyi onna punechon pe granta que clliaque qu’avai eta preyuva ao momeint de la cavilye.
12-00	Articllio 12
12-01	Nion porra itre tsecagmi sein reson dein sa vya privaie, sa famelye, s’n otto ao sa correspondeinsa, assebin pas dein son honneu et sa reputachon.Tsacon a lo drai d’itre protedzi pe la lai contro clliao tsouse.
13-00	Articllio 13
13-00	Tsaque persena a lo drai d’alla et veni a s’n ese et chedre yo ye vao demora dein on Eta.
13-01	Tsaque persena a lo drai de fotre lou camp fro de tsaque payi, lo sein assebin, et de s’e reintorna dein son payi.
14-00	Articllio 14
14-00	Devant la persecuchon, tsaque persena a lo drai de tsertsi asilo et de pouai recaidre asilo dein dai z’autro payi.
14-01	Clli drai pao pas itre invoqua se lai a z’u vretablyameint dai retsertse a de bon po on crimo de drai coumon ao bin que lai a z’u dai manegance contrere ai principo dai Nachon Accolaie et a cein que tsertsant.
15-00	Articllio 15
15-00	Tsaque coo a drai a onna nachonalita.
15-01	Nion pao itre priva de sa nachonalita, sein onna bouna reson, assebin pas dao drai de tsandzi de nachonalita.
16-00	Articllio 16
16-00	Quand on bouibo et onna bouiba sant mao, que sant dan on hommo et onna fenna, l’ant lo drai de lao maria et de crea onna famelye sein retreinta po quant a la rasa, la nachonalita ao la religion. L’ant dai drai parai rappoo ao mariadzo, tandu lo mariadzo et quand ye trosse.
16-01	Lo mariadzo pao pas itre segni que se l’hommo et la fenna sant bin d’accoo ti dou et lo diant.
16-02	La famelye l’e la colonda natouralla et lo fondemeint de la societa et dusse itre eimparaie pe la societa et pe l’Eta.
17-00	Articllio 17
17-00	Tsaque dzein, que sai soletta ao bin que vive avoue dai z’autre a drai a la proprieta.
17-01	Nion pao itre priva de sa proprieta se cein l’e pas djustifiyi.
18-00	Articllio 18
18-01	Tsacon a lo drai de peinsa cein que vao. L’a la liberta de concheince et de religion ; cein fa que l’a lo drai de tsandzi de religion ao de convicchon et l’e libro de porta devant le dzein sa religion et sa convicchon, que sai solet ao ein coumon, atant devant lo mondo qu’ein tsi li, ein recordeint, ein faseint vere et oure, dein n’on pridzo et tote le ritoule que vant avoue.
19-00	Articllio 19
19-01	Tsaque coo a drai a la liberta de peinsaie et d’esprechon cein que lai balye lo drai de pas itre intieta po sa manaire de vere. L’a lo drai de tsertsi, de recaidre, d’epardzemalla, sein se tsouyi le bouenne, le z’informachon et le z’ide avoue le moyan que l’a po s’esprima .
20-00	Articllio 20
20-00	Tsaque persena a drai a la liberta de reunion et d’associachon dein la pe.
20-01	Nion pao itre dobedzi de participa a onn’associachon.
21-00	Articllio 21
21-00	Tsacon l’a lo drai de participa a la direcchon dai z’affere publico de son payi, que sai li-mimo ao bin que sai represeinta pe dai dzein qu’ant eta che librameint.
21-01	Tsacon l’a lo drai d’itre nomma ai foncchon publique de son payi dein dai condechon d’egalita.
21-02	La volonta dao peuplyo l’e lo fondemeint de l’autorita dai povai publico ; sta volonta dusse s’esprima ein faseint dai z’elecchon proupre que dussant lao teni pe tsauda ao suffradzo universa et ao vote secret ao d’apri ’nna procedoura paraire que dusse assura la liberta de vote.
22-00	Articllio 22
22-01	Tsaque persena, du que l’e meimbra de la societa, a drai a la securita sociala ; l’a lo drai de recaidre satisfacchon quant ai drai economico, dao socia et de la cultura que l’a fauta po sa dignita et po fere a clliori librameint sa persenalita, pe la mau dai veindzeince nachonale et la cooperachon internachonala, d’apri l’organisachon et le retsesse de tsaque payi.
23-00	Articllio 23
23-00	Tsaque persena a lo drai d’aovra ; ye dusse pouai chedre librameint son travau a dai condechon djuste, pllieseinte et l’a drai a la protecchon contro lo chomadzo.
23-01	Treti ant lo drai, sein discriminachon, a on gadzo parai por on travau parai.
23-02	Cllique qu’aovre a drai a onna remunerachon djusta et bouna po que pouesse dinse assura a sa famelye on vityu qu’eimpare la dignita humaine, que pao itre melioraie se lai a fauta pe dai z’autro moyan de protecchon sociala.
23-03	Tsacon l’a lo drai de fonda avoue dai z’autro dai syndica et de fere on accordairon avoue dai syndica po tsouyi se z’interet.
24-00	Articllio 24
24-01	Tsacon a lo drai ao repou et ai lesi et mimameint a ’nna limitachon resenablya dao tein dao travau et a dai condzi payi bin relya.
25-00	Articllio 25
25-00	Tsaque dzein a lo drai d’avai cein que faut po vivre et assura sa santa, se cheintre beneso et que cein sai dinse po clliaosique de sa famelye rappoo a la pedance, a la vetire, ao lodzemeint, po pouai se fere a maidzi de mimo que por tot cein que totse le serviso necessero dein lo domaino dao socia; ye dusse pouai compta su la securita se l’e ao chomadzo, malarda, invalida, vevo ao bin veva, dein la vilyondze et dein ti le z’autro casse yo l’e incapablya de fere mima po s’ein teri soletta po cein que l’a dai malapanaie que lai sant tsesuve dessu et que le z’a pas tchertche.
25-01	La mere et l’einfant l’ant drai a onn’aide et a onna protecchon tot’espechala. Ti le boute, que seyant vegnu ao mondo dein ao bin fro dao mariadzo resaivant la mima protecchon sociala.
26-00	Articllio 26
26-00	Tsaque coo a drai a itre einduqua. L’einducachon dusse rein cota, omeinte po l’einseignemeint elementero qu’e a la base de tot. Le bonie sant dobedzi de lo frequeinta. La recordeince de la tequenique et dai meti dusse itre organisaie pertot ; po quant ai grante z’ecoule, ye dussant itre aoverte a treti d’apri lo mereto.
26-01	L’einducachon dai aidyi a la dzein humaine a se cheintre bin et a meliora lo respe dai drai dai dzein et dai liberta premire. Dusse fere que le nachon se compregnant mi eintre leu, que pouessant meliora la tolereinsa et l’ameti eintre tote le nachon et tote le dzein sein se tseti de lao rasa et de lao religion dinse qu’a meliora cein que le Nachon Accolaie preparant po manteni la pe.
26-02	Sant le pareint, devant tot, qu’ant lo drai de chedre quemeint lao boute dussant itre einduqua.
27-00	Articllio 27
27-00	Tsacon a lo drai de participa librameint a la vya culturella, qu’e offerta a treti, de dzoure de tot cein qu’e propousa : le z’art, de preindre pa ao progres dai scieince et de la tsevance qu’ein salye.
27-01	Tsacon a drai a la protecchon dao savai et dao bon balyi pe la producchon scieintifiqua, littereraira ao bin artistiqua que l’a li-mimo creaie.
28-00	Articllio 28
28-01	Tsacon a drai, ao pllian socia et internachona, qu’on oodro sai etabli et que doure po que le drai et le liberta ecrit dein sta Declarachon pouessant itre chevu et respeta a tsavon.
29-00	Articllio 29
29-00	Lo coo a dai devai deve la communauta yo ye porra itre beneso et fere a clliori sa persenalita quemet nion cein autra pa.
29-01	Quand ye fa a valyai se drai et quand pao dzoure de se liberta, tsacon dusse rein qu’obeyi ai limitachon coumandaie pe la lai po assura la recougnesseinsa et lo respe dai drai et dai liberta de son seimblyablyo et po s’adena a cein que la morala demande, que l’e djusto, po l’oodro publico et po que tsacon se cheinte bin beneso dein ’nna societa democratiqua.
29-02	Clliao drai et liberta, on porra pas s’ein servi a l’eincontro dai principo et de cein que sohitant le Nachon Accolaie.
30-00	Articllio 30
30-01	Lai a min de disposechon dein sta Declarachon que porrai balyi a on Eta, on groupemeint ao a on coo quauque drai que sai po s’adena a fere oquie por aboli dai drai et dai liberta que lai sant meinchouna.
