00-00	Declarachion di droue de l’omo por tui le pa-i dou moundo.
00-01	In tenien counto ke le respe de la degneta de l’omo apartin a to lo moundo chou la terra, avoue le memo droue, e ke pouon pa ethre seda, fe la fondachion de la liberta, de la jiosteuce e de la pe dou moundo.
00-02	In tenien counto ke le meconiechance e le fason de mefrijieu le droue de l’omo i’an mena a de j’acto de barbaric ke rebouzon la counchieince di moundo e ke le nechanse d’oun moundo anvoueu le zin charin libro de cotherjieu e de creire, libera de la pouire e de la mijere, i’a eitha anounchia comin le plo ata aspirachion de l’omo.
00-03	In tenien counto ke i’e th’importan ke le droue de l’omo fochan protejia per oun rejime de droue porke l’omo chei pa countrin a la fin, a che revolta countre la tiranic e l’oprechion.
00-04	In tenien counto ke i’e th’importan d’incorajieu lo developemin di relachion amicale intre nachion.
00-05	In tenien counto ke din la loue de fondachion (charte), le zin di Nachion Reoneite i’an proclama a noe loou foue in le droue prinsepa de l’omo, in la degneta e la valoou de la perchon-na, din l’egalita di droue di j’omo e di female, e ke che chon declara fermo a favorijieu lo progres social e a instala de mi bone coundichion de via in per ona mi graucha liberta.
00-06	In tenien counto ke le j’Eta councho che chon ingajia a achiourieu in cooperin aou l’organizachion di Nachion Reoneite, lo respe coumple di droue de l’omo e di liberta foundamentale.
00-07	In tenien counto k’ona counsepchion comona de hloou droue e liberta i’e de la plo ata importance por impli plein-namin che ingazemin
00-08	L’assemblee generala proclianme la prejinta Declarachion di droue de l’omo por tui le pa-i dou moundo comin etan le meilloou tsauja a fere per tui le poplo e tote le nachion porke tote le zin e tote le societe ochan sta Declarachion tolon in l’espric, fajichan l’info, per l’inseniemin e l’edocachion, de developpa lo respe de hloou droue e liberta e d’achiourieu, pe de mejore de progre d’ordre nachional e internachional, la reconiechanse e l’aplecachion coumpleta e veretabla, tan premieu le popolachion di j’Eta mimbro loou memo ke premieu hleu ke chon rejieite per loouc.
01-00	Arteclo premieu 1
01-01	Tui le jetre humain nechon libro e pary in degneta e in droue. Chon reijonablo e de counchieince e deivouon azic le j’oun vi j’avi di j’atro in per oun espri de fraternita
02-00	Arteclo dau 2
02-01	Tsecoun pou che prevali de tui le droue e de tote le liberta proclama in sta Declarachion, chin ocona distinchion, de rache, de coloou, de sexe, de linvoua, de relijion, d’opinion poleteca ou bin de tote j’atre j’opinion d’orejena nachionala ou sociala, de fortona, de nechance ou bin de tote j’atre setoachion
02-02	In plo chare pa fe de distinchion fondaye chou lo statu poleteco, zoredeco ou internachional dou pa-ic ou de l’indrei don ona perchon-na i’e rechortechinta, ke che pa-ic ou che indrei independan, chou totella, pa libro ou bin choumetou a ona lemetachion de souvereneta.
03-00	Arteclo tre 3
03-01	Tsecoun i’a droue a la via, a la liberta e a la proteichion de cha perchon-na.
04-00	Arteclo katro 4
04-01	Nioun chare tenou in esclave ni in oblegachion ; l’esclavazo e le profie di j’esclave i’e defindouc in tote che forme.
05-00	Arteclo sin 5
05-01	Nioun chare choumetou a la tortora, ni a de pein-ne ou de tretemin mechien, inhumin ou degradin.
06-00	Arteclo chiche 6
06-01	Tsecoun i’a lo droue a la reconiechance pertot de cha personalite ke relive dou droue.
07-00	Arteclo chat 7
07-01	Tui ch’on pary dean la loue e i’an lo droue chin distinchion a la mema proteichion de la loue. Tui i’an droue a la mema proteichion countre tote discriminachion ke violerei la prejinta Declarachion e topary countre tote provocachion a ona tella descremenachion.
08-00	Arteclo ouet 8
08-01	Tota perchon-na i’a lo droue de che plindre dean la zoredichion nachionala competante countre le j’acto ke violon le droue de fon ke li chon recougnou pe la constetochion e per la loue.
09-00	Arteclo nou 9
09-01	Nioun pou ethre aretha, impreijona, tsachia dou pa-ic, arbitreramin.
10-00	Arteclo jieu 10
10-01	Tota perchon-na i’a droue in tota egalita, a ke cha cauja chei avouicha d’ona fason jiosta e poublic per oun trebonal independant e impartchiablo, ke decedere, chei de che droue e oblegachion, chei de la conformita ou droue de tote acoujachion in matire penale dirijieite coutre lieic.
11-00	Arteclo ounze 11
11-00	Tata perchon-na acaujaye d’oun acto ponecheiblo ie sensee ethre chin fauta por autan ke i’e pa proa pe la loue, dou tin d’oun prosse poubleuco anvoueu tote le garantie po cha definse li en eithaye grinteite.
