00-00	pematisit tepaketakosiwinan misiwekamik wintamakewin
00-01	miowe itash mekwa kaishikikecikatek kakinawenen otayan tepaketakosiwin kataswewanakisinaniwak kaye tapita ishikanawapatiwin mitash oma kaocitamakak tipenimitisowin, kwayakwatisiwin mina pisanisiwin oma akik.
00-02	miowe itash mekwa kaoci ishiwepak kapapapisiskecikatesinok mina tapasenimiwewinik ocimakan mikasoishicikewinan kaoci nishketakwak pimatisiwinik mina ooma itashwin akik mawak kakiciinetakwak ciishipicikatekin pematisiwac ciminwetamowac tipenimitisiwin kakikitowinik, tepweyetamowin mina antawetamowin kaye kotaciwin kiayasik.
00-03	miowe itash mekwa mawac kakiciinetwakak, kishpin ishinakwasinok inini keociapaiwepan ishkwak kaishi wekwaciset ciki oci nakashkakipan tipinawe tipakonikowin mina kaishimakoshkakemakak pimatisiwinik anish ocita piko cikiocikipan pematisit tepaketalpsowin ciayakwaminikatek ima inakonikewinik.
00-04	miowe itash mekwa mawac kakiciinetakwak citocikatek kaishi mino wiciwitinaniwak misiwe kataswewanakisinaniwak.
00-05	miowe itash mekwa opimatisak misiwekamik cikiwe ayawak tepwiyetamowin ima tepaketakosiwinik kaishi kiteni takwak mina kaishi tepaketakwak katashiwat awiyak minawa iima ininiwak kaye ikwewak tapita inetakosiwi nik mina cikakwe ishici kaniwak awashime keoci picinishkak kekonan nawac cianiminosenaniwakipan pimatisiwe nik.
00-06	miowe itash mekwa kaaishitipetakosiwac kanikanitamakewac kiishi pakitinitisowak apasinaikewinik cikakwe ishicikaniwak misiwe kamamawinowat anishininiwin cikitencikatekin mina cikanawapacikatekin pematisit otepaketakosiwin kaye tipenimitisowinan.
00-07	miowe itash mekwa cikiishi nisitocikatekin onoweniwan tepaketakesiwinan mina tipenimitisiwinan mawak kiciine takwanon kakina piko ciishi kiketakwakin owe apasinaikewinik. amitash weci tipacimowat oko mamaw okwapiitiwinik oweni oci misiwekamik pematisit tepaketakosiwinan tipacimowin ciishikiketakwak kakina awiyak mina misiwekanik kataso papeshikowac kaye katasikin katashiayaniwak cikanawetamowat oweni inakonikewin kaye moshak cimacimecikatek minawa kakikinoamakewat ciishi kiketakotowak awashime cikitenitakwak onowiniwan tepaketakosiwinan mina tipenimitisowinan kakina kaishinakwaninik ciishi kashkitowak cikitotamowapan kewinawa ikiweniwak kikana kaokimawetakosiwat mina kewinawa awiyak kaako tipenakwaninik kaishitipetamowat akini ciayakwaminikatek misiwe ima mina misiwekamik.
01-00	oshipiikan peshik.
01-01	kikanawenen kapimatisiwat nitawikiwak tipenimitisowinik mina tapita kiciinetakosiwin kaye tepaketakosiwin. otayenawa mikawiwin kaye nipwakawin minawa tash ciishikanawapatiwapan acako minowiciwitiwinik.
02-00	oshipiikan nishin.
02-01	kakinawenon otayenawa kakina tepaketakosiwinan mina tipenimitisowinan kainatenik oweni ikitowin kawin kawin memwek nisitawina kosiwin oci tapishkok katinowit, kaisheket, kaishinakosot, kaishikeshwet, kaishiayemiit, inetamowin, kaitakanesit, kitimakisiwin, nitawikiwin mina kotak ishikiketakosiwin. nawak minawa kawin memwek nisitawinakosiwin taayamakasinon oci ocimawinik. kaakotipetakosik kema misiwekamik kaishi tipetakosinaniwak acik mina katipetamowat otakiwa kaishi peshikot awiya kema kaye ocitipetak akini tipinawe, apenimowinik, okimaonik kaayasikwa makisha kaye anita kanotashkamowat kici okimawetakosiweni.
03-00	oshipiikan nisin
03-01	kakinawenen tepaketakosi pimatisiwin, ciawakanasiwint mina ayakwamisiwinik ciayak.
04-00	oshipiikan niwin
04-01	kawin taishiwepasinon ciawakinaniwak awiya kema kotakitowin. kawin kaye taishiwepasinon kakina kekon kaishinakwak kakwatakitowinnik mina cikipitinikatek kiishicikewat meshkwak kaotinamiwitwa kotakito anokiakanan.
05-00	oshipiikan nanan
05-01	kekowan awiya tatocikaniwisi nanekaciitiwinik kaye macitotakewinik kaoci tapasetakowita opimatisi kema kakwatakiiwewinik.
06-00	oshipiikan ikwotaso
06-01	misiwe piko oma kakinawenen tepaketakosi ciishikiketakosit kainasamisik inakonikewin.
07-00	oshipiikan nishwaso
07-01	kainasamisik onakonikewin kakina awiya tapita ishinakosi mina cioci kanawenimikowat onikonikewinik. kakina awiya tapita ishinakosi cikawenimikot oweni inakonikewin oci pikonikatek mina piko iniweniwan kaoci ishinishkekaniwak.
08-00	oshipiikan nishshwaso
08-01	kakinawenen kapimatisit otayan tepaketakosiwin misiwe tipakonikewinik kaki oci pakitinikatekin konikewinan kaye inakonikewin ketocikatek anciko kapikoniket onoweniwan kaki ishi onacikatekin tepaketakosiwenan.
09-00	oshipiikan shakaso
09-01	kawin awiya taishisasi win etako otakonikowin ciotakoont, kanawetakosiwin kema cioci nepici kiciwinakaniwit pakan akik.
10-00	oshipiikan mitaso
10-01	kakinawenen otayan misiwe weweni tapita kwayak kiishikanawapacikatenik kaishitashicikatekin ishisewinan tipakonikewinik minawa ima tipakonikewinan katipenitisomakakin kamocinapane eta tocikatek minawa tipekonikewin kaishi kakwe kikecikatenik anin maya kaishimamashit kaye opapamisiwen mina kaye kicimamamshiwen kaitakwaotina niwak.
11-00	oshipaikan mitasishipeshik
11-00	kakinawenon katipakonitwa omamashiwiniwa otayanawa tepaketakosiwin pinama cikishakonakaniwit cipwa anametakosit kainatek tipakonikewin otayan keoci natamakoc otipakonikowin.
11-01	kawin awiya taanamenimakaniwisi oci kekon iiwe api kakitotak kiotinikatenik kaoci tipakoni tinaniwak owe kekan kakiishicikaniwak kema anawewisiwin kema kaishinotashkak kekon oma misiwekamik kaye misiweakik kaye itash minawa kawin taishitocikateni omamashiwin nawak awashime kakwasikwetakwak ciina kwaikaniwit iwe api kaki ishi pikoniket.
12-00	oshipiikan mitasoshinishin
12-01	kawin awiya tatocikaniwisi cioci kakwetipaamawit omamashiwin otipinawewisiwinik, otipecikewinik, owaka ikanik kema oshipiamatiwinik, mina kaye cioci takopicikatenik otapitetakosiwin mina ocishiwepisiwin. kakinawenen otayan tepaketakosiwin cioci kanawenimikot onakonikewin oweni oci atoneikewin kaye wanishkweiwewin.
13-00	oshipiikan mitasoshinisin
13-00	kakinawenen otayan tepaketakosiwin tipenimitisowinik cipapamiayat kaye ciishitat kaako tipinikatek akik.
13-01	kakinawenen otayan tepaketakosiwin cinakatak pakan acik kaye tipinawe otaki minawa ciishitikiwet kakipiocit otakik.
14-00	oshipiikan mitasoshiniin
14-00	kakinawenen otayan tepaketakosiwin kishpin tepwe iweni oci macipaiwet anisha piko kaocikikani wiwat anishini niwak kaishinakosit, katinowit kema otepweyetamewinik ocitipakonakaniwit weti itash pakan akik ishiapaiwatak pisan iko ciatowapatak mina ciocinaetak.
