00-00	NASA YA'NWE'WEWA'TE NAA KIWETE UTA IPEHKSA YUWE'S NEWE'WEN'I WEH'A
00-01	uyte maa nasapwe's'pa ewkwecehk uesni' pyakhna'wek kafize'he', sa' k'a'weyc'a ya'nwe'wewa'pa teec'sana'wcehk wehyuhpa ikuse'wa'mete hi'pun'i naa kiwete uta wet wette, eena' eena'te ya'fi'zewa'te iwehce',
00-02	ki' yahk'ku: sa' wa'ln'i, naa ya'nwe'wewa't'i taas'i'n'ik kapuyi'hi', maa ueustepa thaameyuhthe'sa kuehna, sa' nasa' naa kiwete uta peenayu' ueukhna yues yuesteme f'i'zewaha's pakwena ueusta', sa' weh'yuhpa wec'ayuhte ma'we we'wewec'apa we'wewa' hi'p, ma'wepa yaak'wa' hi'p f'i'zewa'ha's pakwena uesta' isateyu'.
00-03	ki' naa suehk: ec ne'hwe's'suwe's' yuwema'kyuu, c'habwe's' ueskiwe'n'i yuwe ma'kyuu napa nasa ya'nwe'wewa'ha's hi'pun'isa' sena aeate ipe'he hi'pta'; nasa' ikahsa npicthe'we's' pk'uupa'ka kuk'the' yuuwa'ha's pakwekamen, uekahyu v'ite yu'ceyu' ya'nwe'wewa'yu' meethaes,
00-04	k'a'weyc'a naa suehu'k: kac'haec'ha'wa' usa', c'hab wala kiwwepwe's' d'i'p hiicehkyuuc'a ewtw f'i'zeya',
00-05	ki' yahk'hu: naa c'hab walapwe's' pkhakhesa up'h eentewe's' f'i'hn'i ecte' c'habwe's'a' h'ukaysa naa yuwe's isatewe's'yuha' hina, uyte naa kiwete nasa' isateyuh ha'dac'a u'ymakyuu pihcma'kyuu napa ya'nwe'wewa' hi'pyuha' hina, weh'yuhpa nasa h'ukaysa hwete ew f'i'zewa'ha's nuyc'haec'haya't' ewna hic'a nenyuu nasa' eena' f'i'zekan,
00-06	sa' ikahsa c'hab wala kwekwewe's' k'a'wente pkhakhesa' ayte we'wen'i's k'tey kyu'hu'ya' nenyun'i'spa yaaki'k, sa' nasa ya'nwe'wewa'ha's wette uesu hi'puwa'ha's c'hab wala kiwepwe's' pkhakhec'a s'abun'i kwekwe we'wen'i's k'tey yuuwa'ha's,
00-07	k'a'weyc'a yaaki'k : nasaisa sena naa ya'nwe'we'wen'isu, eena' eena' ueswa'te teec'sana'wec'a yaak'wa' peeh'sa' suehna ikahsa c'hab wala kwekwewe's' k'tey kyu'hu'hkha'w hin'i's.
00-08	K'a weh'ate na'hi'k:
00-09	Ayte nasa ya'nwe'wewa'te naa kiwete uta newe'wen'i weh'a' c'habt'i, c'hab wala kiwet'i nuyi'hwena, nasawe's', ikahwa' v'itn'i kwekwewe's'a; kapiya'n'iyakh, kask'aha'n'iyakh naa ya'nwe'wewa' hi'pun'i's wette ueswa' hi'pun'i's nuyc'haec'ha hi'pta'; ki' nasama't'yu, ikahwa' v'itn'i kwekwewe's'a' tuhd tuhdc'a naa ya'nwe'wewa't'i puuk' k'tey yuuwaha's kpahk'na u'hkan, ikahsa c'hab wala kiwe kwekwema't'yuu ki' k'a kiwe ne'hwe's'tewe's' ikah kiwema't'yuu napa.
01-00	F'i'ni pe'la 1.
