00-00	Declaraacion des dreuts d' l'ome po tos les payis de monde
00-01	Considerant qui l' respet del dignite, qu'apartint sorlon l' nateure a tos les-omes so l' tere, et d' leus dreuts egaals, qu'on n' saareut 'lzi meskeure, c'est l' fondemint del liberte, del djustice et del paaye e monde etir ;
00-02	considerant qu' faate de k'nohe et d' respecter les dreuts d' l'ome, enn' a des cis qu' s'ont avili aa pont d' brutaalizer l' s-otes d'ine manire scandaleuse po l' consyince di l'umaanite qui l's-omes adon esperet de viker d'tot leu cour en-on monde wice qu'i serit turtos libes de parler et d' creure, diliberes qu'i sont del tereur et del mizere, insi qu'il a stu proclame ;
00-03	considerant qu' s'on louke de fwerci l'ome a s'chervi del revole come dierin mweyin disconte di l'abus del pouhance et d' l'asservih'mint, i faat-st-apreume qu'on redjime di dreut garantih les dreuts d' l'ome ;
00-04	considerant qu' les peupes des Naacions-Uneyes ont, e leu Lwe d' fondaacion, proclame 'ne feye di pus' leu fwe d'vins les dreuts naturels di l'ome, d'vins l'dignite et l' valeur des-omes et des feumes, qu'il ont rezou d' favorizer l' progres sociaal et d' mete e plece des meyeuses condicions po viker avou 'ne pus grande liberte ;
00-05	considerant qu' les-Etats mambes s'ont egadji po-z-assurer vre°ymint tot coste, avou l'e°de di l'Organizaacion, li respet des dreuts d' l'ome et d'ses natureles libertes ;
00-06	considerant qu'i s' faat turtos mete d'acwerd so l' significaacion d' ces dreuts et d' ces libertes-la s'on vout reyaalizer on tel egadjemint ;
00-07	considerant qu'il e-st-important d'ecoredji totes les naacions a s'aconter todi mis eune l'ote,
00-08	li jenerale Assimble°ye
00-09	proclame cisse Declaraacion des dreuts d' l'ome come riprezintant les comeunes valeurs di l'umaanite qui tos les peupes et totes les naacions d'vront sayi d' tote leu fwece de mete en-ouve afis' qui totes lees djins et totes les societes, tot-z-avant tofer cisse Declaraacion el tiesse si fwercihesse, avou les mweyins d' l'ansegnemint et d' l'educaacion, de fee crehe li respet d' ces dreuts et libertes et d'enn' assurer, graace a des-adjincenedjes todi pus nets aa leve° nacionaal et internacionaal, li rik'nohance et l'aplicaacion e monde etir et d'ine reyele manire, ot'tant e-me les populaacions des-Etats mambes qu' e-me les cisses des teres qui sont d'zos leu k'duhance.
01-00	prumi aartike
01-01	Tos les-omes vinet aa monde libes et egaals po sou qu'est d' leu dignite et d' leus dreuts. Leu re°zon et leu consyince elzi fe°t on d'vwer di s'kidure inte di zele come des fres
02-00	aart II.
02-01	Chaskeun' pout pretinde a tos les dreuts et a totes les libertes qui sont chal proclames, sins qu'on prinse asteme, par egzimpe, a s' race, a s' coleur, a s' nateure d'ome ou d'feume, a s' lingadje, a ses crweyinces, a ses-ideyes so l' politique ou so tot l'minme cwe, al contre°ye ou al famile di wice qu' i provint, a s' fortune, a s' lignedje, bref a cwe qui s' seuye.
