00-00	HUKLLAWASQA NACIONKUNAPA REQSICHISQAN LLAPA RUNAKUNAPA DERECHONKUNA
00-01	QAWARISUNYA: Libre kawsakuywan kay pachapi tukuy imapi hawka kawsakuyqa sumaq sapichasqam kachkan kaykunapi: Lliw runakunaqa mamanchikpa wachakuwasqanchikmantapunim mana pipapas usuchisqan allin qawasqa hinaspa igual derechoyoq kananchik.
00-02	QAWARISUNYA: Runakunam tukuy mana allin ruwaykunaman chayarunku, runapa derechonkunata mana sumaqta reqsispanku otaq yachachkaspankupas chaykunata mana kaqpaqpas hapispanku, lliw runakunam munanchik hamuq punchawkunapi allin kawsakuyta; tukuy manchakuykuna hinaspa muchuyllapi wakcha kaykuna chinkaruptinqa lliw runakunam mana manchakuspana rimarisun imam umanchikpi kaqta, mana manchakuspataqmi chaskisun imam yachay munasqanchiktapas.
00-03	QAWARISUNYA: Kananmi Runakunapa Derechon waqaychaq munayniyoq kamachikuykuna, chay kamachikuykunam mana pimanpas sayapakuspa yanapanan derechon valechiy munaq sarutyasqa hinaspa usuchisqa runakunata.
00-04	QAWARISUNYA: Kay pachapi nacionkuna amistadta armanankupaqmi sonqonchikpi munaypaq-munananchik hinaspam chay munayta cheqechinanchik.
00-05	QAWARISUNYA: Hununasqaman perteneceq nacionkunam kay qellqapi cheqapyachirqaku Iliw runakunapa derechonpi creesqankuta hinaspam rimanakurqaku runakunaqa qari kaspapas otaq warmi kaspapas igual derechoyoqkama kasqan reqsichiyta. Tukuy chaykunata sumaqta yachaykuspaqa libre kawsakuyninchikpa kallpanchasqanmi aswan sumaqtaraq llamkasunchik llaqtanchik hatunyananpaq.
00-06	QAWARISUNYA: Hununasqaman perteneceq nacionkunam rimanakurunku lliw runakunapa derechonchikqa hinaspa libre kayninchikqa llapallanpa allin chaskisqan kananpaq.
00-07	QAWARISU NYA: Runakunapa derechonchikwan libre kayninchik allin reqsisqa kaspaqa cheqapmi kanqa.
00-08	HATUN HUNUNAKUYPI RUNAKUNAPA DERECHON REQSICHISQA KASQANMANTA
00-09	Hatun rimanakuyman lliw nacionkunamanta hamuqkunam kay qellqapi reqsichinku lliw mundontin runakunapa derechonkunata, chaynapi runakuna maypina yachaspapas kay qeliqata qawaspanku respetayta hinaspa libre kawsakuyta yachanankupaq; atisqankuman hinam wakinkunamanpas reqsichinqaku tukuy kaykuna cheqappuni kananpaq; kaykunataqa ruwanqaku hukllawasqaman perteneceq nacionkunapi kawsaqkunam otaq kay nacionkunapa amparonpi kaqkunam.
01-00	PUNTA KAQ (1)
01-01	Lliw runakunam nacesqanchikmantapacha libre kanchik, lliw derechonchikpipas iguallataqmi kanchik. Yuyayniyoq kasqanchikraykum hawkalla aylluntin hina kawsayta debenchik llapa runakunawan.
02-00	ISKAY KAQ (2)
02-01	Kay qellqapi tarikuq derechonchikmanta yachachikuykunaqa lliwchanchikpaqmi, manam imananchu huk runapa imayrikuq kayninpas nitaq qari warmi kayninpas nitaq imayna rimasqanpas nitaq ima diospi creesqanpas, manam imananchu imayna formapi gobierno kananpaq piensasqankunapas nitaq maylawmanta kasqanpas nitaq wakcha-apu kasqanpas nitaq imaynana kasqanpas.
02-02	Lliw nacionkunam libre kaspapas otaq mana libre kaspapas imaymana rikchaq gobiernoyoq kanchik, wakinnataqmi huk nacionkunaman hapipasqa kanku, ichaqa imaynana kaspapas manam hukmanpaq qawasqachu kananchik.
03-00	KIMSA KAQ (3)
03-01	Lliw runakunam derechoyoq kanchik kawsananchikpaq libre kananchikpaq hinaspa waqaychasqa kananchikpaq.
04-00	TAWA KAQ (4)
04-01	Manam pipas usurpasqa sirvienteqa kachwanchu, tukuy formapi prohibisqam runakunata duenochakuruspa sirvichikuyqa hinaspa runa rantinakuyqa.
05-00	PICHQA KAQ (5)
05-01	Manam pipas imaymana nakariykunaman churasqaqa kachwanchu, manataqmi runa kayninchikta penqayman churaykuspa castigasqaqa kachwanchu.
06-00	SOQTA KAQ (6)
06-01	Lliw runakunam maypina tarikuspapas derechoyoq kanchik ima juiciopipas valechikunanchikpaq.
07-00	QANCHIS KAQ (7)
07-01	Lliw runakunam derechoyoq kanchik igualkama leypapas chaskisqan kananchikpaq, leyqa mana pimanpas sayapakuspanmi amparawananchik. Kantaqmi derechonchik kay yachachikuykunata mana kasukuspa contranchikpi sayariy munaqkunamanta. Derechoyoqtaqmi kanchik kay yachachikuykuna qonqayta pantaypi kaptin leypa waqaychasqan kananchikpaqpas.
08-00	PUSAQ KAQ (8)
08-01	Lliw runakunam derechoyoq kanchik justiciapi uyarisqa kaspanchik amparachikunanchikpaq, leyman hina derechonchikpa contranpi ruwaqkunamantam waqaychasqa kananchik.
09-00	ISQON KAQ (9)
09-01	Faltanta mana sumaqta yachachkaspaqa manam pipas detenesqaqa, presochasqaqa nitaq huklaw nacionman qarqosqaqa kanmanchu.
10-00	CHUNKA KAQ (10)
10-01	Lliw runakunam igual kasqanchikrayku mana sayapakuq justiciawan uyarichikunanchikpaq derechoyoq kanchik, derechoyoqmi kanchik juiciopi ima deberninchikpas otaq derechonchikpas yachananchikpaq. Imamanta tumpasqa karuspapas yachananchikpaqmi sumaqta qawachiwananchik.
11-00	CHUNKA HUKNIYOQ (11)
11-01	LIiw runakunam ima huchamanta tumpasqa kaspanchikpas inocente kasqanchik valechikunanchikpaq derechoyoq kanchik, leyman hina juiciopi huchayoq kasqanchikta tarinankukama. Chay juiciopipas kanmi derechonchik garantiata chaskispanchik cheqaptapuni difiendesqa kananchikpaq.
11-02	Huk runapa imapas ruwarusqanmantaqa manam sentenciaruspanku castiganmankuchu sichum chay ruwasqan punchawkunapi manaraq ley lloqsispa delito kasqanta qawachichkaptinqa. Castigasqaqa kanqa chay hucha ruwasqan punchawkunapi leyman hina castigokunallawanmi.
12-00	CHUNKA ISKAYNIYOQ (12)
