00-00	RUNAKUNA RESPETACHIKUNANPAQ LEY RURAPAeKONQAN KAYNUYMI QALAYKUNAN
00-01	Lapan runa libri kananpaq, mana pipis runa masinta jarupananpaq, juchayoqta kastigananpaq, juchaynaq mana kastigasha kananpaq, piwansi runa masinwan mana pelyar mana liytur kushisha kawapakunanpaq kay pachach'u, mayna kaykan rurashana runa kayninta mana qech'unanpaq, chaynuy lapan iwal-la kananpaq, lapan runa chay kastanuyla kananpaq;
00-02	Runakuna respetachikunanpaq kanqanta mana reqermi y rikaykarpis jarukuypa ushayninpa mana kaqkunata rurasha, kanan chayta rikaykurmi rabyanasha. Lapan runakuna alich'u kananta munarmi kaynuy willakuykan. Kay rasunpa ali kawayman lapan runakunapis yaykunan, mana imapitasi manchakular, mana imapitapis pishipakular kushisha kawapaekuchun. Chay munanqannuy parlapaekonqan y munanqannuymi yaerakaerenqa.
00-03	Kaynuymi rurakanman rasunpa runakuna respetasha kananpaq. Chaynuypa runakuna mana kontran kayta yarpanqachu mandukunapaq ali ruraptenqa. Y mana ali ruraqkunata qarqonanpaq.
00-04	Chaynuymi imata rurananchipaesi rurakasha wakin nasyunkunawansi ali imach'uesi yanapaenakur imata rurarsi kawananchipaq mana liytur mana pelyar kushisha.
00-05	Lapan nasyunkuna chaych'ueraq eskribipaekusha yaerakuyninta, rasunpa alim shumaq alim nipaekusha runakuna imanuy respetachikunanpaq kaykaqta, lapan runakuna alipaq rikasha kananpaq kanqanta musyar. Chaynuy olqo ni warmi kaqpis juknin jukninpis iwal respetasha kananpaq. Chaynuy willakasha lapan kawaq runakunapaq imatapis ali rurayta y mas ali libri runa kawananpaq.
00-06	Lapan runakuna nasyunkunapita qotukaqkuna nipaekusha rasunpa kay kumplikanqa. Lapan chaych'u nasyunkuna kaq shumaq respetaenakunanpaq. Chaynuy imach'uesi kuyanakur willanakur imasi libri ali kaqta rurakaerinanpaq y
00-07	Lapan runapis juk yarpayla respetachikunanpaq y mas libri lapanta shumaq rasunpa kumplichinanpaq;
00-08	ASAMBLEA GENERAL NIRAN ENTERO MUNDUCH'U
00-09	RUNAKUNAPAQ KAYNUYMI WILLAKUN KAY LEYKUNA RUNAKUNA IMANUY RESPETACHIKAeRINANPAQ KANQAN
00-10	Lapan juk yarpaylaman yarpananpaq, marka nasyunkuna uch'aekunan imanaypasi lapan runakuna mandukuna chayman yaerakur rurapaekunanpaq. Lapan yaerakur yach'achinakunanpaq, runa imanuy respetachikunanpaq y libri imapitapis kananpaq. Chaynuy yarpaenan imasi ali rurayta nasyunninch'u juk nasyunkunawan. Chaymi kaykunataqa lapan musyapaekunan y rasunpa rurapaekunan. Chaynuymi lapan nasyunkunapita qotukaqkunaqa rurapaekunan, y wakinkaq nasyunkunapa rurinch'u kaq markakunapis.
01-00	JUK KAYNUYMI NISHA (1)
01-01	Lapan runa kay pachach'u yurin libri kawananpaq, lapanchinuy iwal respetasha kananpaqmi, mana pipis jarupaenanpaq, lapanpis iwal yarpach'akuy yach'aqmi, alita mana alita tantiyar kawananpaq. Chaynuy runa masinwan juknin jukninwan kuyanakur kapaekuchun
02-00	ISHKAY KAYNUYMI NISHA (2)
02-01	Lapan runakunam libri kananpaqmi kay willakuych'u willakun. Chaynuylam ima kasta kaptinpis> ni yana ni yoraq kaptinsi, warmipaepis ni olqopaepis, ni imaniraq rimaych'u parlakuptinpis, ni imaman yaerakuptinpis, imanuy yarpaynin kakuptinpis, may nasyunch'u yurisha kaptinpis, pobre kayman ni kapoqniyoq kayman yurisha kaptinpis, imanuykarpis runa respetasha kachun.
02-02	Jinarkur manam pipis juk niraqmi kay nenqachu nasyunninch'u mandanqanwan respetachikaeriptin y wakin nasyunkunawanpis wakin runakunapita, wakin nasyun runakunapaq nenqanpita y nasyunkunach'u imanuy mandananpaq jaqepanqam mandaqnin, mana kikilankunapita kananpaq, mana imasi fiyupa nakachinanpaq mandukuna nasyunninch'u.
03-00	KIMSA KAYNUYMI NISHA (3)
03-01	Lapan imaniraq karpis runakuna kawananmi respetachikur y libri munayninch'u y mana imapitasi manchakular.
04-00	CH'USKU KAYNUYMI NISHA (4)
04-01	Manam pipis aronqanchu mana paegaptinqa. Chaynuy mana imantasi rurachikunqachu nirantisha runantanuy aruchikuyta. Chaynuy rurachikuyqa kananqa manam kanchu. Kananqa manam kanchu maych'u chaych 'uesi.
05-00	PICHQA KAYNUYMI NISHA (5)
05-01	Manam pipis kanqachu somaq maqasha, fiyupa nakachishaqa, ashlishaqa mana ali kanqankamaqa mana 1runata jinaqa.
06-00	SOQTA KAYNUYMI NISHA (6)
06-01	Lapan runapaq kanmi maych'u chaych'u karpis respetanakunan y ali runapaq rikasha kanan, wakin runakuna kanqannuy.
07-00	QANCH'IS KAYNUYMI NISHA (7)
07-01	Lapan runapaesi iwal-lam mana jarupaenakunanpaq kaykaeqa, manam wakinkaqpaeqa achkachu ni wakin kaqpaeqa walkalachu, kay mana jarupaenanpaq kaqwanqa iwal mana jarupasham kanqa. Lapanpis chaynuy mana jarupasha, kuydasha, mana ch'eqnipasham kanqa. Alikaq runata respetaechenqa y mana ali ruraq runata kastiganqa. Kay runa mana jarupaenakunapaq lapan nasyunpita qotukaykur rurakanqanta manam pipis amachayta pwendinchu chaywan respetachikuptin.
08-00	PUSAQ KAYNUYMI NISHA (8)
08-01	Lapan runa mana jarupaenakunanpaq kaykanqannuy mana rurapaekuptenqa, o "pipis manam chaynuychu, pitaq nin" chayta niptenqa aywachun jatun kaq manduman kijakunanpaq. Chay mandu chaych'u mana jarupaenakunanpaq kanqantanuy ninanpaq chay jarupaq runata.
09-00	ISQON KAYNUYMI NISHA (9)
09-01	Manam pitapis yanqa juchaynaqta kikinpa munaynilanpitaqa wich'qanqachu karselkunaman munanqan orakama. Chaypita manam pipis qarqonqachu maypita maych'u kanqanpitasi manaraesi shumaq musyaykorqa.
10-00	CH'UNKA KAYNUYMI NISHA (10)
10-01	Lapan runapaemi kaykan mana jarupanakunanpaq, wakin jarupaptin iwal respetaechikunanpaq. Juk runa runamasinta imasi pasaptin willakaerinman lapan mayananpaemi kijakuy rurakaenanpaq. Jatusaq mandukuna imanuy kanqantasi rikananpaq, imanuy respetaechikunanpaq kanqanta ninanpaq. Rasunpa o yanqa kanqanta musyananpaq jatun karselman ch'urakoq mandukuna.
11-00	CH'UNKA JUKNIN KAYNUYMI NISHA (11)
11-00	Pi runatapis mana "juchaekushata juchaekusham" niptin mana ruranqanta respetachikunanmi, manaraesi pipis rikaq o "rasunpam qam rurashkanki" nenqankamaqa jatunsaq mandukunach'u kejakushana karqa. Chaykama chay runa kuydasham kanman manaraesi rasunpa juchayoq kanqan musyakanqankama.
11-01	Manam pipis juchaekonqanpita mastaqa ninmanchu pitapis nasyunninch'u o juk laedu nasyunch'usi, juchanta tariparurqa mananam chay juchaekonqan masmanqa nakananpaq ch'urasha kanqachu pitapis ni imapitapis.
12-00	CH'UNKA ISHKAYNIN KAYNUYMI NISHA (12)
12-01	Manam pipis mana kaqpita pitapis turyapanmanchu ali kakoqta manam washanta rimanmanchu jukpata, ni ima aykapitasi ni imawansi. Chaynuy wasinch'u kastankunawan ali tiyakoqta ni mayqantasi, ni kartan apachikonqankunach'uesi. Lapan pi runapaepis manam yanqaqa imatasi rimanmanchu. Chaymi ali kakoqta turyapaptenqa kanmi runata mana jarupaenanpaq rurakanqan, kijakur chaywan respetachikunanpaq.
13-00	CH'UNKA KIMSAN KAYNUYMI NISHA (13)
13-00	Pi runapis nasyunnin rurich'u munanqanpam purikonqa manam pipis amachanqachu. Chaynuy nasyunnin rurich'u may markach'uepis munanqanch'u akraykur wasinta ruraykur tiyakuchun.
13-01	Lapan runam libri nasyunninpita juk laedo nasyunman yarqoyta munarqa yarqonanpaq. Nirkorqa kanqalan nasyunninman kutiyta munaptinsi.
14-00	CH'UNKA CH'USKUN KAYNUYMI NISHA (14)
14-00	Pi runasi imapitasi qatikach'aytukusha karqa maypasi ali kananpaq asheq aywakunmanmi juk laedu nasyunkunaman chaych'u ali kawananpaq.
14-01	Kayqa manam mana alita ruranqanpita kijakuptin qeshpeqkunapaechu, kay mana jarupaenanpaq rurashakunata, ni kay ley rurasha kaqkunata mana ruray munaqpaechu, ni mana kaesuy munaqpaechu. Lapan nasyunpita qotukaykur rurapaekonqanqa.
15-00	CH'UNKA PICH'QAN KAYNUYMI NISHA (15)
15-00	Lapan runam juk nasyunman ch'ayarqa iskribikunan chay kanqanch'u markaenu kayta munarqa.
15-01	Manam pipis amachanmanchu juk runa nasyunninman iskribikuyta munaptin, ni nasyunninpita juk laedo nasyunman ashukuyta munaptin.
16-00	CH'UNKA SOQTAN KAYNUYMI NISHA (16)
16-00	Lapan runa olqopis, warmipis naqana uch'anman yarpayninman ch'ayarnaqa munarqa kasarakunqam. Lapanpaemi imaniraq kastapaesi ni yana ni yoraq, may nasyun runa karpis ni imaman yarakoq karpis. Chaynuypa yarina juk familya juk wasita ruraykur tiyakaerinan, kasararkur y kasaranqanpita rakikarpis lamitae pura rakipanakaerinan iman aykankunatasi.
