00-00	[Universal Declaration of Human Rights]
00-01	Yumbay runakuna warmikunda day pachapi tiyaqkunami runakuna kanchiqllapa. Runa masikuna kashpa, ayllukunashina shumaqta tiyashun, ama pinchinakushpachu. Ancha baliqkuna kashpa dirichuyuq kanchiq may munashqanchiqpi allita tiyananchiq, munashqanchiqpi trabajananchiq. Dirichuyuqmi kanchiq allin tinntiyuq, allin juyisniyuq kananchiqpaq. Manam allichu pwidiqkuna qesachanambaq wakin runa masindaqa. ashwanmi atumbis, takshapis ima layapis kashpa, shumaqta atinchiqllapa kawsayta.
00-02	Chayshina kaptimbis, wakin wapu runakunaq runa masinda qesachashpa, ancha maqashpa waqachishqallapa. Manam shonqonllapapiqa yuyashqallapachu "paxkunapismi noqashinalla dirichuyuq", nishpaqa. Amana chayshinachu tukunqallapa.
00-03	Kaytam ninillapa yumbay runakunata:
00-04	Aku shumaqta tiyaq, ama pitapis manchashpachu. Krisyishun munashqanchiqpi. Parlashun kriyishqanchiqta.
00-05	Yumbay llaqtakunapi allin leykunata ruranqallapa atinambaqllapa akrayta munashqanllapa kamachikuqningunata. Chayshina ruraptinllapami, leyningunata allita kasushpaqa, mananam maqanakunqallapachu.
00-06	Munanillapapismi yanapayta yumbay nasyungunata, shumaqta tiyanambaqllapa paykunapura, ama wanchinakushpachu.
00-07	Kaytapis yuyashun: yumbay nasyunninchiqkunapi rurashqallapa leykunata yach'ananchipaq ollqopis, warmipis dirichuyuq nishpa. Pullapam bidanqa ancha balin. Chaymi nasyunninchiqkunapi ancha trabajanchiq shumaqta runakuna tiyanambaqllapa. Yanapanchiqpismi llaqta masinchiqkunata, dirichuyuq kanambaqllapa. Kay Tandadu Nasyungunapa Atun Kunsijunmi kashpallapa "runapa chay dirichunguna ancha balin" nishpa, kay diklarasyunda iskibrinillapa, tukuy wata liyishpa, animakananchiqpaq, ama qonqananchiqpaq, yach'achinanchiqpaq tukuy nasyunninchiqkunapa llaqtangunapi.
01-00	1. Punta kaq:
01-01	Yumbay ollqokuna, warmikuna pullalla kashun leyninchiqkunawan. Manam ni pipapis kriyadunchu kanchiqllapa. Suqninchiq, suqninchiq atinchiqllapa yuyayta "imam alli, imam mana allichu" nishpa. Chayshina kaptin, shumaqta tiyashunllapa suq ayllushinalla.
02-00	2. Ishkay kaq:
