00-00	LAPAN RUNAKUNA IMANAWPA RISPITASH KAYAeNANPAQ KASHQANKUNA KAYNAW NIRMI QALAYKUN
00-01	Lapan runakunapis libri kananpaq, jusayuqkunata kastigakaenanpaq y iusaynaqkunata mana kastigaypa y piwanpis mana pelyaypa kushish kay pasachaw kawayqa kanqa ali; runakuna imanawpis kashqanta mana qechuymi y lapan runakuna yarpashqankunatapis mana michashqa kananpaq;
00-02	Runakuna rispitash kayaenanpaq kashqanta mana reqiypami y reqiykarpis iarukuyashqanta kanan yarparkushqaqa seqaypa ajanaypaq kaptinmi kanan lapan runakunapis alichaw kananta munayashpaemi kaykunata wilakuyae. Lapan runakunapis ali kawakuyman chaykur; mansakuypita y pishepakuypita librash karqa, munashqannawmj lapantapis parlakuyanqa y munashqanmanmj krigikuyanqa;
00-03	Lapan kaykunatamj rurakaenan, runakuna shumaq rispitash kayaenanpaq. Saynawpaqa runakuna manami yarpaeyanqasu imaykanawpapis awturdaekunapa kontran sharkuyta y tukuynawpa nakasikuqkunata elaqaesiyta;
00-04	Saynawmi ali kanman lapan nasyunkuna shumaq wilanakur tukuynawpa jukninwan jukninwan yanapaenakur aruyaptin; Askaq nasyunkunapita runakuna shuntakaykaerir, rasunpaypa alimi niyashpan yaerakuyan, runakuna rispitash kayaenanpaq niyashqan qelqaraykaqman. Kay qelqaraykaqchawqa kaykan runakuna rasunpa rispitash kananpaq, lapan runakunapis mana jarukushqa kayaenanpaq, warmipis olqupis rispitash kayaenanpaq. Saynawpami rasunpa kaykuna rurakaenanpaq wilanakuyashkae lapan markakuna y nasyunkuna ali kayman chaeyaenanpaq, lapan runakunapis ali kawayaenanpaq, saynaw kashqanta musyar runakuna librina kar shumaqna kawakuyanqa;
00-05	Kaychaq lapan runa qotukaqkuna awniyashqa lapan kaykunata rurananpaq, askaq nasyunkunawan wilanakur yanapaenakuypa lapan runakuna rispitashqa kayananpaq. Runakuna lapan rispitash karqa rasunpaypami y librimi kakuyanqa ali kaqkunataqa rurayanqa munayashqannaw, y;
00-06	Lapansikunapis juk yarpayla, kay runakuna rispitash kayaenanpaq, pipis mana jarukushqa y Iibri kakuyaenanpaq yarpashqaqa seqay alimi kanqa; saynaw rurashun nishqansikuna lapan rurakaenanpaq.
00-07	ALI YARPAY KAPTIN KAYKUNATAMI WILAKUYAN KAY PASACHAW LAPAN RUNAKUNA RISPITASH KAYAeNANPAQ NIYASHQAN
00-08	Lapan markakunapis, nasyunkunapis juk yarpayla yawayaenanpaqmi lakipakuyaenan imaykanawpapis. Saynawpaqa lapan runakunapis y mandaq awturdaekunapis, kay wilakuyashqaeman yarpakushla kayashpanqa, shumaq juknaw alitana rurayanman yachasiyashpan y yachakuyashpan. Saynawpami mansapakuypa rurayaenan, runakunata mana jarukuypa rispitana kashqanta y libri kashqankunata, Saynawpaqa yarpaenansj lapan nasyunninsik y juklae nasyunkuna ali kawayman chananpaqmi. Kaykunataqa musyayaenan y lapan runapis nishqannaw rasunpaypa rurayaenan, lapan qotukaq runakunapa markankuna, nasyunninkun y wakinkaq kay nasyunpa runnkunachaw kaykaq markakunapis.
01-00	NISFIQAN JUK (1)
01-01	Lapan runakunapis yurikuyan librimi y wakinkaqkunanaw rispitashqa, mana jarukushqa kayaenanpaq. Saynawmi runakunaqa yuriyan shumaq yarpayyuq, alitapis mana alitapis reqiykar y seqay kuyapaekuyyuq. Saymi runakuna ali kawakuyaenan jukninwan jukninwanpis.
