00-00	INTERU MUNDUCHO LAPAN RUNAKUNAPA DERECHUNKUNANTA WILAKUSHQAN
00-01	Munashqantsita ruranantsipaq, runakuna ali jusgashqa kananpaq, y ali kawanantsipaqpis kay patsacho, tantyashwan imanoq lapantsikunapis baelishqantsita. Tsaynoqpa tantyashwan imanoq lapan runa mayintsikuna derechun nishqankunata tsararaykashqanta. Manami pipis kay derechun nishqankunata kachanmantsu.
00-02	Wakinkuna kay derechun nishqankunata despresyar mana reqipaekushpan pasaypa mana ali kaqkunata rurapaekun. Rurapaekuptin interu munducho lapan runakuna shonqun rurincho rabyakaerin. Tsawraqa lapanpita mas munashqannoq wilakaerin mas alina kawapaekunanpaq kaynoq nir: "Lapan runakuna mana mantsakuypa kawanmanna y pishiychoepis manami kanmannatsu. Tsaynoqpis lapan runakuna ima yarpashqankunalatapis parlanman y munashqankunalamanpis kriyinman".
00-03	Laykuna kanman runakunapa derechun nishqankuna mana elqashqa kananpaq. Tsay presisumi kaykan. Mana kaptenqa imatapis mas rurayta mana pwedir runakuna imaykanoqpapis mana ali awturidaekunapa kontran sharkapakun y tukuynoqpa nakatsikoqkunata elqaetsipaekun.
00-04	Tsaynoqmi lapan nasyunkuna amistaecho kawapaekunman. Tsaypis presisumi.
00-05	Lapan nasyunkunapa delegaedunkuna juntakaerir eskribipaekorqan Nasyones Unidas nishqanpa qalaykatsinan kartata. Tsay kartacho eskribipaekorqan runakunapa derechun nishqankunapita. Tsaynoqpis eskribipaekorqan imanoq runakuna balurniyoq kashqanta, y olqupaq warmipaqpis derechun nishqankuna iwal kashqanta. Tsay eskribishqankunaman yaerakaerin Nasyones Unidas nishqanpa myemrunkuna. Tsaynoqpis tsay kartacho eskribiraykan kaynoq nir: "Librina arupaekushun ali kawayman chayapaekunantsipaq" nir.
00-06	Nasyones Unidas nishqanpa lapan myemrunkuna promitipakorqan yanapaenakur arupaekunanpaq interu munducho runakunapa derechun nishqankuna respitashqa kar kumplikaenanpaq.
00-07	Kay promitishqanqa ali rurakashqa kananpaq, Iapantsikunapis juk yarpayla tantyapaekushwan kay derechun nishqankunata.
00-08	Tsaymi Nasyones Unidaspa juntakashqan runakuna wilakun kayta:
00-09	INTERU MUNDUCHO LAPAN RUNAKUNAPA DERECHUNKUNAPITA WILAKUSHQAN
00-10	Kay wilakushqan lapan runakunapis nasyunkunapis iwal tantyapaekunanpaq tsay derechun nishqankunapitami. Tsaynoqpaqa lapan runakunapis y mandaq awturidaekunapis, kay wilakushqanman yarpashqala kashpanqa, yachatsipaekunman wakinkunata kay derechun nishqankunata respitananpaq. Tsaynoqpis juklae nasyunkunawanpis shumaq animatsipaekunman nasyunnincho kaqkunata y wakin munaynincho kaqkunatapis kaynoq nir ninanpaq: "Kay derechun nishqankuna lapan runakunapaqmi. Noqa tsay derechunkuna nishqannoqlami ali kawashaq runa mayekunawan'.
01-00	NISHOAN JUK (1)
01-01	Lapantsikunapis Iibrimi yurishqantsi. Baelintsimi y derechuntsikunapis wakinkaqkunanoqlapami. Yarpaynintsikunapis kaykanmi runa mayintsikunawan juk wawqinoq kuyanakur kawapaekunantsipaq.
02-00	NISHQAN ISHKAY (2)
