00-00	KAY PACHACHRU LAPAN RUNAKUNA WASHAKURKAANAPAQ ISKIRBISHAKUNA KAYKUNATA ISKIRBIPAAKURAA
00-01	Lapan runakuna chaynuyla washa kananpaqmi mana pisi rantisha runatanuy sirbichikunanpaqmi mana ima lutantas ruranakurkaananpaqmi, alipa rikanakurkaananpaqmi.
00-02	Lapan runakuna chay washasha kapaakunanta mana musyarmi, mana kaasukurmi runakuna qalayapaakusha lutan ruranakuyta, ashlinakuyta, kaykunam juchakachimanchi lapan runakunata. Chaymi musyachipaakuu lapan runata mana manchakular, mana ima wanaychruusi kay pachachru kawapaakunanpaq. Jinamanmi "Rimashaq" nirqa, rimapaakunanpaq, naatan munanqanman, Diosmansi u jukmansi yupachikurkaananpaq.
00-03	Maychru chaychruusi mandaqkuna ninakunqannuyla rurapaakunanpaq. Runankunata lutan runakunapa makinpitas washananpaq, lutan mandaqninta mana ima lutantas rurapaakunanpaq. Chaynuytaq lapan nasyunchru runakunas alipa rikanakur kawapaakunanpaq.
00-04	Lapan nasuyunpita delgadukuna wamaqta qutukaanan junaqchruumi rimanakurkur iskirbipaakura lapan runa, warmis, olqos chaynuyla alipa rikasha kananpaq. Chaychruutan rimanakurkara runakunata ali kawayta yanapapaakunanpaq. Naatan mana pisi rantiyasha runawannuy piwansi sirbichinanpaq. Chaychruutan chay lapan nasyunkunapita qutukaq de!gadukuna ninakaraarira chay rimanakurkanqannuy yanapaanakur kawapaakunanpaqsi.
00-05	Kay rimanakunqanchi rurasha kananpaq musyachishun lapan runata, warmitas, olqotas ninakurkaras, naatan mandaqkuna runankunata chay i mayqapitas washapaakunanpaq.
00-06	LAPAN NASYUNPITA QUTUKAQKUNAM ISKIRBIPAAKURA
00-07	Kay Pachachru Maychru Chaychruusi Runakana Chay Washasha Kapaakunanapaq
00-08	Lapan runakuna mayaq chayaq nasyunchruusi mandaqnintin kay iskirbishakunata yarpapaakunanpaq, jinaman yachrachipaakunanpaq. Chaynuytan kay iskirbishakunata mandaqkunaqa rurachipaakunman, nasyunninkunachruusi u jukla nasyunkuna munayninchru alipa kayaqkunatas rikanakurkaananpaq.
01-00	ARTICULO 1
01-01	Lapan runas kay pachachru nasimun juk rantisha runanuy mana pitas sirbinanpaqmi, alipa rikasha kananpaqmi, washasha kananpaqmi. Lapan runakunas nasipaakamun yarpayniyoqmi naatan tantiyayniyoqmi ima lutanta rurapaakurursi tantiyakunanpaq. Lapan runakunas kawapaakunaman juk wawqenuylam.
02-00	ARTICULO 2
02-01	Washasha kananpaq kay lapan iskirbirayaqnuylam rurakanman lapan runawansi, yuraqwansi, yanawansi, imaniraqwansi kachun quechua rimaqsi, castellano rimaqsi, u kachun warmis, olqos, Diosman yupachikuqsi u imaman yupachikuqsi, kachun manadaqninpita pinsiyaqsi u ima insiyaqsi, kachun mayaq markapitas u maychru, nasishas, kapuqniyoqsi u mana imaynaqsi. Imanuy ayqaynuy karsi rikanakurkanman juk kastanuylam.
02-02	Kachun mayqan mandaqkunapa qatiraqninsi, kachun libritayoqsi u jinalas, kachun mayaq markapita aywakamushas, pi maysi rikanakurkanman chaynuylam, juklaa nasyun mandaqpa makinchru karsi, mana jukpa makinchru kaqnuylam rikapaakunman alipa, chay mandaqpa runankunatas.
03-00	ARTICULO 3
03-01	Pi may runatas amam munachwanchu pitas wanuchipaakunanta, piwansi mana munayaqwan sirbichikurkaananta, jinaman maqasha u ashlisha kapaakunantas.
04-00	ARTICULO 4
04-01	Amam pisi, pipa sirbiqninsi imaysi yaykunqachu imapita nirsi u imapaq nirsi.
05-00	ARTICULO 5
05-01	Amam pi tasi kawaypa kuchuchinmanchu juk uywatanuyqa, manatan pitas ashlinmanpishchu mana baliq nirsi.
06-00	ARTICULO 6
06-01	Lapan runas, may chay nasyunchru kaqsi kanman chay kikin nasyun runanuy alipa rikasham, libritaanaq mana karsi.
07-00	ARTICULO 7
07-01	Lapan runas kapaakunman chaynuyla alipa rikasham. Naatan pis aliska kunchuchiptin kay iskirbishakunapita juknuypa ruraptin nasuynchru mandaqqa washanmanmi lapan runakunata. Amam rirqararmanchu pisi, mandaqninpita lutanta rimayaqta u wakta, kayta lutanta ruray niyaqta. Manatan rirqaranmanchu wakinta alipa rikaqtas u wakinta lutanpa rikaqtas.
08-00	ARTICULO 8
08-01	Jucha taripaq runakuna wiyaripaakunman lapan runatam nasyunninchru kaqtaqa. Paykunaqa runakunata washapaakunman iskirbishankunanuymi mana imas lutan rurasha kapaakunanpaq.
09-00	ARTICULO 9
09-01	Amam pitas manakaqpita, charichinmanchu u karselman wichrqachinmanchu. Naatan nasyuninpitas jurquchinmanchu.
10-00	ARTICULO 10
10-01	Juchaakushakunata taripaq runakuna rikapaakunman chaynuylam lapan runatas. Paykuna wiyaripaakunmanmi Chay juchachasha runamayin wanuchiqta imaninqantas". Chawra mana mayqantas kuyapaalarmi ima nipaakumansi rimakurkanqannuy.
11-00	ARTICULO 11
11-01	"Juk runapita lutantam rurasha" nipaakuptin rasunpa shumaq musyakamunqankamaqa "Manam yanqa rimapaakunmanchu paymi rurasha". nir. Naatan juchaakusha karqa, kikin chay runa washakushun u washachun juk runas. Chay jucha taripaqkuna achka runakuna kayaptinmi mayapaakunman chay juchachasha runa rimaqta.
11-02	Pi runa imatas ruraruptin, manam imaniytas atipapaakurachu nasyuninkunachru mana kaynuy iskirbishakuna kaptin. Naatan manatan karachu iskirbishakuna j uchaakushakunata imaypa aliska kunchuchinapaqsi. Chaypi taran mandaqkuna iskirbipaakura kayta naa imayqas juchaakusha jananchruuraq.
12-00	ARTICULO 12
12-01	Mariam pitas ayluykunata "Lutanta ruray". nichwanchu. Naatan manatan wayinchru imanuy kawakuqtasi imatas jatipachwanpishchu. Manatan kartantas pisi kichrapunmachu ni washantas rimanmanpishchu. Kay iskirbishakunanuymi rurakasha kanman. Jinaman washasham kapaakunman lapansi kay tukuy lutan ruraypita.
13-00	ARTICULO 13
13-01	Runaqa pi maysi munanqantam aywanman maytas, chaytas. Naatan nasyunninchruusi munanqanchruutan yachranman maychru chaychruusi.
13-02	Pi maysi munarqa yarqunmanmi imaysi nasyunninpita. Naatan munarqa kutiyunmantan imaysi.
14-00	ARTICULO 14
14-01	Mana kaqpita pis yanqa qatikachraptinqa, chay runakunaqa yarqukurkanmanmi nasyunninpita juklaa nasyunchru maylachruusi ali kakunanpaq.
14-02	Naatan imatas lutanta rurapakusha karqa amam yarqunmanchu nasyunninpita juklaa nasyunchru washapaakunanpaq, Lapan Nasyunpita Qutukaq runakuna manam munapaakunchu kaykuna rurakananta.
