00-00	UNIVERZALNO DEKLARACIJA BASO CACIPA E MANUSESKERE
00-01	Soske o mothovipe e bijande dignitetesko thaj jekhipasko si bithemale cacipa e sa dzenengere ke manusengiri familija si fundamenti e tromalipasko, cacipaskoro thaj e sansareskoro ko sumnal.
00-02	Soske o bipacape thaj o bidikhipe e cacipaskoro e manusesko legari sine ko varvarsko dzaiba so ladzarela sine i gnd e manusipeskoro, thaj sose o kheripe e sumnalesko kaj so e manuseskiri struktura ka dzivdini tromalipe ko vakeribe thaj religija thaj ka oven tromane kotar o daripa thaj o cororipa si proklamirimo sar emuco ideali sakone manuseske.
00-03	Soske si barikano o cacipe e manusesko te oven preventirime kotar o cacipnalo sistemi te na bi ovela o manus phaldino t ebuninipe kontra i tiranija thaj i exploatacija.
00-04	Soske si trubutno te inicirinipe o progresi e dostengoro relacijengoro maskaro nacije.
00-05	Soske o nacije e Unijakere nacijengoro ko Dokumenti palem zorjakeri plo ucipe ko fundamentalno cacipe e manusesko, ko digniteti thaj molipe e manuseskere personakoro thaj jekhipe maskaro rom thaj romni thaj soske dingje lafi te inicirin o amalikano progresi thaj te susjakeren o sartija baso dzivdipa ko pobaro tromalipe.
00-06	Soske e rastrakere dzene dena lafi kaj ka kheren kolaboracija e Unijakere nacijencar te bi rezervirinen o fundamentalno mothovipe thaj praktika e manusikane cacipaske thaj fundamentalno tromalipe.
00-07	Soske o fundamentalno aljovipe akale cacipaskoro thaj tromalipasko si embaro barikanipe baso pherdo realiziripe akale obligacijakoro.
00-08	Akana, odoleske,
00-09	O Generalno parlamenti,
00-10	Proklamirini akaja Univerzalno Deklaracija baso cacipa e manuseskoro sar jekhanutno amalikano standardi so valjani te resaren sa o manusa thaj sa o nacije koleja so sakona korkorutno thaj sakova orgni e amalipaskoro dikhindoj akaja Deklaracija, ka mangel sikljoibaja thaj edukacijaja te anel baso mothoviba akale cacipaskoro thaj tromalipe thaj kerindoj e nacionalno thaj maskarenacionalnengo mere te ovel sigurno lengoro fundamentalno thaj pacavutno mothovipe thaj sunipe sar maskaro nacije ko korkorune rastrake dzene, adzaar thaj maskaro nacije ko okola teritorije so si teli lengiri direkcija.
01-00	Dzeno 1
01-01	Sa e manusikane strukture bijandzona tromane thaj jekhutne ko digniteti thaj capipa. Von si baxtarde em barvale gndaja thaj godzaja thaj trubun jekh avereja te kherjakeren ko vodzi pralipaja.
02-00	Dzeno 2
02-01	O sa cacipa thaj tromalipa programirime ko akava Dokumenti preperena sakone dzeneske bizo razlika ko dhikhiba ki rasa, farba e mortikako, o pol i chib, i religija, thaj o politikano ja aver gndalipe, o nacionalno ja amalikano iklipe, i situacija e barvalipaski, o bijandipe ja bilo savo sarti.
02-02	Poodori, nane te kherelpe nisavi razlika ki baza e politikakiri, e cacipaskiri ja o maskarenacioalno satatusi e phuvjako ja e teritorijako kote so pherela nesavo manus, bilo te ovel biatxinalo, telo phuriba, e biavtonomijako ja palem te arakipe ko bilo savo granicipe ko suvereniteti.
03-00	Dzeno 3
03-01	Sakone isile cacipa ko dzivdipe thaj arakibasko ple personakoro.
04-00	Dzeno 4
04-01	Khonik na smiini te ovol ikerdo ko phanlipe ja teli exploatacija, phanlipe ja ko kinipe-bikinipe e phanlimacar ko sa o forme si phanle.
05-00	Dzeno 5
05-01	Khonik ni smiil te ovel teljardo ko pharipe ja ko dilini, thaj bimanusikano ja dzungalo keripe ja penali.
06-00	Dzeno 6
06-01	Sakone isi cacipe kaj mangela te avel prindzardo sar cacikano subjekti.
07-00	Dzeno 7
07-01	Sarine si jekhutne anglal o krisi thaj isiolen cacipe, bizo savi bilo diskriminacija, jekhutne preventive ko krisi.
08-00	Dzeno 8
08-01	Sarinen isi cacipe ko nacionalno krisija efikasno te preventinen o phagiba o fundame cacipa so si mothode e statueja ja e kriseja.
09-00	Dzeno 9
09-01	Khonik ni smiil te ovel proizvolno astardo, phanlo, pa ni phaldimo.
10-00	Dzeno 10
10-01	Sakone isi pherdo jekhutno cacipe ko cacikano thaj pravdo krisalipe angle biatxinale thaj bisukar krisi so ka definirini baso leskere cacipa thaj obligacije thaj baso fundalipa ko sakova bango vakeribe kontra leste.
11-00	Dzeno 11
11-00	Sakova iftirimo baso bango vakeripe isiole cacipe te gndini kaj nane odova cace sa dzikote upri baza e kriseki, o bangovakeripe na dokazini ko cacikano rodipa kase so denape leske sa o garancije trubutne basi leskoro arakipe.
11-01	Khonik na smiini te ovel krisimo baso buca ja mekhipa so nane bange buca palo nacionalno ja maskarenacikengoro cacipa ko vakti kana si kerde. Isto adzaar na smiini te vakeripe poparo penalipe kotar okoja so saj te kerelpe ko vakti kana si realizirimi i bangi buti.
12-00	Dzeno 12
12-01	Khonik na smiini te ovel ikaldo ko proizvolno emipe ko privatno zivdipe, familija, ko cer ja akti, ni te kerel atako upralo o sukaripa thaj baripa. Sakone isiole cacipa baso arakiba kotar o krisi prekal asavko emipe thaj atako.
13-00	Dzeno 13
13-00	Sakone isiole cacipa ko tromalipa phiribasko thaj alosariba ko arakiba ko granice ki nesavi rastra.
13-01	Sakone isiole cacipa te mekel savi bilo phuv, chivindoj em pli da, thaj palem te irinipe ki pi phuv.
14-00	Dzeno 14
14-00	Sako phaldimo manus isiole cacipa te rodol thaj te dzivdini azili ko avera phuvka.
14-01	Ko akava cacipa khonik nasti te vikini ki situacija o paldipa te ovol fundamo upri bangi buti kotar i bipolitikano karakteri ja keriba kontra e funde thaj e cikata e Unijakere nacije.
15-00	Dzeno 15
15-00	Sakone isiole cacipa ko jekh rastralipe.
15-01	Khonik ni smiil korkoruno te ovel xasardo kotar plo rastralipe ni kotar cacipe te lol aver rastralipe.
16-00	Dzeno 16
16-00	E pherdebersengere mursa thaj dzuvlja bizo save graniciba ko dikhibe e rasakoro, rastralipha ja i religija, isiolen cacipa te kheren nicaji thaj teovelolen familija. Von si jekhautne ko phandiba nicaji, ko vakti ko leskoro traiba taj ko leskoro mukhiba.
16-01	O nicaji saj te klidirinipe ki tromanikani thaj sasto kaulibe e personengoro so khuvena ko nicaji.
16-02	I familija thaj o devlikanliphe si fundamentalno kletka e amalikanipasko thaj isiolen cacipe basi preventiva kotar o amalipe thaj i rastra.
17-00	Dzeno 17
17-00	Sakone isi cacipe te ovele barvaliphe, korkoro, a em ko amalipe averencar.
17-01	Khonik ni smiil te ovel korkoruno nasavdo kotar plo barvalipe.
18-00	Dzeno 18
18-01	Sakone isiole cacipe ko tromanipe e gndako, godzako thaj e religijako; akava cacipe phandena o emibiba e religijakoro ja e gnadlibaskoro thaj e manuseskoro tromaniasko korkore ja ko amalipe averencar, javno ja privatno te manifestirin pli religija ja gndalipeko drumo e ikloibaja, religijakere keribaja thaj kheribe e ritualengoro.
19-00	Dzeno 19
19-01	Sakone isi cacipe ko tromanipe e gndakoro thaj vakeribaskoro, so asterela thaj o cacipe te na ovel bisansarimo ki oli religija, sar thaj kako cacipe te rodol, te lel thaj te buvljakeri o informacije thaj o ideja bilo save bucencar thaj bizo dikhipe e granicengoro.
20-00	Dzeno 20
20-00	Sakone isi cacipe ko tromanipe baso sansarimo khedipe thaj amalipe.
20-01	Khonik nasti te ovel phaldimo te pherel ko disavo khedinipe.
21-00	Dzeno 21
21-00	Sakone isi cacipe te participirini ko direktoribe e javno bucencar ki pi phuv, butpase ja prekal tromane alosarime delegatija.
21-01	Sakone isi cacipe ki jekhutni baza te khuvel ki javno funkcija ki pli phuv.
21-02	I volja e nacijakiri si baza e rastrakere tagaripaske: akaja volja trubul te mujarelpe ko palovakteske ja tromane alosariba so ka cerenpe e fundamentalno thaj jekhutne cacipaja e xangoso e, garavdune xangibaja ja e jekhutne keribaja koja so garantirini tromanipe e xangibasko.
22-00	Dzeno 22
22-01	Sako, sar dzeno e amalikanipasko, isile cacipe ko sosijalno siguripe thaj cacipe te realizirinen ekonomikane, amalikane thaj kulturakere cacipa trubutne baso plo digniteti thaj baso tromanutno progresi ple personakoro, pomozindoj e rastraja thaj i maskarenacionalna kolaboracija, a ko kauli e organizacija thaj e buca e sakona rastrakere.
23-00	Dzeno 23
23-00	Sakone isi cacipe basi buti, baso tromano alosaribe ko rodipa buti ko cacikane thaj sukar sartija basi buti thaj basi preventiva kotar bizobucaripe.
23-01	Sakova, bizo razlika, isiole cacipe basi jekhutno pocinipe basi jekhutni buti.
