00-00	DECLARATSIA UNIVERSALA TI-NDREPTURLI-A OMLUI
00-01	Ti-atsea ca pricanushtearea-a namuziljei nativa shi-ndrepturli egali shi nealienabili-a tutalor membrilji-a taifaljei a omlui easti fimelju-a li-bertatiljei, a-ndriptatiuljei shi-a irinjiljei din lumi,
00-02	Ti-atsea ca nitinjisearea shi atimusearea-a-andrepturlor a omlui dutsea la comportari barbari cari u prusvulisea sinidisea-a uminitatiljei, sh-ti-atsea ca adrariljei lumi tu cari iatsali umineshtsa va s-harseasca di libertatea di zbor shi pisti shi va s-hiba liberi di firca shi urfanjea easti proclamata ti nai ma analtul ideal a cafi unlui om,
00-03	Ti-atsea ca important easti ca-ndrepturli-a omlui s-hiba afiriti cu sistemlu juridic ca s-nu hiba omlu pimtu pi-atsea ta s-muta contra-a tiraniiljei shi tirinsearea,
00-04	Ti-atsea ca important easti ca sa-lji si da indati developarea-a relatsiilor di uspitsalji anamisa di miletsli,
00-05	Ti-atsea ca miletsli-a Natsiunilor Uniti cu Harta nica na oara u confirmara pistusinea-a lor la-ndrepturli fundamentali-a omlui, la namuzea shi valoarea-a personalitatiljei umineasca shi egalitatea-a barbatlui shi-a muljeariljei shi ti-atsea ca apufasira ca sa-lji indati-a developariljei sotsiala shi s-li amelioreadza conditsiili ti bana tu ma marea libertati,
00-06	Ti-atsea ca statili membri u loara obligatsia tu colaborari cu Natsiunili Uniti s-u asigura tinjisearea ghenerala shi aplicarea-a-ndrepturlor a omlu shi libertatsli fundamentali,
00-07	Ti-atsea ca acachisearea ghenerala-a lushtor andrepturi shi libertats easti di nai ma marea importantsa ti-ntreaga realizari-a lishtei obligatsii,
00-08	Adunarea ghenerala
00-09	Uproclameadza aesta Declaratsii Universala ti-ndrepturli-a omlui ca un standard comun cari lipseashti s-lu-agiunga tuti miletsli shi tuti natsiili cu tsi cafi una individua shi cafi un organ a sotsietatiljei, cara va u-aiba dipriuna an videari aesta Declaratsii, va shi-u aiba tendintsa ca prin anvitsarea shi educatsia s-aduca la tinjisearea-a lushtor andrepturi shi libertats shi cu metrili progresivi natsionali shi internatsionali s-hiba asigurata pricanushtearea shi tinjisearea-a lor ghenerala sh-di dealihealui cum anamisa di miletsli-a singurilor stati membri, ashi shi anamisa di miletsli-a tsilor teritorii cari suntu sum administrarea-a lor.
01-00	Articlul 1
01-01	Tuti iatsali umineshtsa s-fac liberi shi egali la namuzea shi-ndrepturli. Eali suntu harziti cu fichiri shi sinidisi shi lipseashti un cu alantu sh-si poarta tu duhlu-a fratsaljiljei.
02-00	Articlul 2
02-01	Tuti-ndrepturli shi libertatsli dit aesta Declaratsii alji pricad a cafi unlui insu independent di rasa, baeaua-a chealiljei, sexul, limba, pistea, minduearea politica ica alta, orighina natsionala shi sotsiala, starea di aveari, fatsirea ica cari tsi s-hiba alti conditsii.
02-02	[Missing 2nd paragraph]
03-00	Articlul 3
03-01	Cafi un ari-ndreptul ti bana, libertati shi sigurantsa-a personalitatiljei.
04-00	Articlul 4
