00-00	Decleranza universala dals drets da l'uman
00-01	Considerand cha l'arcugnuschentscha da la dignita immanenta in tuot ils members da la famiglia umana e da lur drets eguals ed inalienabels constituischa la fundamainta da la liberta, da la guistia e da la pasch in quist muond.
00-02	Considerand cha la mancanza da la cugnuschentscha e'l spredsch dals drets da l'uman han mana a fats da barbarissem chi offendan la conscienza da l'umanita e cha la fuormaziun d'uen muond, ingio cha'ls umans saran libers da discuorrer e da crajer, liberats da la temma e da la misiergia, es gnu proclama sco la mera la plue ota da l'uman,
00-03	Considerand chi'd es important, cha'ls drets da l'uman vegnan protets d'uen regimaint da dret, per cha l'uman nu vegna sforza sco ultim mez a la revolta cunter la tirannia e l'oppressiun,
00-04	Considerand chi'd es important da promouver il svilup da relaziuns amicalas tanter las naziuns,
00-05	Considerand cha'ls poevels da las Naziuns unidas han proclama in lur Charta lur cretta i'ls drets fundamentals da l'uman, illa dignita e la valur da la persuna umana, illa egualita dals drets dad homens e da duonnas e ch'els han decis da promouver il progress social e megldras relaziuns da viver in liberta plu granda,
00-06	Considerand cha'ls stadis chi sun members s'han obliats dad asguerar, in cooperaziun cun l'Organisaziun da las Naziuns unidas, il respet universal ed effectiv dals drets da l'uman e da las libertats fundamentalas, Considerand ch'uena concepziun cumuenaivla da quists drets e da quistas libertats es d'importanza maximala per accumplir plainamaing quist ingaschamaint,
00-07	proclama l'Assemblea Generala la preschainta Decleranza universala dals drets da l'uman
00-08	sco l'ideal cumuenaivel dad obtgnair per tuot ils poevels e tuot las naziuns, per cha mincha singul e tuot ils organs da la vita publica hajan aduena adimmaint quista Decleranza ed as sfadajan da promouver il respet da quists drets e da quistas libertats tras l'instrucziun e l'educaziun e dad asguerar tras masueras progressivas i'l ram naziunal ed internaziunal lur arcugnuschentscha ed applicaziun effectiva ed universala, tant pro la populaziun da lur stadis sco eir pro quella da territoris chi suottastan a lur giurisdicziun.
01-00	Artichel uen. (1)
01-01	Tuots umans naschan libers ed eguals in dignita e drets. Els sun dotats cun intellet e conscienza e dessan agir tanter per in uin spiert da fraternita.
02-00	Artichel duos. (2)
02-01	Mincha uman no far valair ils drets e las libertats proclamats in quista Decleranza, sainza inguena differenza, ne da razza, da culur, da sex, da lingua, da religiun, d'opiniun politica o d'uena otra opiniun, d'origin naziunal o social, da proprieta, da naschentscha ne da qualunque otra circunstanza.
02-02	Pluenavant nu poja gnir fat inguena differenza in basa a la situaziun politica, giuridica o internaziunala dal pajais o dal territori, al qual uena persuna appartegna, cha quist pajais o territori saja independent, suot tutela, na autonom ch'el saja suottamiss a qualunque otra limitaziun da sia liberta.
03-00	Artichel trais. (3)
03-01	Mincha uman ha il dret da la vita, da la liberta e da la sguerezza da sia persuna.
04-00	Artichel quatter. (4)
04-01	Inguen nu po gnir tgnue in sclavitued o in servitued; sclavitued e commerzi da sclavs sun scumandats in tuot lur appariziuns.
05-00	Artichel tschinch. (5)
05-01	Inguen nu po gnir suottamiss a la tortura, ne a painas o trattamaints crudels, inumans o uemiliants.
06-00	Artichel ses. (6)
06-01	Mincha uman ha dapertuot il dret, cha sia persunalita giuridica vegna arcugnuschueda.
07-00	Artichel set. (7)
07-01	Tuots umans sun eguals davant la ledscha ed han il dret da gnir protets egualmaing da la ledscha sainza inguena distincziun. Tuots han il dret da gnir protets egualmaing cunter mincha discriminaziun chi violess quista Decleranza e cunter mincha provocaziun ad uena tala discriminaziun.
08-00	Artichel ot. (8)
08-01	Mincha persuna ha il dret a protecziun legala davant las giurisdicziuns naziunalas competentas cunter tuots fats chi violeschan ils drets fundamentals chi tilla sun gnuets concess tras la constituziun o tras la ledscha.
09-00	Artichel nouv. (9)
09-01	Inguen nu po gni arresta arbitrariamaing, tgnue in fermanza o gir exila arbitrariamaing.
10-00	Artichel desch. (10)
10-01	Mincha persuna la il dret, in plaina egualita, ad uena procedura tenor dret e guestia e publica davant uen tribunal independent ed imparzial chi ha da decider sur da seis drets e seis dovairs o sur da qualunque achuesa in materia penala drizzada cunter eIla.
11-00	Artichel uendesch. (11)
11-01	Mincha persuna chi vain achuesada d'uen fat culpabel sto gnir resguardada sco innozainta, fintant cha sa cuolpa nu vain cumprovada legalmaing in uena procedura publica, ingio cha tilla sun asgueradas tuottas garanzias necessarias per sa defaisa.
11-02	Inguen nu po gnir chastia per uen fat o per uen interlasch chi nu d'eira punibel tenor il dret naziunal o internaziunal da quel temp ch'els sun gnuets commiss. Medemmamaing nu poja gnir inchargia uen chasti plue greiv co quel chi d'eira applichabel da quel temp cha l'act penal d'eira gnue commiss.
12-00	Artichel dudesch. (12)
12-01	Ad inguen nu's poja as masdar arbitrariamaing in sa vita privata, in sa famiglia, in seis domicil o in sia correspundenza ed inguen nu po gnir attacha in sia onur ed in sia reputaziun. Mincha uman ha il dret a protecziun legala cunter talas infiltraziuns o attachas.
13-00	Artichel traidesch. (13)
13-01	Mincha persuna ha il dret da circular libramaing e da tscherner libramaing seis domicil aint il intern d'uen stadi.
13-02	Mincha persuna ha il dret da bandunar mincha pajais, cumprais seis agen, e da tuornar in seis pajais.
14-00	Artichel quattordesch. (14)
14-01	Pervi da persecuziuns ha mincha persuna il dret da tscherchar asil e da giodair asil in oters pajais.
14-02	Quist dret nu po gnir fat valair in cas da persecuziuns pervi da delicts na politics o pervi da fats cuntraris a las meras ed als princips da las Naziuns unidas.
15-00	Artichel quindesch. (15)
15-01	Mincha persuna ha il dret ad uena naziunalita .
15-02	Ad inguen nu poja gnir priva arbitrariamaing sia naziunalita e neir il dret da muedar sia naziunalita.
16-00	Artichel saidesch. (16)
16-01	Homens e duonnas ill'eta da's maridar han il dret da conclueder uena lai e da fuondar uena famiglia, sainza inguena restricziun in reguard, a la razza, Ia naziunalita o la religiun. Els han ils medems drets pro'l maridar, duerant il matrimoni e pro'l sfar oura.
16-02	La marida po gnir conclueda be in basa a l'acconsentimaint liber e cumplet da tuots duos conjugals venturs.
16-03	La famiglia es l'elemaint natueral e fundamental da la cumuenanza umana ed ha il dret da gnir protetta da la cumuenanza e dal stadi.
17-00	Artichel deschset. (17)
17-01	Mincha persuna, o suletta o in comuniun cun otras, ha il dret a proprieta.
17-02	Inguen nu po gnir priva arbitrariamaing da sia proprieta.
18-00	Artichel deschdot. (18)
18-01	Mincha persuna ha il dret e liberta d'impissamaints, da conscienza e da religiun; quist dret cumpiglia la liberta da muedar la religiun o la persvasiun ed eir la liberta da manifestar sa religiun o sa persvasiun sulet o in comuniun cun oters, tant publicamaing o privatamaing, tras instrucziun, in pratcha, in cult divin o accumplind rits.
19-00	Artichel deschnouv. (19)
19-01	Mincha uman ha il dret a la liberta d'opiniun e d'expressiun: quista liberta cumpiglia il dret dad aderir libramaing ad opiniuns da tscherchar e dad artschaiver e derasar infuormaziuns ed ideas per qualunque mez d'informaziun pussibel sainza resguards da cunfins.
20-00	Artichel vainch. (20)
20-01	Mincha uman ha il dret a la liberta da reuniun e d'associaziun cun meras paschaivlas.
20-02	Ingun nu po gnir oblia dad appartgnair ad uena associaziun.
21-00	Artichel vainchuen. (21)
21-01	Mincha uman ha il dret da tour part a la direcziun dals affars publics da seis pajais, opuer directamaing o tras rapreschantants tschernuets libramaing.
21-02	Mincha persuna ha il dret da tour part cullas medemmas cundiziuns als uffizis publics da seis pajais.
21-03	La volunta dal poevel es la fundamainta per l'autorita da la pussanza publica: quista volunta sto s'exprimer tras elecziuns vardaivlas chi ston seguir periodicamaing cun dret da vuschar general ed egual e cun scrutin secret o tenor uena procedura equivalenta chi garantischa la liberta da vuschar.
22-00	Artichel vaincheduos. (22)
22-01	Mincha persuna, sco member da la cumuenanza umana, ha il dret a la sguerezza sociala; ella ha il dret dad obtgnair ils drets economics, socials e culturals indispensabels per sia dignita e pel svilup liber da sia persunalita, tras sforzs naziunals e tras la cooperaziun internaziunala, tgnand quint da l'organisaziun e dals mezs da mincha pajais.
23-00	Artichel vainchetrais. (23)
23-01	Mincha persuna ha il dret a lavur, a tscherna libra d'uena vocaziun, a cundiziuns cunvgnaintas e satisfacentas per la lavur ed a protecziun cunter dischoccupaziun.
23-02	Tuots han il dret, sainza inguena discriminaziun, a paja eguala per lavur eguala.
23-03	Minchuen chi lavura ha il dret ad uena remuneraziun cunvgnainta e satisfacenta chi garantischa ad el ed a sia famiglia uena existenza correspundenta a la dignita umana e chi'd es da cumplettar, schi fa dabsoegn, tras oters mezs da protecziun sociala.
23-04	Mincha persuna ha il dret da fuondar insembel cun oters associaziuns professiunalas e da s'affiliar a talas per defender seis interess.
24-00	Artichel vainchequatter. (24)
24-01	Mincha persuna ha il dret a pos ed a temp liber, ad uena limitaziun radschunaivla dal temp da lavur ed a congedis pajats periodics.
25-00	Artichel vainchetschinch. (25)
25-01	Mincha persuna ha il dret ad uen livel da vita satisfacent per garantir sa sanda e seis bainstar e quels da sa famiglia, cumprais la nudrituera, la bueschmainta, I'abitaziun, la chuera medicala e'ls servezzans socials necessaris; ella ha il dret a sguerezza in cas da dischoccupaziun, malatia, invalidita, sch'el(la) dvainta guaivd(a), in cas da veglduena o sch'el perda otramaing ils mezs da viver sainza aigna cuolpa.
25-02	La mamma e l'uffant han il dret ad uen agued ed uena assistenza speciala. Tuot ils uffants, legitims ed illegitims, giodan la medemma protecziun sociala.
26-00	Artichel vaincheses. (26)
26-01	Mincha persuna ha il dret ad educaziun. L'educaziun sto esser gratuita, almain illas scoulas elementaras e fundamentalas. L'instrucziun elementara es obligatoria. L'instrucziun specifica e professiunala dess esser generalmaing accessibla; I'access als stuedis superiuors dess esser avert a tuots in basa a lur capacitats e prestaziuns.
26-02	L'educaziun dess avair sco mera il svilup cumplet da la persunalita umana e'l rinforzamaint dal respet dals drets da l'uman e da las libertats fundamentalas. Ella dess promouver l'incletta, la toleranza e l'amicizcha tanter tuot las naziuns e tuot las gruppas da razza e da religiuns, e favurisar l'activita da las Naziuns unidas per mantgnair la pasch.
26-03	In pruema lingia han ils genituors il dret da tscherner il moed d'educaziun chi`d es da dar a lur uffants.
27-00	Artichel vaincheset. (27)
27-01	Mincha persuna ha il dret da tour part libramaing a la vita culturala da la cumuenanza, da giodair las arts e da partecipar al progress scientific ed a seis resultats.
27-02	Minchuen ha il dret a la protecziun dals interess morals e materials chi resultan da mincha producziun scientifica, litterara o artistica, da la quala el es l'autur.
28-00	Artichel vainchot (28)
28-01	Mincha persuna ha il dret ad uen uorden social ed internaziunal, i'l qual ils drets e las libertats manzunats illa Decleranza preschainta pon gnir realisats plainamaing.
29-00	Artichel vainchenouv. (29)
29-01	Mincha uman ha dovairs invers la cumuenanza; be in quella es pussibel il svilup liber e cumplet da sia persunalita.
29-02	Pratichand seis drets e sas libertats es suottamiss minchuen be a quellas restricziuns chi sun gnuedas stabilidas tras la ledscha per garantir l`arcugnuschentscha e'l respet dals drets e da las libertats dals oters e per satisfar a las exigenzas guestas da la morala, da l'uorden public e dal bainstar general in uena cumuenanza democratica.
29-03	Quists drets e quistas libertats nu pudaran gnir pratichats in inguens cas in sen cuntrari a las meras ed als princips da las Naziuns unidas.
30-00	Artichel trenta. (30)
30-01	Inguena disposiziun da la Decleranza preschainta nu po gnir interpretada in quel sen chi resultess landroura per uen stadi, per uena gruppa o per uena persuna qualunque dret da pratichar una activita o dad accumplir uen fat chi vessan per mera da desdrueer ils drets e las libertats manzunadas in quista Decleranza.
