00-00	Declaraziun universela dals drets umauns
00-01	considerand cha l’arcugnuschentscha da la dignited da tuot ils members da la famiglia umauna e da lur drets eguels ed inalienabels fuorma il fundamaint da la liberted, da la guestia e da la pesch suel muond;
00-02	considerand cha las scugnuschentschas ed il spredsch dals drets umauns haun mno ad acts da barbaria chi offendan la conscienza da l’umanited e cha la creaziun d’uen muond, i’l quel ils umauns haun la liberted da discuorrer e da crajer libers da terror e da misiergia, es gnida proclameda scu aspiraziun suprema da l’umaun;
00-03	considerand cha que es essenziel da proteger ils drets umauns cun ledschas per cha l’umaun nu saja sfurzo d’applicher scu ultim mez la revolta cunter la tirannia e l’oppressiun;
00-04	considerand cha que es essenziel da promouver las relaziuns amicablas traunter las naziuns;
00-05	considerand cha’ls poevels da las Naziuns Unidas haun proclamo danoevmaing i’l statuet lur cretta i’ls drets fundamentels da l’umaun, illa dignited ed illa valur da la persuna umauna, ill’egualited dals drets dad hom e duonna, e ch’els s’haun declaros scu decis da favuriser il progress sociel e d’instituir megldras cundiziuns da viver in uena liberted pue vasta;
00-06	considerand cha’ls stedis commembers s’haun oblios da sguerer, in cooperaziun cun l’Organisaziun da las Naziuns Unidas, il respet universel ed effectiv dals drets umauns e da las liberteds fundamentelas;
00-07	considerand ch’uena concepziun cumuenaivla da quists drets e da quistas liberteds es d’importanza suprema per accumplir cumplainamaing quist ingaschamaint;
00-08	proclama l’Assamblea generela la preschainta declaraziun universela dals drets umauns scu ideel chi’d es da ragiundscher cumuenaivelmaing da tuot ils poevels e da tuot las naziuns, per cha tuot ils umauns e tuot ils organs da la societed hegian aduena preschaint quista Declaraziun, e ch’els as staintan da promouver ill’instrucziun ed ill’educaziun il respet da quists drets e da quistas liberteds e da sguerer a quists cun imsueras progressivas suel plaun naziunel ed internaziunel arcugnuschentscha ed applicaziun universela ed effectiva, taunt traunter las populaziuns dals stedis commembers svess scu eir traunter ils territoris suottamiss a lur giurisdicziun.
01-00	Art. 1:
01-01	Tuot ils umauns naschan libers ed eguels in dignited ed in drets. Els sun dotos cun radschun e conscienza e dessan agir uen invers l’oter in spiert da fraternited.
02-00	Art. 2:
02-01	Mincha persuna po fer valair tuot ils drets e tuot las liberteds proclamos illa Declaraziun preschainta sainza distincziun, particulermaing da razza, da culur, da schlatta, da religiun, d’opiniun politica u otra, d’origin naziunel u sociel, da possess, da naschentscha u d’otras circunstanzas.
02-02	Puenavaunt nu vain fatta uenguena distincziun fundeda suel statuet politic, giuridic u internaziunel dals pajais u dal territori, dal quel uena persuna deriva, cha quist pajais u territori saja independent, suot tutela, na autonom u suottamiss ad uen’otra limitaziun da suveranited.
03-00	Art. 3:
03-01	Mincha umaun ho il dret da vita, da liberted e da sguerezza da la persuna.
04-00	Art. 4:
04-01	Uenguen nu suos-cha gnir tgnieu in sclavitued u servitued; la sclavitued e’l commerzi da sclevs sun scumandos in tuot lur fuormas.
05-00	Art. 5:
05-01	Uenguen nu suos-cha gnir suottamiss a la tortura, ne a painas ne a trattamaints crudels, inumauns u degradants.
06-00	Art. 6:
06-01	Mincha umaun ho il dret da gnir arcugnuschieu dapertuot scu persunalited giuridica.
07-00	Art. 7:
07-01	Tuot ils umauns sun eguels avaunt la ledscha ed haun sainza distincziun il dret da protecziun eguela cunter qualunque discriminaziun chi violess la Declaraziun avaunt maun e cunter qualunque provocaziun ad uena tela discriminaziun.
08-00	Art. 8:
08-01	Mincha persuna ho il dret da protecziun leghela avaunt las giurisdicziuns naziunelas cumpetentas cunter acts chi violeschan ils drets fundamentels garantieus illa constituziun u illa ledscha.
09-00	Art. 9:
09-01	Uenguen nu suos-cha gnir arresto, miss in fermaunza u exilio arbitrariamaing.
10-00	Art. 10:
10-01	Mincha persuna ho il dret, in egualited cumplaina, cha sieu cas vegna tratto guestamaing e publicamaing d’uen tribunel independent ed imparziel, il quel decida davart sieus drets e sias obligaziuns u davart la validited da mincha achuesa penela drizzeda cunter ella.
11-00	Art. 11:
11-01	Mincha persuna achueseda d’uen act chastiabel es innozainta fin cha sia cuolpa es cumproveda leghelmaing in uen process public, inua cha tuot las garanzias necessarias per sia defaisa sun gnidas garantidas ad ella.
11-02	Uenguen nu vain condemno per acziuns u omissiuns chi, al mumaint ch’ellas sun gnidas commissas, nu valaivan scu act chastiabel tenor il dret naziunel ed internaziunel. Medemmamaing nu suos-cha il chastih esser pue grand cu quel applichabel al mumaint cha l’act chastiabel es gnieu commiss.
12-00	Art. 12:
12-01	Uenguen nu suos-cha dvanter l’oget d’intervenziuns arbitraras in sia vita privata, sia famiglia, sieu domicil u sia correspundenza, ne d’attachas cunter sia onur e sia reputaziun. Mincha umaun ho il dret da protecziun leghela cunter telas intervenziuns u telas attachas.
13-00	Art. 13:
13-01	Mincha persuna ho il dret da circuler libramaing e da tscherner sieu domicil a l’intern d’uen stedi.
13-02	Mincha persuna ho il dret da banduner mincha pajais, eir sieu egen, e da turner in sieu pajais.
14-00	Art. 14:
14-01	In cas da persecuziun ho mincha persuna il dret da tschercher asil e da survgnir asil in oters pajais.
14-02	Quist dret nu po be esser invocho in cas da persecuziun pervi da delicts na politics u pervi d’acziuns chi cuntrafan a las miras ed als princips da las Naziuns Unidas.
15-00	Art. 15:
15-01	Mincha umaun ho il dret d’uena naziunalited.
15-02	Uenguen nu suos-cha gnir privo arbitrariamaing da sia naziunalited u dal dret da mueder naziunalited.
16-00	Art. 16:
16-01	Hom e duonna cun eted adatteda haun il dret da marider e da funder uena famiglia, sainza restricziuns davart la razza, la naziunalited u la religiun. Els haun ils medems drets areguard il matrimoni, dueraunt il matrimoni ed in cas da sia dissoluziun.
16-02	A’s po be conclueder il matrimoni cul consentimaint liber e cumplain dals conjughels futurs.
16-03	La famiglia es uen elemaint natuerel e fundamentel da la societed e stu gnir protetta da la societed e dal stedi.
17-00	Art. 17:
17-01	Mincha persuna ho il dret d’avair uena proprieted egna u cumuenaivla cun oters.
17-02	Uenguen nu suos-cha gnir privo arbitrariamaing da sia proprieted.
18-00	Art. 18:
18-01	Mincha persuna ho il dret da la liberted da penser, da conscienza e da religiun, quist dret cumpiglia la liberted da mueder religiun u persvasiun scu eir da manifester l’egna religiun u l’egna persvasiun sulet u in cumuenaunza, publicamaing u privat, ill’instrucziun, illa pratcha, i’l cult ed ill’execuziun da ritus.
19-00	Art. 19:
19-01	Mincha persuna ho il dret da la liberted d’opiniun e d’expressiun, que chi cumpiglia il dret da na gnir molesto pervi da l’egna opiniun scu eir il dret da tschercher, artschaiver, deraser, sainza resguarder cunfins, las infurmaziuns e las ideas cun tuot ils mezs d’expressiun.
20-00	Art. 20:
20-01	Mincha persuna ho il dret da la liberted da reuniun e d’associaziun paschaivla.
20-02	Uenguen nu suos-cha gnir oblio da fer part d’uen’associaziun.
21-00	Art. 21:
21-01	Mincha persuna ho il dret da’s parteciper al guvern da l’egen pajais, directamaing u cun l’intermediaziun da rapreschantants tschernieus libramaing.
21-02	Mincha persuna ho suot cundiziuns eguelas il dret d’access a las funcziuns publicas da sieu egen pajais.
21-03	La volunted dal poevel es il fundamaint da l’autorited da las pussaunzas publicas; quista volunted dess s’exprimer in tschernas periodicas ed onestas cun dret da tscherna generel ed eguel in votaziun secreta u tenor uena procedura equivalenta chi garantescha la liberted da vuscher.
22-00	Art. 22:
22-01	Mincha persuna ho scu commember da la societed il dret da sguerezza sociela; ella po pretender d’obtgnair ils drets economics, sociels e culturels indispensabels per sia dignited e pel svilup liber da sia persunalited, que tres sforzs interns dal stedi ed illa cooperaziun internaziunela, resguardand l’organisaziun e las resursas da mincha pajais.
23-00	Art. 23:
23-01	Mincha persuna ho il dret da lavur, da tscherna libra da sia lavur, da cundiziuns da lavur guestas e cunvgnaintas e da la protecziun cunter la dischoccupaziun.
23-02	Tuots haun il dret, sainza discriminaziun, d’uen salari eguel per lavur eguela.
23-03	Chi chi lavura ho il dret d’uena remuneraziun guesta e commensureda chi sguerescha ad el ed a sia famiglia uen’existenza confuorma a la dignited umauna e chi vain cumpletteda, scha que fo dabsoegn, cun oters mezs da protecziun sociela.
