00-00	Declaraziun universala dils dretgs humans
00-01	Considerond che la renconuschientscha dalla dignitad da tut ils commembers dalla famiglia humana e da lur dretgs eguals ed inalineabels fuorma il fundament dalla libertad, dalla giustia e dalla pasch el mund;
00-02	considerond che la sconuschientscha ed il sprez dils dretgs humans han menau ad acts da barbaria che offendan la cunscienzia dalla humanitad e che la creaziun d’in mund, el qual ils humans han la libertad da discuorer e da crer libers da terrur e miseria, ei vegnida proclamada sco l’aspiraziun suprema dil human;
00-03	considerond ch’igl ei essenzial da proteger ils dretgs humans cun leschas per ch’il carstgaun seigi buca sfurzaus d’applicar sco davos mied la revolta encunter la tirannia e l’oppressiun;
00-04	considerond ch’igl ei essenzial da promover las relaziuns amicablas denter las naziuns;
00-05	considerond ch’ils pievels dallas Naziuns Unidas han proclamau danovamein el statut lur cardientscha els dretgs fundamentals dil carstgaun, ella dignitad ed ella valeta dalla persuna humana, ell’egualitad dils dretgs dad um e dunna, e ch’els ein sedeclarai decididamein da favorisar il progress social e d’instituir meglieras cundiziuns da viver en ina libertad pli vasta;
00-06	considerond ch’ils stadis commembers ein s’obligai da segirar, en cooperaziun cun l’Organisaziun dallas Naziuns Unidas, il respect universal ed effectiv dils dretgs humans e dallas libertads fundamentalas;
00-07	considerond ch’ina concepziun communabla da quels dretgs e da quellas libertads ei d’impurtonza suprema per ademplir cumpleinamein quei engaschament,
00-08	proclamescha l’Assamblea generala la presenta Declaraziun universala dils dretgs humans sco ideal ch’ei da contonscher communablamein da tut ils pievels e da tut las naziuns, per che tut ils carstgauns e tut ils organs dalla societad hagien adina present quella Declaraziun, e sestentien da promover ell’instrucziun ed ell’educaziun il respect da quels dretgs e da quellas libertads e da segirar a quels cun mesiras progressivas sin plaun naziunal ed internaziunal renconuschientscha ed applicaziun universala ed effectiva, ton denter las populaziuns dils stadis commembers sezs sco denter ils territoris suttamess a lur giurisdicziun.
01-00	Art. 1:
01-01	Tut ils humans neschan libers ed eguals en dignitad ed en dretgs. Els ein dotai cun raschun e cunscienzia e duein agir in viers l’auter en spert da fraternitad.
