00-00	DECLARATsIA UNIVERSALA A DREPTURILOR OMULUI
00-01	Considerand ca recunoashterea demnitatsii inerente tuturor membrilor familiei umane shi a drepturilor lor egale shi inalienabile constituie fundamentul libertatsii, dreptatsii shi pacii in lume,
00-02	Considerand ca ignorarea shi dispretsuirea drepturilor omului au dus la acte de barbarie care revolta conshtiintsa omenirii shi ca faurirea unei lumi in care fiintsele umane se vor bucura de libertatea cuvantului shi a convingerilor shi vor fi eliberate de teama shi mizerie a fost proclamata drept cea mai inalta aspiratsie a oamenilor,
00-03	Considerand ca este esentsial ca drepturile omului sa fie ocrotite de autoritatea legii pentru ca omul sa nu fie silit sa recurga, ca solutsie extrema, la revolta impotriva tiraniei shi asupririi,
00-04	Considerand ca este esentsial a se incuraja dezvoltarea relatsiilor prieteneshti intre natsiuni,
00-05	Considerand ca in Carta popoarele Organizatsiei Natsiunilor Unite au proclamat din nou credintsa lor in drepturile fundamentale ale omului, in demnitatea shi in valoarea persoanei umane, drepturi egale pentru barbatsi shi femei shi ca au hotarat sa favorizeze progresul social shi imbunatatsirea conditsiilor de viatsa in cadrul unei libertatsi mai mari,
00-06	Considerand ca statele membre s-au angajat sa promoveze in colaborare cu Organizatsia Natsiunilor Unite respectul universal shi efectiv fatsa de drepturile omului shi libertatsile fundamentale, precum shi respectarea lor universala shi efectiva,
00-07	Considerand ca o conceptsie comuna despre aceste drepturi shi libertatsi este de cea mai mare importantsa pentru realizarea deplina a acestui angajament,
00-08	ADUNAREA GENERALA proclama
00-09	prezenta DECLARATsIE UNIVERSALA A DREPTURILOR OMULUI, ca ideal comun spre care trebuie sa tinda toate popoarele shi toate natsiunile, pentru ca toate persoanele shi toate organele societatsii sa se straduiasca, avand aceasta Declaratsie permanent in minte, ca prin invatsatura shi educatsie sa dezvolte respectul pentru aceste drepturi shi libertatsi shi sa asigure prin masuri progresive, de ordin natsional shi internatsional, recunoashterea shi aplicarea lor universala shi efectiva, atat in sanul popoarelor statelor membre, cat shi al celor din teritoriile aflate sub jurisdictsia lor.
01-00	Articolul 1
01-01	Toate fiintsele umane se nasc libere shi egale in demnitate shi in drepturi. Ele sunt inzestrate cu ratsiune shi conshtiintsa shi trebuie sa se comporte unele fatsa de altele in spiritul fraternitatsii.
02-00	Articolul 2
02-01	Fiecare om se poate prevala de toate drepturile shi libertatsile proclamate in prezenta Declaratsie fara niciun fel de deosebire ca, de pilda, deosebirea de rasa, culoare, sex, limba, religie, opinie politica sau orice alta opinie, de origine natsionala sau sociala, avere, nashtere sau orice alte imprejurari.
02-02	In afara de aceasta, nu se va face nicio deosebire dupa statutul politic, juridic sau internatsional al tsarii sau al teritoriului de care tsine o persoana, fie ca aceasta tsara sau teritoriu sunt independente, sub tutela, neautonome sau supuse vreunei alte limitari a suveranitatsii.
03-00	Articolul 3
03-01	Orice fiintsa umana are dreptul la viatsa, la libertate shi la securitatea persoanei sale.
04-00	Articolul 4
04-01	Nimeni nu va fi tsinut in sclavie, nici in servitute; sclavajul shi comertsul cu sclavi sunt interzise sub toate formele lor.
05-00	Articolul 5
05-01	Nimeni nu va fi supus la torturi, nici la pedepse sau tratamente crude, inumane sau degradante.
06-00	Articolul 6
06-01	Fiecare om are dreptul sa i se recunoasca pretutindeni personalitatea juridica.
07-00	Articolul 7
07-01	Totsi oamenii sunt egali in fatsa legii shi au, fara nicio deosebire, dreptul la o egala protectsie a legii. Totsi oamenii au dreptul la o protectsie egala impotriva oricarei discriminari care ar viola prezenta Declaratsie shi impotriva oricarei provocari la o asemenea discriminare.
08-00	Articolul 8
