00-00	DEPAe TI POePOeKOeDOeROe TI NDIAe TI BATA NENGOe TERE TI ZO
00-01	Na hingaengoe biani atene nengoe tere ti zo na lingbingoe tere ti angangue ti lo laa si ayeke na guenda ti zarae , ti nzoeni ngbanga na ti siriri na ndoe ti dunia,
00-02	Na hingaengoe ni pepee na kengoe andiae ti bata nengoe tere ti zo laa adue kpaele ti birae so abi ngonzo na be ti ahalezo, nga si gaengoe ti mbeni fini koedoeroe so ahalezo kue alingbi ti tene tene ti be ti ala, ti maebe ti ala afa ni toengana taa koetae bekue ti azo ti ndoe ti gigi,
00-03	Ayeke koetae ye mingi ti tene azi le na ndoe ti andiae ti bata nengoe tere ti zo gi na lengoe mbeni gere ti ndiae ndali ti sioeni segbiae na lengoe pasi,
00-04	Na hingaengoe ni atene ayeke koetae ye mingi ti mu ngangue na maeingoe ti lengoe soengoe na poepoe ti koedoeroe nde nde,
00-05	Na hingaengoe ni atene na ya ti sendiae halezo ti bendo ti gigi afa ti fini ni maebe ti ala na ataa ndiae ti zo , na nengoe tere nga na koetae ti zo na lingbingoe tere ti angangue ti koli na wali, si ala atene ani yeke sara ngangue kue ti maeingoe ti seduti ti zo na lengoe anzoeni lege ti duti na ya ti mbeni koetae zarae ,
00-06	Na hingaengoe ni atene akoedoeroe so abungbi amu yanga ti le kpengoe ndiae ti bata nengoe tere ti zo na zarae ti lo na ya ti kua ti maboko na maboko na bungbi ti bendo ti gigi,
00-07	Na hingaengoe atene maengbingoe be na andiae so na azarae so nga ayeke biani ngangue ye mingi ti sara kua so gi na pekoe ti yanga so ala mu,
00-08	Koetae Lingoe
00-09	Avunga
00-10	Depae ti poepoekoedoeroe ti baetaengoe nengoe tere ti zo so
00-11	toengana kunibe so halezo na akoedoeroe kue alingbi ti wara, si azo kue nga na akundu ti boso kue asara ngangue, na lege ti faengoe mbeti na faengoe-ndo, ti le kpengoe andiae na azarae so nga ti sara na kode ti andiae ti koedoeroe wala ti poepoekoedoeroe ti tene ayeka ni nga si ale tambula ni na ndo kue, na poepoe ti halezo na letaea ni so alue mbere ni, toengana ala so angba na gbe ti le ti ala.
01-00	Sura 1
01-01	Adue azo kue yamba, nga ala lingbi tere na lege ti nengoe-tere na ti angangue. Ala kue awara ndarae na boeroe-li si ala lingbi ti duti na amba ti ala gi na lengoe soengoe.
02-00	Sura 2
02-01	Zo oko oko alingbi ti pika kate na ndoe ti angangue so depae avunga, na saeraengoe kangbi oko pepe wala na ndoe ti tene ti marae, wala ti nzoroko ti tere wala ti ndiae wala ti koli na wali ti yanga koedoeroe wala ti mosoro, ti ndo ti duengoe wala ti marae duti,
02-02	Na ndoeni kue, alingbi ti sara mbeni kangbi oko pepe so aloendoe na ndoe ti tene ti porosoe wala ti ndiae wala ti poepoekoedoeroe, ti mbeni zo wala ti mbeni koedoeroe ni so alingbi ti duti lipandae wala na gbe le ti mbeni koedoeroe wala so ayeke na kpaele ti segbiae.
03-00	Sura 3
03-01	Zo kue ayeke na ngangue ti duti na fini ti lo, ti duti yamba na ti duti na mbeto ti wara sioeni pepee.
04-00	Sura 4
04-01	Zo oko alingbi ti duti na gbe ti ngbaa pepee. Akanga lege biani na duti ti ngbaea nga na dengoe buze ti kaengoe zo na ngbaa.
05-00	Sura 5
05-01	Zo oko alingbi ti sara mba ti lo na pasi ti ponoen wala na pasi ti finoen pepee.
06-00	Sura 6
06-01	Zo kue ayeke na ngangue ti tene ndiae abata lo na asioeni lakue na ndo kue.
07-00	Sura 7
07-01	Azo kue alingbi tere na le ti ndiae, nga ala yeke na ngangue lege oko na saeraengoe kangbi oko pepee. Amu na ala ngangue na sebaetaengoe tere lege oko, na tene ti kangbi ti marae so alingbi ti fingi depae so nga na tene ti gingoe lege ti kangbi ti marae so.
08-00	Sura 8
08-01	Zo kue alingbi ti li ngbanga na adangbanga ti koedoeroe ti lo toengana azo akpe pepee angangue so sendiae ti koedoeroe ti lo amu na lo.
09-00	Sura 9
09-01	Alingbi oko pepee ti gbu zo na kanga wala ti bata lo na kanga wala ti tokua zo yongoro na koedoeroe ti lo gi senge senge, toengana nda ni ayeke da pepee.
10-00	Sura 10
10-01	Zo kue ayeke na ngangue, lege oko na amba ti lo, ti tene amae polele tene ti yanga ti lo na le ti boro ngbanga so fade afa ande wala angangue wala akuandiae ti lo wala toengana paengoe iri na tene so ali ngbanga da na ndoe ti lo so ayeke mbirimbiri.
11-00	Sura 11
11-00	Zo kue so apae iri ti lo na ndoe ti mbeni kpaele angba mokondoe asi na ngoi so afa na lege ti ndiae atene lo sara sioeni, na le ti mbeni ngbanga ti polele so awakokoe kue adu da na pekoe ti lo.
11-01	Alingbi pepee ti kanga zo ndali ti aye so lo sara wala ti begirisa so, na ngoi so asi so, ndiae ti koedoeroe wala ndiae ti poepoekoedoeroe afa ni toengana kpaele pepee. Lege oko, alingbi ti diko pepee mbeni ponoen so akono ahoen ndoe ti lo so ayeke de ka ni na ngoi so zo asara kpaele so.
12-00	Sura 12
12-01	Alingbi oko pepee ti yoro tere na mbaenae na ya ti seduti ti zo wala ti sewa ti lo wala ti da ti lo wala ti diko mbetisu ti lo. Alingbi pepee ti buba iri ti zo nga na wuengoe ti iri ti lo. Zo kue ayeke na ngangue ti tene ndiae abata lo ngbanga ti amarae kpaele toengasoe.
13-00	Sura 13
13-00	Zo kue ayeke na ngangue ti fonon yamba na ya ti koedoeroesese kue. Lo yeke nga na ngangue ti soro ndo ti duti ti lo na ya ti mbeni koedoeroesese.
13-01	Zo kue ayeke na ngangue ti sigi na ya ti koedoeroesese kue ata adu koedoeroe ti lo, nga ti kiri na koedoeroe ni toengana so be ti lo aye.
14-00	Sura 14
14-00	Na ya ti ponoen ti honga-ndo, amu lege na zo kue ti gi ndo ti duti da nga lo lingbi ti wara ni na koedoeroe wande.
14-01	Alingbi pepee ti mu ngangue so na wakpaele ti faengoe zo wala na zo ti saeraengoe aye so ague pepee na lege ti apo na akunibe ti bungbi ti bendo ti gigi.
15-00	Sura 15
15-00	Amu ngangue na zo kue ti tene lo du zo ti mbeni koedoeroesese.
15-01	Alingbi pepee ti gbanzi mbeni zo na mbaenae ti du wakoedoeroesese nga na ngangue ti gbian koedoeroesese ti lo.
16-00	Sura 16
16-00	Asi na ngoi so ala lingbi ti mu tere, amu ngangue na koeli na wali ti mu tere toengana koli na wali, si ala le sewae senge, tene ti marae wala ti koedoeroesese wala ti mabe alingbi ti kanga lege ni pepee. Na mbage ti muengoe tere, amu ngangue, lege oko na koli na wali na ya ti dutingoe ti ala nga na kaengbingoe ti ala.
16-01	Koli na wali alingbi ti mu tere gi toengana be ti ala use kue aye tene ni biani.
