00-00	SIAYEKEMACA SIABAI KEOJENA KAYAYE KUI'NE JENA, PAIYE KAWESOSE'EPI SIAYE TUTU PAYE JAI TSUTSUPEA OMETEKANA
00-01	Kase'epi de'oye, kone kui'ne jeone paye jaje, sia'we'na nase'erepare sa'nawe paye sia'ye'ke maka tutu, kui'ne sioma'nerepare sia'pai tsekape pai'ye.
00-02	Jaje paiketa'a kuasaye nama'ayepi kui'ne oima'ayepi, pa'iji sia'paire, japi ai jaiye nese saniweseji pai pa'ije kuasaye, kui'ne aijerepa kawesose'pi, jaje pa'ina kokase'e kaye de'oye pa'iye kui'ne de'oye pa'iye kuasaje sewoye.
00-03	Jaje paise're yure kato nasikua'irepa kui'ne kekopakua'i pa'iye pa'iji, kua'ye pa'ise'e jeoni paimakata'a pa'iye pa'iji nejo ma'kua'i.
00-04	Jamakata'a nese de'oyerepa nese saiye siwaje kui'ne pa'iye yekewe'na nasikua'irepa.
00-05	Yekewe'na yejana kato de'oyerepa kuasani kuinaoni kaneowesewe. Toya ja'wana pai tutukeiwa'i paija'ne, de'oyerepa kui'ne iwa'irepa'e kaje, si'ayekemaka emeowa'i kui'ne nomiowa'ije koni, tsoe jaje pa'ina jeowesowe ai jai kore, de'oye pa'iyerepare kasikua.
00-06	Iye kuasaye cato sewosikua kadeoweseja'core, oiyerepapi si'aye kuasaje, tsi'sisikua'ija're kawese ja'ne, si'aye oiye kui'ne tutuke'yerepa pa'ija'ne jamakata'a kuade'oye pa'iye pa'iji pal.
00-07	Iye kato kuasase'ea'e si'aye tutupa'iye, jaje pa'ina iye kato ai de'oyerepa'e iti nese saija'nere kuasaje sewowesese'ea'e.
00-08	Tsi'sini jai pai koka kako
00-09	Jeaye kawesoye yure
00-10	Si'aye pai tutu pa'iye keawesosikua, ikore kato si'a daripea kui'ne jaiwe'naje nesaoye pa'iji, te'owa'imanaje kui'ne kua'me kokaiwe'namanaje, nese saye pa'iji de'oye kaje, jamakata'a si'adaripea pa'iye pa'iji de'oye kui'ne yeja pa'iye coni kekoje.
00-11	
01-00	Te'o ako keaye.
01-01	Si'apai aide'oye kua'ye peoye kui'ne siaye'ke maka pa'iye kui'ne tutupaye koni, jaje kuasase'setepi kuaju'i'ne peoye nese saiye pa'iji kokaije yeke paireje.
02-00	Kayaye ako keaye
02-01	Si'a pai paye tutu kui'ne kua'ye peoye yure ikore ai jeaye kawesosido'ire, jaje pa'ina nane peoji yeke paina'e kaje, iyeje pa'yere, pai, koka, iowa'i pa'iye, kuasaye, pani iyese'e kayepane kuasia'ye pa'ye, kuri pa'ye, aideo'ye kui'ne kuasi'aye pa'iye.
02-02	Kui'ne yekeje pajakua'ia'e kaye yeke iwa'i kuasayepi iyea'e kaje aijaidaripea sia'we'naje panije yeja paineje iti paipi kuasaje nene pa'iji, jai daripea kaye kato te'owaise're kaneje pa'yea'e, iwa'ise'e kuasayepi neje.
03-00	Toasone ako keaye.
03-01	Teo'wa'ije paye de'oye tutu pa'iye, kua'ye peoyeje koni, kui'ne kecoje pai pa'iye.
04-00	Kajese'e ako keaye.
04-01	Si'awa'i pa'iye peoji kua'ye jeaye pa'ye kaje, kui'ne kua'ye yo'okuanuneje peoji, iye kato esese'ea'e sia'ye pa'ye.
05-00	Te'jete ako keaye.
05-01	Jare si'apai kua'ye yo'okuanone tipeoji, te'caye, tseane, wanijeane panije ai kuaye pa'ye.
06-00	Te'e jete Ejatupe keako.
06-01	Si'apai paye tutu, sia'we'na kui'ne nakuanuneje pa'iji pai karepase'e pa'iye.
07-00	Ejatupe kenope.
07-01	Si'apai pa'iye sia'ye'kemaca kui'ne paye yekua'ia'e kaye peoye, jaje pa'ina Si'awa'i paye tutu karepaye akepai ke'ro. Jaje pa'ina mai tutu payepi de'oye pa'iyepa'iji, tsoe ikore kawesosidoipi kokaiji kua'ye kaye peoye pa'ija'ne.
08-00	Kayaye te'ejete ako keaye.
08-01	Si'a pai tutu paye de'oye pa'iyere kuasaje yekewe'na sanupe kaje, mai kase'pi kokaijake kua'ye yo'oma'kuai'ni kaje mai tutu ke'ye paiye, jeje paina maire toyapepepi kakorepa pa'ijake.
09-00	Te'e jena Ejatupe peoye keako.
09-01	Jare peoji mal tsea kuanune.
10-00	Kaya jena ako keako.
10-01	Si'a pai paye deoye paiye, si'aye'kemaka paiye, jamakata'a sia'we'na asasaoye pa'iji kui'ne oirepayepi kua'ye paise'eje carojaiye pa'iji kui'ne kuanene paiji nenane paiji kuasia'ye pa'ye iti kase'e sa'ne pa'iye.
11-00	Kayajena te'o ako keako
11-00	Si'a pai kua'ye yo'o sikua'i paye tutu iwa'i yo'ose'e jayuta'a iti nati'ane pa'iji do'ike'ye, iti kase'je paiye, kui'ne kaye paiji sia'we'na jamaka kase'repa pa'iji tutu pa'ye.
11-01	Si'a pal peoji kua'ye paye painije siokuanune ja yuta'a nati'ama'maka kato, jaje pa'iji tutu pa'ye yeke daripea paiyeje. Jaje paina peoji maipi caye de'oye nede'wae'eje pa'yere aijerepa kua'yena saiye peoye.
12-00	Kaya jena kayaye ako keaye.
12-01	Mai teowa'i paiye kato peoji kaye kua'mana'e kaje nese kaye, mai tsekapereje, mai paiwe'naje panije ise'e pa'ito peoji kua'aye neneje peoji ipi kuasake pa'iye. Jaje pa'ina si'a pai paye de'oye pa'iye, jaje paina nejo jeone paiji kua'ye paise'e.
13-00	Kaya jena kayaye te'o kako keaye.
13-00	Si 'a pai paye deoye daoye sia'we'na kui'neje yeja peaneje koni.
13-01	Si 'a pai paye tutu kuasi'adaripea, ipaidaripe, jaje saisikere ta'a ko'iye pa'iji i mai daripena.
14-00	Kaya jena Ejatupe peoko ako keaye.
14-00	Kue'kua'i pa'ito, sia'pai paye tutu ke'ye paye katiye paiji kuasia'yejana, jamaka siwaje pa'iye pai'ji iti ku'ase'e.
14-01	Iye pa'ye kato peoji sa'ne kua'ye nene, kua'ye payena, panije sa'ne kayeje peoji yeke jaiwe'na pai yejana'e kaje.
15-00	Kaya jena yeke jete ako keaye.
