00-00	liktone-3piunpheuwtone-2 lwangtone-3suntone-2lytone-3kuun ankewtone-2tanglumtone-3
00-01	haptone-5hwangtuunythiungteaatone-2 suntone-2lytone-3suntone-2pen ankuunkuutone-6keaatone-5thuktone-2liiceumtone-2puunytone-3kuutone-6keaatone-5kuutone-6kuun cwamluunytone-3 kungtone-2munciuuwtone-5khiuuwphwmannantone-5 penpiuntone-5theunluung taatone-2ceuwkuuntanglumtone-3 telytone-3miilwangtone-3theungtone-2heungtone-6lwattone-3lew, miilwangtone-3phengtone-2pengcwamtham, miilwangtone-3katyenletone-3sang,
00-02	amtone-2naptone-5yamteaatone-2suntone-2lytone-3suntone-2penkuunnytone-5 kiuuttone-2pen maa keunhukheuyatone-5miuuktone-3mwtone-3luung anyaatone-5lewkungtone-2mun ceuwkuuntanglumtone-3letone-3sang, piunpheuwtone-2wytone-5waatone-3 nangtone-2hiuw te lytone-3penmaa khuungkeungluung anmiilwangtone-3lytone-3leuttone-3caa lwattone-3lewtheungtone-2heungtone-6, lwangtone-3lytone-3kiuuwyamnaptone-5thiuw teumnangtone-2 keungcwphwmanlwattone-3lew, lwangtone-3amtone-2lytone-3kuuwhe lytone-3haakinlengtone-5twangtone-5aimtone-2temciuuwnytone-5 letone-3sang,
00-03	ywantone-5piuuwtone-3 khiitone-2nektektengpetone-5kin phwangngamkan, khaatuuwkhaacwkanse nangtone-2hiuw kuuntanglumtone-3 yiuuntone-5amtone-2lytone-3se teamtone-2lytone-3waktone-5 khiuungtone-3yip luktone-5phiuntone-5teaatone-2kannantone-5 taktelytone-3awfingtone-3miuungse kettone-2khehaktone-5saapanletone-3sang,
00-04	nangtone-2hiuwciungtone-3miuungciuuwnytone-5 tekhawtone-3awaktone-2miuttone-3kiuwcamcwkanse khatcwpwangseungtone-3 taatone-2tekhiuntone-3ywtone-2mwtone-2sung kwaatone-2letone-3 sang, luktone-3cum ceuttone-3ciungtone-3lumtone-3faatone-5khawnytone-5 haptone-5peuktone-2wytone-5tiitone-3muktone-5cumceuttone-3ciungtone-3lumtone-3faatone-5waatone-3 tenaptone-5yamteaatone-2 suntone-2lytone-3suntone-2penpiuntone-5theun khwangceuwkuun, kungtone-2munkuun, lwangtone-3neungyingletone-3kuunceuya suntone-2lytone-3phengtone-2peng kannyyawtone-5se yantone-2cwwytone-5 taatone-2teyuktone-5theuntone-3hwtone-3 tuungtone-2wuungkuun tetiuuwkhiuntone-3ywtone-2mwtone-2sunglwattone-3lewtheungtone-2heungtone-6 kwaatone-2nantone-5 letone-3sang,
00-05	luktone-3cum ceuttone-3ciungtone-3lumtone-3faatone-5khawnytone-5 nangtone-2hiuw nwlumtone-3faatone-5kuutone-6tiitone-3tiitone-3 tehaktone-5saapwtone-5paa suntone-2lytone-3suntone-2penkuun, suntone-2lytone-3suntone-2penpiuntone-5theunpheuyatone-2lwattone-3lewtheungtone-2heungtone-6kwaatone-2nantone-5 tehuumtone-3miuwkan tangceuttone-3ciungtone-3lumtone-3faatone-5se khatcwpwangseungtone-3kwaatone-2nyletone-3sang,
00-06	kwaptone-3ny
00-07	nangtone-2hiuw tuungtone-2wuungkuun kuutone-6tiitone-3kuutone-6teung taklytone-3awswtone-2cw liktone-3piunpheuwtone-2 suntone-2lytone-3suntone-2penkuun ankewtone-2 tanglumtone-3se taklytone-3sangtone-2swanteaatone-2kan taatone-2tetiuuwnaptone-5yam suntone-2lytone-3suntone-2penciuuwnytone-5 letone-3sang, telytone-3 khatcwpwangseungtone-3hwtone-3 luktone-3cumceuttone-3ciungtone-3lumtone-3faatone-5 letone-3 kuunmiuungciuuwyuutone-2saw twtone-3aaatone-2naatone-2peunpwangtone-2ciungtone-3miuung ciuuwnantone-5 tetiuuwhuutone-5pwangtone-2cwtone-5tiuwhaktone-5saasuntone-2lytone-3suntone-2penciuuw nytone-5kweungtone-3kweungtone-3khweungkhweungkwaatone-2letone-3sang, peungkumluungkuutone-6lwangtone-3lwangtone-3nytone-5 yiuungaeunwaatone-3ciuungtone-5nyse nangtone-2hiuw ciungtone-3miuungkuutone-6miuungmiuung, kuunkuutone-6keaatone-5keaatone-5 tepwangseungtone-3 cwamlytone-3phengtone-2phengtone-2nantone-5 cangtone-2lytone-3awaktone-2liktone-3piunpheuwtone-2 suntone-2lytone-3suntone-2penkuun ankewtone-2tanglumtone-3nytone-5 yuutone-2yawtone-5.
01-00	twantone-3 1
01-01	kuunkuutone-6keaatone-5nytone-5 penankiuuttone-2maaluunytone-3kungtone-2munanlwattone-3lewphengtone-2pengkan letone-3 suntone-2lytone-3an lwattone-3lewphengtone-2 pengkan. khawnytone-5 miinyeuntone-2anmeaathatseung letone-3 cwanhuutone-5cakfingtone-3tiuwkam nantone-5letone-3 thuktone-2wytone-5cwpiitone-3awaktone-2 nwangtone-5khytone-2kanse titteaatone-2kan.
