00-00	JATIBIAINOA JONI COSHIBAON, JASCAASHON JACON JAHUEQUL ARESTI JONIBAON JAHUEQUESCAMABI ITIAQUIN SHINANA
00-01	ICONSHAMAN SHINANSHON SHINANA IQUl, jatibi noa mesco jonin baquebo, jascara iquetian huetsabaonribi noa joi nincashonti iqui. Jaticashbira jacon jahuequi ati shinanya itiqui. Jatishonbi moa nato jahuequi onancanquetianra, jacon jahuequi aresti tsonbi noa pecaoriamatima iqui; tsonbi noa yancabires jahueatima iqui; jatian jaconma masa teneti nato neten yamatiqui, ja onancanquetiampari.
00-02	ICONSHAMAN SHINANSHON SHINANA IQUl, jonibaon jaconma shinanshon huetsabo jaton aresti shinan amayamaa iqui. Jascara shinancanainoasha, jonibaon jahuequi acainbi huetsabaon jaconmaanresa iqui. Ichara jacanque, huetsaboqui jaconmai shiroaibo, yoina quescaaquin amisaibo, jascaashon jatibi joni rabinmai.
00-03	Icashbi rama iqui joibo moa janbisacana, jacaya jonin quiquinbiresaquin manaa jahuequibo, jaqui coshinoshon. Jascara copi iqui huetsa joniboquibires raquetan jatima nato neten. Jainoas'h huetsabaonribi mia yonoquin onitsapi imatima iqui, noibatibires j ahuequiomashoco mia jatima iqui.
00-04	Jainoash jatibi jonira raquetan itima iqui yoyo iqui jahuen queena joi yoii, ishonbi huetsabo jaton shinan jaconmaamatima iqui, ja yoyo icatonin. Jainshon ati iqui queens'hon Diosen joi iconhaquin, iamashon jahueratocayaqui jan oinna icon joi iqui ishon, ati iqui iconhaquin.
00-05	ICONSHAMAN SHINANSHON SHINANA IQUl, ja jonin baquebaon ati jacon shinan japaricaya senenhati jahuequescamabi iquetian apon esecan jato aquinti iqui; ja jaconma shinanya jonibaon ja pecaoritaanan jonibo masa tenematimaaquin, jaton aresti shinan jahuequescamaribi iquenbi jato amayamanaquetian. Ja shinan iqui jatibi jaya iti. Jatian moa jascara masa jahuequi teneti atipanyamaash ja jaconma shinanya joni betan reteananai, jacon icasi.
00-06	ICONSHAMAN SHINANSHON SHINANA IQUl, japaricaya non senenhati jahuequi, huetsa main ica jonibo betan jaton apobo betanribi noa jaconananash jati.
00-07	ICONSHAMAN SHINANSHON SHINANA IQUl, ja jatibi jonibo ja Naciones Unidas tsinquitiain icabaon yoicana iqui huestiora Quirica huisha meran; huestiora huestiorabo iqui jahuequescamabi jaton queena jacon jahuequi aresti. Jainoash jatibi joniboribi iqui jahuequescamabi, yoyo icaitian huetsabaon nincaresti. Ja huestiora jonibo iqui jahuequi ati shinanyabo, jainoash ainbobo jascaribi iqui benbo quescaribi. Ja Quiricaninra yoicana iqui, jatibi jonibo aquinti, jaticashbi jaconash jacantiaquin; jainoash jaton icabo jaconi beboncatiaquin, jatian bebon quirica onanribi icantiaquin.
00-08	ICONSHAMAN SHINANSHON SHINANA IQUl, ja huetsa maimeabo ja Naciones Unidasnin coshibaon aquinananoshon yoicana iqui, ja jatibi nato maimea jonin jaton aresti jacon shinan senenhacanon ishon, jahuequesca ishon huetsabaon jascara shinan pecaori amanaquetian.
00-09	ICONSHAMAN SHINANSHON SHINANA IQUl, ja yoia senenhaquin jatibi apobaon requenpari ati iqui, jatibi jahuen jqnibo onanmaquin, huestiora huestiorabo. Non jacon jahuequi acaitian huetsabaon noa oinrestiqui noa onsatanquin. Jaton queena jahuequi arestira jahuequescamabi iqui, ja shinanra tsonbi pecaori atima iqui.
00-10	Jascarabo iquetian shinans'honra
00-11	JATIBIAINOA JONI COSHIBO TSINQUISHON
00-12	NATO HUISHACANRA ONANTIAQUIN YOIAI JA JONIN BAQUEBAON JACON JAHUEQUl ARESTI SHINAN iqui jaticashbi ja shinanya iti; huestiorabira ja shinanhoma itima iqui nato neten. Huetsa maimea apobaonra jahuen jonibaon jascara jacon shinan aresti onanshon senenhati yoiti iqui, jatibiain. Jascara acantira jato jatibiain yoiti iqui, escuelancoshon jato asheacanon ishon, jainshon jato queshanquin rebesti iqui, jatishonbi onancanon ishon; jainshonribi onancanti iqui, jascatash ja esebo onanas'h noa jati.
01-00	ARTICULO 1.
01-01	Jatibi joninra huetsa jonibaon yoiai nincaresti iqui, jahueraquibi jaconmai iamaquin; jainoash jahuen queena jacon jahuequibo ati jahuequescamabi iqui, tsonbira amayamatima iqui. Jaticashbira jascara aresti jacon shinanya iti jahuequescamabi iqui, jahuequescarainoash picota joni inonbi. Huestiora huestiorabora jahuequi ati shinanya iqui; jainshon onanribique jahueratoqui jacon iqui jainoash jaconma iqui ishon. Ja copira huetsa jonibires inonbi non jato jaconharesti iqui, non huetsabi non acai quescaaquin.
02-00	ARTICULO 2.
02-01	Jahuequescashonbira tsoabi non amayamatima iqui nato Huisha meran yoia quesca acasaitian, benbo iamaash ainbo inobira non jato amaresti iqui. Jainshonra non amaribiti iqui huetsa quesca jonibo inonbiribi, jahuequesca jisa yoraya iquenbi; jahuequescati yoyo icai inonbi; jaton acatoninbiribi Diosquiriti ica joi iconhacanaitian jato amayamatima iqui; huetsa apobires chibanaibo inonbi, jahuen. El shinanbiribi huetsaresibi iquenbi; huetsa maimea joni inonbi; jato namanri quiquinmashoco inonbi, jahuequioma joni inonbi, huetsa jahuequibires inonbi jato amayamatima iqui, jatibi jonibo.
02-02	Jainshonribira non jato amayamatima iqui, jato namanbires ica mainconia joni, jainoash huetsa mainconia joni inonbi, non jato amaresti iqui.
03-00	ARTICULO 3.
03-01	Huestiora huestiorabora jati jahuequescamabi iqui, tsonbira retetima iqui, jainoash jahuen queena jacon jahuequi ati. Jainoashshibi quiquinbiresi jatoqui chipoti iqui, tsonbi jaconmatima shinanash.
04-00	ARTICULO 4.
04-01	Tsoabira itima iqui copi biimabi huetsabores ashoni yanca yonocaati; quiquinbires atima jahuequi riqui, joni iboashon inaati.
05-00	ARTICULO 5.
05-01	Tsonbira huetsa joni, yoinna acai quescaaquin jaconmaquin masa tenemati yamaque.
06-00	ARTICULO 6.
06-01	Huestiora huestiorabora huetsa jonibires acai quescaaquin jaconhaquin apon ati iqui, jahuequescarain joni caa inonbi.
07-00	ARTICULO 7.
07-01	Ja non mainmea ese copira apobaon jatibi joni huetsabo acai quescaaribaquin shinanti iqui. Jainshon jato coiranti iqui, huetsa quesca jonibo inonbi. Jainshonnbira coiranti iqui, huetsabaon jatiribibo jaton queenabo nato Huisha meran yoiai quesca acasainbi amayamanaquetian.
08-00	ARTICULO 8.
08-01	Jahuetianqui huestiora joni yancabires jaconmacanai apon ese meran yoiai quescamaaquin jara jahuequescamabi iqui, coshiboiba ja cati. Ja joni coshibaonra aquinti iqui, ja huetsabaon yancabires j aconmaitian.
09-00	ARTICULO 9.
09-01	Tsonbira yataanan carcel meran huetsabires niatima iqui, ja apon esecan yoiai quescama aca onanshonmabi. Jainoash jahuen mainmeashbi tsoabi potaacatima iqui, apon esecan yoiai quescama jaconma acama icas'h.
10-00	ARTICULO 10.
10-01	Huestiora jonin jaconma aca yoicanquetianra, jahuequescamabi iqui, ja apon jascaati yoia acaiton jato yocayompariti, iconmeinqui ishon onannoshon. Jainoash jonin yoiabi huetsa yoitimaitianra, jahuequescamabi iqui, ja apon jascaati yoia acai joniiba queenash jabo cati, jan aquinnon icash. Jahuequescamabiribi iqui ja jonin icha naposhon jato benshoshonti, ja copi icanai jahuequi. Jascaashon onanti iqui, jahueratonacayarin ja yoia joi icon ishon jainoash jahuerato jahuequiboqui apon ese meran yoiai quescama iqui ishon, onanoshon. Ja apon jascaati yoia acai jonin jato benshoashonti iqui senenbires, huetsa quesca jonibo inonbi. Jainshon huetsabicho aquinshon huetsa aquinyamatima iqui. Jahuequesca ishon jahuen onana joni iquetian ati iqui jabicho aquinquin. Jainshon aquinon is'hon copiaa iquetianbiri, jahuequesca is'hon huetsa jahuequi copiboribi; ja apon jascaati yoia acaiton jato jascaatima iqui, senenbirescaya jato aquinti iqui.
11-00	ARTICULO 11.
11-00	Huestiora jonin jaconma aca yoicanquetianra joni coshibaon shinantimapari iqui, acona riqui ishon. Jascaashon huetsabo ja oinnabo yocayompariti iqui, aconarin iamaash acamarin ishon onanos"hon. Jascara jonira bamaacanti iqui joni icha sharanshon, ja apon esecan yoiai quescaaquin, jatianra coshibaon acona onanshamanshon bamaati iqui.
11-01	Jainshon huestiora jonin atiqui huestiora jahuequi ja atima apon esecan yoiamapari jahuequi. Jatian moa jascara aca pecao apon ese picoti iqui, jascara jahuequi jahuescashonbi atima; jatianra apon ja joni masa tenemati yamaque, jascara ese picotamatian aca iquetian. Jainshonribira jato ati iqui masa tenemaquin, ja jaconma aquetian masa tenemati apon esecan yoiai quescares. Jainshon moa jascara jaconma aca pecao, huetsa ese apon picoti iqui, jascara jonibo bebonbires masa tenemati; jascara iquenbi ja bena esecan yoiai quesca atima iqui, jascara ese picotamatian aca iquetian.
12-00	ARTICULO 12.
12-01	Tsoabira huetsabaon jahuequi acai sharan niacaatima iqui icasquin jato yocatashmabi. Jainoash jahuen rarebo sharanbira itima iqui yocatama icashbi, niacaati. Jainoash jaton s'hobonbira itima iqui jiquii, jiquicasquin jahuen ibobo yocatashmabi. Jainoashshibira, huetsabo quirica bemacana jahuen ibo yocatamashonbi jahuetianbi yoyo atima iqui. Jainoash huetsabo yoii jaconmai itima iqui; jaton icaribira jaconmaquin yoinaantima iqui. Jascara jahuequibo huestiora joni acanaitianra apon aquinti iqui, jaquiribi ahuetsayamacanon ishon; jainshon jan aca joni masa tenemashontiqui ja aca copi, ja apon ese meran yoiai quescaaquin, huetsa quesca jonibo inobira jato apon aquinti iqui.
13-00	ARTICULO 13.
13-00	Ja ica maincobi icashbi huetsancobo joni catira jahuequescamabi iqui. Jainoash jahueranoqui jatin queenai, jahuen queenai mai catotira jahuequescamabi iqui.
13-01	Huestiora huestiorabora ja ica maimeash queenaash huetsa main cai picoti jahuequescamabi iqui. Jainoash huetsa main caash jaquiribi jahuen mainco joribatira j ahuequescamabi iqui.
14-00	ARTICULO 14.
