00-00	ansani hqwq da'almi mnshwr
00-01	dnia dye sarye ansan hkw dyyeye tye nh mkrn walye hqwq tye azadian ghn tye pida thiddn . aqwam mthdh nye hr khin dye hqwq di hfazt tye wdharye da jhndda atchar khrn da aradh kita hwye . jimbrra aqwam mthdh dye mnshwr da hsh hye . indye wtch ansani 'zt tye w qar, jiadi ansani hqwq, 'zt nfs atye lwkan dye iqin da aqrar kita ngye .
00-02	aqwam mthdh di jnrl asmbli nye dh dsmbr1948 kwn ansani hqwq da'almi mnshwr mnzwr krtye ind a'am a'lan kita . aglye sfian tye inh mnshwr di pwri 'bart pish kiti windi aye .
00-03	mnshwr atch aqwam mthdh nye saf tye sadh lfzan atch hqwq dsadtn . jnban wtch hr kwyei brabr dashr ik hye .
00-04	in tr ikhi kar namye dye b'd asmbli nye sarye shrik mlkan tye zwr dtajwain a'lan kwn 'am krn tye indye wdharye wtch hsh nghyen . mshla aye jw ikwn pwsttr di shkl wtch tchhpwa kye jaja tye laia wndyi . khas twr tye skwlan tye dw jhye t'limi adarian wtch ikwn prrh kye snrraia wndyye . indi tfsilat khwl tye dsayei wndyn tye in slslye wtch siasi jiadan tye khin mlk nal kwyei frq nan kita wndyye .
00-05	aye hqwq thadi mlkit hn tye anhan dye barye wtch pwri m'lwmat hasl krw . aprnye tye dwjhian kitye anhan hqwq dye btchyew tye wdharye wtch asad ahth wttayew .
00-06	tmhid tye 'bart
00-07	kiwn jw hr ansan di thati 'zt tye ansanan dye hkw dyyeye tye nh mkrn wa lye hqwq kwn mnrran dnia wtch azadi, ansaf tye amn di jiad hye .
00-08	kiwn jw ansani hqwq knwn lapr wayei tye anhan di khlaf wrzi, ihw dyyeye w hshianh kman di swrt wtch zahr thyei hye jinye ansani dmir kwn hla kye rkhd tye . hin kitye hr ansan di sb knwn wdi khwahsh rhi hye jw dnia ihw dyyei bnrr wndyye jindye wtch hr ansan kwn aprni ngal akhrn tye aprnye 'qidye tye qayem rhwrn di azadi hwwye . kwyei dr khwf nh hwwye atye lwndian drwr tan wi pwri thindian rhwn .
00-09	kiwn jw zlm tye ziadti dye khlaf ansan kwn bghawt tye mjbwr thiwrn knwn btchawrn kitye drwri hye jw qnwn di balad sti dye thri'ye ansani hqwq da btchyew kitaw bdyye
00-10	kiwn jwaye drwri hye jw qwman tye mlkan dye drmian dwstanh t'lqat kwn wdhaia wndyye .
00-11	kiwn jwr kn mlkan nye aqwam mthdh dye tcharttr wtch jiadi ansani hqwq, ansani 'zt tye wqar, 'zt nfs atye mrdan tye 'wrtan dye hkw dyyeye hqwq autye aprnye iqin da aqrar kitye atye ziadh azadi dye mhwl wtch wsib di trqi tye tchngye m'iar zndgi dye wdharye da aradh zahr kitye .
00-12	kiwn jwr kn mlkan nye aye di w'dh kitye jw aqwam mthdh dye t'awn nal pwri dnia wtch ansani hqwq mnwisn tye jiadi azadian dwisn .
00-13	kiwn jw anhan w 'dian kwn pwra krrn kitye drwri hye jw asan hqwq tye azadian kw smjhwn .
00-14	hin kitye a .
00-15	jnrl asmbli a'lan krindi hye jw
00-16	ansani hqwq da aye 'almi mnshwr sarian qwman tye mlkan kitye in mqsd dye hswl dahkw dyian m'iar hw si tan jw hr bndh tye wsib da hr tbqh ikwn aprnye samrnye rkhindye hwye t'lim tye tdrin dye thri'ye hqwq tye azadian da ahtram pida krye atye qwmi tye bin ala qwami kar gzari dye thri'ye rkn mlkan tye anhan dye matht 'la qian wtch anhan kwn mnwlwrn dian kwshshan krye .
01-00	df'h 1
