00-00	Dunya Kish Haklari Beyannamesi
00-01	Kish oyenihxi heme ueyelerinde dogal haysiyet ma adil ma degishmez haklarne tanishi, dunyade huerriyet, adalet ma barishnihxi temeli der,
00-02	Kish haklarine aldirmagusi ma guecendirgusi barbar eylemler volji, bular kishlernihxi vicdanne kirletji. Heme kishler konushma ma inanch huerriyeti varber dihxen, korku ma kitlik yokhber dihxen duyan gelgusi, kishlernihxi bikhiden bikhi hayal der, bildirji,
00-03	Kishler zuluem ma baskihxe azitmesishe vule, hukuk kish haklarine korugi,
00-04	Uelkelernihxi dostlukine gelishtirgi,
00-05	Birleshmish milletlernihxi kishleri Birleshmish Milletler Tuezuekinde temel kish haklari, kish haysiyeti ma degeri ma er gatin adil hakihxe inanchne bildirji, goder bije jatakh huerriyetde toplum ma hayat gelishmesine kolaylashtirgar,
00-06	Ueye uelkeler ma Birleshmish Milletler ishbirligiden kish haklari ma temel huerriyetne ortak uygusi ma etgusine desteklegusine kuefretji,
00-07	Bu haklar ma huerriyetlerne ortak bilgusi bu kuefretgusine tam gerchekleshtirgusihxe jatakhchukh ehemmiyet var,
00-08	Inji,
00-09	Jatakh Montaj,
00-10	Bu Dunya Kish Haklari Beyannamesine yayinlar, heme kishler ma heme uelkelernihxi emekden gerchekleshtirhxur dihxen ortak standart volerer. Heme kishler ma heme toplum buenyeleri hergun bu beyannamene gilage, emekden orhxetgusi ma egitimden haklar ma huerriyetlerne uygusi desteklehxi, ulusal ma uluslararasi ilerici adimlerden bu haklar ma huerriyetler heme ueye uelkelernihxi kishlerinde ma yerlerinihxi kishlerinde ortak ma etkili tanima ma etgusine dehxirgi.
01-00	Ber
01-01	Heme kishler huer der, haysiyet ma haklarde adil der, mantik ma vicdan var, kardeshlikden davraneshge.
02-00	Igi
02-01	Heme kishler bu beyannamede pidihxen heme haklar ma huerriyetler varber dihxen hak var, irk, renk, cinsiyet, dil, din, siyasi ene bashga fikir, yurttash ene sosyal menshe, mal, dalagusi ene bashga durumden ayirt etmehxi.
02-02	Kishnihxi uelkesi ene yerinihxi siyasi, yargi ene uluslararasi farklarden ayirt etmehxi, bu yer huer, ishletin, otonomy yokhder ene bashga egemenlik sinirlamasi var, yeshamahxe.
03-00	Uj
03-01	Heme kishler hayat, huerriyet ma emniyet varber dihxen hak var.
04-00	Diot
04-01	Heme kishler esaret ene kullukde varmahxe. Heme bichimnihxi esaretleri ma esir ticaretleri varmahxe.
05-00	Besh
