00-00	Splosna deklaracija clovekovih pravic
00-01	ker pomeni priznanje prirojenega cloveskega dostojanstva vseh clanov cloveske druzbe in njihovih enakih in neodtujljivih pravic temelj svobode, pravicnosti in miru na svetu;
00-02	ker sta zanikanje in teptanje clovekovih pravic pripeljala do barbarskih dejanj, zaljivih za clovesko vest, in ker je bila stvaritev sveta, v katerem bi imeli vsi ljudje svobodo govora in verovanja in v katerem ne bi ziveli v strahu in pomanjkanju, spoznana za najvisje prizadevanje clovestva;
00-03	ker je nujno potrebno, da se clovekove pravice zavarujejo z mocjo prava, da clovek ne bi bil prisiljen zatekati se v skrajni sili k uporu zoper tiranijo in nasilje;
00-04	ker je nujno potrebno pospesevati razvoj prijateljskih odnosov med narodi;
00-05	ker so ljudstva Zdruzenih narodov ponovno potrdila svojo vero v temeljne clovekove pravice in dostojanstvo in vrednost clovekove osebnosti, v enakopravnost moskih in zensk in se odlocila, da bodo podpirala druzbeni napredek in ustvarjanje boljsih zivljenjskih pogojev v vecji svobodi;
00-06	ker so se vse drzave clanice zavezale, da bodo, v sodelovanju z Zdruzenimi narodi, pospesevale splosno in resnicno spostovanje clovekovih pravic in temeljnih svoboscin;
00-07	ker je skupno razumevanje teh pravic in svoboscin najvecjega pomena za popolno uresnicitev te zaveze,
00-08	Generalna skupscina razglasa
00-09	To splosno deklaracijo clovekovih pravic kot skupen ideal vseh ljudstev in vseh narodov z namenom, da bi vsi organi druzbe in vsi posamezniki, vedno v skladu s to Deklaracijo, pri pouku in vzgoji razvijali spostovanje teh pravic in svoboscin ter s postopnimi drzavnimi in mednarodnimi ukrepi zagotovili in zavarovali njihovo splosno in resnicno priznanje in spostovanje, tako med narodi drzav clanic samih, kakor tudi med ljudstvi ozemelj pod njihovo oblastjo.
01-00	1. clen
01-01	Vsi ljudje se rodijo svobodni in imajo enako dostojanstvo in enake pravice. Obdarjeni so z razumom in vestjo in bi morali ravnati drug z drugim kakor bratje.
02-00	2. clen
