00-00	DECRARATZIONE UNIVERSALE E SOS DERETOSDE S'OMINE
00-01	Cunsiderende chi su reconnoschimentu de sa dinnidade inerente a totu sos membros de sa familia umana e de sos deretos issoro eguales e inalienabiles costituit su fundamentu de sa libertade, de sa zustissia e de sa paghe in su mundu,
00-02	Cunsiderende chi su misconnoschimentu e su dispretziu de sos deretos de s'omine ant zutu a atziones de barbaridade chi bulluzant sa cussentzia de s'umanidade e chi sa bennida de unu mundu in ue sos esseres umanos ant a esser liberos de faeddare e de creer, liberados dae su terrore e dae sa miseria, est proclamadu comente s'isetu prus mannu de s'omine,
00-03	Cunsiderende chi est essentziale chi sos deretos de s'omine siant garantidos dae unu rezimene de deretu, a manera chi s'omine non siat custrintu prus, comente remediu estremu, a si bortare contra a sa tirannia e a s'opressione,
00-04	Cunsiderende chi est essentziale a animare s'isvilupu de sas relatziones de amighentzia intre sas natziones,
00-05	Cunsiderende chi in sa Carta sos populos de sas Natziones Unidas ant proclamadu torra sa fide issoro in sos deretos fundamentales de s'omine, in sa dinnidade e su balore de sa pessone umana, in s'egualidade de sos deretos de sos omines e de sas feminas, e chi issos si sunt decrarados dispostos a favorire su progressu sotziale e a instaurare cunditziones mezus de bida in una libertade prus manna,
00-06	Cunsiderende chi sos Istados Membros si sunt postos de acordu pro assegurare, in cooperatzione cun s'Organizatzione de sas Natziones Unidas, su respetu universale e efetivu de sos deretos de s'omine e de sas libertades fundamentales,
00-07	Cunsiderende chi un'idea comuna de custos deretos e libertades tenet s'importantzia prus manna pro cumprire custu acordu,
00-08	s'Assemblea Zenerale proclamat
00-09	custa decraratzione universale de sos deretos de s'omine comente s'ideale comunu chi totu sos populos e totu sas natziones depent sighire pro fagher a manera chi totu sos individuos e totu sos organos de sa sotziedade, tenende semper in coro custa Decraratzione, s'isfortzent, cun s'amaestramentu e s'educatzione, pro isvilupare su respetu de custos deretos e libertades e pro nd'assegurare, cun mesuras progressivas de ordine natzionale e internatzionale, su reconnoschimentu e s'aplicatzione universales e efetivas, siat in mesu de sas populatziones de sos Istados Membros etotu, siat in mesu de cussas de sos territorios postos suta de sa zurisditzione issoro.
01-00	Articulu 1
01-01	Totu sos esseres umanos naschint liberos e eguales in dinnidade e in deretos. Issos tenent sa resone e sa cussentzia e depent operare s'unu cun s'ateru cun ispiritu de fraternidade.
02-00	Articulu 2
02-01	Onzi unu podet fagher baler totu sos deretos e totu sas libertades proclamadas in sa Decraratzione presente, sena distintzione peruna, mescamente de ratza, de colore, de sessu, de limba, de relizione, de opinione politica o de onzi atera opinione, de orizine natzionale o sotziale, de cunditzione, de naschida o de onzi atera cunditzione.
02-02	In prus, no at a esser fata peruna distintzione fundada supra s'istatutu politicu, zuridicu o internatzionale de su paisu o de su territoriu dae ue una pessone podet benner, chi custu paisu o territoriu siat indipendente, suta tutela, no autonomu o assuzetadu a una limitatzione cale si siat de soveranidade.
03-00	Articulu 3
03-01	Onzi individuu tenet deretu a sa bida, a sa libertade e a sa segurantzia de sa pessone sua.
04-00	Articulu 4
04-01	Nemos at a poder esser mantesu ne in istadu de iscravitudine, nen de terachiu; s'iscravitudine e sa trata de sos iscraos sunt preubidas in totu sas formas.
05-00	Articulu 5
05-01	Nemos at a poder esser assuzetadu a sa tortura, ne a penas o a tratamentos crudeles, inumanos o degradantes.
06-00	Articulu 6
06-01	Onzi unu tenet su deretu a su reconnoschimentu in onzi logu de sa personalidade zuridica sua.
07-00	Articulu 7
07-01	Totus sunt eguales in cara de sa leze e tenent deretu sena peruna distintzione a una tutela eguale de sa leze. Totus tenent deretu a una tutela eguale contra a onzi discriminatzione chi diat contraigher sa Decraratzione presente e contra a onzi istigamentu a custa discriminatzione.
08-00	Articulu 8
08-01	Onzi pessone tenet deretu a unu recursu efetivu a sas zurisditziones natzionales cumpetentes contra a sos atos chi biolant sos deretos fundamentales chi li sunt reconnotos dae sa costitutzione o dae sa leze.
09-00	Articulu 9
09-01	Nemos podet esser arrestadu, impresonadu o esiliadu arbitrariamente.
10-00	Articulu 10
10-01	Onzi pessone tenet su deretu, in egualidade prena, a fagher intender sa boghe sua ecuamente e publicamente dae unu tribunale indipendente e impartziale, chi at a detzider, siat de sos deretos e obrigos suos, siat de su fundamentu de onzi acusa, in materia penale, direta contra a issa.
11-00	Articulu 11
11-00	Onzi pessone acusada de un'atzione delituosa si depet cunsiderare innossente finas a cando si nd'at a istabilire legalemente sa neghe in unu protzessu publicu in ue ant a esser asseguradas totu sas garantias netzessarias a sa defensa sua.
11-01	Nemos at a poder esser cundennadu pro atziones o omissiones chi, in su mamentu chi sunt istadas fatas, non costituiant un'atu delituosu pro su deretu natzionale o internatzionale. In prus, non s'at a poder imponner peruna pena prus forte de sa chi fit aplicabile in su mamentu chi s'atu delituosu est istadu cumpridu.
12-00	Articulu 12
12-01	Nemos at a poder esser ozetu de intromissiones arbitrarias in sa bida privada sua, in sa familia sua, in sa domo o in sa currispondentzia sua, nen de atentados a s'onore o a sa reputatzione sua. Onzi pessone tenet deretu a esser tutelada dae sa leze contra a custas intromissiones o a custos atentados.
13-00	Articulu 13
13-00	Onzi pessone tenet su deretu de zirare liberamente e de s'isseperare sa residentzia in intro de un'Istadu.
13-01	Onzi pessone tenet su deretu de si nch'andare dae unu logu -finas dae su suo-, e de torrare a su logu suo.
14-00	Articulu 14
14-00	Onzi pessone, si est pessighida, tenet su deretu de si chircare asilu e de otenner asilu in ateros logos.
14-01	Custu deretu non podet esser chircadu si sa pessone est pessighida pro unu crimine de deretu comunu o pro atziones contrarias a sos fines e printzipios de sas Natziones Unidas.
15-00	Articulu 15
15-00	Onzi individuu tenet deretu a una natzionalidade.
15-01	Nemos podet esser privadu de sa natzionalidade sua, nen de su deretu de cambiare natzionalidade.
16-00	Articulu 16
16-00	Dae cando sunt baganzos, s'omine e sa femina, sena perunu impedimentu pro sa ratza, sa natzionalidade o sa relizione, tenent su deretu de si cojuare e de si fagher una familia. Issos tenent sos matessi deretos in ocasione de su cojuiu, a pustis de su cojuiu e in s'ora de s'isparzimentu.
16-01	Su cojuiu s'at a poder fagher petzi cun s'acordu liberu e prenu de sos isposos.
16-02	Sa familia est s'elementu naturale e fundamentale de sa sotziedade e tenet deretu a esser tutelada dae sa sotziedade e dae s'Istadu.
17-00	Articulu 17
17-00	Onzi pessone, sola chi siat o a cumone, tenet deretu a sa propiedade.
17-01	Nemos podet esser privadu arbitrariamente de sa propiedade sua.
18-00	Articulu 18
18-01	Onzi pessone tenet deretu a sa libertade de pessamentu, de cussentzia e de relizione; custu deretu implicat sa libertade de cambiare relizione o idea, e finas sa libertade de manifestare sa relizione o s'idea sua, a sa sola o a cumone, siat in publicu siat in privadu, cun s'insinnamentu, sas praticas, su cultu e su cumprimentu de sos ritos.
19-00	Articulu 19
19-01	Onzi individuu tenet deretu a sa libertade de opinione e de espressione. Custu implicat su deretu a no esser pessighidu pro sas opiniones suas e su de chircare, de retzire e de difunder, sena cunsideru de peruna frontera, sas informatziones e sas ideas cun onzi zenia de mediu.
20-00	Articulu 20
20-00	Onzi pessone tenet deretu a sa libertade de reunione e de assotziamentu patzificu.
20-01	Nemos podet esser obrigadu a fagher parte de unu sotziu.
21-00	Articulu 21
21-00	Onzi pessone tenet su deretu de intrare in parte de sa diretzione de sos afares publicos de su logu suo, siat diretamente, siat tramite rapresentantes isseperados liberamente.
21-01	Onzi pessone tenet su deretu de intrare, in cunditziones de egualidade, in sas funtziones publicas de su paisu suo.
21-02	Sa boluntade de su populu est su fundamentu de s'autoridade de sos poderes publicos; custa boluntade si depet espressare cun eletziones onestas chi depent esser fatas periodicamente, cun botu universale eguale e segretu o cunforma a una norma ecuivalente chi asseguret sa libertade de botu.
22-00	Articulu 22
22-01	Onzi pessone, comente membru de sa sotziedade, tenet deretu a sa seguridade sotziale, chi est fundada pro otenner su godimentu de sos deretos economicos, sotziales e culturales indispensabiles a sa dinnidade e a s'isvilupu liberu de sa personalidade sua, pro more de s'isfortzu natzionale e de sa cooperatzione internatzionale, a pustis de aer tentu in contu s'organizatzione e sas richesas de onzi paisu.
23-00	Articulu 23
23-00	Onzi pessone tenet deretu a su traballu, a isseperare liberamente su traballu suo, a cunditziones de traballu ecuas e chi podant acuntentare, e a sa protetzione contra a sa disocupatzione.
23-01	Totus tenent su deretu, sena peruna discriminatzione, a unu salariu eguale pro unu traballu eguale.
23-02	Chie traballat tenet deretu a una paga ecua e chi l'acuntentet, chi asseguret a issu e a sa familia sua un'esistentzia chi siat cunforma a sa dinnidade umana e cumpretada, si si podet, dae totu sos ateros medios de tutela sotziale.
23-03	Onzi pessone tenet su deretu de fundare sindicados paris cun atere e de intrare in sos sindicados pro difender sos interessos suos.
24-00	Articulu 24
24-01	Onzi pessone tenet deretu a su pasu e a su disaogu e mescamente a unu limite zustu de su tempus de traballu e a lissentzias periodicas pagadas.
25-00	Articulu 25
25-00	Onzi pessone tenet deretu a unu gradu de bida bastante pro l'assegurare sa salude, su bonistare suo e su de sa familia sua, mescamente pro s'alimentatzione, sa bestimenta, sa domo, sas curas medicas e finas pro sos servitzios sotziales indispensabiles; tenet deretu a sa seguridade si est disocupada, malaida, imbalida, biuda, betza o si at perdidu sos medios suos pro campare a pustis de eventos indipendentes dae sa boluntade sua.
25-01	Sa maternidade e s'infantzia tenent deretu a un'azudu e a un'assistentzia particulare. Totu sos pitzinnos, chi siant naschidos foras de su cojuiu o a pustis, godint de sa matessi tutela sotziale.
26-00	Articulu 26
26-00	Onzi pessone tenet deretu a s'educatzione. S'educatzione depet esser gratuita, a su nessi pro s'insinnamentu elementare e fundamentale. S'insinnamentu elementare est obrigatoriu. S'insinnamentu tennicu e professionale depet esser zeneralizadu; s'intrada a sas iscolas superiores depet esser aperta in egualidade prena a totus, cunforma a su meritu issoro.
26-01	S'educatzione depet punnare a s'isvilupu prenu de sa personalidade umana e a s'afortimentu de su respetu de sos deretos de s'omine e de sas libertades fundamentales. Issa depet favorire sa cumprensione, sa tolerantzia e s'amighentzia intre totu sas natziones e totu sos grupos ratziales o reliziosos, comente puru s'isvilupu de sas atividades de sas Natziones Unidas pro su mantenimentu de sa paghe.
26-02	Babos e mamas tenent, comente prioridade, su deretu de isseperare sa casta de educatzione de dare a sos fizos issoro.
27-00	Articulu 27
27-00	Onzi pessone tenet su deretu de pigare parte liberamente a sa bida culturale de sa comunidade, de godire de sas artes e de tenner parte in su progressu sientificu e in sos benefitzios chi nde resurtant.
27-01	Onzi unu tenet su deretu a sa protetzione de sos interessos morales e materiales chi derivant dae cale si siat produtzione sientifica, literaria o artistica de sa cale est autore.
28-00	Articulu 28
28-01	Onzi pessone tenet deretu chi rennet, in ambitu sotziale e in ambitu internatzionale, un'ordine fatu a manera chi sos deretos e sas libertades proclamadas in sa Decraratzione presente bi podant agatare efetu cumpretu.
29-00	Articulu 29
29-00	S'individuu tenet deveres cun sa comunidade in ue petzi est possibile s'isvilupu liberu e prenu de sa personalidade sua.
29-01	In sa pratica de sos deretos suos e in su godimentu de sas libertades suas, onzi unu est assuzetadu e bia a sas limitatziones istabilidas dae sa leze petzi cun s'intentu de assegurare su reconnoschimentu e su respetu de sos deretos e libertades de atere e cun su fine de atatare sos disizos zustos de sa morale, de s'ordine publicu e de su bonistare zenerale in una sotziedade democratica.
29-02	Custos deretos e libertades no ant a poder, in perunu casu, esser praticados in manera contraria a sos fines e printzipios de sas Natziones Unidas.
30-00	Articulu 30
30-01	Non b'at perunu disponimentu de custa Decraratzione chi podat esser interpretadu comente implicante pro un'Istadu, un'aggrupamentu o un'individuu unu deretu cale si siat a si dare a un'atividade o de fagher un'atzione chi punnet a sa distrutzione de sos deretos e libertades chi bi sunt proclamados.
