00-00	ILAKA LYA MAHANGA LYA SEKGE YA BAMUNHU
00-01	GUNGUNO yimanyikile giki ikujo lya ng’wa munhu na sekge ya banhu muwelelo hu shili jandije ja wiyabi, sekge na mhola ya welelo,
00-02	GUNGUNO ubudalahi bo sekge ya banhu hi jile jandije ja shitwa ja bubi ha welelo, na giki yigubiho welelo iyo banhu bakwiyagalula na wiyabi bo guhaya na guzunya na gubiza badi na boba bosebose hangi, hu wisagiji bo ng’hana.
00-03	GUNGUNO idakililwe sekge ya banhu ilang’hanwe na butongeji bo jilagilo ja nsi huna buluhiwa na wibonelwa butizubizaho na gwenheleja banhu kulema na kubagalukila batongeji ba nsi.
00-04	GUNGUNO idakililwe kubeja bunwani bo nsi na nsi.
00-05	GUNGUNO L’Ibilinga lya Mahanga lyamala gubitya ng’w ihane lyalyo buzunya bo sekge, ngw’ikujo na nsolobo ya banhu ba buli mbika bakima na bagosha na lyalamula gwenha mhandika nhale ya budula bo kigasije ka banhu mu wiyabi butale.
00-06	GUNGUNO nsi ja mahanga jizunilija jihamo na ng’wibilingo gwa Mahanga gwenha ikujo, sekge ya banhu na wiyabi mu welelo.
00-07	GUNGUNO ukujimana sekge nu wiyabi bo banhu shili shinhu sha solobo nhale gete, ya buli ng’wene kujita umo jidakililwe ung’w’ Ihane lya l’Ibilingo lya Mahanga.
00-08	HUNA LULU GIKI,
00-09	Il’Ibilinga lya Mahanga lyayomba giki, buli munhu alimane, alikuje na kulondeleja bulamuji bolyo, na kubalanga abo batalimanile abanansi pye bagusola buli kinhu ijidakilile bulondeja na gubona buli munhu ung’wihanga alilondeje Ilaka lyenilo lya Mahanga.
01-00	Luhilili 1
01-01	Banhu bose bakabyalagwa na wiyabi na bakabizaga na makujo na sekge jabo jilenganilile. Banhu bose bakabizaga na masala na buhabuji; hukuyomba balidakilwa gubi na witogwa gidi bana ba myaji umo.
02-00	Luhilili 2
02-01	Buli munhu adakililwe kupandika sekge ijihayiwe ngw’Ilaka lyenili na nduhu bululung’hanya nulu wikomanya giti wikoba, kabyalilwe, ndimi, dinhi, luganda lo buyombeji mihayo ya nsi, mhandika nulu wikomanya bungi bosebose.
02-02	Hangi giki, butadakililwe gubizaho wikomanya bo wiganiki mu nfumo, kajile ka nsi nulu Ihanga lyoselyose ilo munhu aliingila, ibi litali ugwitema, liitemilwe nulu liitemile.
03-00	Luhilili 3
03-01	Buli munhu alina sekge ya bupanga na wiyagaluji bo gwigasha mu mhola.
04-00	Luhilili 4
04-01	Nduhu munhu adakilililwe kusolwa busese; ubusese nu Busuluja bo basese bo mbika jose bulemegije gete umumahanga agose.
05-00	Luhilili 5
05-01	Nduhu munhu adakililwe guluhiwa bo makala na kwichiwa ikujo lyakwe.
06-00	Luhilili 6
06-01	Buli munhu adakililwe apandike ikujo lya jimunhu giti umo ihayilile ungw’ Ilagilo lya nsi.
07-00	Luhilili 7
07-01	Banhu bose balenganilile u mushilagilo sha nsi na balidakilwa gulang’hanwa ni shilagilo shenisho na yaya gwitilwa busolanhyiwa.
08-00	Luhilili 8
08-01	Buli munhu adakililwe gwambilijiwa mu kajile k ‘ Ilagilo lihanga lyakwe mu shito josejose ishoshiling’wima mhangilo jakwe ijifumile ngw’Ihane na Jilagilo ja nsi.
09-00	Luhilili 9
09-01	Nduhu munhu uyo adugije gutung’wa (gutulwa mkandulumu) ku nzila yoseyose hanze ya Jilagilo ja nsi.
10-00	Luhilili 10
10-01	Buli munhu adakililwe gudegelekwa mu mhangilo na bulenganila habutongi ya kajile ka nsi akatinabusolonhya umukajile kabo nulu umu mihayo ya minala.
11-00	Luhilili 11
11-01	Munhu oseose uyo alishidakilwa ku ya minala akubalwa giti ati nghubi mpaga aho Jilagilo jenekele jilamale kunamla ng’wibanza na ng’wenekili abize odegelekagwa mashosho gakwe.
11-02	Nduhu munhu uyo adugije kulamlwa ku ja minala ulu isho witaga shitimo mushilagilo likanza aho alishita. Hangi, munhu oseose adadakililwe kubishiwa ihyu itale kukila ilo lyaliliyombilwe mushilagilo shansi aho alikenagula.
