00-00	FA'IRA'A HA'ATI I TE MAU Tl'AMANARA'A O TE TA'ATA-TUPU
00-01	I te fa'ari'i i te fa'ati'ama o te ihomana tumu o te mau mero ta'ato'a o te nuna'a ta'ata e i to ratou ato'a ti'amanara'a 'aifaito e te tutu'u-mana-'ore 'ei papa no te orara'ati'ama, no te orara'a-'aifaro e no te hau i roto i teie nei ao, e ti'a ai,
00-02	I te fa'ari'i e no te ha'apa'o'ore, e no te fa'afaufa'a'ore i te mau ti'amanara'a o te ta'ata, i tupu ai te mau peu 'oviri i fa'ati'arepu i te manava o te ta'ato'ara'a o te ao; i te fa'ari'i i te ti'aoroara'ahia 'ei a'e nui no te ta'ata te hitira'a mai o te ho'e ao iti i reira te mau ta'ata, i ora mai mai roto mai i te taia e te veve, e 'aparaparau noa ai ma te ti'aturi fa'ahou, e ti'a ai,
00-03	I te fa'afaufa'a i te paruru i te ti'amanara'a o te ta'ata ma te ho'e fa'aterera'a-ture, ia 'ore 'oia te ta'ata ia hepohia, i te hope'a, i te hepo-'orure-hau i te fa'atitira'a e te fa'afaora'a a te taehae, e tia ai,
00-04	I te fa'afaufa'a i te fa'aitoitora'a i te rito o te here i rotopu i te mau va'a'ai'a, e ti'a ai,
00-05	I te fa'ari'i, i roto i teie Parau-Fa'aau, e ua ti'aoro fa'ahou te mau nuna'a ta'ata o te mau Va'a'ai'a-'Amuitahia i to ratou ti'aturi papu i te mau ti'amanara'a tumu o te ta'ata, i te ihomana e i te faufa'a o te ihota'ata i te 'aifaitora'a o te ti'amanara'a o te mau tane e o te mau vahine. I te fa'ari'i e ua fa'i ato'a i to ratou hina'aro mau i te tauturu i te 'e'era'a o te 'avirira'ata'ata, e i te ha'apunaho i te ho'e orara'a hau roa a'e i te maita'i na roto ia i te ho'e ti'amara'a hau a'e, e ti'a ai,
00-06	I te fa'ari'i i te 'opuara'a'amui a te mau Hau Mero e a te Fa'anahora'a a te mau Va'a'ai'a-'Amuitahia no te ha'amau papu i te fa'atura ha'ati-papu-mau i te mau ti'amanara'a o te ta'ata e i te ti'ama tumu, e ti'a ai,
00-07	I te fa'ari'i 'ei faufa'a nui no te ha'apapu i teie parau-fa'aau, te ho'e rahura'a 'amui i teie mau ti'amanara'a e teie mau ti'amara'a, e ti'a ai,
00-08	Te poro nei te 'Apo'ora'a Rahi i teie Fa'ira'a Ha'ati i te mau Ti'amanara'a o te Ta'ata 'ei moea titaura'a 'amui na te mau nuna'a ta'ata e te mau va'a'ai'a ato'a, ia tutava 'oia te mau ta'ata tupu e te mau mero o te 'avirira'a ta'ata, ma te raupe'a -mana'o noa i teie Fa'ira'a, na roto i te ha'api'ira'a-'ite e te ha'api'ira'a-peu, no te ha'aparare i te fa'aturara'a o teie mau ti'amanara'a, e no te ha'amau papu, na roto i te ho'e mau fa'auera'a ri'iri'i a to na iho va'a'ai'a e a te mau va'a'ai'a ta'ato'a. Te poro nei i te fa'ati'ama ra'a e i te ha'apapura'a, mai rotopu i te huira'atira o te mau Hau Mero iho e tae roa atu i te huira'atira o te mau fenua i raro a'e i to ratou mana.
01-00	'IRAVA MATAMUA
01-01	E fanauhia te ta'ato'ara'a o te ta'ata-tupu ma te ti'ama e te ti'amanara'a 'aifaito. Ua 'i te mana'o pa'ari e i te manava e ma te 'a'au taea'e 'oia ta ratou ha'a i rotopu ia ratou iho, e ti'a ai;
02-00	'IRAVA PITI
02-01	E ti'a ta te ta'ata tata'itahi i te fa'ariro 'ei ti'ara'a no na, teie mau ti'amanara'a e te mau ti'amara'a i ha'apararea i roto i teie Fa'ira'a, ma te ho'e ma'itira'a'orehia 'oia na ni'a i te taura ta'ata, na ni'a i te rava 'iri, i te tane e te vahine, i te reo, i te fa'aro'o, te mana'o poritita 'aore ra na ni'a i te tahi atu a mau mana'o no roto mai i te va'a'ai'a 'aore ra i te 'avirira'ata'ata; ma te ma'iti-'ore-ato'a-hia 'oia na ni'a i te faufa'a, i te papafanaura'a 'aore ra na ni'a i te tahi atu a mau huru ti'ara'a.
02-02	Teie atu a, 'aore 'e ma'itira'a e ravehia na ni'a i te papara'a poritita, i te manara'a-ture 'aore ra na ni'a i te papara'a i rotopu i te mau va'a'ai'a o te fenua 'aore ra o te hau-fenua o te ho'e ta'ata a'amau, noa atu teie 'e fenua 'aore 'e hau-fenua mana ta'a'e, 'e fenua fa'aterehia, i 'o'oti-pito-'ore 'aore ra 'e fenua ti'amara'a fa'aitihia.
03-00	'IRAVA TORU
03-01	'E ti'amanara'a to te ta'ata-tupu ato'a i te ora, i te ti'amara'a e i te orara'a pano'ono'o 'ore.
04-00	'IRAVA MAHA
