00-00	Oniti ba we a kpenniti kutenku yandu
00-01	Ti do kenye ke tu dee te ke sokesoke yi bo ke kutenku naati tipiiti timou, de tu omou yi do nke di otou muwerimu ngo kpere yinke,
00-02	Ti do kenye ke tu isoke oo nyo di peite koo mou wee wente ke ndo bee ite koo wuu, ke ye ti bo yime ke nkari ke de tinaati ke ti naa tidoti, ke ba nde ti me mba yo mesemme, oniti ti de ngmanti, dee tu kete,
00-03	Ti do kenye ke tu oniti ne oniti ngme, ti tu mbo nde mu titobe, ociiri nde okperi ko okperi de ociiri, ke ye demosikaande ko nde cooti yinke,
00-04	Ti do kenye ke tu initi wuo nyimou do kenkari ke naati keye itobe kpei,
00-05	Ti do kenye ke tu initi wuo kutenku yandu deneni dipatri keparku di myeeke ne oniti ba we, ko diyetri ke tu oniti pokua oniti doua, omou yi caa nne otou; ke dee te ke iwuo nyimou do nkewenne ke mpi kebeu ne de bo naatime tipiiti timou,
00-06	Ti do kenye ke tu yeheke ye mou ye kari kewenne mu kutenku yandu ko ditinni kobe ketu ti do ke nde menke weti dee cenke tukune oniti ko mufommu ne o borime,
00-07	Ti do kenye ke tu ti bo wenne me dinnu madimaa dee tukune oniti ko mufommu byeeke dee bo nte ke ti baa yete kuce,
00-08	Iwuo nyimou ko ditinni didyeere pieeku ke heu ketu
00-09	Oniti ba we, a kpenni ti kutenku yanda tu:
00-10	Iboti imou ne itensaake imou do nkewenne dinuu kepi ndipatri dii ko tinaanti ne i yemme kepa itobe itye nde yinke ke nye dee tume oniti ko mufommu yeheke yemou dwome; oniti ba we, a cenke bo dil hei, a do nke ti nye ke ti kpenni.
01-00	Ditanfotri 1
01-01	Oniti ti pei nde omou yi kpaatri otou, ke ye oniti ba we, o yi do nne fehofe; o mokemu mecii keha meyemme. Ti tu ne do kenyari ti tobe mbe ke yie mii ba nkwuo ko otou dau.
02-00	Ditanfotri 2
02-01	Oniti ba we: oniti soua, o peia oniti soua, oniti pokua, a cenke tu wee boti, a feu tekote dibo ndaa, a dou nkuyie mmaku botinkua nkua, a tu ngwee peditik boti cen kaa, a kari ke yumpuraa, a do nfedawanfe nfea, a tu kuhouku nkua, de yi do ngomou bo da ciite a kpere yinke.
02-02	Ke wetike, ba kaa hei tudi ke domme, omou yi do ke nda koonne ke ngmanti o bo da byeeti a yienni mee kpei noyee nyoo cyee.
03-00	Ditanfotri 3
03-01	Oniti ba we, a niti tou yi do nke daa kakii ke ngmanti o bo da tanneme kufotitenniku.
04-00	Ditanfotri 4
04-01	Omou yi do nkedoo otou kudaaku ke ngo senni; oniti me nyi moke muwerimu o bo fiteme otou koo naa nku daaku.
05-00	Ditanfotri 5
05-01	Omou yi do mbe ngo duku sontike fepaapyefe teme, ngo me nyi do nke nfeuri kukpetinku komme ke cirme.
06-00	Ditanfotri 6
06-01	Oniti, a cenke bo kee byeeke a do kenye dee ci ne dee yi ci koomou ba da soute.
07-00	Ditanfotri 7
07-01	Dikotinuu tu timou ko kudopiku nku. Okoti, debire, onitidou onitipoku, okpaati, ociiri kuhouku, ba wuo, dikotinuu dii o kanke.
08-00	Ditanfotri 8
08-01	Koomou sente dikotinuu ke daa wente, a baa yi huti huti; a bo o to tibeenti nti ke de ko tinaantii ke nku.
09-00	Ditanfotri 9
09-01	Be baa na ke sonte kepi ngomou ko o kpetine yoo ko o denne dihei.
10-00	Ditanfotri 10
10-01	Oniti ba we, ke be daa yu tibeenti yoo be da pi nne timati, dibeentinni kobe do nke daa bekemu ke ya dedomme ke ne na ke tikwuo.
11-00	Ditanfotri 11
11-01	Ke be tu omou caare ke mu nyi o bekene keya ke mommwoo ngme yoo siyaabisi nsi o tu mmu yi ye timati tibeenti ti bo tibate.
11-02	Oniti kaa caare demare ke so nke dikotinnu ko dipatri yi tu de ci, a yi do nketa ditou; ke de me mbaa so mbe do nkeyetoo keywoo nga to deyinke be doke baa tonte.
12-00	Ditanfotri 12
12-01	Omou yi do nketa we yi te tiinaan ti myeeke, keye, de oo me nyi kaa wente otou ke de yaa naa nne dikpanni. Dikotipatri me nnaa mmu kekpa ndeyinke ke de you.
13-00	Ditanfotri 13
13-01	Oniti ba we, a bo na keyite ke ncenti a yemme dome kaa peensiri dii hei a kari.
13-02	Kaa me nyite kekote kee byeeke, ba diihei kece, nkedee a bo na kekonnimu nga cyee, a do diimonni.
14-00	Ditanfotri 14
14-01	Ke be daa do meyei ke daa harine ba a yi moke difotoo a bo na keyite kekote kesore a me ndo diihei; de ko dihei kobe me nyi do nke daa beti.
14-02	Be me ne yi ye kaa yeke ke be da kwuo nne tipiiti timou, be nda wuo kaa doori a dome.
15-00	Ditanfotri 15
15-01	Fo ngoniti, a ba nfou ke bo ke yi ye a boti tuku.
15-02	Omou yi do nke yetene sontike ngotou o ko kuboti tuku; ke weeme nne do ne omaa o bo namu ke naanne kuboti teku.
16-00	Ditanfotri 16
16-01	Oniti, kaa cenke baa nkedee, a bo na kepwoke yoo a yenke a me ndowe ke di hanne tecyeete. Oniti ne o poku, omou yi do kensei otou fenonfe ke nkemmune di bo yate diiyie ke nsa ke diborime yi maa.
16-02	Onitidou ne oniti poku ke be ti nake ti kwuo otou mou tenke yi do ke nkoo ke firi becwooke kefi ke de fi.
16-03	Ne yaaro tecyeete tee baa koti ke tecyeete yi bo kunaamunku yi bo kuboti me nyi bo.
17-00	Ditanfotri 17
17-01	Oniti ba we, a bo amma ndaa, di sumaa, omou yi do nke nkoonne otou o kpere yinke.
17-02	Omou yi do nke sonte kefeete otou kpere ne muwermu.
18-00	Ditanfotri 18
