00-00	Elomiyai Umimii Hukuki Bashar
00-01	Bo darnazardoshti in, ki etirofi kadru kimat ba hamai ahli bashar khos buda, hukuki barobar va dakhlnopaziri onho asosi ozodi, adolat va sulhi umum ast;
00-02	bo darnazardoshti in, ki tahkiru beetinoi ba hukuki bashar boisi surat giriftani amoli vahshienae gardidaast, ki vichdoni bashariyatro sakht ozurda megardonad va echodi chunin dunee, ki dar on odamon dar sukhan va akida ozod va az tarsu ehtiech forigh boshand, hamchun volotarin orzui odamon elon gardidaast;
00-03	bo darnazardoshti in, ki hukuki bashar boyad bo khukmi konun himoyat karda shavad, to bashar hamchun okhirin iloch ba kiemi ziddi zulmu istibdod machbup nagardad;
00-04	bo darnazardoshti in, ki khalkhoi Milali Muttahid imoni khudro ba hukuki asosii bashar, sharaf va kimati shakhsiyati insoniyu barobari hukuki mardu zan dar Oinnomai elon kardaand va karor dodaand, ki ba peshrafti ichtimoi musoidat karda va dar muhiti ozodtar vazi zindagii behtare ba vuchud ovarand;
00-05	bo darnazardoshti in, ki davlathoi azo ukhdador shudaand ba ehtiromi rioyai vokeii hukuki bashar va ozodihoi asosi bo Sozmoni Milali Muttahid hamkori namoyand;
00-06	bo darnazardoshti in, ki husni tafohumi umumi dar mavridi in hukuku okhodiho dar ichroi purrai in uhdadori ahamiyati buzurg dorad,
00-07	Assambleyai Generali
00-08	davlatho elon medorad, to har fard va har makomi davlati onro doiman dar maddi nazar doshta boshad va chiddu chakhd namoyad, ki tavassuti omuzishu talim va bo tadbirkhoi peshraftai milliyu bainalmilali etirofu ichroi umumiyu samarbakhshi onhoro chi dar mieni khalkhoi davlathoi Sozmon va chi dar mieni khalkhoi kalamravi tahti tobeiyati hukukii onho karordoshta ba ehtiromi in hukuku ozodiho va tamini onho musoidat namoyad.
01-00	Moddai 1.
01-01	Tamomi odamon ozod va az lihozi sharafu hukuk ba ham barobar ba dune meoyand. Onho sohibi aklu vichdonand va boyad bo yakdigar munosibati barodarona doshta boshand.
02-00	Moddai 2.
